# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862416982650757,0.00767,0.00020,0.00075,0.00000,0.00000,0.00507,0.01370
1403715278.911890268325806,0.01026,0.00023,0.00651,0.00000,0.01707,0.00562,0.03970
1403715278.961926937103271,0.00704,0.00029,0.00097,0.00398,0.00000,0.00560,0.01787
1403715279.012037277221680,0.00608,0.00044,0.00047,0.00411,0.00000,0.00449,0.01560
1403715279.062036514282227,0.00678,0.00023,0.00011,0.00321,0.00000,0.00464,0.01498
1403715279.111994743347168,0.00575,0.00030,0.00063,0.00329,0.00000,0.00426,0.01423
1403715279.161952733993530,0.00568,0.00028,0.00035,0.00316,0.00000,0.00427,0.01374
1403715279.212043762207031,0.00651,0.00032,0.00093,0.00328,0.00000,0.00454,0.01559
1403715279.262160062789917,0.00555,0.00029,0.00003,0.00337,0.00708,0.00458,0.02089
1403715279.312001943588257,0.00545,0.00033,0.00008,0.00414,0.00612,0.00460,0.02073
1403715279.361640453338623,0.00584,0.00034,0.00003,0.00494,0.00187,0.00447,0.01749
1403715279.411184787750244,0.00589,0.00032,0.00003,0.00525,0.01493,0.00498,0.03139
1403715279.460808515548706,0.00574,0.00036,0.00003,0.00772,0.00000,0.00495,0.01880
1403715279.510231256484985,0.00574,0.00036,0.01752,0.00770,0.00214,0.00462,0.03808
1403715279.559518098831177,0.00577,0.00036,0.00003,0.00802,0.00010,0.00436,0.01864
1403715279.609245300292969,0.00550,0.00037,0.00177,0.00783,0.00242,0.00459,0.02248
1403715279.659062623977661,0.00557,0.00039,0.00003,0.00851,0.00000,0.00456,0.01905
1403715279.709036350250244,0.00584,0.00039,0.00003,0.00849,0.00000,0.00452,0.01926
1403715279.758968591690063,0.00698,0.00039,0.00003,0.00849,0.00000,0.00454,0.02042
1403715279.808996915817261,0.00553,0.00039,0.00008,0.00857,0.00000,0.00473,0.01929
1403715279.858723640441895,0.00564,0.00041,0.00011,0.00832,0.00000,0.00443,0.01891
1403715279.908371925354004,0.00655,0.00040,0.00008,0.00835,0.00000,0.00451,0.01990
1403715279.958243608474731,0.00560,0.00037,0.00333,0.00875,0.00007,0.00461,0.02273
1403715280.008131980895996,0.00585,0.00041,0.00003,0.00840,0.00000,0.00491,0.01960
1403715280.058032035827637,0.00601,0.00038,0.00009,0.00832,0.00000,0.00450,0.01930
1403715280.107974529266357,0.00565,0.00040,0.01585,0.00792,0.00009,0.00491,0.03482
1403715280.159253120422363,0.00578,0.00035,0.00008,0.00806,0.00010,0.00530,0.01966
1403715280.210659027099609,0.00586,0.00042,0.00016,0.00800,0.00205,0.00461,0.02109
1403715280.262014865875244,0.00589,0.00038,0.00026,0.00815,0.00000,0.00454,0.01923
1403715280.312104940414429,0.00706,0.00039,0.00019,0.00795,0.00000,0.00462,0.02021
1403715280.362077236175537,0.00554,0.00041,0.00003,0.00793,0.00000,0.00473,0.01863
1403715280.411952972412109,0.00595,0.00035,0.00003,0.00795,0.00000,0.00472,0.01901
1403715280.461714506149292,0.00561,0.00039,0.00069,0.00779,0.00000,0.00462,0.01910
1403715280.511718273162842,0.00569,0.00034,0.00017,0.00768,0.00000,0.00452,0.01841
1403715280.561537981033325,0.00565,0.00037,0.00143,0.00741,0.00140,0.00502,0.02126
1403715280.611479759216309,0.00657,0.00041,0.00107,0.00762,0.00535,0.00465,0.02568
1403715280.661368131637573,0.00579,0.00039,0.00077,0.00827,0.00000,0.00454,0.01976
1403715280.711407661437988,0.00590,0.00039,0.01695,0.00826,0.00197,0.00445,0.03792
1403715280.761388778686523,0.00627,0.00035,0.00108,0.00760,0.00296,0.00431,0.02257
1403715280.811415195465088,0.00579,0.00039,0.00136,0.00764,0.00000,0.00447,0.01965
1403715280.861495256423950,0.00709,0.00039,0.00063,0.00760,0.00009,0.00440,0.02021
1403715280.911596059799194,0.00709,0.00034,0.00191,0.00684,0.00000,0.00465,0.02084
1403715280.961621046066284,0.00603,0.00036,0.00049,0.00649,0.00382,0.00440,0.02160
1403715281.011595010757446,0.00633,0.00036,0.00053,0.00614,0.00038,0.00453,0.01827
1403715281.061575651168823,0.00579,0.00037,0.00008,0.00687,0.00000,0.00493,0.01805
1403715281.111525058746338,0.00564,0.00037,0.00003,0.00677,0.00000,0.00491,0.01772
1403715281.161530494689941,0.00558,0.00037,0.00026,0.00594,0.00531,0.00457,0.02204
1403715281.211577415466309,0.00712,0.00035,0.00111,0.00649,0.00000,0.00458,0.01966
1403715281.261817932128906,0.00618,0.00031,0.00023,0.00635,0.00000,0.00486,0.01793
1403715281.312132835388184,0.00604,0.00035,0.01024,0.00602,0.01255,0.00466,0.03986
1403715281.362081050872803,0.00857,0.00038,0.00104,0.00725,0.00000,0.00457,0.02180
1403715281.412230014801025,0.00709,0.00036,0.00003,0.00706,0.00008,0.00462,0.01924
1403715281.462395668029785,0.00567,0.00039,0.01040,0.00671,0.00799,0.00446,0.03561
1403715281.512264251708984,0.00580,0.00036,0.00024,0.00786,0.00047,0.00472,0.01946
1403715281.562128782272339,0.00575,0.00039,0.00003,0.00813,0.00000,0.00444,0.01875
1403715281.612148046493530,0.00608,0.00036,0.00034,0.00721,0.00075,0.00471,0.01945
