# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.865647077560425,0.01723,0.00015,0.00063,0.00000,0.00000,0.00534,0.02334
1403715278.914389610290527,0.01553,0.00019,0.00567,0.00000,0.01227,0.00544,0.03910
1403715278.964696645736694,0.01507,0.00029,0.00076,0.00326,0.00000,0.00525,0.02463
1403715279.014570713043213,0.01610,0.00029,0.00015,0.00321,0.00000,0.00552,0.02528
1403715279.064359188079834,0.01770,0.00029,0.00011,0.00319,0.00000,0.00536,0.02666
1403715279.113738775253296,0.01498,0.00030,0.00065,0.00329,0.00000,0.00555,0.02477
1403715279.163461685180664,0.01485,0.00031,0.00035,0.00326,0.00000,0.00545,0.02422
1403715279.214068174362183,0.01739,0.00030,0.00092,0.00332,0.00000,0.00568,0.02761
1403715279.264345645904541,0.01554,0.00032,0.00003,0.00331,0.00687,0.00559,0.03165
1403715279.314936637878418,0.01528,0.00031,0.00008,0.00413,0.00604,0.00587,0.03171
1403715279.365381240844727,0.01470,0.00034,0.00003,0.00495,0.00191,0.00581,0.02774
1403715279.415848493576050,0.01601,0.00032,0.00003,0.00529,0.01448,0.00554,0.04167
1403715279.465984344482422,0.01545,0.00039,0.00003,0.00756,0.00000,0.00610,0.02954
1403715279.515871763229370,0.01431,0.00038,0.01981,0.00859,0.00215,0.00592,0.05116
1403715279.565815210342407,0.01429,0.00039,0.00003,0.00804,0.00010,0.00571,0.02856
1403715279.615557670593262,0.01457,0.00039,0.00178,0.00791,0.00254,0.00588,0.03306
1403715279.665194511413574,0.01453,0.00042,0.00003,0.00848,0.00000,0.00570,0.02917
1403715279.715256214141846,0.01499,0.00041,0.00003,0.00851,0.00001,0.00604,0.02999
1403715279.765361309051514,0.01743,0.00041,0.00003,0.00850,0.00000,0.00573,0.03210
1403715279.815306425094604,0.01428,0.00047,0.00009,0.00862,0.00000,0.00591,0.02937
1403715279.865608453750610,0.01468,0.00041,0.00011,0.00843,0.00000,0.00586,0.02949
