# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862678527832031,0.00735,0.00015,0.00063,0.00000,0.00000,0.00413,0.01226
1403715278.912018775939941,0.00599,0.00019,0.00573,0.00000,0.01238,0.00413,0.02843
1403715278.962489128112793,0.00608,0.00027,0.00079,0.00325,0.00001,0.00413,0.01454
1403715279.013155460357666,0.00593,0.00031,0.00018,0.00326,0.00000,0.00428,0.01396
1403715279.063210010528564,0.00673,0.00031,0.00011,0.00322,0.00000,0.00432,0.01469
1403715279.113067626953125,0.00601,0.00031,0.00063,0.00332,0.00000,0.00428,0.01456
1403715279.163056135177612,0.00566,0.00031,0.00032,0.00322,0.00000,0.00432,0.01384
1403715279.213412046432495,0.00713,0.00030,0.00092,0.00334,0.00000,0.00452,0.01622
1403715279.263564109802246,0.00576,0.00031,0.00003,0.00334,0.00704,0.00453,0.02101
1403715279.313628673553467,0.00581,0.00032,0.00009,0.00413,0.00615,0.00451,0.02100
1403715279.363537549972534,0.00576,0.00035,0.00003,0.00503,0.00190,0.00455,0.01763
1403715279.413735389709473,0.00609,0.00032,0.00004,0.00545,0.01523,0.00478,0.03190
1403715279.463880062103271,0.00572,0.00049,0.00005,0.00778,0.00001,0.00499,0.01904
1403715279.513758182525635,0.00556,0.00039,0.01821,0.00783,0.00212,0.00460,0.03871
1403715279.563634157180786,0.00557,0.00041,0.00003,0.00813,0.00010,0.00445,0.01869
1403715279.613595962524414,0.00559,0.00039,0.00181,0.00801,0.00244,0.00465,0.02290
1403715279.663585424423218,0.00573,0.00039,0.00003,0.00851,0.00001,0.00455,0.01923
1403715279.713607072830200,0.00570,0.00040,0.00003,0.00861,0.00001,0.00463,0.01939
1403715279.763558626174927,0.00699,0.00040,0.00003,0.00856,0.00001,0.00437,0.02036
1403715279.813556671142578,0.00561,0.00039,0.00009,0.00855,0.00001,0.00474,0.01939
1403715279.863464832305908,0.00628,0.00044,0.00013,0.00854,0.00001,0.00460,0.02001
1403715279.913215875625610,0.00572,0.00040,0.00009,0.00852,0.00001,0.00462,0.01936
1403715279.962920665740967,0.00581,0.00037,0.00341,0.00833,0.00007,0.00460,0.02260
1403715280.012845754623413,0.00561,0.00039,0.00004,0.00851,0.00001,0.00501,0.01957
1403715280.062813997268677,0.00654,0.00044,0.00011,0.00885,0.00001,0.00477,0.02072
1403715280.112479686737061,0.00613,0.00038,0.01765,0.00805,0.00010,0.00468,0.03698
1403715280.162328958511353,0.00571,0.00036,0.00008,0.00778,0.00010,0.00524,0.01927
1403715280.212255239486694,0.00609,0.00038,0.00029,0.00761,0.00248,0.00466,0.02151
1403715280.262387275695801,0.00590,0.00042,0.00027,0.00809,0.00001,0.00447,0.01916
1403715280.312417030334473,0.00719,0.00041,0.00024,0.00800,0.00001,0.00451,0.02036
1403715280.362411260604858,0.00589,0.00039,0.00003,0.00790,0.00001,0.00460,0.01882
1403715280.412376880645752,0.00623,0.00038,0.00003,0.00778,0.00001,0.00464,0.01908
1403715280.462304592132568,0.00606,0.00036,0.00070,0.00771,0.00001,0.00453,0.01938
1403715280.512411832809448,0.00577,0.00034,0.00015,0.00764,0.00001,0.00475,0.01866
1403715280.562396764755249,0.00581,0.00038,0.00138,0.00726,0.00141,0.00497,0.02123
1403715280.612366914749146,0.00680,0.00036,0.00106,0.00737,0.00541,0.00454,0.02555
