# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862514257431030,0.00698,0.00016,0.00065,0.00000,0.00000,0.00444,0.01224
1403715278.913340330123901,0.00605,0.00020,0.00575,0.00000,0.01317,0.00463,0.02981
1403715278.963146924972534,0.00638,0.00031,0.00083,0.00338,0.00000,0.00450,0.01540
1403715279.012214183807373,0.00608,0.00029,0.00015,0.00315,0.00000,0.00445,0.01413
1403715279.061954975128174,0.00783,0.00035,0.00012,0.00358,0.00000,0.00448,0.01636
1403715279.111497402191162,0.00627,0.00026,0.00064,0.00327,0.00000,0.00441,0.01485
1403715279.161433935165405,0.00593,0.00031,0.00032,0.00320,0.00000,0.00441,0.01417
1403715279.211576700210571,0.00682,0.00031,0.00101,0.00352,0.00000,0.00475,0.01642
1403715279.261498928070068,0.00607,0.00032,0.00003,0.00332,0.00685,0.00478,0.02137
1403715279.311424493789673,0.00577,0.00033,0.00008,0.00413,0.00621,0.00484,0.02137
1403715279.360651969909668,0.00597,0.00034,0.00004,0.00499,0.00189,0.00476,0.01799
1403715279.410472869873047,0.00606,0.00035,0.00003,0.00527,0.01498,0.00508,0.03177
1403715279.460660934448242,0.00595,0.00040,0.00003,0.00760,0.00000,0.00561,0.01959
1403715279.510311603546143,0.00579,0.00039,0.01771,0.00785,0.00212,0.00480,0.03867
1403715279.560311555862427,0.00593,0.00038,0.00003,0.00806,0.00010,0.00459,0.01910
1403715279.610443830490112,0.00617,0.00046,0.00208,0.00835,0.00205,0.00458,0.02370
1403715279.660553455352783,0.00579,0.00042,0.00003,0.00856,0.00000,0.00476,0.01956
1403715279.710697174072266,0.00607,0.00044,0.00003,0.00857,0.00000,0.00474,0.01984
1403715279.760642528533936,0.00669,0.00053,0.00003,0.00877,0.00000,0.00460,0.02062
1403715279.810754537582397,0.00572,0.00041,0.00009,0.00882,0.00000,0.00506,0.02009
1403715279.860589981079102,0.00581,0.00039,0.00011,0.00836,0.00000,0.00475,0.01943
1403715279.910465478897095,0.00562,0.00040,0.00009,0.00857,0.00000,0.00458,0.01926
1403715279.960158348083496,0.00580,0.00039,0.00358,0.00840,0.00007,0.00480,0.02303
1403715280.010059833526611,0.00578,0.00043,0.00003,0.00852,0.00000,0.00539,0.02015
1403715280.060045242309570,0.00602,0.00040,0.00010,0.00831,0.00000,0.00471,0.01954
