# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862565994262695,0.01595,0.00019,0.00063,0.00000,0.00000,0.00520,0.02198
1403715278.909611225128174,0.01458,0.00019,0.00570,0.00000,0.01304,0.00520,0.03871
1403715278.959495782852173,0.01492,0.00029,0.00074,0.00322,0.00000,0.00504,0.02422
1403715279.009438991546631,0.01493,0.00029,0.00017,0.00317,0.00000,0.00546,0.02401
1403715279.059264898300171,0.01879,0.00031,0.00011,0.00322,0.00000,0.00543,0.02786
1403715279.109070301055908,0.01440,0.00032,0.00065,0.00328,0.00000,0.00596,0.02461
1403715279.159045934677124,0.01390,0.00032,0.00037,0.00326,0.00000,0.00529,0.02314
1403715279.209027051925659,0.01377,0.00030,0.00091,0.00332,0.00000,0.00559,0.02389
1403715279.259154558181763,0.01451,0.00027,0.00003,0.00338,0.00697,0.00552,0.03068
1403715279.308443546295166,0.01418,0.00035,0.00008,0.00413,0.00612,0.00576,0.03063
1403715279.357219696044922,0.01388,0.00037,0.00003,0.00503,0.00197,0.00555,0.02683
1403715279.405827522277832,0.01457,0.00037,0.00004,0.00547,0.02040,0.00822,0.04906
1403715279.454974889755249,0.01299,0.00047,0.00007,0.01138,0.00001,0.00851,0.03343
1403715279.504115104675293,0.01505,0.00052,0.02720,0.00951,0.00283,0.00673,0.06184
1403715279.553407907485962,0.01320,0.00047,0.00005,0.01304,0.00014,0.01137,0.03828
1403715279.602902412414551,0.01318,0.00039,0.00206,0.01021,0.00265,0.00722,0.03571
1403715279.653047800064087,0.01469,0.00040,0.00004,0.01063,0.00000,0.00605,0.03181
1403715279.702533960342407,0.01454,0.00045,0.00003,0.00949,0.00000,0.00609,0.03061
1403715279.752744436264038,0.01487,0.00041,0.00003,0.00948,0.00000,0.00656,0.03137
1403715279.802804470062256,0.01403,0.00035,0.00008,0.00945,0.00001,0.00573,0.02965
1403715279.853132963180542,0.01396,0.00043,0.00011,0.00974,0.00001,0.00613,0.03037
1403715279.902979135513306,0.01482,0.00044,0.00009,0.00971,0.00000,0.00587,0.03094
1403715279.953762531280518,0.01489,0.00042,0.00485,0.00835,0.00007,0.00665,0.03523
1403715280.005194425582886,0.01500,0.00041,0.00003,0.00960,0.00000,0.00651,0.03156
1403715280.055718183517456,0.01501,0.00040,0.00011,0.00949,0.00000,0.00634,0.03135
1403715280.105893373489380,0.01631,0.00039,0.01721,0.00817,0.00010,0.00602,0.04820
1403715280.157962083816528,0.01716,0.00071,0.00064,0.00960,0.00007,0.00595,0.03413
1403715280.209572553634644,0.01677,0.00040,0.00168,0.00310,0.00012,0.00598,0.02804
1403715280.259706258773804,0.01589,0.00038,0.00043,0.00114,0.00031,0.00642,0.02456
1403715280.309715986251831,0.01659,0.00041,0.00156,0.00059,0.00465,0.00600,0.02980
1403715280.359672546386719,0.01598,0.00037,0.00124,0.00311,0.00405,0.00545,0.03020
1403715280.409356355667114,0.01795,0.00035,0.00014,0.00601,0.00042,0.00594,0.03082
1403715280.458991289138794,0.01547,0.00037,0.00032,0.00304,0.00001,0.00597,0.02519
1403715280.509006977081299,0.01597,0.00038,0.00031,0.00123,0.00053,0.00552,0.02395
1403715280.559064149856567,0.01653,0.00040,0.00199,0.00061,0.00394,0.00659,0.03005
1403715280.609131336212158,0.01862,0.00036,0.00154,0.00222,0.00389,0.00576,0.03240
1403715280.658777713775635,0.01689,0.00037,0.00053,0.00405,0.00189,0.00596,0.02969
1403715280.708673715591431,0.01906,0.00040,0.00417,0.00265,0.00207,0.00590,0.03426
