# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.865830183029175,0.00685,0.00015,0.00063,0.00000,0.00000,0.00426,0.01189
1403715278.913665294647217,0.00602,0.00020,0.00574,0.00000,0.01239,0.00425,0.02860
1403715278.964096784591675,0.00722,0.00029,0.00084,0.00356,0.00001,0.00471,0.01663
1403715279.013771057128906,0.00697,0.00033,0.00032,0.00353,0.00001,0.00443,0.01559
1403715279.063729763031006,0.00696,0.00029,0.00011,0.00319,0.00000,0.00441,0.01498
1403715279.112936019897461,0.00581,0.00030,0.00063,0.00331,0.00000,0.00441,0.01446
1403715279.162708282470703,0.00573,0.00030,0.00036,0.00322,0.00000,0.00439,0.01401
1403715279.213376522064209,0.00691,0.00034,0.00092,0.00332,0.00000,0.00465,0.01615
1403715279.263677597045898,0.00578,0.00030,0.00003,0.00343,0.00685,0.00468,0.02107
1403715279.314123630523682,0.00580,0.00032,0.00008,0.00417,0.00602,0.00477,0.02117
1403715279.363674402236938,0.00564,0.00034,0.00003,0.00500,0.00189,0.00471,0.01761
1403715279.413390636444092,0.00603,0.00031,0.00003,0.00546,0.01597,0.00495,0.03276
1403715279.462679862976074,0.00570,0.00040,0.00003,0.00763,0.00001,0.00512,0.01889
1403715279.512022972106934,0.00595,0.00041,0.01997,0.00813,0.00217,0.00484,0.04147
1403715279.560921907424927,0.00603,0.00039,0.00003,0.00813,0.00010,0.00473,0.01942
1403715279.610640048980713,0.00598,0.00054,0.00179,0.00852,0.00212,0.00464,0.02360
1403715279.660314321517944,0.00590,0.00041,0.00003,0.00854,0.00001,0.00477,0.01967
1403715279.710409641265869,0.00605,0.00042,0.00004,0.00856,0.00001,0.00486,0.01993
1403715279.760945320129395,0.00813,0.00041,0.00004,0.00818,0.00001,0.00483,0.02159
1403715279.811247825622559,0.00591,0.00040,0.00009,0.00857,0.00001,0.00478,0.01976
1403715279.861826419830322,0.00582,0.00042,0.00011,0.00848,0.00001,0.00474,0.01958
1403715279.912043809890747,0.00684,0.00042,0.00009,0.00862,0.00001,0.00454,0.02053
1403715279.962658405303955,0.00600,0.00039,0.00339,0.00825,0.00007,0.00471,0.02281
1403715280.013100147247314,0.00601,0.00042,0.00003,0.00861,0.00001,0.00510,0.02020
