# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.867786884307861,0,6,0,0,5
1403715278.914784193038940,32,34,0,32,6
1403715278.965292453765869,31,3,31,0,7
1403715279.015470266342163,29,0,29,0,8
1403715279.065333604812622,29,0,29,0,9
1403715279.114647865295410,29,1,29,0,10
1403715279.164330959320068,28,1,27,0,11
1403715279.215087652206421,28,1,27,0,11
1403715279.265687227249146,33,0,27,6,11
1403715279.316299438476562,37,0,33,4,11
1403715279.366820335388184,38,0,37,1,11
1403715279.417578935623169,47,0,38,9,11
1403715279.467720746994019,47,0,47,0,11
1403715279.517624855041504,48,25,47,1,11
1403715279.567613601684570,48,0,48,0,11
1403715279.617361068725586,49,1,48,1,11
1403715279.666915893554688,49,0,49,0,11
1403715279.717169046401978,49,0,49,0,11
1403715279.767274618148804,49,0,49,0,11
1403715279.817003965377808,49,0,48,0,11
1403715279.867628574371338,49,0,48,0,11
1403715279.918164253234863,49,0,48,1,11
1403715279.968618154525757,49,2,48,0,11
1403715280.019234180450439,49,0,48,0,11
1403715280.069538593292236,49,0,47,1,11
1403715280.118637800216675,49,22,48,0,11
1403715280.166832208633423,48,1,45,0,11
1403715280.215495347976685,48,1,45,0,11
1403715280.264412164688110,47,0,44,3,11
1403715280.314317464828491,47,0,47,0,11
1403715280.364412069320679,47,0,47,0,11
1403715280.414504289627075,47,0,47,0,11
1403715280.464406967163086,47,1,47,0,11
1403715280.514590978622437,46,0,45,0,11
1403715280.564532279968262,47,2,44,1,11
1403715280.614639043807983,46,1,44,1,11
1403715280.664558649063110,48,1,43,3,11
1403715280.714393615722656,49,26,45,1,11
1403715280.764293432235718,48,1,43,2,11
1403715280.814247131347656,47,1,42,2,11
1403715280.864204645156860,46,1,42,1,11
1403715280.914020299911499,46,0,42,1,11
1403715280.963832139968872,43,1,41,1,11
1403715281.013711452484131,42,1,41,1,11
1403715281.063668727874756,42,1,42,0,11
1403715281.113640308380127,47,0,42,5,11
1403715281.163677453994751,45,1,45,0,11
1403715281.213735818862915,45,1,45,0,11
1403715281.263893842697144,45,0,44,1,11
1403715281.313915729522705,48,13,44,4,11
1403715281.363824605941772,47,0,46,0,11
1403715281.413787126541138,48,8,47,1,11
1403715281.463728666305542,48,0,47,0,11
1403715281.513591289520264,48,0,47,1,11
1403715281.563467025756836,48,0,45,0,11
1403715281.613426208496094,48,8,43,2,11
1403715281.663412570953369,47,0,44,2,11
1403715281.713427305221558,42,0,39,0,11
1403715281.763529300689697,40,0,35,0,11
1403715281.813481092453003,39,0,34,1,11
1403715281.863619804382324,35,1,32,1,11
1403715281.913544178009033,45,0,30,11,11
1403715281.963673114776611,45,1,41,1,11
1403715282.013718366622925,46,5,42,3,11
1403715282.063824176788330,46,0,45,1,11
1403715282.113828659057617,46,0,43,0,11
1403715282.164009809494019,50,12,43,4,11
1403715282.214015245437622,50,6,48,2,11
1403715282.264056682586670,50,0,49,0,11
1403715282.314049482345581,48,0,45,1,11
1403715282.364026784896851,47,0,46,0,11
1403715282.413986682891846,45,0,44,1,11
1403715282.463995695114136,43,0,41,0,11
1403715282.513972759246826,45,0,40,2,11
1403715282.563964843750000,44,10,41,2,11
1403715282.613974809646606,46,4,41,4,11
1403715282.663975715637207,46,0,45,0,11
1403715282.713924169540405,45,0,44,0,11
1403715282.763927221298218,50,7,44,5,11
1403715282.813923835754395,50,5,49,1,11
1403715282.863778352737427,50,0,50,0,11
1403715282.913742303848267,50,0,50,0,11
1403715282.963791608810425,50,2,50,0,11
1403715283.013725996017456,50,3,49,0,11
1403715283.063707113265991,49,21,49,0,11
1403715283.113695383071899,49,0,48,0,11
1403715283.163679599761963,49,7,48,0,11
1403715283.213663339614868,49,2,47,1,11
1403715283.263635635375977,49,1,48,1,11
1403715283.313618421554565,49,0,49,0,11
1403715283.363584995269775,50,7,49,1,11
1403715283.413533449172974,50,0,50,0,11
