# timestamp(s) tx ty tz qx qy qz qw
1403715278.86779 0.018142000 -0.031401000 0.012111000 0.803901000 -0.008155000 0.594693000 0.004179000
1403715278.91478 0.036636000 -0.001190000 0.052015000 0.805552000 -0.004703000 0.592505000 0.001278000
1403715278.96529 0.043026000 0.002825000 0.064554000 0.804566000 -0.005284000 0.593837000 0.001848000
1403715279.01547 0.048107000 0.006174000 0.077743000 0.804834000 -0.005489000 0.593468000 0.002652000
1403715279.06533 0.052647000 0.008879000 0.088413000 0.806034000 -0.005897000 0.591831000 0.003111000
1403715279.11465 0.056950000 0.010731000 0.097170000 0.807690000 -0.005921000 0.589562000 0.004174000
1403715279.16433 0.061216000 0.011549000 0.100041000 0.809066000 -0.005201000 0.587675000 0.004930000
1403715279.21509 0.064518000 0.011828000 0.100027000 0.810694000 -0.004794000 0.585425000 0.005399000
1403715279.26569 0.067390000 0.010166000 0.096743000 0.811591000 -0.003829000 0.584198000 0.004359000
1403715279.31630 0.071547000 0.009271000 0.093171000 0.812804000 -0.003453000 0.582515000 0.003618000
1403715279.36682 0.073620000 0.006715000 0.088408000 0.813493000 -0.003624000 0.581557000 0.002911000
1403715279.41758 0.075333000 0.001237000 0.079075000 0.813291000 -0.004125000 0.581839000 0.002070000
1403715279.46772 0.075800000 -0.002546000 0.077664000 0.813973000 -0.004059000 0.580884000 0.002075000
1403715279.51762 0.074005000 -0.008484000 0.076151000 0.814665000 -0.004263000 0.579912000 0.002031000
1403715279.56761 0.073690000 -0.010768000 0.078538000 0.814641000 -0.003608000 0.579949000 0.002588000
1403715279.61736 0.073666000 -0.012019000 0.084542000 0.815048000 -0.003434000 0.579377000 0.002717000
1403715279.66692 0.073926000 -0.013246000 0.093118000 0.815225000 -0.003119000 0.579131000 0.002621000
1403715279.71717 0.074163000 -0.013906000 0.105584000 0.815022000 -0.003137000 0.579417000 0.002313000
1403715279.76727 0.073766000 -0.014894000 0.120658000 0.815232000 -0.003173000 0.579122000 0.002131000
1403715279.81700 0.073627000 -0.015783000 0.138510000 0.815299000 -0.003550000 0.579027000 0.001504000
1403715279.86763 0.072608000 -0.017146000 0.155616000 0.815656000 -0.003395000 0.578525000 0.001443000
1403715279.91816 0.071120000 -0.018296000 0.169711000 0.816402000 -0.003314000 0.577472000 0.001666000
1403715279.96862 0.069125000 -0.018618000 0.183226000 0.818353000 -0.003114000 0.574704000 0.002233000
1403715280.01923 0.067104000 -0.018322000 0.195946000 0.821910000 -0.003260000 0.569604000 0.002083000
1403715280.06954 0.064989000 -0.017822000 0.205645000 0.825853000 -0.003298000 0.563871000 0.002329000
1403715280.11864 0.062172000 -0.017945000 0.212718000 0.829547000 -0.001561000 0.558410000 0.005237000
1403715280.16683 0.062247000 -0.017389000 0.222327000 0.830966000 -0.000173000 0.556271000 0.007600000
1403715280.21550 0.063514000 -0.016672000 0.232753000 0.831292000 0.002699000 0.555709000 0.011562000
