# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.861014366149902,0,5,0,0,5
1403715278.911726713180542,32,34,0,32,6
1403715278.961655139923096,31,7,31,0,7
1403715279.011307477951050,29,0,29,0,8
1403715279.061200141906738,29,0,29,0,9
1403715279.110963582992554,29,0,29,0,10
1403715279.161018610000610,28,2,28,0,11
1403715279.211201906204224,28,1,28,0,11
1403715279.261170387268066,30,0,28,2,11
1403715279.311238050460815,34,0,30,4,11
1403715279.361512899398804,35,0,34,1,11
1403715279.411678075790405,44,0,35,9,11
1403715279.461799621582031,44,0,44,0,11
1403715279.511910915374756,47,23,44,3,11
1403715279.561802864074707,47,0,47,0,11
1403715279.611803770065308,48,1,47,1,11
1403715279.661794424057007,48,0,48,0,11
1403715279.711838006973267,48,0,48,0,11
1403715279.761813640594482,48,0,48,0,11
1403715279.811846971511841,48,0,48,0,11
1403715279.861810207366943,48,0,48,0,11
1403715279.911804437637329,48,0,48,0,11
1403715279.961777925491333,48,2,48,0,11
1403715280.011743783950806,48,0,48,0,11
1403715280.061732292175293,48,0,48,0,11
1403715280.111793279647827,48,20,48,0,11
1403715280.161953449249268,48,0,47,1,11
1403715280.212192296981812,48,1,48,0,11
1403715280.262599945068359,47,0,47,0,11
1403715280.312654972076416,47,0,47,0,11
1403715280.362646818161011,47,0,47,0,11
1403715280.412586450576782,47,0,46,0,11
1403715280.462433099746704,47,2,46,0,11
1403715280.512360095977783,46,0,45,1,11
1403715280.562230110168457,46,1,45,1,11
1403715280.612200975418091,45,0,45,0,11
1403715280.662066459655762,48,1,43,3,11
1403715280.712049484252930,47,24,45,0,11
1403715280.762049436569214,46,1,44,2,11
1403715280.812068939208984,46,0,43,2,11
1403715280.862106323242188,46,0,44,0,11
1403715280.912171840667725,45,0,43,0,11
1403715280.962200880050659,42,1,41,0,11
1403715281.012212038040161,41,0,40,1,11
1403715281.062211275100708,41,1,41,0,11
1403715281.112195491790771,46,0,41,5,11
1403715281.162187337875366,44,1,44,0,11
1403715281.212224245071411,44,2,44,0,11
1403715281.262342691421509,44,0,42,1,11
1403715281.312444925308228,47,15,42,5,11
1403715281.362457752227783,48,6,46,2,11
1403715281.412503957748413,48,0,48,0,11
1403715281.462533950805664,48,0,48,0,11
1403715281.512494087219238,48,0,48,0,11
1403715281.562477350234985,48,0,47,0,11
1403715281.612470149993896,49,13,43,2,11
1403715281.662461280822754,49,0,42,1,11
1403715281.712438583374023,41,0,38,0,11
1403715281.762400150299072,38,0,37,0,11
1403715281.812407970428467,36,0,35,0,11
1403715281.862400293350220,35,2,32,1,11
1403715281.912413835525513,48,0,33,14,11
1403715281.962417602539062,48,5,47,1,11
1403715282.012424468994141,48,0,48,0,11
1403715282.062431097030640,48,0,47,0,11
1403715282.112427234649658,48,0,45,0,11
1403715282.162460803985596,48,0,45,1,11
1403715282.212458848953247,50,9,45,4,11
1403715282.262483119964600,50,0,48,0,11
1403715282.312469005584717,49,21,47,1,11
1403715282.362456798553467,49,0,48,0,11
1403715282.412440061569214,47,0,44,1,11
1403715282.462427139282227,45,0,44,0,11
1403715282.512407779693604,45,0,44,1,11
1403715282.562416553497314,47,1,43,4,11
1403715282.612422704696655,46,1,45,0,11
1403715282.662431240081787,46,1,45,0,11
1403715282.712420701980591,45,1,45,0,11
1403715282.762419939041138,45,0,45,0,11
1403715282.812422513961792,48,5,45,3,11
1403715282.862396478652954,48,0,48,0,11
1403715282.912390708923340,50,18,47,2,11
1403715282.962388753890991,50,2,48,0,11
1403715283.012385129928589,49,2,47,1,11
1403715283.062386274337769,48,1,47,0,11
1403715283.112379074096680,49,27,46,2,11
1403715283.162379026412964,49,1,48,1,11
1403715283.212371587753296,49,0,48,0,11
1403715283.262357711791992,48,0,47,0,11
1403715283.312349796295166,48,0,47,1,11
1403715283.362334489822388,46,0,46,0,11
1403715283.412285327911377,50,0,46,4,11
1403715283.462235689163208,47,0,47,0,11
1403715283.512166500091553,45,12,42,3,11
1403715283.562167644500732,45,0,45,0,11
1403715283.612166404724121,45,1,45,0,11
1403715283.662201166152954,45,1,45,0,11
1403715283.712261676788330,50,16,45,5,11
1403715283.762294054031372,49,1,49,0,11
1403715283.812314748764038,49,0,49,0,11
1403715283.862323999404907,49,0,49,0,11
1403715283.912317991256714,48,0,48,0,11
1403715283.962320566177368,48,0,48,0,11
