# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864656209945679,0.00693,0.00016,0.00063,0.00000,0.00000,0.00413,0.01185
1403715278.909935474395752,0.00600,0.00019,0.00572,0.00000,0.01262,0.00420,0.02874
1403715278.960238695144653,0.00636,0.00026,0.00076,0.00323,0.00000,0.00407,0.01469
1403715279.010625839233398,0.00603,0.00028,0.00014,0.00321,0.00000,0.00429,0.01395
1403715279.060223817825317,0.00821,0.00029,0.00012,0.00321,0.00000,0.00434,0.01617
1403715279.109401702880859,0.00602,0.00029,0.00064,0.00330,0.00001,0.00426,0.01452
1403715279.159344673156738,0.00601,0.00031,0.00034,0.00323,0.00000,0.00432,0.01422
1403715279.209363937377930,0.00580,0.00030,0.00094,0.00331,0.00000,0.00456,0.01490
1403715279.259933471679688,0.00607,0.00026,0.00003,0.00335,0.00707,0.00472,0.02150
1403715279.309956073760986,0.00603,0.00032,0.00008,0.00416,0.00609,0.00449,0.02118
1403715279.359558343887329,0.00944,0.00036,0.00003,0.00513,0.00222,0.00482,0.02200
1403715279.408689975738525,0.00714,0.00038,0.00004,0.00591,0.01685,0.00501,0.03534
1403715279.457947015762329,0.00583,0.00036,0.00003,0.00759,0.00001,0.00543,0.01925
1403715279.507025957107544,0.00592,0.00034,0.01973,0.00771,0.00208,0.00460,0.04038
1403715279.556561946868896,0.00568,0.00039,0.00003,0.00814,0.00010,0.00455,0.01889
1403715279.605663061141968,0.00552,0.00037,0.00226,0.00845,0.00206,0.00458,0.02324
1403715279.655284643173218,0.00562,0.00040,0.00003,0.00858,0.00001,0.00449,0.01912
1403715279.705290079116821,0.00560,0.00038,0.00003,0.00903,0.00001,0.00465,0.01970
1403715279.755427122116089,0.00810,0.00042,0.00003,0.00853,0.00001,0.00456,0.02165
1403715279.805114746093750,0.00573,0.00034,0.00008,0.00860,0.00001,0.00456,0.01933
1403715279.855937719345093,0.00585,0.00039,0.00011,0.00844,0.00001,0.00468,0.01947
1403715279.906565904617310,0.00548,0.00041,0.00009,0.00854,0.00001,0.00450,0.01902
1403715279.957050561904907,0.00562,0.00041,0.00349,0.00839,0.00007,0.00473,0.02272
1403715280.007700681686401,0.00580,0.00040,0.00003,0.00848,0.00001,0.00547,0.02018
1403715280.057971000671387,0.00603,0.00042,0.00010,0.00823,0.00001,0.00462,0.01941
1403715280.107836008071899,0.00649,0.00038,0.01726,0.00864,0.00009,0.00439,0.03725
1403715280.158881902694702,0.00693,0.00042,0.00097,0.00803,0.00007,0.00462,0.02104
1403715280.210220575332642,0.01868,0.00163,0.00428,0.02010,0.00014,0.00447,0.04929
1403715280.261670827865601,0.00590,0.00037,0.00021,0.00753,0.00001,0.00443,0.01845
1403715280.312283992767334,0.00603,0.00036,0.00003,0.00777,0.00001,0.00451,0.01870
1403715280.362464666366577,0.00593,0.00038,0.00003,0.00774,0.00001,0.00455,0.01865
1403715280.412408828735352,0.00650,0.00037,0.00003,0.00774,0.00001,0.00470,0.01936
1403715280.461977720260620,0.00596,0.00042,0.00070,0.00772,0.00001,0.00456,0.01936
1403715280.511794805526733,0.00615,0.00039,0.00018,0.00755,0.00001,0.00476,0.01903
1403715280.561477184295654,0.00610,0.00038,0.00134,0.00772,0.00143,0.00502,0.02200
1403715280.611478090286255,0.00714,0.00039,0.00076,0.00749,0.00001,0.00467,0.02045
1403715280.661382436752319,0.00646,0.00036,0.00074,0.00695,0.00545,0.00475,0.02471
1403715280.711471796035767,0.00871,0.00036,0.01678,0.00770,0.00058,0.00463,0.03875
1403715280.761444807052612,0.00681,0.00039,0.00169,0.00750,0.00295,0.00478,0.02412
1403715280.811470746994019,0.00613,0.00040,0.00260,0.00757,0.00052,0.00463,0.02186
1403715280.861505985260010,0.00637,0.00039,0.00060,0.00732,0.00001,0.00468,0.01937
1403715280.911687374114990,0.00786,0.00034,0.00199,0.00705,0.00001,0.00474,0.02200
1403715280.961748123168945,0.00624,0.00038,0.00044,0.00602,0.00323,0.00477,0.02109
1403715281.011736154556274,0.00646,0.00035,0.00059,0.00568,0.00038,0.00462,0.01808
1403715281.061712026596069,0.00581,0.00038,0.00008,0.00609,0.00001,0.00480,0.01716
1403715281.111690521240234,0.00593,0.00035,0.00003,0.00592,0.00001,0.00579,0.01803
1403715281.161763191223145,0.00585,0.00034,0.00023,0.00553,0.00477,0.00456,0.02129
1403715281.211742877960205,0.00741,0.00035,0.00099,0.00635,0.00001,0.00474,0.01985
1403715281.261787891387939,0.00777,0.00034,0.00018,0.00658,0.00001,0.00470,0.01958
1403715281.312014579772949,0.00642,0.00032,0.00902,0.00567,0.01555,0.00527,0.04225
1403715281.362036466598511,0.00634,0.00040,0.00109,0.00809,0.00001,0.00449,0.02042
1403715281.412150144577026,0.00651,0.00040,0.00017,0.00806,0.00226,0.00437,0.02178
1403715281.462381124496460,0.00652,0.00036,0.01324,0.00913,0.00470,0.00497,0.03893
1403715281.512408256530762,0.00619,0.00040,0.00015,0.00998,0.00001,0.00460,0.02133
1403715281.562348604202271,0.00631,0.00038,0.00010,0.00898,0.00001,0.00480,0.02057
1403715281.612316370010376,0.00632,0.00041,0.00034,0.00853,0.00048,0.00449,0.02058
1403715281.662301301956177,0.00621,0.00040,0.00020,0.00857,0.00045,0.00592,0.02176
1403715281.712292909622192,0.00733,0.00041,0.00129,0.00690,0.00001,0.00466,0.02059
1403715281.762350559234619,0.00880,0.00036,0.00809,0.00620,0.01277,0.00497,0.04119
