# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862457990646362,0.01564,0.00014,0.00064,0.00000,0.00000,0.00531,0.02173
1403715278.915803670883179,0.01399,0.00021,0.00572,0.00000,0.01213,0.00510,0.03715
1403715278.965164661407471,0.01413,0.00026,0.00078,0.00327,0.00000,0.00506,0.02349
1403715279.013883590698242,0.01395,0.00030,0.00015,0.00321,0.00000,0.00542,0.02303
1403715279.063368558883667,0.01572,0.00029,0.00011,0.00327,0.00000,0.00513,0.02452
1403715279.112869262695312,0.01406,0.00031,0.00064,0.00332,0.00001,0.00520,0.02355
1403715279.162713766098022,0.01348,0.00031,0.00036,0.00323,0.00000,0.00515,0.02253
1403715279.212693452835083,0.01545,0.00030,0.00090,0.00332,0.00000,0.00558,0.02556
1403715279.262675523757935,0.01368,0.00029,0.00003,0.00336,0.00710,0.00540,0.02985
1403715279.312591075897217,0.01355,0.00031,0.00008,0.00409,0.00616,0.00524,0.02942
1403715279.362570285797119,0.01374,0.00033,0.00003,0.00499,0.00192,0.00545,0.02646
1403715279.412452220916748,0.01440,0.00033,0.00003,0.00527,0.01507,0.00635,0.04146
1403715279.462504386901855,0.01349,0.00038,0.00003,0.00767,0.00000,0.00608,0.02766
1403715279.512299060821533,0.01364,0.00038,0.01776,0.00855,0.00200,0.00517,0.04751
1403715279.561425447463989,0.01343,0.00038,0.00003,0.00802,0.00010,0.00544,0.02740
1403715279.611272573471069,0.01385,0.00038,0.00182,0.00798,0.00271,0.00552,0.03226
1403715279.661048889160156,0.01404,0.00038,0.00003,0.00844,0.00000,0.00588,0.02877
1403715279.711036443710327,0.01392,0.00039,0.00003,0.00856,0.00000,0.00567,0.02857
1403715279.760988235473633,0.02021,0.00042,0.00003,0.00889,0.00001,0.00547,0.03503
1403715279.811026811599731,0.01317,0.00038,0.00008,0.00861,0.00000,0.00544,0.02769
1403715279.860954999923706,0.01306,0.00039,0.00010,0.00843,0.00000,0.00536,0.02734
1403715279.910684585571289,0.01265,0.00038,0.00010,0.00848,0.00000,0.00564,0.02726
1403715279.960445880889893,0.01329,0.00035,0.00336,0.00830,0.00007,0.00551,0.03088
1403715280.010570526123047,0.01319,0.00036,0.00003,0.00837,0.00000,0.00570,0.02765
1403715280.060547590255737,0.01431,0.00036,0.00010,0.00823,0.00000,0.00545,0.02846
1403715280.110420942306519,0.01348,0.00038,0.01710,0.00789,0.00015,0.00654,0.04554
1403715280.160350799560547,0.01364,0.00035,0.00008,0.00833,0.00014,0.00581,0.02835
1403715280.210372686386108,0.01408,0.00038,0.00017,0.00799,0.00205,0.00557,0.03023
1403715280.260267257690430,0.01417,0.00036,0.00025,0.00781,0.00000,0.00561,0.02820
1403715280.310273408889771,0.01431,0.00036,0.00018,0.00756,0.00000,0.00552,0.02792
1403715280.360283851623535,0.01387,0.00039,0.00018,0.00761,0.00046,0.00525,0.02775
1403715280.410282611846924,0.01493,0.00039,0.00003,0.00778,0.00000,0.00587,0.02901
1403715280.460278987884521,0.01339,0.00036,0.00067,0.00774,0.00000,0.00554,0.02771
1403715280.510437726974487,0.01355,0.00034,0.00016,0.00751,0.00000,0.00569,0.02725
1403715280.560441493988037,0.01350,0.00036,0.00136,0.00745,0.00142,0.00541,0.02952
1403715280.610658645629883,0.01588,0.00033,0.00108,0.00738,0.00538,0.00556,0.03561
1403715280.660760402679443,0.01415,0.00039,0.00078,0.00827,0.00002,0.00554,0.02915
1403715280.711015462875366,0.01397,0.00039,0.01569,0.00912,0.00386,0.00570,0.04872
1403715280.761099815368652,0.01518,0.00036,0.00131,0.00818,0.00194,0.00555,0.03252
1403715280.811158418655396,0.01445,0.00041,0.00119,0.00909,0.00040,0.00544,0.03098
1403715280.861195087432861,0.01734,0.00039,0.00067,0.00811,0.00001,0.00580,0.03231
1403715280.911309242248535,0.01741,0.00036,0.00212,0.00730,0.00044,0.00568,0.03331
1403715280.961305379867554,0.01477,0.00038,0.00059,0.00650,0.00376,0.00571,0.03170
1403715281.011263370513916,0.01418,0.00037,0.00068,0.00649,0.00043,0.00529,0.02744
1403715281.061282157897949,0.01303,0.00035,0.00008,0.00684,0.00000,0.00549,0.02579
1403715281.111250638961792,0.01388,0.00037,0.00025,0.00659,0.00000,0.00556,0.02665
1403715281.161240339279175,0.01386,0.00038,0.00025,0.00627,0.00506,0.00557,0.03139
1403715281.211282730102539,0.01701,0.00033,0.00098,0.00695,0.00000,0.00546,0.03073
1403715281.261435508728027,0.01411,0.00033,0.00018,0.00667,0.00007,0.00585,0.02721
1403715281.311566114425659,0.01504,0.00035,0.00941,0.00635,0.01351,0.00533,0.04999
1403715281.361593484878540,0.01421,0.00037,0.00107,0.00827,0.00000,0.00554,0.02946
1403715281.411558866500854,0.01688,0.00038,0.00006,0.00840,0.00012,0.00519,0.03102
1403715281.461699962615967,0.01389,0.00039,0.01103,0.00817,0.00669,0.00532,0.04549
1403715281.511812686920166,0.01396,0.00038,0.00013,0.00919,0.00000,0.00549,0.02915
1403715281.561902761459351,0.01523,0.00040,0.00003,0.00835,0.00000,0.00523,0.02927
1403715281.611892461776733,0.01467,0.00036,0.00024,0.00816,0.00048,0.00557,0.02948
1403715281.661906003952026,0.01421,0.00040,0.00039,0.00706,0.00073,0.00574,0.02853
1403715281.711962699890137,0.01440,0.00039,0.00068,0.00565,0.00000,0.00518,0.02631
1403715281.762111186981201,0.01901,0.00032,0.00790,0.00514,0.01482,0.00559,0.05277
1403715281.812039375305176,0.01730,0.00039,0.00031,0.00693,0.00000,0.00659,0.03152
1403715281.862110853195190,0.01463,0.00039,0.00081,0.00592,0.00069,0.00566,0.02810
1403715281.912007331848145,0.01430,0.00035,0.00263,0.00625,0.01045,0.00567,0.03967
1403715281.962044239044189,0.01760,0.00041,0.00030,0.00797,0.00080,0.00525,0.03233
1403715282.012055635452271,0.01509,0.00040,0.00004,0.00872,0.00008,0.00536,0.02968
1403715282.062091112136841,0.01437,0.00037,0.00874,0.00826,0.00414,0.00645,0.04233
1403715282.112091064453125,0.01668,0.00038,0.00003,0.00891,0.00000,0.00556,0.03157
1403715282.162195920944214,0.01483,0.00035,0.00019,0.00826,0.00001,0.00560,0.02923
1403715282.212172746658325,0.01410,0.00041,0.00030,0.00806,0.00071,0.00539,0.02897
1403715282.262217760086060,0.01407,0.00036,0.00029,0.00869,0.00085,0.00622,0.03048
1403715282.312298536300659,0.01470,0.00036,0.01499,0.00878,0.00375,0.00628,0.04886
1403715282.362331390380859,0.01399,0.00040,0.00775,0.00967,0.00001,0.00576,0.03758
1403715282.412298917770386,0.01407,0.00038,0.00040,0.00837,0.00045,0.00545,0.02912
1403715282.462321519851685,0.01382,0.00039,0.00028,0.00801,0.00007,0.00587,0.02844
1403715282.512316942214966,0.01639,0.00036,0.00176,0.00755,0.00390,0.00520,0.03516
1403715282.562316894531250,0.01391,0.00040,0.00027,0.00771,0.00000,0.00578,0.02807
1403715282.612326145172119,0.01368,0.00037,0.00035,0.00677,0.00036,0.00540,0.02694
1403715282.662351131439209,0.01920,0.00032,0.00522,0.00623,0.00907,0.00704,0.04708
1403715282.712307453155518,0.01540,0.00034,0.00085,0.00730,0.00002,0.00550,0.02940
1403715282.762359619140625,0.01547,0.00035,0.00005,0.00678,0.00000,0.00578,0.02844
1403715282.812307596206665,0.01557,0.00032,0.00074,0.00528,0.00088,0.00573,0.02851
1403715282.862241029739380,0.01575,0.00034,0.00032,0.00356,0.00067,0.00508,0.02572
1403715282.912280082702637,0.01588,0.00038,0.01096,0.00395,0.01372,0.00572,0.05061
1403715282.962352514266968,0.01582,0.00042,0.00905,0.00566,0.00370,0.00642,0.04106
1403715283.012235164642334,0.01442,0.00036,0.00105,0.00792,0.00000,0.00552,0.02928
1403715283.062268018722534,0.01702,0.00040,0.00096,0.00785,0.00002,0.00549,0.03175
1403715283.112262010574341,0.01480,0.00038,0.00004,0.00787,0.00340,0.00558,0.03207
1403715283.162230491638184,0.01469,0.00039,0.00009,0.00838,0.00001,0.00565,0.02921
1403715283.212244272232056,0.01438,0.00035,0.02468,0.00891,0.00367,0.00611,0.05809
1403715283.262195348739624,0.01398,0.00035,0.00591,0.00797,0.00052,0.00557,0.03429
1403715283.312171459197998,0.01469,0.00036,0.00027,0.00839,0.00000,0.00557,0.02929
1403715283.362173080444336,0.01420,0.00040,0.00037,0.00827,0.00000,0.00545,0.02870
1403715283.412177801132202,0.01395,0.00038,0.00024,0.00814,0.00002,0.00551,0.02825
1403715283.462208509445190,0.01353,0.00039,0.00018,0.00773,0.00001,0.00567,0.02751
1403715283.512243509292603,0.01419,0.00038,0.00755,0.00628,0.00708,0.00531,0.04079
1403715283.562249660491943,0.01301,0.00037,0.00480,0.00690,0.00740,0.00528,0.03776
1403715283.612241268157959,0.01316,0.00040,0.00023,0.00825,0.00000,0.00550,0.02754
1403715283.662230014801025,0.01350,0.00042,0.00003,0.00798,0.00000,0.00569,0.02763
1403715283.712219476699829,0.01301,0.00040,0.00003,0.00811,0.00000,0.00545,0.02701
1403715283.762214899063110,0.01359,0.00039,0.00003,0.00800,0.00001,0.00555,0.02757
1403715283.812216520309448,0.01329,0.00037,0.01618,0.00777,0.00171,0.00694,0.04627
1403715283.862185716629028,0.01369,0.00038,0.00511,0.00812,0.00123,0.00541,0.03394
1403715283.912134408950806,0.01788,0.00038,0.00022,0.00862,0.00000,0.00558,0.03269
1403715283.962168216705322,0.01391,0.00037,0.00005,0.00834,0.00000,0.00567,0.02834
1403715284.012209177017212,0.01477,0.00040,0.00003,0.00907,0.00001,0.00572,0.02998
1403715284.062206983566284,0.01520,0.00035,0.00008,0.00833,0.00001,0.00581,0.02977
1403715284.112236499786377,0.01572,0.00039,0.00582,0.00824,0.00394,0.00605,0.04015
1403715284.162197113037109,0.01436,0.00040,0.00525,0.00864,0.00001,0.00567,0.03434
1403715284.212187051773071,0.01449,0.00040,0.00009,0.00861,0.00000,0.00572,0.02931
1403715284.262194871902466,0.01499,0.00038,0.00029,0.00802,0.00000,0.00570,0.02938
1403715284.312189579010010,0.01436,0.00038,0.00026,0.00828,0.00049,0.00573,0.02950
1403715284.362272024154663,0.01505,0.00034,0.00112,0.00772,0.00046,0.00556,0.03026
1403715284.412289619445801,0.01400,0.00037,0.01512,0.00820,0.00064,0.00751,0.04584
1403715284.462280273437500,0.01447,0.00039,0.01549,0.00851,0.00205,0.00712,0.04802
1403715284.512161016464233,0.01381,0.00036,0.00021,0.00832,0.00000,0.00557,0.02828
1403715284.562215089797974,0.01488,0.00038,0.00018,0.00867,0.00050,0.00572,0.03033
1403715284.612197637557983,0.01456,0.00039,0.00018,0.00805,0.00047,0.00574,0.02940
1403715284.662175178527832,0.01478,0.00036,0.00018,0.00744,0.00045,0.00580,0.02901
1403715284.712155103683472,0.01573,0.00038,0.00335,0.00733,0.00394,0.00542,0.03615
1403715284.762212038040161,0.01458,0.00040,0.00496,0.00726,0.00126,0.00535,0.03382
1403715284.812180042266846,0.01405,0.00042,0.00020,0.00817,0.00002,0.00570,0.02855
1403715284.862146377563477,0.01558,0.00041,0.00015,0.00796,0.00048,0.00726,0.03185
1403715284.912117481231689,0.01444,0.00041,0.00025,0.00802,0.00174,0.00569,0.03054
1403715284.962070226669312,0.01471,0.00040,0.00004,0.00861,0.00000,0.00582,0.02959
1403715285.012181282043457,0.01421,0.00041,0.01541,0.00831,0.00049,0.00723,0.04606
1403715285.062199115753174,0.01575,0.00040,0.01251,0.00854,0.00014,0.00611,0.04344
1403715285.112254142761230,0.01452,0.00037,0.00031,0.00812,0.00105,0.00568,0.03005
1403715285.162300109863281,0.01434,0.00040,0.00022,0.00771,0.00000,0.00567,0.02834
1403715285.212328195571899,0.01464,0.00039,0.00016,0.00741,0.00000,0.00561,0.02821
1403715285.262432575225830,0.01522,0.00037,0.00003,0.00740,0.00001,0.00566,0.02869
1403715285.312518358230591,0.01501,0.00039,0.00003,0.00733,0.00385,0.00567,0.03228
1403715285.362598657608032,0.01493,0.00040,0.00004,0.00784,0.00560,0.00567,0.03447
1403715285.412642240524292,0.01481,0.00039,0.00012,0.00915,0.00000,0.00565,0.03014
1403715285.462672948837280,0.01448,0.00039,0.00025,0.00873,0.00051,0.00569,0.03005
1403715285.512705802917480,0.01454,0.00041,0.00004,0.00923,0.00000,0.00569,0.02992
1403715285.562756061553955,0.01427,0.00041,0.00101,0.00843,0.00000,0.00559,0.02971
1403715285.612696409225464,0.01365,0.00040,0.01467,0.00903,0.00066,0.00560,0.04401
1403715285.662636041641235,0.01422,0.00037,0.01380,0.00803,0.00201,0.00584,0.04428
1403715285.712617158889771,0.01413,0.00038,0.00003,0.00794,0.00000,0.00549,0.02798
1403715285.762617111206055,0.01350,0.00038,0.00013,0.00800,0.00000,0.00566,0.02767
1403715285.812612533569336,0.01453,0.00037,0.00026,0.00763,0.00000,0.00560,0.02839
1403715285.862617015838623,0.01594,0.00041,0.00014,0.00732,0.00000,0.00588,0.02968
1403715285.912661314010620,0.01539,0.00040,0.00017,0.00719,0.00153,0.00611,0.03079
1403715285.962703227996826,0.01497,0.00035,0.00003,0.00724,0.00000,0.00582,0.02841
1403715286.012781858444214,0.01580,0.00035,0.00062,0.00535,0.00109,0.00597,0.02917
1403715286.062772274017334,0.01511,0.00041,0.00027,0.00319,0.00002,0.00601,0.02501
1403715286.112781763076782,0.01480,0.00037,0.00163,0.00170,0.00247,0.00537,0.02634
1403715286.162776231765747,0.01491,0.00033,0.00126,0.00170,0.00258,0.00600,0.02677
1403715286.212828397750854,0.01518,0.00037,0.01377,0.00272,0.01112,0.00716,0.05031
1403715286.262845277786255,0.01533,0.00038,0.01303,0.00456,0.00865,0.00691,0.04888
1403715286.312827110290527,0.01868,0.00039,0.00008,0.00749,0.00000,0.00590,0.03254
1403715286.362830638885498,0.01777,0.00064,0.00005,0.00721,0.00000,0.00573,0.03141
1403715286.412825345993042,0.01635,0.00037,0.00027,0.00712,0.00071,0.00598,0.03080
1403715286.462818861007690,0.02052,0.00039,0.00025,0.00750,0.00000,0.00599,0.03466
1403715286.512811660766602,0.01629,0.00038,0.00091,0.00705,0.00001,0.00585,0.03048
1403715286.562808990478516,0.01692,0.00034,0.00122,0.00693,0.00001,0.00591,0.03132
1403715286.612801790237427,0.01657,0.00036,0.00026,0.00659,0.00000,0.00587,0.02966
1403715286.662788152694702,0.01586,0.00038,0.00063,0.00581,0.00000,0.00599,0.02868
1403715286.712779283523560,0.01618,0.00033,0.00027,0.00520,0.00000,0.00602,0.02801
1403715286.762770175933838,0.01481,0.00032,0.00029,0.00427,0.00000,0.00654,0.02623
1403715286.812716722488403,0.01444,0.00032,0.00437,0.00382,0.02172,0.00580,0.05047
1403715286.862698793411255,0.01544,0.00039,0.00791,0.00604,0.01033,0.00652,0.04663
1403715286.912700176239014,0.01947,0.00037,0.00003,0.00817,0.00000,0.00584,0.03388
1403715286.962710857391357,0.01601,0.00036,0.00109,0.00805,0.00001,0.00605,0.03157
1403715287.012690305709839,0.01564,0.00036,0.01057,0.00735,0.00380,0.00596,0.04367
1403715287.062685728073120,0.01517,0.00037,0.00064,0.00741,0.00000,0.00578,0.02937
1403715287.112662315368652,0.01525,0.00044,0.00025,0.00741,0.00002,0.00648,0.02986
1403715287.162685155868530,0.01887,0.00050,0.00011,0.00728,0.00001,0.00583,0.03259
1403715287.212745904922485,0.01595,0.00037,0.00064,0.00652,0.00040,0.00591,0.02979
1403715287.262793302536011,0.01513,0.00038,0.00084,0.00652,0.00000,0.00584,0.02871
1403715287.312802553176880,0.01516,0.00034,0.00215,0.00689,0.00002,0.00606,0.03062
1403715287.362833261489868,0.01604,0.00035,0.00112,0.00567,0.00038,0.00624,0.02980
1403715287.412825822830200,0.01554,0.00033,0.00080,0.00616,0.00692,0.00557,0.03533
1403715287.462815046310425,0.01682,0.00037,0.01062,0.00626,0.00399,0.00582,0.04388
1403715287.512781858444214,0.01508,0.00038,0.00003,0.00681,0.00000,0.00578,0.02808
1403715287.562771558761597,0.01550,0.00038,0.00018,0.00634,0.00046,0.00588,0.02874
1403715287.612741947174072,0.01582,0.00039,0.00963,0.00575,0.00089,0.00596,0.03844
1403715287.662738800048828,0.01631,0.00034,0.00088,0.00601,0.00040,0.00528,0.02921
1403715287.712753534317017,0.01549,0.00035,0.00017,0.00629,0.00000,0.00579,0.02809
1403715287.762784004211426,0.01586,0.00038,0.00042,0.00520,0.00036,0.00577,0.02798
1403715287.812819004058838,0.01603,0.00033,0.00040,0.00448,0.00000,0.00571,0.02696
1403715287.862836360931396,0.01628,0.00035,0.00052,0.00435,0.00027,0.00574,0.02750
1403715287.912842273712158,0.01501,0.00032,0.00080,0.00430,0.00886,0.00702,0.03631
1403715287.962852954864502,0.01731,0.00032,0.00023,0.00485,0.00000,0.00597,0.02867
1403715288.012859821319580,0.01749,0.00033,0.00118,0.00431,0.00002,0.00579,0.02911
1403715288.062867403030396,0.01784,0.00032,0.00028,0.00389,0.01115,0.00574,0.03922
1403715288.112854242324829,0.01520,0.00034,0.00104,0.00473,0.00002,0.00573,0.02706
1403715288.162828922271729,0.01461,0.00033,0.00043,0.00440,0.00033,0.00565,0.02575
1403715288.212826967239380,0.01487,0.00031,0.00022,0.00478,0.01138,0.00587,0.03742
1403715288.262800216674805,0.01513,0.00037,0.00016,0.00538,0.00002,0.00573,0.02678
1403715288.312808513641357,0.01563,0.00036,0.00003,0.00459,0.00186,0.00590,0.02838
1403715288.362797498703003,0.01528,0.00035,0.00052,0.00394,0.00089,0.00562,0.02659
1403715288.412827968597412,0.01789,0.00036,0.00034,0.00347,0.00677,0.00613,0.03495
1403715288.462838649749756,0.01617,0.00035,0.00045,0.00377,0.00287,0.00593,0.02954
1403715288.512843370437622,0.01558,0.00035,0.00074,0.00504,0.01393,0.00528,0.04092
1403715288.562918901443481,0.01746,0.00038,0.00050,0.00785,0.00251,0.00551,0.03421
1403715288.612919807434082,0.01544,0.00039,0.00573,0.00879,0.00200,0.00614,0.03848
1403715288.662950277328491,0.01572,0.00038,0.00388,0.00898,0.00203,0.00593,0.03692
1403715288.712968349456787,0.01493,0.00039,0.00058,0.00970,0.00000,0.00591,0.03150
1403715288.762979745864868,0.01662,0.00035,0.00009,0.00932,0.00000,0.00582,0.03221
1403715288.813003301620483,0.01592,0.00039,0.00713,0.00907,0.00000,0.00590,0.03842
1403715288.863020420074463,0.01562,0.00039,0.00123,0.00951,0.00002,0.00590,0.03267
1403715288.913043737411499,0.01544,0.00040,0.00170,0.00864,0.00200,0.00607,0.03424
1403715288.963116407394409,0.01535,0.00040,0.00937,0.00923,0.00001,0.00591,0.04026
1403715289.013118982315063,0.01568,0.00039,0.00351,0.00851,0.00174,0.00604,0.03588
1403715289.063119649887085,0.01567,0.00040,0.00091,0.00920,0.00000,0.00601,0.03219
1403715289.113119125366211,0.01645,0.00042,0.00088,0.00925,0.00000,0.00579,0.03279
1403715289.163121223449707,0.01508,0.00041,0.00043,0.00888,0.00049,0.00545,0.03074
1403715289.213079452514648,0.01855,0.00044,0.00664,0.00988,0.00001,0.00626,0.04178
1403715289.263058423995972,0.01638,0.00040,0.00414,0.00952,0.00050,0.00599,0.03692
1403715289.313049077987671,0.01561,0.00036,0.00003,0.00912,0.00000,0.00565,0.03079
1403715289.363049030303955,0.01578,0.00040,0.00003,0.00819,0.00000,0.00571,0.03011
1403715289.413041591644287,0.01568,0.00042,0.00638,0.00798,0.00048,0.00589,0.03684
1403715289.463035345077515,0.01413,0.00042,0.00088,0.00820,0.00022,0.00573,0.02958
1403715289.513032436370850,0.01862,0.00038,0.00015,0.00781,0.00240,0.00610,0.03546
1403715289.563035011291504,0.01613,0.00038,0.00634,0.00774,0.00253,0.00586,0.03899
1403715289.613027572631836,0.01581,0.00038,0.00054,0.00681,0.00349,0.00611,0.03314
1403715289.663013935089111,0.01705,0.00037,0.00038,0.00640,0.00107,0.00580,0.03108
1403715289.713008642196655,0.01511,0.00036,0.00089,0.00649,0.00106,0.00554,0.02945
1403715289.763000249862671,0.01832,0.00035,0.00030,0.00622,0.00513,0.00589,0.03622
1403715289.813004732131958,0.01531,0.00035,0.00164,0.00679,0.01076,0.00589,0.04073
1403715289.863003969192505,0.01448,0.00036,0.00497,0.00881,0.00000,0.00599,0.03462
1403715289.912985086441040,0.01552,0.00041,0.00086,0.00891,0.00000,0.00599,0.03169
1403715289.962968587875366,0.01556,0.00037,0.00031,0.00859,0.00002,0.00576,0.03061
1403715290.012943267822266,0.01647,0.00043,0.00506,0.00828,0.00561,0.00575,0.04160
1403715290.062932252883911,0.01636,0.00040,0.00972,0.00906,0.00000,0.00585,0.04139
1403715290.112920522689819,0.01583,0.00039,0.00019,0.00894,0.00002,0.00602,0.03139
1403715290.162890195846558,0.01569,0.00041,0.00384,0.00890,0.00010,0.00597,0.03490
1403715290.212873220443726,0.01514,0.00040,0.00066,0.00889,0.00000,0.00583,0.03092
1403715290.262880086898804,0.01571,0.00039,0.00003,0.00891,0.00000,0.00583,0.03088
1403715290.312909364700317,0.01521,0.00040,0.00865,0.00869,0.00202,0.00601,0.04099
1403715290.362912178039551,0.01531,0.00039,0.00003,0.00910,0.00000,0.00585,0.03069
1403715290.412932872772217,0.01527,0.00037,0.00010,0.00903,0.00009,0.00573,0.03059
1403715290.462907314300537,0.01560,0.00041,0.00224,0.00907,0.00007,0.00575,0.03314
1403715290.512876510620117,0.01533,0.00040,0.00018,0.00880,0.00000,0.00572,0.03044
1403715290.562818527221680,0.01759,0.00039,0.00077,0.00857,0.00022,0.00588,0.03342
1403715290.612801790237427,0.01558,0.00039,0.00354,0.00800,0.00052,0.00603,0.03407
1403715290.662804603576660,0.01544,0.00039,0.00729,0.00827,0.00196,0.00609,0.03944
1403715290.712786912918091,0.01574,0.00038,0.00087,0.00846,0.00118,0.00607,0.03270
1403715290.762776374816895,0.01615,0.00068,0.00186,0.00830,0.00011,0.00574,0.03283
1403715290.812778234481812,0.01529,0.00038,0.00026,0.00804,0.00000,0.00584,0.02981
1403715290.862779617309570,0.01511,0.00035,0.00003,0.00794,0.00000,0.00585,0.02929
1403715290.912775993347168,0.01633,0.00040,0.00543,0.00745,0.00572,0.00597,0.04130
