# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863202810287476,0.00631,0.00018,0.00065,0.00000,0.00000,0.00430,0.01145
1403715278.912438154220581,0.00577,0.00020,0.00634,0.00000,0.01236,0.00423,0.02890
1403715278.962432146072388,0.00569,0.00028,0.00073,0.00324,0.00000,0.00415,0.01410
1403715279.011887073516846,0.00574,0.00029,0.00015,0.00322,0.00000,0.00431,0.01371
1403715279.061699390411377,0.00809,0.00030,0.00011,0.00320,0.00000,0.00419,0.01589
1403715279.111086130142212,0.00543,0.00027,0.00066,0.00328,0.00000,0.00428,0.01392
1403715279.160985231399536,0.00536,0.00031,0.00032,0.00322,0.00000,0.00424,0.01344
1403715279.211140871047974,0.00811,0.00028,0.00093,0.00325,0.00000,0.00456,0.01713
1403715279.261381626129150,0.00554,0.00025,0.00003,0.00333,0.00687,0.00454,0.02055
1403715279.310877799987793,0.00543,0.00031,0.00008,0.00467,0.00743,0.00549,0.02340
1403715279.359507083892822,0.01046,0.00044,0.00004,0.00622,0.00239,0.00508,0.02463
1403715279.408102035522461,0.00574,0.00034,0.00003,0.00529,0.01507,0.00491,0.03137
1403715279.457381010055542,0.00621,0.00036,0.00003,0.00765,0.00000,0.00561,0.01986
1403715279.506535530090332,0.00633,0.00063,0.02002,0.00789,0.00209,0.00456,0.04152
1403715279.556163549423218,0.00530,0.00039,0.00003,0.00802,0.00009,0.00449,0.01832
1403715279.605548143386841,0.00497,0.00041,0.00190,0.00860,0.00205,0.00466,0.02258
1403715279.655370235443115,0.00559,0.00041,0.00003,0.00911,0.00000,0.00497,0.02011
1403715279.705317497253418,0.00612,0.00051,0.00005,0.00951,0.00000,0.00475,0.02094
1403715279.755297660827637,0.00556,0.00036,0.00003,0.00905,0.00000,0.00463,0.01963
1403715279.805242538452148,0.00552,0.00034,0.00008,0.00859,0.00000,0.00463,0.01916
1403715279.855412244796753,0.00542,0.00038,0.00010,0.00850,0.00000,0.00464,0.01904
1403715279.905364513397217,0.00542,0.00041,0.00008,0.00854,0.00000,0.00457,0.01903
1403715279.955505132675171,0.00541,0.00038,0.00350,0.00832,0.00007,0.00475,0.02243
1403715280.005463361740112,0.00588,0.00036,0.00003,0.00852,0.00000,0.00504,0.01984
1403715280.055427789688110,0.00561,0.00038,0.00010,0.00839,0.00000,0.00461,0.01908
1403715280.105555772781372,0.00598,0.00039,0.01657,0.00822,0.00009,0.00451,0.03576
1403715280.157285213470459,0.00582,0.00061,0.00036,0.00900,0.00006,0.00456,0.02042
1403715280.209342479705811,0.00634,0.00039,0.00173,0.00723,0.00014,0.00444,0.02026
1403715280.260685443878174,0.00577,0.00038,0.00018,0.00577,0.00000,0.00443,0.01653
1403715280.311193943023682,0.00593,0.00040,0.00032,0.00576,0.00089,0.00451,0.01781
1403715280.361068487167358,0.00593,0.00034,0.00037,0.00658,0.00123,0.00487,0.01931
1403715280.410816669464111,0.00637,0.00038,0.00012,0.00743,0.00042,0.00460,0.01932
1403715280.460292577743530,0.00591,0.00038,0.00068,0.00737,0.00000,0.00461,0.01895
1403715280.510108709335327,0.00596,0.00038,0.00024,0.00573,0.00040,0.00459,0.01729
1403715280.559948205947876,0.00659,0.00037,0.00165,0.00458,0.00156,0.00568,0.02044
1403715280.610033750534058,0.00598,0.00037,0.00124,0.00365,0.00167,0.00474,0.01766
1403715280.659589767456055,0.00595,0.00038,0.00109,0.00528,0.00624,0.00464,0.02358
1403715280.709626436233521,0.00810,0.00039,0.01829,0.00779,0.00264,0.00500,0.04221
1403715280.759602546691895,0.00606,0.00037,0.00105,0.00775,0.00117,0.00454,0.02093
1403715280.809611320495605,0.00583,0.00038,0.00136,0.00729,0.00216,0.00449,0.02151
1403715280.859589576721191,0.00750,0.00037,0.00020,0.00816,0.00000,0.00462,0.02085
1403715280.909624814987183,0.00610,0.00034,0.00021,0.00735,0.00000,0.00465,0.01864
1403715280.959703683853149,0.00599,0.00038,0.00038,0.00679,0.00000,0.00457,0.01812
1403715281.009735345840454,0.00599,0.00036,0.00083,0.00630,0.00040,0.00454,0.01842
1403715281.059754133224487,0.00666,0.00036,0.00066,0.00669,0.00000,0.00464,0.01901
1403715281.109833240509033,0.00631,0.00035,0.00003,0.00644,0.00964,0.00475,0.02754
1403715281.159905672073364,0.00636,0.00038,0.00111,0.00733,0.00000,0.00453,0.01971
1403715281.210042715072632,0.00610,0.00036,0.00110,0.00727,0.00000,0.00471,0.01954
1403715281.260394096374512,0.00711,0.00034,0.00017,0.00681,0.00216,0.00484,0.02143
1403715281.310883760452271,0.00596,0.00037,0.00992,0.00649,0.01012,0.00486,0.03772
1403715281.360993862152100,0.00595,0.00039,0.00013,0.00834,0.00000,0.00454,0.01935
1403715281.411310434341431,0.00583,0.00037,0.00840,0.00778,0.00230,0.00460,0.02929
1403715281.461499691009521,0.00581,0.00036,0.00037,0.00686,0.00045,0.00447,0.01832
1403715281.511486530303955,0.00606,0.00039,0.00041,0.00591,0.00047,0.00444,0.01768
1403715281.561588764190674,0.00603,0.00039,0.00048,0.00565,0.00171,0.00448,0.01875
1403715281.611779689788818,0.00588,0.00039,0.00792,0.00674,0.00627,0.00500,0.03220
1403715281.661765813827515,0.00789,0.00037,0.00009,0.00915,0.00000,0.00467,0.02217
1403715281.711706876754761,0.00653,0.00038,0.00065,0.00689,0.00002,0.00485,0.01932
1403715281.761584520339966,0.00781,0.00038,0.00087,0.00645,0.00002,0.00501,0.02055
