# timestamp(s) tx ty tz qx qy qz qw
1403715278.86227 0.020268000 0.013840000 0.080747000 0.809395000 -0.008941000 0.587190000 0.002875000
1403715278.91162 0.053980000 0.015291000 0.087197000 0.811580000 -0.007925000 0.584184000 0.001781000
1403715278.96162 0.062561000 0.017511000 0.105245000 0.810984000 -0.007615000 0.585015000 0.002331000
1403715279.01214 0.069993000 0.019192000 0.118551000 0.810346000 -0.006753000 0.585904000 0.003085000
1403715279.06219 0.076617000 0.020430000 0.125946000 0.810117000 -0.006454000 0.586227000 0.002795000
1403715279.11220 0.082990000 0.021555000 0.129134000 0.809849000 -0.006272000 0.586599000 0.002702000
1403715279.16220 0.089727000 0.022819000 0.128516000 0.810078000 -0.005658000 0.586289000 0.002830000
1403715279.21231 0.096403000 0.024006000 0.125833000 0.810652000 -0.005303000 0.585496000 0.003166000
1403715279.26230 0.101944000 0.024777000 0.121695000 0.811151000 -0.004839000 0.584809000 0.002924000
1403715279.31230 0.107652000 0.026016000 0.117826000 0.811925000 -0.004749000 0.583736000 0.002662000
1403715279.36195 0.111566000 0.026731000 0.113381000 0.812571000 -0.005154000 0.582836000 0.002059000
1403715279.41216 0.114654000 0.026765000 0.111747000 0.812926000 -0.005478000 0.582341000 0.001054000
1403715279.46244 0.117694000 0.026472000 0.109794000 0.813787000 -0.005486000 0.581136000 0.000725000
1403715279.51254 0.120018000 0.026069000 0.107331000 0.814036000 -0.005410000 0.580790000 0.000435000
1403715279.56251 0.121906000 0.025151000 0.108164000 0.813887000 -0.004903000 0.581001000 0.000949000
1403715279.61253 0.121956000 0.023677000 0.110633000 0.814432000 -0.004633000 0.580240000 0.001254000
1403715279.66254 0.121370000 0.022082000 0.115707000 0.814826000 -0.004162000 0.579690000 0.001350000
1403715279.71261 0.120608000 0.020411000 0.121555000 0.814856000 -0.003995000 0.579648000 0.001416000
1403715279.76252 0.119792000 0.019064000 0.127648000 0.815147000 -0.003908000 0.579239000 0.001369000
1403715279.81256 0.119131000 0.017694000 0.134621000 0.815435000 -0.004140000 0.578832000 0.001123000
1403715279.86250 0.117955000 0.016261000 0.141354000 0.815857000 -0.003910000 0.578239000 0.001102000
1403715279.91249 0.116991000 0.014995000 0.148540000 0.816441000 -0.003801000 0.577416000 0.001284000
1403715279.96213 0.114279000 0.013683000 0.154371000 0.818402000 -0.003476000 0.574633000 0.001738000
1403715280.01209 0.113943000 0.013174000 0.163433000 0.821866000 -0.003589000 0.569667000 0.001727000
1403715280.06207 0.114953000 0.012811000 0.172253000 0.826166000 -0.003529000 0.563413000 0.001799000
1403715280.11199 0.115715000 0.011541000 0.180153000 0.830296000 -0.001600000 0.557301000 0.004616000
1403715280.16214 0.117755000 0.009973000 0.187524000 0.832468000 0.000308000 0.554029000 0.006961000
1403715280.21233 0.120940000 0.008470000 0.195244000 0.833237000 0.003355000 0.552796000 0.011053000
1403715280.26260 0.125115000 0.007500000 0.203121000 0.832791000 0.006047000 0.553355000 0.014854000
1403715280.31263 0.130640000 0.007500000 0.210493000 0.831854000 0.008210000 0.554651000 0.017709000
1403715280.36262 0.137413000 0.009014000 0.217937000 0.830244000 0.009678000 0.556948000 0.020259000
1403715280.41260 0.145038000 0.011339000 0.225234000 0.828541000 0.009881000 0.559368000 0.023010000
1403715280.46252 0.153239000 0.014477000 0.232552000 0.827734000 0.006512000 0.560614000 0.022932000
1403715280.51252 0.161355000 0.017795000 0.239819000 0.826359000 -0.000039000 0.562715000 0.021961000
1403715280.56241 0.169506000 0.021234000 0.246468000 0.825173000 -0.007613000 0.564399000 0.022011000
1403715280.61235 0.178257000 0.025520000 0.253246000 0.823808000 -0.016345000 0.566149000 0.023403000
1403715280.66244 0.186763000 0.028581000 0.260737000 0.822897000 -0.025148000 0.566977000 0.027306000
1403715280.71250 0.197635000 0.030071000 0.268237000 0.821622000 -0.035473000 0.568038000 0.031818000
1403715280.76252 0.207841000 0.032772000 0.274361000 0.820846000 -0.045986000 0.568052000 0.037597000
1403715280.81256 0.218293000 0.036039000 0.279609000 0.820162000 -0.056863000 0.567623000 0.043640000
1403715280.86257 0.228676000 0.040713000 0.284322000 0.818734000 -0.067503000 0.567951000 0.050490000
1403715280.91267 0.238349000 0.045472000 0.288183000 0.817478000 -0.077062000 0.567918000 0.057099000
1403715280.96265 0.247154000 0.050110000 0.291599000 0.816133000 -0.085201000 0.568090000 0.062781000
1403715281.01258 0.254962000 0.054100000 0.295037000 0.814822000 -0.092610000 0.568293000 0.067320000
1403715281.06253 0.262103000 0.057670000 0.298411000 0.813962000 -0.098355000 0.567962000 0.072185000
1403715281.11245 0.268838000 0.061379000 0.301294000 0.812781000 -0.103423000 0.568245000 0.076085000
1403715281.16239 0.278333000 0.062443000 0.306527000 0.811880000 -0.107744000 0.568334000 0.078992000
1403715281.21239 0.290376000 0.063147000 0.314090000 0.811642000 -0.111955000 0.567503000 0.081508000
1403715281.26244 0.300511000 0.064699000 0.318767000 0.810944000 -0.116622000 0.567184000 0.084099000
1403715281.31245 0.310638000 0.065849000 0.322113000 0.810605000 -0.121780000 0.566080000 0.087425000
1403715281.36239 0.320295000 0.068050000 0.324098000 0.810281000 -0.127400000 0.564691000 0.091312000
1403715281.41240 0.330799000 0.069963000 0.326085000 0.810154000 -0.133575000 0.562724000 0.095653000
1403715281.46240 0.339715000 0.072135000 0.326647000 0.808848000 -0.140208000 0.561951000 0.101571000
1403715281.51232 0.348314000 0.073094000 0.325745000 0.807414000 -0.147962000 0.560796000 0.108159000
1403715281.56227 0.357396000 0.074890000 0.324069000 0.806033000 -0.156550000 0.558962000 0.115606000
1403715281.61223 0.366757000 0.076959000 0.321134000 0.804126000 -0.166218000 0.557232000 0.123474000
1403715281.66221 0.377657000 0.078194000 0.318758000 0.802006000 -0.177319000 0.555098000 0.131191000
1403715281.71218 0.388151000 0.079151000 0.315847000 0.799619000 -0.188629000 0.552729000 0.139710000
1403715281.76218 0.399625000 0.080053000 0.313000000 0.797438000 -0.200704000 0.549451000 0.148035000
1403715281.81219 0.410754000 0.080587000 0.309745000 0.794701000 -0.213187000 0.546440000 0.156221000
1403715281.86222 0.422295000 0.081012000 0.306460000 0.791094000 -0.225800000 0.544158000 0.164550000
1403715281.91219 0.432058000 0.081853000 0.303949000 0.787905000 -0.238570000 0.540834000 0.172591000
1403715281.96218 0.443156000 0.082799000 0.300176000 0.783978000 -0.250872000 0.538361000 0.180582000
1403715282.01219 0.454307000 0.083630000 0.296710000 0.780271000 -0.263472000 0.535217000 0.187888000
1403715282.06222 0.466128000 0.084649000 0.292474000 0.776211000 -0.275349000 0.532500000 0.195253000
1403715282.11218 0.479943000 0.084682000 0.288431000 0.772252000 -0.285915000 0.529596000 0.203487000
1403715282.16222 0.494240000 0.085195000 0.282930000 0.768412000 -0.297010000 0.526427000 0.210243000
1403715282.21220 0.508655000 0.085174000 0.277177000 0.764034000 -0.306741000 0.523923000 0.218330000
1403715282.26220 0.524384000 0.085438000 0.270995000 0.760322000 -0.317418000 0.519921000 0.225474000
1403715282.31220 0.540004000 0.085995000 0.266550000 0.756329000 -0.327771000 0.516219000 0.232488000
1403715282.36220 0.555324000 0.086161000 0.262806000 0.751758000 -0.337796000 0.513052000 0.239856000
1403715282.41217 0.571205000 0.086544000 0.257954000 0.747978000 -0.346841000 0.508571000 0.248166000
1403715282.46220 0.587365000 0.086921000 0.251841000 0.743026000 -0.357057000 0.505440000 0.254860000
1403715282.51228 0.605165000 0.086632000 0.245204000 0.737819000 -0.366209000 0.502676000 0.262354000
1403715282.56228 0.621577000 0.086337000 0.238341000 0.732494000 -0.375625000 0.499727000 0.269502000
1403715282.61227 0.636519000 0.086292000 0.231662000 0.726433000 -0.383899000 0.498062000 0.277222000
1403715282.66233 0.653735000 0.086611000 0.225802000 0.720242000 -0.392911000 0.496483000 0.283508000
1403715282.71231 0.671695000 0.086102000 0.219731000 0.713687000 -0.402411000 0.495042000 0.289224000
1403715282.76232 0.688494000 0.086205000 0.212870000 0.707029000 -0.411656000 0.494038000 0.294238000
1403715282.81233 0.705058000 0.086360000 0.205696000 0.701080000 -0.421313000 0.491721000 0.298653000
1403715282.86232 0.721363000 0.086379000 0.199774000 0.695317000 -0.429831000 0.489032000 0.304348000
1403715282.91232 0.739386000 0.086184000 0.193645000 0.689155000 -0.437744000 0.486560000 0.310975000
1403715282.96227 0.758326000 0.085657000 0.186685000 0.683203000 -0.446360000 0.483487000 0.316603000
1403715283.01229 0.777909000 0.085166000 0.179210000 0.676862000 -0.454835000 0.480775000 0.322240000
1403715283.06229 0.796719000 0.084803000 0.171661000 0.670213000 -0.463757000 0.478160000 0.327271000
1403715283.11227 0.815393000 0.084809000 0.163722000 0.663573000 -0.472783000 0.475600000 0.331590000
1403715283.16229 0.833712000 0.085022000 0.155828000 0.656511000 -0.481677000 0.473711000 0.335528000
1403715283.21233 0.852587000 0.083111000 0.148145000 0.649678000 -0.490253000 0.471698000 0.339223000
1403715283.26232 0.869406000 0.083999000 0.140986000 0.643048000 -0.498123000 0.469012000 0.344078000
1403715283.31232 0.885952000 0.084925000 0.133686000 0.636384000 -0.506268000 0.466385000 0.348128000
1403715283.36230 0.901677000 0.085713000 0.126918000 0.629964000 -0.513148000 0.463567000 0.353455000
1403715283.41225 0.916456000 0.085928000 0.119759000 0.624854000 -0.520742000 0.459095000 0.357235000
1403715283.46217 0.930454000 0.085617000 0.112566000 0.620268000 -0.528219000 0.454179000 0.360517000
1403715283.51208 0.943935000 0.083934000 0.106001000 0.616560000 -0.534765000 0.448147000 0.364754000
1403715283.56206 0.956477000 0.081887000 0.099530000 0.613200000 -0.540774000 0.441872000 0.369185000
1403715283.61202 0.968239000 0.079350000 0.093284000 0.610350000 -0.546530000 0.435776000 0.372663000
1403715283.66209 0.979541000 0.076852000 0.087533000 0.608101000 -0.550971000 0.430838000 0.375529000
1403715283.71225 0.991205000 0.074194000 0.082740000 0.605821000 -0.554395000 0.427299000 0.378210000
1403715283.76245 1.003189000 0.073088000 0.078287000 0.603646000 -0.557214000 0.425149000 0.379963000
1403715283.81262 1.015569000 0.072388000 0.074486000 0.600837000 -0.559409000 0.424881000 0.381487000
1403715283.86263 1.028998000 0.073711000 0.070100000 0.598982000 -0.560411000 0.424106000 0.383790000
1403715283.91269 1.042348000 0.075380000 0.065921000 0.596744000 -0.561372000 0.425019000 0.384860000
1403715283.96265 1.056431000 0.077189000 0.061938000 0.595440000 -0.562255000 0.424995000 0.385616000
1403715284.01258 1.069126000 0.077597000 0.057035000 0.595530000 -0.563785000 0.423942000 0.384401000
1403715284.06252 1.081569000 0.076376000 0.052300000 0.596309000 -0.564933000 0.422633000 0.382946000
1403715284.11254 1.096897000 0.073562000 0.047734000 0.596956000 -0.566199000 0.422103000 0.380647000
1403715284.16253 1.110245000 0.070005000 0.042779000 0.597444000 -0.567249000 0.422339000 0.378048000
1403715284.21250 1.123681000 0.065078000 0.037772000 0.597096000 -0.568833000 0.424063000 0.374267000
1403715284.26251 1.135458000 0.060388000 0.032826000 0.596755000 -0.570131000 0.425959000 0.370665000
1403715284.31246 1.148530000 0.052874000 0.027278000 0.595876000 -0.571147000 0.428829000 0.367190000
1403715284.36244 1.158753000 0.045832000 0.021968000 0.595390000 -0.571308000 0.431193000 0.364954000
1403715284.41236 1.167558000 0.038428000 0.016994000 0.596614000 -0.569242000 0.431044000 0.366355000
1403715284.46236 1.176693000 0.029666000 0.012721000 0.598501000 -0.566462000 0.430484000 0.368240000
1403715284.51219 1.186554000 0.017694000 0.009373000 0.601206000 -0.562852000 0.428913000 0.371190000
