# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.862534284591675,0,6,0,0,5
1403715278.911962032318115,32,34,0,32,6
1403715278.961973667144775,31,4,31,0,7
1403715279.011769771575928,29,0,29,0,8
1403715279.061666488647461,29,0,29,0,9
1403715279.111395359039307,29,1,29,0,10
1403715279.161319732666016,28,1,28,0,11
1403715279.211509943008423,28,1,28,0,11
1403715279.261564731597900,33,0,28,5,11
1403715279.311516284942627,37,0,33,4,11
1403715279.361199617385864,38,0,37,1,11
1403715279.411130428314209,47,0,38,9,11
1403715279.461102247238159,47,0,47,0,11
1403715279.511015415191650,48,22,47,1,11
1403715279.561148643493652,48,0,48,0,11
1403715279.611179113388062,49,1,48,1,11
1403715279.661144495010376,49,0,49,0,11
1403715279.711180210113525,49,0,49,0,11
1403715279.761196374893188,49,0,49,0,11
1403715279.811190843582153,49,0,49,0,11
1403715279.861087799072266,49,0,49,0,11
1403715279.911030054092407,49,0,49,0,11
1403715279.961065530776978,49,2,49,0,11
1403715280.011171579360962,49,0,49,0,11
1403715280.061223030090332,49,0,49,0,11
1403715280.111517906188965,48,19,48,0,11
1403715280.162104129791260,48,0,48,0,11
1403715280.212597370147705,49,0,48,1,11
1403715280.263265132904053,48,0,48,0,11
1403715280.313355207443237,47,0,47,0,11
1403715280.363320827484131,47,0,46,0,11
1403715280.413220405578613,47,0,46,0,11
1403715280.463078260421753,47,1,46,1,11
1403715280.513051509857178,46,0,46,0,11
1403715280.562929868698120,47,2,45,1,11
1403715280.612977981567383,49,2,45,3,11
1403715280.662959575653076,47,1,47,0,11
1403715280.713075160980225,49,22,47,2,11
1403715280.763082742691040,50,1,48,1,11
1403715280.813118219375610,47,2,47,0,11
1403715280.863172769546509,47,1,46,0,11
1403715280.913211584091187,47,2,45,0,11
1403715280.963204145431519,45,1,42,2,11
1403715281.013175249099731,42,0,41,1,11
1403715281.063154458999634,42,0,42,0,11
1403715281.113137245178223,42,0,42,0,11
1403715281.163132905960083,43,0,40,3,11
1403715281.213149547576904,43,1,43,0,11
1403715281.263201236724854,42,0,42,0,11
1403715281.313280820846558,48,13,41,7,11
1403715281.363269329071045,47,1,47,0,11
1403715281.413296937942505,47,0,47,0,11
1403715281.463352918624878,50,12,47,3,11
1403715281.513318300247192,50,0,50,0,11
1403715281.563310623168945,50,0,45,0,11
1403715281.613282203674316,50,0,45,0,11
1403715281.663283109664917,49,0,44,4,11
1403715281.713268756866455,42,0,39,0,11
1403715281.763153791427612,46,9,37,7,11
1403715281.813163280487061,45,0,40,0,11
1403715281.863126039505005,42,2,37,0,11
1403715281.913137435913086,47,3,37,9,11
1403715281.963086843490601,47,0,44,1,11
1403715282.013097047805786,47,0,45,0,11
1403715282.062939167022705,50,8,44,5,11
1403715282.112950325012207,50,0,49,0,11
