# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861014366149902,0.00671,0.00017,0.00062,0.00000,0.00000,0.00426,0.01176
1403715278.911726713180542,0.00606,0.00018,0.00617,0.00000,0.01228,0.00422,0.02891
1403715278.961655139923096,0.00643,0.00029,0.00137,0.00321,0.00000,0.00408,0.01538
1403715279.011307477951050,0.00587,0.00029,0.00014,0.00321,0.00000,0.00419,0.01369
1403715279.061200141906738,0.00674,0.00028,0.00002,0.00329,0.00000,0.00429,0.01462
1403715279.110963582992554,0.00602,0.00032,0.00007,0.00333,0.00000,0.00420,0.01393
1403715279.161018610000610,0.00592,0.00031,0.00073,0.00324,0.00000,0.00430,0.01450
1403715279.211201906204224,0.00599,0.00030,0.00041,0.00330,0.00000,0.00450,0.01450
1403715279.261170387268066,0.00577,0.00031,0.00003,0.00339,0.00294,0.00443,0.01686
1403715279.311238050460815,0.00560,0.00032,0.00008,0.00366,0.00577,0.00472,0.02017
1403715279.361512899398804,0.00586,0.00032,0.00003,0.00446,0.00185,0.00448,0.01699
1403715279.411678075790405,0.00618,0.00033,0.00003,0.00464,0.01398,0.00442,0.02958
1403715279.461799621582031,0.00594,0.00036,0.00003,0.00674,0.00000,0.00484,0.01790
1403715279.511910915374756,0.00643,0.00040,0.02266,0.00820,0.00689,0.00529,0.04987
1403715279.561802864074707,0.00651,0.00043,0.00006,0.00958,0.00016,0.00524,0.02198
1403715279.611803770065308,0.00629,0.00043,0.00210,0.00947,0.00243,0.00522,0.02595
1403715279.661794424057007,0.00596,0.00039,0.00003,0.00820,0.00000,0.00445,0.01903
1403715279.711838006973267,0.00587,0.00039,0.00003,0.00822,0.00000,0.00456,0.01907
1403715279.761813640594482,0.00586,0.00039,0.00003,0.00818,0.00000,0.00434,0.01880
1403715279.811846971511841,0.00579,0.00039,0.00003,0.00812,0.00000,0.00458,0.01892
1403715279.861810207366943,0.00580,0.00039,0.00009,0.00813,0.00006,0.00463,0.01911
1403715279.911804437637329,0.00572,0.00040,0.00008,0.00822,0.00000,0.00440,0.01882
1403715279.961777925491333,0.00578,0.00040,0.00329,0.00797,0.00010,0.00466,0.02221
1403715280.011743783950806,0.00585,0.00041,0.00003,0.00810,0.00000,0.00492,0.01931
1403715280.061732292175293,0.00592,0.00054,0.00010,0.00804,0.00000,0.00464,0.01925
1403715280.111793279647827,0.00633,0.00037,0.01705,0.00803,0.00015,0.00437,0.03630
1403715280.161953449249268,0.00602,0.00038,0.00024,0.00785,0.00118,0.00434,0.02002
1403715280.212192296981812,0.00588,0.00038,0.00171,0.00788,0.00013,0.00441,0.02039
1403715280.262599945068359,0.00596,0.00041,0.00013,0.00778,0.00000,0.00434,0.01862
1403715280.312654972076416,0.00589,0.00040,0.00003,0.00785,0.00000,0.00448,0.01864
1403715280.362646818161011,0.00592,0.00042,0.00003,0.00785,0.00000,0.00452,0.01873
1403715280.412586450576782,0.00646,0.00040,0.00003,0.00758,0.00000,0.00452,0.01898
1403715280.462433099746704,0.00625,0.00040,0.00110,0.00740,0.00006,0.00453,0.01974
1403715280.512360095977783,0.00614,0.00038,0.00025,0.00718,0.00041,0.00466,0.01903
1403715280.562230110168457,0.00677,0.00036,0.00069,0.00721,0.00138,0.00500,0.02140
1403715280.612200975418091,0.00632,0.00040,0.00016,0.00719,0.00000,0.00464,0.01872
1403715280.662066459655762,0.00629,0.00037,0.00075,0.00665,0.00551,0.00426,0.02384
1403715280.712049484252930,0.00723,0.00035,0.01887,0.00720,0.00010,0.00461,0.03836
1403715280.762049436569214,0.00628,0.00039,0.00131,0.00676,0.00209,0.00457,0.02140
1403715280.812068939208984,0.00766,0.00034,0.00030,0.00643,0.00271,0.00457,0.02201
1403715280.862106323242188,0.00668,0.00039,0.00014,0.00684,0.00000,0.00443,0.01847
1403715280.912171840667725,0.00649,0.00038,0.00028,0.00669,0.00000,0.00456,0.01841
1403715280.962200880050659,0.00619,0.00041,0.00079,0.00628,0.00000,0.00455,0.01823
1403715281.012212038040161,0.00627,0.00037,0.00022,0.00575,0.00035,0.00458,0.01753
