# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863263130187988,0,6,0,0,5
1403715278.908662557601929,32,34,0,32,6
1403715278.958863258361816,31,4,31,0,7
1403715279.008838176727295,29,0,29,0,8
1403715279.058231592178345,29,0,29,0,9
1403715279.107616186141968,29,1,29,0,10
1403715279.157597303390503,28,1,28,0,11
1403715279.207455635070801,28,1,28,0,11
1403715279.257772922515869,33,0,28,5,11
1403715279.307451248168945,37,0,33,4,11
1403715279.356924533843994,38,0,37,1,11
1403715279.406432867050171,47,0,38,9,11
1403715279.456240415573120,47,0,47,0,11
1403715279.505964994430542,48,24,47,1,11
1403715279.556073188781738,48,0,48,0,11
1403715279.605900526046753,49,1,48,1,11
1403715279.655745744705200,49,0,49,0,11
1403715279.705733060836792,49,0,49,0,11
1403715279.755754709243774,49,0,49,0,11
1403715279.805648803710938,49,0,49,0,11
1403715279.855816602706909,49,0,49,0,11
1403715279.905904054641724,49,0,49,0,11
1403715279.956012964248657,49,2,49,0,11
1403715280.006417512893677,49,0,49,0,11
1403715280.056567430496216,49,0,49,0,11
1403715280.106749296188354,48,19,48,0,11
1403715280.157667875289917,48,0,48,0,11
1403715280.208701610565186,49,0,48,1,11
1403715280.259573221206665,48,0,48,0,11
1403715280.309780359268188,47,0,47,0,11
1403715280.359823942184448,47,0,47,0,11
1403715280.409717082977295,47,0,47,0,11
1403715280.459491968154907,47,1,47,0,11
1403715280.509303808212280,46,0,46,0,11
1403715280.559118986129761,47,2,46,1,11
1403715280.609140634536743,49,2,46,3,11
1403715280.659150362014771,48,1,46,0,11
1403715280.709245443344116,49,23,46,1,11
1403715280.759228944778442,49,3,46,2,11
1403715280.809255123138428,46,1,46,0,11
1403715280.859319925308228,46,1,45,0,11
1403715280.909502267837524,46,2,44,0,11
1403715280.959746122360229,44,0,41,2,11
1403715281.009820222854614,41,0,40,1,11
1403715281.059901237487793,41,0,37,0,11
1403715281.110044956207275,41,0,37,0,11
1403715281.160125970840454,42,0,36,6,11
