# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863057374954224,0.00659,0.00018,0.00063,0.00000,0.00000,0.00418,0.01159
1403715278.912358999252319,0.00599,0.00019,0.00578,0.00001,0.01284,0.00425,0.02906
1403715278.962234973907471,0.00598,0.00028,0.00077,0.00324,0.00000,0.00409,0.01436
1403715279.011273622512817,0.00580,0.00028,0.00015,0.00321,0.00000,0.00429,0.01373
1403715279.060993194580078,0.00801,0.00027,0.00011,0.00320,0.00000,0.00421,0.01580
1403715279.110463619232178,0.00560,0.00029,0.00063,0.00331,0.00000,0.00430,0.01414
1403715279.160384178161621,0.00567,0.00031,0.00035,0.00329,0.00000,0.00416,0.01379
1403715279.210582017898560,0.00599,0.00030,0.00091,0.00330,0.00000,0.00452,0.01502
1403715279.260622501373291,0.00566,0.00028,0.00003,0.00357,0.00866,0.00472,0.02292
1403715279.310626745223999,0.00631,0.00033,0.00009,0.00436,0.00679,0.00482,0.02270
1403715279.360431194305420,0.00551,0.00033,0.00003,0.00497,0.00189,0.00471,0.01744
1403715279.410021781921387,0.00590,0.00036,0.00004,0.00524,0.01488,0.00505,0.03147
1403715279.459686756134033,0.00561,0.00038,0.00003,0.00762,0.00001,0.00554,0.01919
1403715279.509336233139038,0.00554,0.00038,0.01922,0.00770,0.00208,0.00456,0.03948
1403715279.559054613113403,0.00556,0.00037,0.00003,0.00808,0.00010,0.00456,0.01870
1403715279.608772039413452,0.00673,0.00038,0.00177,0.00803,0.00205,0.00453,0.02349
1403715279.658380985260010,0.00538,0.00039,0.00003,0.00853,0.00001,0.00454,0.01887
1403715279.708396911621094,0.00561,0.00039,0.00003,0.00840,0.00001,0.00447,0.01890
1403715279.758402824401855,0.00551,0.00038,0.00003,0.00849,0.00001,0.00441,0.01883
1403715279.808265447616577,0.00557,0.00036,0.00008,0.00843,0.00001,0.00468,0.01913
1403715279.858453035354614,0.00572,0.00041,0.00010,0.00854,0.00001,0.00452,0.01931
1403715279.908550262451172,0.00569,0.00038,0.00008,0.00872,0.00001,0.00442,0.01931
1403715279.958769559860229,0.00568,0.00040,0.00337,0.00822,0.00007,0.00463,0.02238
1403715280.009020328521729,0.00577,0.00040,0.00003,0.00836,0.00001,0.00546,0.02003
1403715280.059024095535278,0.00618,0.00037,0.00010,0.00824,0.00001,0.00455,0.01945
1403715280.109314203262329,0.00634,0.00035,0.01642,0.00812,0.00012,0.00504,0.03640
1403715280.159940242767334,0.00683,0.00038,0.00027,0.00822,0.00007,0.00458,0.02035
1403715280.210597753524780,0.00598,0.00039,0.00167,0.00796,0.00013,0.00473,0.02086
1403715280.261270523071289,0.00600,0.00037,0.00018,0.00772,0.00001,0.00447,0.01873
1403715280.311420202255249,0.00616,0.00040,0.00003,0.00774,0.00001,0.00468,0.01902
1403715280.361437082290649,0.00602,0.00035,0.00003,0.00773,0.00001,0.00447,0.01861
1403715280.411360979080200,0.00661,0.00039,0.00003,0.00775,0.00001,0.00478,0.01956
1403715280.461191892623901,0.00595,0.00036,0.00069,0.00762,0.00000,0.00449,0.01912
1403715280.511129140853882,0.00610,0.00037,0.00017,0.00751,0.00001,0.00534,0.01951
1403715280.560935497283936,0.00661,0.00037,0.00146,0.00734,0.00169,0.00565,0.02313
1403715280.610935926437378,0.00620,0.00036,0.00076,0.00748,0.00001,0.00490,0.01971
1403715280.660891056060791,0.00597,0.00037,0.00069,0.00682,0.00557,0.00442,0.02383
1403715280.711000204086304,0.00853,0.00040,0.01893,0.00826,0.00007,0.00521,0.04141
1403715280.760997056961060,0.00609,0.00039,0.00115,0.00742,0.00048,0.00457,0.02010
1403715280.811025619506836,0.00610,0.00038,0.00050,0.00716,0.00289,0.00469,0.02172
1403715280.861059665679932,0.00775,0.00036,0.00009,0.00735,0.00001,0.00456,0.02011
1403715280.911144495010376,0.00640,0.00037,0.00021,0.00748,0.00001,0.00471,0.01918
1403715280.961198091506958,0.00609,0.00038,0.00080,0.00657,0.00001,0.00462,0.01847
1403715281.011224508285522,0.00609,0.00036,0.00067,0.00620,0.00040,0.00472,0.01845
1403715281.061250209808350,0.00678,0.00036,0.00065,0.00648,0.00001,0.00471,0.01899
1403715281.111285448074341,0.00620,0.00038,0.00004,0.00644,0.00968,0.00515,0.02789
1403715281.161307334899902,0.00609,0.00038,0.00129,0.00740,0.00001,0.00455,0.01971
1403715281.211342573165894,0.00600,0.00036,0.00105,0.00732,0.00001,0.00486,0.01960
1403715281.261470317840576,0.00700,0.00035,0.00029,0.00681,0.00220,0.00462,0.02127
1403715281.311590671539307,0.00586,0.00038,0.01078,0.00693,0.00850,0.00468,0.03713
1403715281.361612319946289,0.00804,0.00046,0.00023,0.00857,0.00008,0.00488,0.02227
1403715281.411641836166382,0.00679,0.00039,0.00866,0.00926,0.00227,0.00536,0.03272
1403715281.461762666702271,0.00550,0.00035,0.00003,0.00861,0.00001,0.00461,0.01911
1403715281.511746168136597,0.00583,0.00036,0.00003,0.00823,0.00001,0.00466,0.01911
1403715281.561761617660522,0.00585,0.00038,0.00017,0.00795,0.00001,0.00445,0.01882
1403715281.611804008483887,0.00580,0.00041,0.00858,0.00693,0.00380,0.00447,0.02999
1403715281.661784887313843,0.00587,0.00038,0.00019,0.00659,0.00044,0.00536,0.01883
1403715281.711740255355835,0.00777,0.00037,0.00059,0.00543,0.00039,0.00478,0.01933
1403715281.761666297912598,0.00638,0.00036,0.00040,0.00536,0.00036,0.00455,0.01740
1403715281.811714649200439,0.00800,0.00033,0.00014,0.00486,0.00001,0.00453,0.01787
1403715281.861696004867554,0.00603,0.00033,0.00112,0.00442,0.00034,0.00464,0.01688
