# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863651275634766,0.01731,0.00017,0.00063,0.00000,0.00000,0.00537,0.02349
1403715278.909353971481323,0.01506,0.00019,0.00571,0.00000,0.01284,0.00536,0.03916
1403715278.959130525588989,0.01630,0.00026,0.00072,0.00325,0.00000,0.00566,0.02619
1403715279.008821964263916,0.01590,0.00026,0.00019,0.00318,0.00000,0.00549,0.02503
1403715279.058476209640503,0.01905,0.00027,0.00011,0.00319,0.00000,0.00559,0.02821
1403715279.108081579208374,0.01528,0.00030,0.00065,0.00327,0.00000,0.00538,0.02487
1403715279.158091306686401,0.01506,0.00030,0.00037,0.00321,0.00000,0.00556,0.02451
1403715279.207987070083618,0.01477,0.00028,0.00091,0.00329,0.00000,0.00570,0.02495
1403715279.258205175399780,0.01517,0.00025,0.00003,0.00335,0.00703,0.00594,0.03178
1403715279.307686090469360,0.01536,0.00033,0.00008,0.00417,0.00614,0.00550,0.03158
1403715279.356725931167603,0.01536,0.00033,0.00003,0.00496,0.00189,0.00586,0.02843
1403715279.405729532241821,0.01514,0.00032,0.00003,0.00641,0.01505,0.00590,0.04286
1403715279.455378770828247,0.01455,0.00041,0.00003,0.00875,0.00001,0.00621,0.02996
1403715279.504816293716431,0.01442,0.00041,0.01999,0.00740,0.00205,0.00688,0.05113
1403715279.554520368576050,0.01417,0.00038,0.00003,0.00914,0.00010,0.00573,0.02956
1403715279.604035377502441,0.01367,0.00038,0.00223,0.00925,0.00206,0.00550,0.03309
1403715279.653861999511719,0.01415,0.00039,0.00003,0.00987,0.00001,0.00601,0.03046
1403715279.703512191772461,0.01403,0.00043,0.00003,0.00965,0.00000,0.00574,0.02990
1403715279.753692150115967,0.01398,0.00042,0.00003,0.00961,0.00000,0.00579,0.02983
1403715279.803516149520874,0.01407,0.00034,0.00010,0.00974,0.00000,0.00577,0.03003
1403715279.853928089141846,0.01387,0.00039,0.00011,0.00943,0.00000,0.00580,0.02959
1403715279.903939485549927,0.01408,0.00043,0.00009,0.00920,0.00000,0.00593,0.02974
1403715279.954998254776001,0.01403,0.00038,0.00501,0.00787,0.00049,0.00620,0.03398
1403715280.006116151809692,0.01414,0.00041,0.00003,0.00971,0.00000,0.00631,0.03061
1403715280.056578636169434,0.01411,0.00038,0.00010,0.00940,0.00001,0.00570,0.02970
1403715280.106703996658325,0.01544,0.00038,0.01851,0.00805,0.00009,0.00596,0.04843
1403715280.159128189086914,0.01497,0.00040,0.00028,0.01041,0.00007,0.00579,0.03191
1403715280.211362123489380,0.01554,0.00043,0.00173,0.00835,0.00016,0.00608,0.03229
1403715280.263488292694092,0.01734,0.00049,0.00028,0.00658,0.00000,0.00704,0.03174
1403715280.314069271087646,0.01373,0.00039,0.00003,0.00528,0.00000,0.00572,0.02514
1403715280.363894939422607,0.01396,0.00036,0.00067,0.00488,0.00218,0.00542,0.02747
1403715280.413290977478027,0.01518,0.00037,0.00013,0.00707,0.00042,0.00584,0.02902
1403715280.462725877761841,0.01360,0.00042,0.00092,0.00535,0.00043,0.00547,0.02619
1403715280.512880802154541,0.01391,0.00040,0.00024,0.00302,0.00037,0.00609,0.02403
1403715280.562819004058838,0.01512,0.00038,0.00226,0.00280,0.00320,0.00664,0.03040
1403715280.612863779067993,0.01433,0.00039,0.00209,0.00305,0.00348,0.00565,0.02897
1403715280.662137985229492,0.01379,0.00040,0.00062,0.00635,0.00404,0.00529,0.03049
1403715280.711640357971191,0.01661,0.00038,0.01782,0.00735,0.00345,0.00539,0.05100
1403715280.761624336242676,0.01527,0.00037,0.00092,0.00742,0.00118,0.00564,0.03079
1403715280.811642169952393,0.01452,0.00038,0.00282,0.00717,0.00008,0.00570,0.03067
1403715280.861661195755005,0.01803,0.00036,0.00075,0.00690,0.00002,0.00544,0.03149
1403715280.911653280258179,0.01504,0.00036,0.00025,0.00662,0.00000,0.00608,0.02835
1403715280.961609601974487,0.01462,0.00036,0.00076,0.00623,0.00000,0.00536,0.02733
1403715281.011550426483154,0.01435,0.00037,0.00055,0.00586,0.00000,0.00563,0.02676
1403715281.061527967453003,0.01314,0.00034,0.00062,0.00561,0.00000,0.00523,0.02494
1403715281.111503124237061,0.01390,0.00037,0.00003,0.00551,0.00960,0.00606,0.03547
1403715281.161517381668091,0.01657,0.00033,0.00111,0.00614,0.00040,0.00576,0.03031
1403715281.211528539657593,0.01415,0.00035,0.00100,0.00631,0.00006,0.00555,0.02742
1403715281.261764526367188,0.01646,0.00036,0.00015,0.00625,0.00180,0.00537,0.03038
1403715281.312097787857056,0.01388,0.00036,0.00930,0.00600,0.01356,0.00545,0.04856
1403715281.361982822418213,0.01451,0.00041,0.00017,0.00828,0.00001,0.00547,0.02885
1403715281.412187814712524,0.01413,0.00035,0.01027,0.00800,0.00483,0.00530,0.04289
1403715281.462270498275757,0.01400,0.00041,0.00068,0.00915,0.00000,0.00553,0.02978
1403715281.512137889862061,0.01405,0.00042,0.00009,0.00896,0.00000,0.00564,0.02917
1403715281.562157154083252,0.01455,0.00040,0.00003,0.00890,0.00001,0.00550,0.02938
1403715281.612143516540527,0.01423,0.00043,0.00036,0.00809,0.00045,0.00573,0.02928
1403715281.662122249603271,0.01407,0.00039,0.00028,0.00818,0.00001,0.00642,0.02935
1403715281.712029695510864,0.01767,0.00035,0.00826,0.00570,0.00334,0.00742,0.04274
1403715281.761924266815186,0.01504,0.00035,0.00057,0.00618,0.00043,0.00552,0.02808
1403715281.811951160430908,0.01675,0.00035,0.00017,0.00574,0.00007,0.00563,0.02871
1403715281.861920833587646,0.01402,0.00034,0.00126,0.00539,0.00002,0.00560,0.02664
1403715281.911939382553101,0.01431,0.00034,0.00020,0.00544,0.01260,0.00584,0.03872
1403715281.961930274963379,0.01696,0.00038,0.00003,0.00786,0.00001,0.00548,0.03071
1403715282.011932373046875,0.01397,0.00039,0.00761,0.00753,0.00227,0.00573,0.03750
1403715282.061999082565308,0.01407,0.00043,0.00021,0.00802,0.00045,0.00534,0.02851
1403715282.112003087997437,0.01353,0.00041,0.00003,0.00782,0.00000,0.00582,0.02762
1403715282.162043809890747,0.01412,0.00043,0.00003,0.00760,0.00001,0.00530,0.02748
1403715282.212069272994995,0.01424,0.00039,0.00031,0.00745,0.00070,0.00693,0.03000
1403715282.262180805206299,0.01435,0.00039,0.01640,0.00871,0.00887,0.00584,0.05456
1403715282.312145233154297,0.01458,0.00044,0.00796,0.00953,0.00001,0.00580,0.03832
1403715282.362132072448730,0.01566,0.00036,0.00009,0.00900,0.00000,0.00542,0.03053
1403715282.412081956863403,0.01379,0.00036,0.00102,0.00763,0.00006,0.00566,0.02853
1403715282.461976289749146,0.01386,0.00039,0.00044,0.00737,0.00044,0.00571,0.02821
1403715282.511924266815186,0.01876,0.00035,0.00020,0.00732,0.00205,0.00587,0.03454
1403715282.562012434005737,0.01541,0.00032,0.00055,0.00600,0.00042,0.00555,0.02826
1403715282.612064123153687,0.01475,0.00037,0.00440,0.00563,0.00714,0.00544,0.03772
1403715282.662199020385742,0.01486,0.00034,0.00122,0.00590,0.00135,0.00573,0.02940
1403715282.712065696716309,0.01479,0.00037,0.00153,0.00518,0.00000,0.00583,0.02770
1403715282.762080907821655,0.01464,0.00037,0.00087,0.00270,0.00108,0.00575,0.02540
1403715282.812115430831909,0.01467,0.00038,0.00105,0.00195,0.00183,0.00574,0.02562
1403715282.862004518508911,0.01467,0.00037,0.01105,0.00239,0.00885,0.00665,0.04399
1403715282.912061691284180,0.01615,0.00038,0.00551,0.00473,0.00290,0.00585,0.03553
1403715282.962193727493286,0.01437,0.00040,0.00048,0.00581,0.00078,0.00557,0.02741
1403715283.011998653411865,0.01445,0.00038,0.00045,0.00655,0.00043,0.00513,0.02740
1403715283.062036752700806,0.01381,0.00036,0.01562,0.00615,0.00749,0.00689,0.05032
1403715283.112215042114258,0.01367,0.00034,0.00075,0.00782,0.00002,0.00542,0.02802
1403715283.162197589874268,0.01400,0.00038,0.00022,0.00778,0.00044,0.00558,0.02841
1403715283.212240457534790,0.01397,0.00040,0.00087,0.00814,0.00408,0.00563,0.03309
1403715283.262215137481689,0.01373,0.00043,0.00003,0.00876,0.00001,0.00544,0.02839
1403715283.312232255935669,0.01416,0.00042,0.00003,0.00849,0.00000,0.00648,0.02958
1403715283.362229108810425,0.01390,0.00041,0.00014,0.00843,0.00047,0.00575,0.02910
1403715283.412236213684082,0.01314,0.00039,0.00019,0.00826,0.00045,0.00595,0.02838
1403715283.462252378463745,0.01684,0.00038,0.01020,0.00724,0.00193,0.00677,0.04335
1403715283.512264251708984,0.01973,0.00037,0.00519,0.00618,0.00339,0.00587,0.04073
1403715283.562269210815430,0.01513,0.00031,0.00029,0.00664,0.00000,0.00557,0.02795
1403715283.612273454666138,0.01518,0.00035,0.00024,0.00656,0.00000,0.00587,0.02820
1403715283.662245273590088,0.01472,0.00048,0.00942,0.00600,0.00887,0.00679,0.04628
1403715283.712160110473633,0.01459,0.00039,0.00003,0.00765,0.00000,0.00582,0.02849
1403715283.762063026428223,0.01474,0.00039,0.00003,0.00752,0.00000,0.00565,0.02833
1403715283.812017440795898,0.01438,0.00036,0.00034,0.00712,0.00029,0.00581,0.02829
1403715283.861962556838989,0.01457,0.00032,0.00003,0.00755,0.00001,0.00573,0.02821
1403715283.911940336227417,0.01479,0.00035,0.00024,0.00689,0.00000,0.00602,0.02829
1403715283.961959838867188,0.01387,0.00035,0.00004,0.00695,0.00001,0.00570,0.02692
1403715284.011910915374756,0.01559,0.00036,0.00467,0.00682,0.00565,0.00600,0.03909
1403715284.061636924743652,0.01579,0.00039,0.02856,0.00796,0.00164,0.00649,0.06083
1403715284.111644983291626,0.01493,0.00038,0.00512,0.00776,0.00000,0.00607,0.03427
1403715284.161698818206787,0.01527,0.00035,0.00024,0.00757,0.00046,0.00587,0.02976
1403715284.211823940277100,0.01425,0.00041,0.00003,0.00766,0.00001,0.00592,0.02827
1403715284.262022495269775,0.01545,0.00040,0.00891,0.00772,0.00037,0.00576,0.03860
1403715284.312102317810059,0.01542,0.00038,0.00004,0.00794,0.00000,0.00586,0.02963
1403715284.362105131149292,0.01461,0.00041,0.00050,0.00662,0.00000,0.00597,0.02812
1403715284.412053108215332,0.01534,0.00043,0.00038,0.00742,0.00167,0.00612,0.03136
1403715284.462055683135986,0.01458,0.00040,0.00032,0.00703,0.00097,0.00582,0.02911
1403715284.511995077133179,0.01424,0.00033,0.00019,0.00779,0.00000,0.00615,0.02872
1403715284.561984300613403,0.01466,0.00038,0.00004,0.00836,0.00000,0.00573,0.02917
1403715284.611960411071777,0.01497,0.00039,0.00433,0.00696,0.00009,0.00587,0.03261
1403715284.662093400955200,0.01485,0.00035,0.02518,0.00809,0.00383,0.00563,0.05794
1403715284.712028503417969,0.01631,0.00038,0.00509,0.00710,0.00085,0.00641,0.03614
1403715284.762105941772461,0.01518,0.00038,0.00021,0.00755,0.00002,0.00566,0.02901
1403715284.812085151672363,0.01347,0.00044,0.00041,0.00732,0.00002,0.00589,0.02754
1403715284.862117290496826,0.01586,0.00040,0.00763,0.00818,0.00110,0.00566,0.03883
1403715284.912078142166138,0.01468,0.00036,0.00046,0.00758,0.00000,0.00716,0.03023
1403715284.961997509002686,0.01840,0.00036,0.00003,0.00758,0.00000,0.00542,0.03180
1403715285.011954545974731,0.01520,0.00035,0.00003,0.00713,0.00000,0.00579,0.02849
1403715285.061958789825439,0.01482,0.00034,0.00023,0.00702,0.00000,0.00562,0.02804
1403715285.112050056457520,0.01495,0.00037,0.00003,0.00699,0.00000,0.00653,0.02887
1403715285.162103176116943,0.01501,0.00037,0.00009,0.00661,0.00000,0.00542,0.02752
1403715285.212178230285645,0.01512,0.00033,0.00213,0.00576,0.00208,0.00555,0.03098
1403715285.262187242507935,0.01578,0.00040,0.01730,0.00609,0.00990,0.00544,0.05491
1403715285.312203884124756,0.01481,0.00039,0.00178,0.00772,0.00389,0.00606,0.03466
1403715285.362223863601685,0.01491,0.00040,0.00003,0.00856,0.00123,0.00570,0.03084
1403715285.412221431732178,0.01429,0.00042,0.00090,0.00856,0.00000,0.00585,0.03003
1403715285.462176561355591,0.01451,0.00038,0.00881,0.00826,0.00049,0.00557,0.03802
1403715285.512202262878418,0.01440,0.00037,0.00025,0.00884,0.00002,0.00576,0.02963
1403715285.562239408493042,0.01430,0.00038,0.00003,0.00851,0.00001,0.00559,0.02881
1403715285.612236976623535,0.01315,0.00041,0.00008,0.00852,0.00000,0.00583,0.02799
1403715285.662233829498291,0.01885,0.00037,0.00024,0.00880,0.00047,0.00566,0.03439
1403715285.712238311767578,0.01531,0.00035,0.00059,0.00767,0.00000,0.00597,0.02989
1403715285.762200117111206,0.01577,0.00035,0.00103,0.00694,0.00000,0.00558,0.02967
1403715285.812170982360840,0.01663,0.00038,0.00207,0.00699,0.00392,0.00616,0.03615
1403715285.862164974212646,0.01527,0.00039,0.01875,0.00718,0.00195,0.00698,0.05051
1403715285.912126302719116,0.01499,0.00039,0.00074,0.00751,0.00195,0.00588,0.03146
1403715285.962098121643066,0.01410,0.00035,0.00068,0.00744,0.00000,0.00549,0.02807
1403715286.012095451354980,0.01508,0.00034,0.00132,0.00718,0.00113,0.00600,0.03106
1403715286.062065124511719,0.01484,0.00038,0.00853,0.00717,0.00177,0.00560,0.03829
1403715286.112062215805054,0.01448,0.00039,0.00004,0.00797,0.00000,0.00576,0.02864
1403715286.162046432495117,0.01492,0.00034,0.00017,0.00765,0.00000,0.00575,0.02884
1403715286.212001800537109,0.01441,0.00039,0.01614,0.00772,0.00693,0.00584,0.05142
1403715286.262000560760498,0.01478,0.00036,0.00024,0.00805,0.00001,0.00548,0.02892
1403715286.312000989913940,0.01471,0.00037,0.00003,0.00820,0.00001,0.00595,0.02927
1403715286.362000703811646,0.01669,0.00038,0.00003,0.00776,0.00001,0.00578,0.03064
1403715286.411998748779297,0.01464,0.00038,0.00108,0.00732,0.00116,0.00611,0.03069
1403715286.461991548538208,0.01486,0.00074,0.01621,0.00742,0.00606,0.00608,0.05138
1403715286.512003898620605,0.01854,0.00045,0.00087,0.00776,0.00001,0.00626,0.03388
1403715286.561999559402466,0.01410,0.00042,0.00024,0.00684,0.00044,0.00546,0.02750
1403715286.611995220184326,0.01404,0.00041,0.00172,0.00702,0.00112,0.00551,0.02983
1403715286.661972522735596,0.01366,0.00037,0.00714,0.00692,0.00408,0.00567,0.03785
1403715286.711963653564453,0.01702,0.00036,0.00024,0.00673,0.00000,0.00556,0.02991
1403715286.761948585510254,0.01411,0.00039,0.00071,0.00553,0.00001,0.00556,0.02631
1403715286.811885118484497,0.01331,0.00034,0.00516,0.00489,0.01760,0.00528,0.04658
1403715286.861872434616089,0.01422,0.00037,0.00059,0.00750,0.00044,0.00584,0.02895
1403715286.911860227584839,0.01535,0.00061,0.00005,0.00796,0.00000,0.00562,0.02959
1403715286.961857557296753,0.01354,0.00036,0.00025,0.00770,0.00047,0.00577,0.02810
1403715287.011882305145264,0.01391,0.00035,0.00004,0.00687,0.00119,0.00523,0.02758
1403715287.061914682388306,0.01322,0.00037,0.00991,0.00671,0.00382,0.00607,0.04010
1403715287.111957788467407,0.01299,0.00040,0.00042,0.00684,0.00104,0.00567,0.02737
1403715287.161979436874390,0.01303,0.00039,0.00013,0.00732,0.00000,0.00565,0.02654
1403715287.211988925933838,0.01481,0.00038,0.00080,0.00550,0.00065,0.00569,0.02782
1403715287.262008190155029,0.01540,0.00037,0.01264,0.00496,0.00709,0.00660,0.04705
1403715287.312025070190430,0.01740,0.00032,0.00072,0.00526,0.00040,0.00558,0.02967
1403715287.362026691436768,0.01469,0.00036,0.00044,0.00514,0.00059,0.00580,0.02701
1403715287.412046194076538,0.01441,0.00034,0.00008,0.00566,0.00471,0.00528,0.03048
1403715287.462054729461670,0.01423,0.00038,0.00019,0.00636,0.00000,0.00628,0.02743
1403715287.512045621871948,0.01406,0.00035,0.00003,0.00638,0.00000,0.00561,0.02643
1403715287.562040328979492,0.01479,0.00036,0.00008,0.00641,0.00000,0.00564,0.02728
1403715287.612030506134033,0.01758,0.00031,0.00003,0.00616,0.00000,0.00551,0.02959
1403715287.662021160125732,0.01406,0.00035,0.00572,0.00632,0.00548,0.00558,0.03752
1403715287.712040662765503,0.01441,0.00035,0.00032,0.00602,0.00000,0.00561,0.02671
1403715287.762065887451172,0.01284,0.00033,0.00104,0.00533,0.00000,0.00562,0.02517
1403715287.812083005905151,0.01732,0.00032,0.00037,0.00437,0.00106,0.00561,0.02906
1403715287.862133979797363,0.01416,0.00030,0.01326,0.00389,0.01869,0.00572,0.05601
1403715287.912144184112549,0.01315,0.00036,0.00021,0.00564,0.00038,0.00527,0.02499
1403715287.962157249450684,0.01416,0.00036,0.00062,0.00548,0.00044,0.00558,0.02664
1403715288.012175321578979,0.01622,0.00035,0.00021,0.00540,0.00000,0.00630,0.02848
1403715288.062193870544434,0.01451,0.00037,0.00036,0.00478,0.00000,0.00539,0.02542
1403715288.112208843231201,0.01363,0.00046,0.00034,0.00461,0.00002,0.00542,0.02447
1403715288.162234067916870,0.01470,0.00032,0.00043,0.00442,0.00000,0.00542,0.02529
1403715288.212248563766479,0.01337,0.00033,0.00019,0.00423,0.00000,0.00556,0.02369
1403715288.262229442596436,0.01363,0.00032,0.00003,0.00392,0.01401,0.00544,0.03735
1403715288.312233448028564,0.01595,0.00036,0.00021,0.00543,0.00037,0.00559,0.02790
1403715288.362218856811523,0.01388,0.00035,0.00061,0.00530,0.00691,0.00567,0.03272
1403715288.412196636199951,0.01618,0.00037,0.00042,0.00590,0.00144,0.00571,0.03003
1403715288.462185382843018,0.01432,0.00037,0.01014,0.00651,0.00578,0.00695,0.04408
1403715288.512164354324341,0.01404,0.00044,0.00022,0.00770,0.00000,0.00542,0.02783
1403715288.562210321426392,0.01484,0.00049,0.00692,0.00824,0.00700,0.00671,0.04420
1403715288.612202167510986,0.01532,0.00048,0.00020,0.00913,0.00000,0.00601,0.03114
1403715288.662208318710327,0.01417,0.00040,0.00003,0.00878,0.00000,0.00550,0.02888
1403715288.712210655212402,0.01417,0.00068,0.00010,0.00865,0.00000,0.00574,0.02935
1403715288.762216806411743,0.01406,0.00046,0.00009,0.00838,0.00000,0.00553,0.02852
1403715288.812222003936768,0.01392,0.00041,0.00003,0.00819,0.00000,0.00560,0.02816
1403715288.862236976623535,0.01596,0.00040,0.00005,0.00792,0.00201,0.00573,0.03207
1403715288.912268161773682,0.01421,0.00043,0.00004,0.00830,0.00000,0.00554,0.02851
1403715288.962318658828735,0.01395,0.00038,0.01090,0.00777,0.00047,0.00584,0.03933
1403715289.012326717376709,0.01404,0.00041,0.00010,0.00848,0.00007,0.00550,0.02860
1403715289.062343120574951,0.01451,0.00035,0.01117,0.00820,0.00007,0.00568,0.03997
1403715289.112338066101074,0.01425,0.00041,0.00003,0.00829,0.00000,0.00563,0.02861
1403715289.162351369857788,0.01448,0.00038,0.00682,0.00822,0.00199,0.00552,0.03741
1403715289.212300062179565,0.01408,0.00041,0.00003,0.00871,0.00000,0.00570,0.02894
1403715289.262289762496948,0.01395,0.00038,0.00006,0.00788,0.00000,0.00579,0.02808
1403715289.312261581420898,0.01435,0.00040,0.00003,0.00751,0.00000,0.00546,0.02777
1403715289.362246990203857,0.01378,0.00039,0.00039,0.00734,0.00044,0.00580,0.02814
1403715289.412234544754028,0.01593,0.00038,0.00019,0.00729,0.00002,0.00545,0.02927
1403715289.462223768234253,0.01309,0.00039,0.00006,0.00728,0.00000,0.00563,0.02645
1403715289.512221813201904,0.01423,0.00038,0.00020,0.00725,0.00000,0.00573,0.02780
1403715289.562224388122559,0.01624,0.00038,0.01209,0.00692,0.00597,0.00679,0.04839
1403715289.612225770950317,0.01429,0.00042,0.00139,0.00628,0.00000,0.00533,0.02772
1403715289.662213802337646,0.01695,0.00036,0.00873,0.00606,0.00690,0.00666,0.04565
1403715289.712216854095459,0.01476,0.00039,0.00049,0.00720,0.00000,0.00568,0.02852
1403715289.762236833572388,0.01420,0.00040,0.00476,0.00674,0.00566,0.00521,0.03697
1403715289.812242746353149,0.01423,0.00039,0.00008,0.00785,0.00000,0.00597,0.02854
1403715289.862246036529541,0.01309,0.00041,0.00076,0.00760,0.00000,0.00537,0.02723
1403715289.912241458892822,0.01400,0.00038,0.00051,0.00751,0.00000,0.00557,0.02799
1403715289.962231636047363,0.01346,0.00043,0.00015,0.00829,0.00123,0.00522,0.02878
1403715290.012221336364746,0.01411,0.00041,0.00004,0.00787,0.00000,0.00538,0.02782
1403715290.062210798263550,0.01418,0.00038,0.00009,0.00788,0.00000,0.00683,0.02936
1403715290.112204074859619,0.01428,0.00040,0.00072,0.00789,0.00000,0.00566,0.02895
1403715290.162199974060059,0.01374,0.00039,0.00157,0.00784,0.00009,0.00557,0.02920
1403715290.212213754653931,0.01275,0.00040,0.00905,0.00769,0.00270,0.00768,0.04026
1403715290.262243747711182,0.01416,0.00040,0.00691,0.00815,0.00000,0.00540,0.03503
1403715290.312282323837280,0.01346,0.00043,0.00008,0.00838,0.00000,0.00548,0.02784
1403715290.362296819686890,0.01367,0.00039,0.00486,0.00819,0.00001,0.00546,0.03257
1403715290.412325382232666,0.01363,0.00041,0.00003,0.00752,0.00000,0.00546,0.02705
1403715290.462310791015625,0.01381,0.00037,0.00057,0.00741,0.00002,0.00568,0.02786
1403715290.512286424636841,0.01643,0.00036,0.00018,0.00729,0.00044,0.00572,0.03042
1403715290.562242269515991,0.01440,0.00034,0.00078,0.00744,0.00000,0.00553,0.02849
1403715290.612236738204956,0.01363,0.00037,0.00056,0.00720,0.00000,0.00554,0.02732
1403715290.662222862243652,0.01695,0.00036,0.00052,0.00812,0.00003,0.00591,0.03189
1403715290.712217569351196,0.01609,0.00036,0.00059,0.00763,0.00001,0.00540,0.03008
1403715290.762218236923218,0.01447,0.00038,0.00832,0.00669,0.00208,0.00562,0.03756
1403715290.812202930450439,0.01442,0.00037,0.00742,0.00684,0.00575,0.00551,0.04030
1403715290.862161397933960,0.01365,0.00039,0.00696,0.00801,0.00041,0.00575,0.03516
1403715290.912146806716919,0.01356,0.00039,0.00020,0.00836,0.00001,0.00543,0.02795
1403715290.962135076522827,0.01592,0.00037,0.00180,0.00750,0.00379,0.00503,0.03442
1403715291.012156009674072,0.01423,0.00039,0.00005,0.00814,0.00001,0.00543,0.02825
1403715291.062134265899658,0.01769,0.00040,0.00233,0.00792,0.00119,0.00554,0.03508
1403715291.112150192260742,0.01417,0.00042,0.00077,0.00813,0.00000,0.00543,0.02893
1403715291.162175416946411,0.01324,0.00041,0.00059,0.00814,0.00000,0.00559,0.02797
1403715291.212162017822266,0.01634,0.00038,0.00121,0.00772,0.00002,0.00562,0.03129
1403715291.262141704559326,0.01372,0.00038,0.00577,0.00731,0.00568,0.00553,0.03839
1403715291.312139749526978,0.01470,0.00041,0.00095,0.00859,0.00001,0.00544,0.03009
1403715291.362139940261841,0.01397,0.00040,0.00804,0.00840,0.00009,0.00550,0.03640
1403715291.412143230438232,0.01360,0.00040,0.00343,0.00835,0.00007,0.00545,0.03131
1403715291.462145328521729,0.01640,0.00063,0.00668,0.00828,0.00039,0.00707,0.03945
1403715291.512133598327637,0.01319,0.00042,0.00501,0.00850,0.00196,0.00576,0.03484
1403715291.562147140502930,0.01755,0.00033,0.00019,0.00773,0.00111,0.00538,0.03230
1403715291.612144231796265,0.01727,0.00039,0.00019,0.00791,0.00000,0.00551,0.03128
