# timestamp(s) tx ty tz qx qy qz qw
1403715278.86242 0.020955000 0.006426000 0.086426000 0.808839000 -0.010284000 0.587938000 0.001262000
1403715278.91203 0.054411000 0.011930000 0.093437000 0.811463000 -0.008027000 0.584347000 0.001137000
1403715278.96185 0.062495000 0.014496000 0.113809000 0.811250000 -0.008155000 0.584642000 0.001291000
1403715279.01102 0.071226000 0.016078000 0.128767000 0.811115000 -0.007622000 0.584834000 0.002048000
1403715279.06063 0.079788000 0.017770000 0.136207000 0.810663000 -0.007831000 0.585459000 0.001377000
1403715279.10993 0.088045000 0.019632000 0.141580000 0.810651000 -0.007914000 0.585473000 0.001895000
1403715279.15992 0.095618000 0.021092000 0.143470000 0.811006000 -0.007304000 0.584987000 0.002569000
1403715279.21021 0.102279000 0.022108000 0.141483000 0.811554000 -0.006695000 0.584228000 0.003626000
1403715279.26036 0.107576000 0.022148000 0.135084000 0.811519000 -0.006021000 0.584283000 0.003789000
1403715279.31057 0.113692000 0.022712000 0.129852000 0.812014000 -0.005784000 0.583598000 0.003645000
1403715279.36079 0.117709000 0.022230000 0.125991000 0.812686000 -0.006167000 0.582661000 0.003090000
1403715279.41079 0.121809000 0.020726000 0.122108000 0.812577000 -0.006459000 0.582815000 0.002009000
1403715279.46058 0.125264000 0.020051000 0.121201000 0.813226000 -0.006487000 0.581909000 0.001603000
1403715279.51011 0.131162000 0.018233000 0.127944000 0.813037000 -0.006285000 0.582177000 0.001268000
1403715279.55958 0.136005000 0.018002000 0.133918000 0.813066000 -0.005625000 0.582141000 0.001941000
1403715279.60908 0.141727000 0.017279000 0.144607000 0.813301000 -0.005569000 0.581811000 0.002313000
1403715279.65884 0.143535000 0.014266000 0.156278000 0.813842000 -0.005350000 0.581056000 0.002435000
1403715279.70890 0.144427000 0.011241000 0.169260000 0.813859000 -0.005004000 0.581035000 0.002571000
1403715279.75893 0.145049000 0.009103000 0.183201000 0.814160000 -0.004798000 0.580616000 0.002495000
1403715279.80894 0.145320000 0.006302000 0.198181000 0.814498000 -0.004881000 0.580140000 0.002493000
1403715279.85951 0.146738000 0.004100000 0.215302000 0.814674000 -0.004421000 0.579897000 0.002574000
1403715279.90979 0.146985000 0.002440000 0.229025000 0.815326000 -0.004240000 0.578981000 0.002730000
1403715279.96026 0.147010000 0.001721000 0.241190000 0.816898000 -0.003877000 0.576760000 0.003175000
1403715280.01082 0.147283000 0.001368000 0.251657000 0.820268000 -0.004030000 0.571956000 0.003204000
1403715280.06086 0.147551000 0.001186000 0.259502000 0.824739000 -0.003996000 0.565490000 0.003285000
1403715280.11094 0.148872000 -0.000627000 0.268557000 0.828869000 -0.002077000 0.559406000 0.006026000
1403715280.16130 0.150946000 -0.002288000 0.276451000 0.831196000 -0.000189000 0.555916000 0.008362000
1403715280.21198 0.154302000 -0.004359000 0.285351000 0.832172000 0.002903000 0.554370000 0.012428000
1403715280.26312 0.159055000 -0.005841000 0.295221000 0.832167000 0.005716000 0.554254000 0.016393000
1403715280.31327 0.166575000 -0.006716000 0.304112000 0.831563000 0.008035000 0.555036000 0.019296000
1403715280.36327 0.175336000 -0.006190000 0.312420000 0.830315000 0.009621000 0.556784000 0.021807000
1403715280.41307 0.185288000 -0.004870000 0.320339000 0.829021000 0.009954000 0.558591000 0.024502000
1403715280.46268 0.196599000 -0.002486000 0.328153000 0.828576000 0.006759000 0.559305000 0.024370000
1403715280.51247 0.207831000 0.000773000 0.336000000 0.827626000 0.000376000 0.560793000 0.023371000
1403715280.56220 0.218469000 0.003953000 0.344654000 0.826663000 -0.007055000 0.562169000 0.023332000
1403715280.61216 0.228503000 0.007224000 0.353492000 0.825342000 -0.015822000 0.563875000 0.024598000
1403715280.66199 0.238475000 0.010486000 0.362783000 0.824209000 -0.024977000 0.565011000 0.028585000
1403715280.71197 0.250037000 0.011615000 0.371334000 0.823014000 -0.035165000 0.565970000 0.033006000
1403715280.76196 0.261291000 0.013535000 0.378150000 0.822306000 -0.045471000 0.565906000 0.038662000
1403715280.81199 0.273053000 0.015388000 0.384457000 0.821766000 -0.056290000 0.565275000 0.044680000
1403715280.86205 0.285195000 0.018062000 0.390542000 0.820473000 -0.066823000 0.565432000 0.051431000
1403715280.91217 0.297515000 0.022154000 0.395680000 0.819329000 -0.076342000 0.565233000 0.058177000
1403715280.96220 0.310132000 0.026844000 0.401103000 0.818170000 -0.084429000 0.565139000 0.063935000
1403715281.01220 0.321212000 0.030908000 0.405632000 0.817036000 -0.091763000 0.565094000 0.068557000
1403715281.06218 0.331771000 0.034905000 0.410032000 0.816355000 -0.097503000 0.564503000 0.073443000
1403715281.11214 0.342215000 0.038854000 0.414369000 0.815367000 -0.102595000 0.564516000 0.077279000
1403715281.16215 0.352643000 0.042301000 0.419186000 0.814329000 -0.106569000 0.564800000 0.080697000
1403715281.21215 0.362966000 0.045197000 0.424563000 0.813608000 -0.110421000 0.564650000 0.083785000
1403715281.26229 0.370721000 0.047425000 0.429237000 0.812635000 -0.114756000 0.564744000 0.086716000
1403715281.31280 0.372894000 0.047406000 0.428769000 0.811249000 -0.118935000 0.565248000 0.090692000
