# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862104415893555,0.00667,0.00014,0.00063,0.00000,0.00000,0.00418,0.01163
1403715278.915198326110840,0.00619,0.00015,0.00566,0.00000,0.01271,0.00423,0.02894
1403715278.964468479156494,0.00628,0.00028,0.00080,0.00320,0.00000,0.00410,0.01467
1403715279.012289762496948,0.00615,0.00027,0.00019,0.00317,0.00000,0.00436,0.01414
1403715279.061143636703491,0.00833,0.00028,0.00011,0.00320,0.00000,0.00427,0.01620
1403715279.110235214233398,0.00659,0.00025,0.00063,0.00324,0.00000,0.00431,0.01503
1403715279.159847497940063,0.00575,0.00029,0.00035,0.00321,0.00000,0.00430,0.01391
1403715279.209809064865112,0.00630,0.00031,0.00090,0.00329,0.00000,0.00458,0.01539
1403715279.259893655776978,0.00596,0.00027,0.00003,0.00337,0.00698,0.00455,0.02116
1403715279.310004711151123,0.00567,0.00033,0.00008,0.00415,0.00595,0.00439,0.02057
1403715279.359840154647827,0.00591,0.00033,0.00003,0.00499,0.00197,0.00448,0.01770
1403715279.409744024276733,0.00615,0.00034,0.00003,0.00522,0.01452,0.00480,0.03108
1403715279.459612846374512,0.00595,0.00039,0.00003,0.00794,0.00000,0.00539,0.01970
1403715279.509413003921509,0.00568,0.00039,0.01753,0.00774,0.00207,0.00457,0.03798
1403715279.558971405029297,0.00583,0.00038,0.00003,0.00793,0.00010,0.00440,0.01867
1403715279.608567237854004,0.00728,0.00039,0.00175,0.00797,0.00203,0.00463,0.02405
1403715279.657945632934570,0.00578,0.00039,0.00003,0.00840,0.00000,0.00440,0.01900
1403715279.707967281341553,0.00597,0.00047,0.00004,0.00975,0.00000,0.00472,0.02096
1403715279.757932424545288,0.00719,0.00041,0.00003,0.00899,0.00000,0.00481,0.02143
1403715279.807427406311035,0.00584,0.00034,0.00010,0.00855,0.00000,0.00468,0.01950
1403715279.857694625854492,0.00567,0.00039,0.00010,0.00841,0.00000,0.00453,0.01910
1403715279.907933712005615,0.00550,0.00036,0.00008,0.00850,0.00000,0.00460,0.01905
1403715279.958242177963257,0.00556,0.00038,0.00333,0.00823,0.00007,0.00466,0.02223
1403715280.008848428726196,0.00579,0.00038,0.00003,0.00849,0.00000,0.00553,0.02023
1403715280.059068202972412,0.00614,0.00040,0.00010,0.00824,0.00000,0.00466,0.01954
1403715280.109457254409790,0.00668,0.00037,0.01569,0.00819,0.00013,0.00478,0.03585
1403715280.160270929336548,0.00795,0.00038,0.00008,0.00807,0.00010,0.00453,0.02110
1403715280.210745811462402,0.00642,0.00039,0.00168,0.00789,0.00014,0.00452,0.02105
1403715280.261145114898682,0.00589,0.00040,0.00019,0.00772,0.00000,0.00450,0.01870
1403715280.311215877532959,0.00609,0.00039,0.00003,0.00789,0.00000,0.00476,0.01916
1403715280.361208438873291,0.00591,0.00039,0.00003,0.00769,0.00000,0.00460,0.01863
1403715280.411097764968872,0.00672,0.00038,0.00003,0.00777,0.00000,0.00467,0.01956
1403715280.460824012756348,0.00596,0.00039,0.00067,0.00757,0.00000,0.00456,0.01916
1403715280.510727882385254,0.00590,0.00036,0.00017,0.00749,0.00000,0.00457,0.01849
1403715280.560488224029541,0.00591,0.00041,0.00129,0.00803,0.00144,0.00503,0.02212
1403715280.610510349273682,0.00687,0.00036,0.00075,0.00747,0.00543,0.00443,0.02530
1403715280.660390615463257,0.00617,0.00040,0.00078,0.00812,0.00000,0.00457,0.02005
1403715280.710528850555420,0.00792,0.00038,0.01663,0.00837,0.00013,0.00464,0.03809
1403715280.760554552078247,0.00664,0.00039,0.00220,0.00743,0.00318,0.00431,0.02415
1403715280.810639619827271,0.00610,0.00039,0.00312,0.00727,0.00008,0.00452,0.02148
1403715280.860731363296509,0.00807,0.00040,0.00052,0.00727,0.00009,0.00456,0.02090
1403715280.910920143127441,0.00628,0.00037,0.00133,0.00679,0.00000,0.00469,0.01945
1403715280.961085796356201,0.00601,0.00036,0.00033,0.00606,0.00332,0.00460,0.02067
1403715281.011185407638550,0.00715,0.00035,0.00083,0.00566,0.00038,0.00464,0.01900
1403715281.061293601989746,0.00575,0.00035,0.00003,0.00598,0.00000,0.00470,0.01680
1403715281.111403703689575,0.00616,0.00035,0.00012,0.00590,0.00000,0.00534,0.01787
1403715281.161496639251709,0.00617,0.00032,0.00038,0.00553,0.00465,0.00463,0.02169
1403715281.211535215377808,0.00597,0.00035,0.00101,0.00606,0.00000,0.00442,0.01782
1403715281.261590480804443,0.00744,0.00035,0.00034,0.00588,0.00000,0.00457,0.01858
1403715281.311740398406982,0.00580,0.00034,0.00834,0.00557,0.01593,0.00434,0.04033
1403715281.361761093139648,0.00584,0.00038,0.00019,0.00821,0.00007,0.00447,0.01915
1403715281.411941289901733,0.00568,0.00039,0.01032,0.00793,0.00404,0.00447,0.03282
1403715281.462104320526123,0.00579,0.00036,0.00003,0.00813,0.00000,0.00463,0.01894
1403715281.512036085128784,0.00843,0.00037,0.00005,0.00764,0.00000,0.00467,0.02117
1403715281.562156677246094,0.00702,0.00040,0.00461,0.00676,0.00127,0.00465,0.02472
1403715281.612238168716431,0.00700,0.00041,0.00036,0.00700,0.00084,0.00475,0.02037
1403715281.662261962890625,0.00674,0.00040,0.00076,0.00731,0.00044,0.00591,0.02156
1403715281.712229013442993,0.00667,0.00039,0.00077,0.00609,0.00042,0.00475,0.01909
1403715281.762129306793213,0.00636,0.00035,0.00096,0.00612,0.00000,0.00453,0.01832
1403715281.812098979949951,0.00993,0.00035,0.00015,0.00610,0.00000,0.00489,0.02142
1403715281.862068414688110,0.00677,0.00035,0.00118,0.00577,0.00000,0.00492,0.01899
1403715281.912038087844849,0.00576,0.00034,0.00023,0.00542,0.01248,0.00434,0.02856
1403715281.962103128433228,0.00881,0.00036,0.00156,0.00735,0.00006,0.00457,0.02270
1403715282.012125015258789,0.00683,0.00035,0.00560,0.00709,0.00843,0.00456,0.03287
1403715282.062248945236206,0.00657,0.00040,0.01575,0.00850,0.00224,0.00538,0.03885
1403715282.112258911132812,0.00665,0.00041,0.00019,0.00838,0.00002,0.00465,0.02030
