# timestamp(s) tx ty tz qx qy qz qw
1403715278.86135 0.061630000 0.012498000 0.094894000 0.811533000 -0.006239000 0.584272000 0.001233000
1403715278.91110 0.059403000 0.016527000 0.112513000 0.812135000 -0.007725000 0.583416000 0.001734000
1403715278.96097 0.067759000 0.016824000 0.131605000 0.811439000 -0.007411000 0.584389000 0.000733000
1403715279.01096 0.075936000 0.018284000 0.145799000 0.810947000 -0.006705000 0.585079000 0.001503000
1403715279.06092 0.084713000 0.020038000 0.156881000 0.811053000 -0.006658000 0.584933000 0.001496000
1403715279.11087 0.092373000 0.021431000 0.160886000 0.810730000 -0.006511000 0.585382000 0.001731000
1403715279.16083 0.097842000 0.022100000 0.157410000 0.810832000 -0.005729000 0.585246000 0.002269000
1403715279.21078 0.103099000 0.022946000 0.151462000 0.811307000 -0.005165000 0.584589000 0.003102000
1403715279.26071 0.107409000 0.023363000 0.141524000 0.811410000 -0.004587000 0.584451000 0.003208000
1403715279.31070 0.112504000 0.024250000 0.135323000 0.812004000 -0.004563000 0.583626000 0.003119000
1403715279.36087 0.116976000 0.023567000 0.131064000 0.812663000 -0.004681000 0.582709000 0.002725000
1403715279.41108 0.122789000 0.024169000 0.127442000 0.812656000 -0.005140000 0.582719000 0.001801000
1403715279.46123 0.126452000 0.024269000 0.126128000 0.813435000 -0.005166000 0.581631000 0.001417000
1403715279.51122 0.130344000 0.023994000 0.124918000 0.813522000 -0.005066000 0.581511000 0.000985000
1403715279.56120 0.133713000 0.023959000 0.125958000 0.813426000 -0.004474000 0.581649000 0.001620000
1403715279.61118 0.136748000 0.023720000 0.128006000 0.813776000 -0.004405000 0.581160000 0.001850000
1403715279.66121 0.138915000 0.023297000 0.130744000 0.814010000 -0.004097000 0.580833000 0.001895000
1403715279.71129 0.140616000 0.022742000 0.133944000 0.813892000 -0.004103000 0.580999000 0.001907000
1403715279.76128 0.142293000 0.022301000 0.137906000 0.813974000 -0.004122000 0.580884000 0.001789000
1403715279.81133 0.143440000 0.021501000 0.142588000 0.814139000 -0.004459000 0.580650000 0.001568000
1403715279.86128 0.143864000 0.020625000 0.147916000 0.814428000 -0.004330000 0.580247000 0.001526000
1403715279.91125 0.143999000 0.019641000 0.154150000 0.814952000 -0.004307000 0.579510000 0.001689000
1403715279.96123 0.144445000 0.018828000 0.160912000 0.816462000 -0.004091000 0.577381000 0.002090000
1403715280.01115 0.144746000 0.018062000 0.166997000 0.819854000 -0.004282000 0.572553000 0.002094000
1403715280.06113 0.145174000 0.017229000 0.172811000 0.824192000 -0.004268000 0.566291000 0.002185000
1403715280.11119 0.146129000 0.016037000 0.179035000 0.828054000 -0.002537000 0.560620000 0.004949000
1403715280.16149 0.147781000 0.014484000 0.186038000 0.830269000 -0.000656000 0.557314000 0.007333000
1403715280.21186 0.150448000 0.012835000 0.193785000 0.831092000 0.002384000 0.556013000 0.011448000
1403715280.26237 0.153970000 0.011747000 0.202797000 0.830751000 0.005065000 0.556410000 0.015319000
1403715280.31239 0.158793000 0.011509000 0.211454000 0.829912000 0.007245000 0.557550000 0.018220000
1403715280.36238 0.164839000 0.012221000 0.220022000 0.828555000 0.008644000 0.559458000 0.020697000
1403715280.41230 0.171805000 0.013605000 0.228590000 0.827020000 0.008950000 0.561613000 0.023418000
1403715280.46210 0.179922000 0.015850000 0.236503000 0.826393000 0.005780000 0.562579000 0.023367000
1403715280.51203 0.188852000 0.018643000 0.243933000 0.825326000 -0.000639000 0.564215000 0.022315000
1403715280.56195 0.198196000 0.021375000 0.251598000 0.824238000 -0.008065000 0.565750000 0.022216000
1403715280.61194 0.207462000 0.023941000 0.259224000 0.822885000 -0.016822000 0.567479000 0.023338000
1403715280.66188 0.217287000 0.026562000 0.267036000 0.821735000 -0.025959000 0.568628000 0.027193000
1403715280.71187 0.230390000 0.028845000 0.275140000 0.820595000 -0.036101000 0.569492000 0.031603000
1403715280.76181 0.241271000 0.031723000 0.281666000 0.819765000 -0.046698000 0.569580000 0.037191000
