# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715528.862617731094360,0.01126,0.00017,0.00098,0.00000,0.00000,0.00290,0.01532
1403715528.907666921615601,0.01130,0.00019,0.00236,0.00000,0.00264,0.00295,0.01945
1403715528.966359138488770,0.01017,0.00020,0.00336,0.00031,0.00000,0.00310,0.01714
1403715529.016121625900269,0.01051,0.00021,0.00107,0.00015,0.00000,0.00305,0.01499
1403715529.065228939056396,0.01084,0.00021,0.00060,0.00013,0.00000,0.00322,0.01501
1403715529.114619970321655,0.01025,0.00025,0.00047,0.00009,0.00001,0.00307,0.01414
1403715529.164557456970215,0.01097,0.00021,0.00099,0.00010,0.00000,0.00328,0.01555
1403715529.214215040206909,0.01124,0.00021,0.00124,0.00013,0.00000,0.00310,0.01592
1403715529.263937711715698,0.01075,0.00022,0.00151,0.00009,0.00131,0.00319,0.01707
1403715529.314141273498535,0.01193,0.00024,0.00181,0.00018,0.00094,0.00305,0.01815
1403715529.363773107528687,0.01042,0.00022,0.00126,0.00021,0.00292,0.00334,0.01837
1403715529.413605690002441,0.01198,0.00023,0.00108,0.00041,0.00320,0.00313,0.02002
1403715529.463640928268433,0.01126,0.00027,0.00167,0.00066,0.00278,0.00343,0.02007
1403715529.513517379760742,0.01081,0.00028,0.00279,0.00090,0.00630,0.00331,0.02439
1403715529.563554763793945,0.01109,0.00033,0.00031,0.00161,0.00849,0.00324,0.02507
1403715529.613532543182373,0.00937,0.00037,0.00056,0.00240,0.00162,0.00310,0.01742
1403715529.663571596145630,0.00975,0.00039,0.00046,0.00261,0.00001,0.00321,0.01644
1403715529.713133573532104,0.01020,0.00032,0.00050,0.00251,0.00319,0.00333,0.02005
1403715529.763130903244019,0.00936,0.00039,0.00095,0.00282,0.00776,0.00318,0.02447
1403715529.813266754150391,0.01095,0.00041,0.00416,0.00418,0.00106,0.00342,0.02418
1403715529.863184690475464,0.01110,0.00051,0.00536,0.00407,0.00107,0.00377,0.02588
1403715529.913185596466064,0.01034,0.00039,0.00297,0.00310,0.00093,0.00329,0.02101
1403715529.963220834732056,0.01050,0.00038,0.00563,0.00324,0.00548,0.00353,0.02876
1403715530.013051986694336,0.01117,0.00047,0.00575,0.00371,0.00102,0.00338,0.02549
1403715530.062926054000854,0.01024,0.00040,0.00265,0.00393,0.00209,0.00394,0.02326
1403715530.112934589385986,0.01052,0.00042,0.00300,0.00414,0.00001,0.00364,0.02173
1403715530.163143157958984,0.01075,0.00040,0.00035,0.00418,0.00000,0.00355,0.01923
1403715530.213392019271851,0.01131,0.00041,0.00067,0.00409,0.00191,0.00305,0.02145
1403715530.263567447662354,0.00977,0.00041,0.00094,0.00438,0.00108,0.00355,0.02014
1403715530.313515186309814,0.01054,0.00041,0.00270,0.00450,0.00000,0.00366,0.02182
1403715530.363390207290649,0.01171,0.00039,0.00448,0.00434,0.00111,0.00350,0.02554
1403715530.413284778594971,0.01133,0.00040,0.00595,0.00461,0.00000,0.00362,0.02591
1403715530.463094949722290,0.01135,0.00039,0.00607,0.00422,0.00000,0.00356,0.02560
1403715530.512966394424438,0.01096,0.00040,0.00314,0.00418,0.00209,0.00335,0.02411
1403715530.562889337539673,0.01181,0.00039,0.00738,0.00443,0.00000,0.00367,0.02768
1403715530.612867593765259,0.01056,0.00041,0.00481,0.00400,0.00101,0.00398,0.02478
1403715530.662865638732910,0.01274,0.00041,0.00551,0.00421,0.00210,0.00469,0.02967
1403715530.712836742401123,0.01345,0.00047,0.00550,0.00616,0.00000,0.00466,0.03024
1403715530.762748956680298,0.01620,0.00058,0.00739,0.00538,0.00000,0.00452,0.03407
1403715530.812734603881836,0.01743,0.00042,0.00316,0.00548,0.00001,0.00466,0.03116
1403715530.862708091735840,0.01377,0.00049,0.00255,0.00518,0.00133,0.00453,0.02785
1403715530.912677288055420,0.01788,0.00041,0.00120,0.00384,0.00193,0.00350,0.02876
1403715530.962658882141113,0.01202,0.00040,0.00614,0.00393,0.00103,0.00341,0.02692
1403715531.012629270553589,0.01030,0.00041,0.00446,0.00382,0.00195,0.00328,0.02422
1403715531.062575340270996,0.01099,0.00040,0.00374,0.00419,0.00106,0.00329,0.02367
1403715531.112528324127197,0.01108,0.00040,0.00430,0.00414,0.00001,0.00361,0.02354
1403715531.162514448165894,0.01058,0.00043,0.00518,0.00406,0.00108,0.00341,0.02474
1403715531.212535381317139,0.01152,0.00040,0.00553,0.00414,0.00001,0.00364,0.02523
1403715531.262553930282593,0.01130,0.00040,0.00500,0.00389,0.00100,0.00319,0.02478
1403715531.312576293945312,0.01108,0.00039,0.00265,0.00387,0.00194,0.00344,0.02337
1403715531.362535715103149,0.01157,0.00040,0.00608,0.00389,0.00194,0.00346,0.02735
1403715531.412539482116699,0.01188,0.00041,0.00193,0.00410,0.00000,0.00370,0.02203
1403715531.462515592575073,0.01029,0.00050,0.00589,0.00361,0.00103,0.00391,0.02523
1403715531.512470722198486,0.01192,0.00036,0.00186,0.00362,0.00097,0.00352,0.02226
1403715531.562351942062378,0.01116,0.00039,0.00245,0.00349,0.00284,0.00348,0.02381
1403715531.612295627593994,0.01013,0.00042,0.00250,0.00378,0.00199,0.00369,0.02251
1403715531.662164211273193,0.01102,0.00041,0.00337,0.00386,0.00192,0.00386,0.02443
1403715531.712186813354492,0.00988,0.00041,0.00133,0.00402,0.00205,0.00395,0.02163
1403715531.762249946594238,0.01023,0.00038,0.00394,0.00397,0.00000,0.00387,0.02240
1403715531.812375783920288,0.01037,0.00040,0.00482,0.00335,0.00182,0.00342,0.02417
1403715531.862446546554565,0.01076,0.00034,0.00153,0.00329,0.00389,0.00318,0.02299
1403715531.912477016448975,0.00996,0.00040,0.00058,0.00384,0.00097,0.00378,0.01952
1403715531.962491989135742,0.01024,0.00040,0.00747,0.00371,0.00277,0.00307,0.02767
1403715532.012472152709961,0.01109,0.00041,0.00303,0.00385,0.00001,0.00355,0.02193
1403715532.062463045120239,0.01015,0.00040,0.00526,0.00361,0.00204,0.00318,0.02464
1403715532.112458705902100,0.01041,0.00040,0.00269,0.00397,0.00006,0.00340,0.02093
1403715532.162466526031494,0.00989,0.00039,0.00079,0.00404,0.00111,0.00335,0.01957
1403715532.212453126907349,0.00981,0.00040,0.00038,0.00383,0.00103,0.00346,0.01891
1403715532.262408733367920,0.00948,0.00038,0.00006,0.00400,0.00285,0.00342,0.02019
1403715532.312405824661255,0.00945,0.00037,0.00040,0.00418,0.00101,0.00346,0.01887
1403715532.362396717071533,0.01001,0.00041,0.00129,0.00422,0.00104,0.00312,0.02009
1403715532.412398338317871,0.00946,0.00042,0.00428,0.00418,0.00106,0.00312,0.02251
1403715532.462405443191528,0.01006,0.00041,0.00106,0.00404,0.00006,0.00341,0.01903
1403715532.512417078018188,0.00933,0.00044,0.00044,0.00400,0.00001,0.00343,0.01766
1403715532.562435388565063,0.01073,0.00035,0.00612,0.00369,0.00192,0.00340,0.02620
1403715532.612451076507568,0.00950,0.00040,0.00205,0.00400,0.00283,0.00337,0.02216
1403715532.662472009658813,0.00959,0.00041,0.00424,0.00457,0.00000,0.00342,0.02223
1403715532.712496519088745,0.00961,0.00041,0.00229,0.00432,0.00001,0.00340,0.02005
1403715532.762508869171143,0.00968,0.00039,0.00033,0.00395,0.00100,0.00389,0.01924
1403715532.812521457672119,0.00962,0.00036,0.00034,0.00377,0.00005,0.00339,0.01752
1403715532.862525939941406,0.00964,0.00037,0.00020,0.00388,0.00006,0.00357,0.01771
1403715532.912513732910156,0.00903,0.00042,0.00010,0.00388,0.00017,0.00326,0.01686
1403715532.962508201599121,0.00980,0.00039,0.00045,0.00383,0.00006,0.00344,0.01795
1403715533.012507915496826,0.01006,0.00038,0.00037,0.00380,0.00034,0.00330,0.01826
1403715533.062512636184692,0.01003,0.00035,0.00026,0.00375,0.00186,0.00373,0.01999
1403715533.112523794174194,0.00943,0.00040,0.00182,0.00397,0.00210,0.00348,0.02121
1403715533.162513494491577,0.00982,0.00041,0.00700,0.00412,0.00193,0.00307,0.02634
1403715533.212449789047241,0.01149,0.00039,0.00200,0.00433,0.00108,0.00305,0.02234
1403715533.262435197830200,0.01037,0.00040,0.00376,0.00390,0.00102,0.00336,0.02280
1403715533.312427282333374,0.01120,0.00039,0.00263,0.00368,0.00189,0.00310,0.02289
1403715533.362436771392822,0.01247,0.00037,0.00056,0.00391,0.00000,0.00365,0.02097
1403715533.412528991699219,0.01088,0.00036,0.00023,0.00344,0.00000,0.00351,0.01844
1403715533.462573528289795,0.01111,0.00038,0.00059,0.00298,0.00091,0.00367,0.01965
1403715533.512625932693481,0.01142,0.00039,0.00092,0.00301,0.00349,0.00354,0.02276
1403715533.562657356262207,0.01108,0.00034,0.00160,0.00338,0.00032,0.00324,0.01996
1403715533.612683057785034,0.01127,0.00037,0.00381,0.00336,0.00615,0.00336,0.02833
1403715533.662717819213867,0.01312,0.00040,0.00238,0.00420,0.00106,0.00375,0.02489
1403715533.712699651718140,0.01290,0.00039,0.00037,0.00429,0.00000,0.00343,0.02139
1403715533.762676477432251,0.01270,0.00040,0.00354,0.00416,0.00103,0.00357,0.02540
1403715533.812651872634888,0.01321,0.00039,0.00231,0.00401,0.00100,0.00369,0.02461
1403715533.862634420394897,0.01156,0.00039,0.00186,0.00410,0.00281,0.00337,0.02409
1403715533.912621974945068,0.01198,0.00040,0.00858,0.00446,0.00000,0.00350,0.02892
1403715533.962615013122559,0.01156,0.00041,0.00429,0.00417,0.00000,0.00334,0.02377
