# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715528.859392404556274,0.00764,0.00018,0.00088,0.00000,0.00000,0.00478,0.01350
1403715528.913119554519653,0.00806,0.00019,0.00340,0.00000,0.00248,0.00482,0.01896
1403715528.963418483734131,0.00839,0.00022,0.00040,0.00022,0.00000,0.00473,0.01399
1403715529.012837648391724,0.00705,0.00022,0.00039,0.00019,0.00000,0.00495,0.01282
1403715529.061734676361084,0.00795,0.00022,0.00025,0.00020,0.00000,0.00487,0.01349
1403715529.111235857009888,0.00824,0.00021,0.00037,0.00021,0.00000,0.00492,0.01395
1403715529.160830259323120,0.00886,0.00023,0.00083,0.00020,0.00000,0.00509,0.01521
1403715529.210088729858398,0.00916,0.00023,0.00069,0.00017,0.00000,0.00518,0.01543
1403715529.259772062301636,0.00830,0.00024,0.00101,0.00017,0.00170,0.00523,0.01665
1403715529.311263799667358,0.00790,0.00024,0.00077,0.00024,0.00204,0.00517,0.01636
1403715529.361925840377808,0.00883,0.00024,0.00089,0.00030,0.00055,0.00517,0.01600
1403715529.412256002426147,0.00882,0.00026,0.00049,0.00033,0.00000,0.00530,0.01520
1403715529.463626384735107,0.00852,0.00026,0.00205,0.00031,0.00228,0.00533,0.01876
1403715529.513561248779297,0.00710,0.00027,0.00085,0.00041,0.00852,0.00528,0.02243
1403715529.563265323638916,0.00812,0.00029,0.00070,0.00092,0.00000,0.00529,0.01532
1403715529.612490415573120,0.00822,0.00029,0.00084,0.00088,0.00453,0.00537,0.02012
1403715529.662260293960571,0.00690,0.00032,0.00026,0.00144,0.00196,0.00541,0.01629
1403715529.712252855300903,0.00854,0.00031,0.00127,0.00142,0.00270,0.00546,0.01970
1403715529.761821031570435,0.00719,0.00034,0.00034,0.00201,0.00983,0.00548,0.02518
1403715529.811703205108643,0.00698,0.00039,0.00150,0.00331,0.00362,0.00547,0.02126
1403715529.861637353897095,0.00798,0.00040,0.00060,0.00357,0.00260,0.00550,0.02066
1403715529.911509037017822,0.00694,0.00041,0.00051,0.00385,0.01140,0.00552,0.02863
1403715529.961885452270508,0.00684,0.00047,0.00436,0.00537,0.01064,0.00549,0.03317
1403715530.012065649032593,0.00826,0.00050,0.00897,0.00629,0.00001,0.00578,0.02981
1403715530.062177181243896,0.00716,0.00052,0.00024,0.00650,0.00002,0.00592,0.02037
1403715530.112259626388550,0.00707,0.00051,0.00418,0.00593,0.00313,0.00573,0.02656
1403715530.162461519241333,0.00711,0.00050,0.00567,0.00610,0.00329,0.00586,0.02853
1403715530.212563991546631,0.00685,0.00052,0.00004,0.00692,0.00068,0.00563,0.02064
1403715530.262645244598389,0.00697,0.00052,0.00668,0.00677,0.00270,0.00559,0.02923
1403715530.312803506851196,0.00701,0.00049,0.00080,0.00710,0.00001,0.00582,0.02123
1403715530.362836360931396,0.00688,0.00054,0.00156,0.00695,0.00000,0.00580,0.02174
1403715530.412852525711060,0.00892,0.00046,0.00429,0.00683,0.00529,0.00531,0.03111
1403715530.462895393371582,0.00742,0.00051,0.00185,0.00760,0.00001,0.00567,0.02306
1403715530.512949705123901,0.00745,0.00050,0.00020,0.00754,0.00125,0.00586,0.02281
1403715530.562829256057739,0.00714,0.00052,0.01118,0.00740,0.00039,0.00564,0.03227
1403715530.612771511077881,0.00695,0.00053,0.00630,0.00662,0.00406,0.00569,0.03014
1403715530.662715196609497,0.00679,0.00051,0.00026,0.00756,0.00001,0.00557,0.02070
1403715530.712579011917114,0.00890,0.00046,0.00086,0.00708,0.00175,0.00576,0.02481
1403715530.762522697448730,0.00775,0.00047,0.00311,0.00710,0.00376,0.00564,0.02783
1403715530.812489032745361,0.00720,0.00050,0.00085,0.00717,0.00113,0.00527,0.02212
1403715530.862498044967651,0.00725,0.00048,0.00491,0.00708,0.00253,0.00576,0.02800
1403715530.912460088729858,0.00699,0.00050,0.00308,0.00688,0.00052,0.00575,0.02371
1403715530.962367773056030,0.00842,0.00045,0.00554,0.00688,0.00568,0.00551,0.03249
1403715531.012347459793091,0.00744,0.00053,0.00009,0.00705,0.00001,0.00552,0.02064
1403715531.062270879745483,0.00750,0.00047,0.00034,0.00691,0.00036,0.00565,0.02124
1403715531.112168073654175,0.00712,0.00051,0.00047,0.00635,0.00075,0.00585,0.02105
1403715531.162096977233887,0.00698,0.00050,0.00032,0.00726,0.00315,0.00570,0.02391
1403715531.212023735046387,0.00980,0.00044,0.00527,0.00690,0.00446,0.00550,0.03236
1403715531.261798858642578,0.00736,0.00051,0.01043,0.00807,0.00125,0.00578,0.03341
1403715531.311659574508667,0.00734,0.00053,0.00244,0.00844,0.00060,0.00591,0.02526
1403715531.361463785171509,0.00743,0.00052,0.00303,0.00668,0.00001,0.00563,0.02329
1403715531.411514997482300,0.00688,0.00050,0.00022,0.00649,0.00063,0.00567,0.02040
1403715531.461531162261963,0.00770,0.00048,0.00097,0.00552,0.00123,0.00556,0.02146
1403715531.511530160903931,0.00949,0.00044,0.00219,0.00518,0.00499,0.00572,0.02800
1403715531.561478137969971,0.00730,0.00049,0.00153,0.00572,0.00424,0.00530,0.02458
1403715531.611421346664429,0.00709,0.00051,0.00185,0.00612,0.00092,0.00552,0.02201
1403715531.661362409591675,0.00724,0.00049,0.00066,0.00679,0.00036,0.00560,0.02116
1403715531.711400270462036,0.00685,0.00048,0.00043,0.00657,0.00002,0.00564,0.01999
1403715531.761456727981567,0.00786,0.00043,0.00514,0.00573,0.00997,0.00563,0.03477
1403715531.811597585678101,0.00724,0.00052,0.00189,0.00577,0.00372,0.00548,0.02462
1403715531.861656188964844,0.00719,0.00048,0.00547,0.00547,0.00727,0.00509,0.03097
1403715531.911666870117188,0.00703,0.00053,0.00062,0.00683,0.00224,0.00573,0.02298
1403715531.961658239364624,0.00722,0.00051,0.00023,0.00698,0.00148,0.00560,0.02202
1403715532.011653184890747,0.00792,0.00047,0.00124,0.00733,0.00037,0.00542,0.02274
1403715532.061620712280273,0.00701,0.00050,0.00695,0.00644,0.00247,0.00570,0.02908
1403715532.111617565155029,0.00700,0.00062,0.00106,0.00644,0.00001,0.00579,0.02091
1403715532.161650657653809,0.00670,0.00045,0.00032,0.00648,0.00187,0.00580,0.02162
1403715532.211649894714355,0.00691,0.00051,0.00036,0.00681,0.00051,0.00583,0.02093
1403715532.261645317077637,0.00657,0.00045,0.00023,0.00601,0.00001,0.00563,0.01890
1403715532.311663150787354,0.00715,0.00045,0.00546,0.00574,0.00666,0.00555,0.03101
1403715532.361653327941895,0.00702,0.00048,0.00045,0.00620,0.00629,0.00507,0.02551
1403715532.411650180816650,0.00691,0.00051,0.00084,0.00728,0.00001,0.00557,0.02112
1403715532.461725711822510,0.00725,0.00046,0.00414,0.00644,0.00385,0.00538,0.02751
1403715532.511739969253540,0.00694,0.00049,0.00050,0.00740,0.00035,0.00580,0.02149
1403715532.561759233474731,0.00713,0.00043,0.00129,0.00644,0.00280,0.00558,0.02368
1403715532.611775398254395,0.00690,0.00049,0.00018,0.00655,0.00067,0.00576,0.02056
1403715532.661786556243896,0.00746,0.00045,0.00593,0.00550,0.00163,0.00565,0.02662
1403715532.711798429489136,0.00757,0.00045,0.00034,0.00621,0.00002,0.00561,0.02019
1403715532.761825084686279,0.00666,0.00044,0.00018,0.00569,0.00009,0.00546,0.01853
1403715532.811856985092163,0.00693,0.00045,0.00028,0.00566,0.00000,0.00553,0.01886
1403715532.861869812011719,0.00759,0.00043,0.00039,0.00557,0.00009,0.00545,0.01952
1403715532.911863327026367,0.00714,0.00045,0.00046,0.00537,0.00427,0.00582,0.02352
1403715532.961856842041016,0.00688,0.00041,0.00041,0.00546,0.00006,0.00544,0.01867
1403715533.011842012405396,0.00711,0.00045,0.00025,0.00492,0.00378,0.00522,0.02173
1403715533.061819553375244,0.00782,0.00041,0.00099,0.00536,0.00344,0.00564,0.02366
1403715533.111795663833618,0.00719,0.00047,0.00089,0.00564,0.00145,0.00578,0.02143
1403715533.161740064620972,0.00759,0.00045,0.00184,0.00560,0.00032,0.00561,0.02142
1403715533.211640357971191,0.00705,0.00048,0.00040,0.00458,0.00397,0.00570,0.02218
1403715533.261583566665649,0.00777,0.00038,0.00107,0.00484,0.00357,0.00567,0.02331
