# timestamp(s) tx ty tz qx qy qz qw
1403715893.78406 0.021810000 0.025449000 0.025043000 -0.804873000 -0.007031000 -0.593405000 0.000433000
1403715893.83406 0.022125000 0.029818000 0.031722000 0.807414000 0.008332000 0.589925000 0.001373000
1403715893.88406 0.021923000 0.034351000 0.038400000 0.811249000 0.007953000 0.584644000 0.001638000
1403715893.93406 0.021468000 0.039323000 0.046252000 0.813559000 0.007505000 0.581432000 0.001652000
1403715893.98406 0.020734000 0.044740000 0.054096000 0.817093000 0.007217000 0.576456000 0.002101000
1403715894.03406 0.020087000 0.050462000 0.062070000 0.821432000 0.006523000 0.570264000 0.002317000
1403715894.08406 0.020266000 0.056630000 0.069535000 0.826153000 0.006631000 0.563397000 0.003244000
1403715894.13406 0.020941000 0.063078000 0.077044000 0.827821000 0.008253000 0.560895000 0.006392000
1403715894.18406 0.022841000 0.070107000 0.086759000 0.826016000 0.011684000 0.563395000 0.012107000
1403715894.23437 -0.053143000 0.060138000 0.098619000 0.819624000 0.014274000 0.572457000 0.017477000
1403715894.28478 -0.057618000 0.081844000 0.118948000 0.816106000 0.017134000 0.577153000 0.023921000
1403715894.33467 -0.060595000 0.094649000 0.138148000 0.814663000 0.019443000 0.578840000 0.029830000
1403715894.38438 -0.063624000 0.105852000 0.156401000 0.813748000 0.020741000 0.579832000 0.034342000
1403715894.43381 -0.079024000 0.109766000 0.183306000 0.815234000 0.022625000 0.577681000 0.034158000
1403715894.48371 -0.082698000 0.122514000 0.198796000 0.817233000 0.021517000 0.574879000 0.034379000
1403715894.53375 -0.086344000 0.137754000 0.212970000 0.820087000 0.019498000 0.570952000 0.033035000
1403715894.58374 -0.089617000 0.154762000 0.225564000 0.822430000 0.018032000 0.567655000 0.032438000
1403715894.63377 -0.091383000 0.172379000 0.234655000 0.824116000 0.016368000 0.565354000 0.030639000
1403715894.68376 -0.094274000 0.193568000 0.246773000 0.826282000 0.013613000 0.562424000 0.027440000
1403715894.73376 -0.094093000 0.214241000 0.257867000 0.826479000 0.011598000 0.562325000 0.024249000
1403715894.78381 -0.093370000 0.235468000 0.269839000 0.825713000 0.009237000 0.563649000 0.020331000
1403715894.83381 -0.091195000 0.259921000 0.282999000 0.824159000 0.007150000 0.566042000 0.017542000
1403715894.88381 -0.087598000 0.283302000 0.295947000 0.822238000 0.006169000 0.568909000 0.015145000
1403715894.93380 -0.084623000 0.308287000 0.309175000 0.820354000 0.005733000 0.571645000 0.014471000
1403715894.98381 -0.080172000 0.334594000 0.323881000 0.819149000 0.004913000 0.573399000 0.013548000
1403715895.03382 -0.077534000 0.358647000 0.337841000 0.818270000 0.004359000 0.574686000 0.012307000
1403715895.08388 -0.074705000 0.384045000 0.352822000 0.817895000 0.004593000 0.575204000 0.012944000
1403715895.13388 -0.071478000 0.410996000 0.367014000 0.817945000 0.003409000 0.575167000 0.011708000
1403715895.18383 -0.069052000 0.439623000 0.379499000 0.817974000 0.002557000 0.575140000 0.011186000
1403715895.23383 -0.066431000 0.466041000 0.391888000 0.818300000 0.001358000 0.574708000 0.009682000
1403715895.28382 -0.064051000 0.493166000 0.404158000 0.818106000 0.001208000 0.574985000 0.009645000
1403715895.33383 -0.061385000 0.521653000 0.415161000 0.818255000 0.000670000 0.574775000 0.009547000
1403715895.38386 -0.059027000 0.548560000 0.425892000 0.818036000 0.000545000 0.575085000 0.009684000
1403715895.43388 -0.058178000 0.573556000 0.433588000 0.817797000 0.000542000 0.575423000 0.009811000
1403715895.48388 -0.056648000 0.598783000 0.443049000 0.818193000 0.000204000 0.574867000 0.009426000
1403715895.53386 -0.055046000 0.622522000 0.452497000 0.818277000 -0.000010000 0.574749000 0.009271000
1403715895.58386 -0.053827000 0.647337000 0.462993000 0.818922000 -0.000835000 0.573839000 0.008610000
1403715895.63387 -0.052449000 0.671655000 0.472993000 0.818468000 -0.000381000 0.574478000 0.009222000
1403715895.68386 -0.051391000 0.694099000 0.480756000 0.818615000 -0.000538000 0.574269000 0.009222000
1403715895.73386 -0.049541000 0.717766000 0.490502000 0.818874000 -0.000974000 0.573905000 0.008796000
1403715895.78385 -0.048009000 0.742331000 0.500037000 0.819043000 -0.001293000 0.573664000 0.008760000
1403715895.83386 -0.046260000 0.767325000 0.510145000 0.819044000 -0.001422000 0.573663000 0.008728000
1403715895.88386 -0.044048000 0.790954000 0.519899000 0.819240000 -0.001195000 0.573379000 0.008972000
1403715895.93382 -0.043655000 0.817256000 0.530372000 0.818900000 -0.001429000 0.573873000 0.008400000
1403715895.98381 -0.040998000 0.844085000 0.541704000 0.819224000 -0.002577000 0.573424000 0.007046000
1403715896.03381 -0.041922000 0.870937000 0.550941000 0.819365000 -0.003200000 0.573234000 0.005761000
1403715896.08380 -0.041889000 0.895009000 0.558138000 0.819513000 -0.004688000 0.573035000 0.002856000
1403715896.13387 -0.041705000 0.917246000 0.562233000 -0.819888000 0.007091000 -0.572479000 0.000735000
1403715896.18383 -0.043971000 0.936841000 0.562581000 -0.819192000 0.009946000 -0.573410000 0.005274000
1403715896.23386 -0.044238000 0.953909000 0.559125000 -0.818585000 0.014666000 -0.574078000 0.011729000
1403715896.28390 -0.044956000 0.971077000 0.556950000 -0.816736000 0.020034000 -0.576343000 0.019226000
1403715896.33389 -0.043655000 0.987760000 0.561386000 -0.815056000 0.026258000 -0.578118000 0.027813000
1403715896.38394 -0.044153000 1.003155000 0.564817000 -0.813894000 0.031467000 -0.579066000 0.035616000
1403715896.43391 -0.046216000 1.017379000 0.573494000 -0.812498000 0.035081000 -0.580453000 0.041127000
1403715896.48391 -0.048640000 1.028797000 0.583114000 -0.811254000 0.038751000 -0.581492000 0.047245000
1403715896.53389 -0.050001000 1.037424000 0.592299000 -0.809584000 0.040902000 -0.583345000 0.051087000
1403715896.58386 -0.052694000 1.043854000 0.602607000 -0.807526000 0.043435000 -0.585634000 0.055209000
1403715896.63386 -0.057915000 1.045925000 0.611947000 -0.805388000 0.045188000 -0.588222000 0.057465000
1403715896.68381 -0.063612000 1.044293000 0.622691000 -0.803736000 0.046008000 -0.590234000 0.059286000
1403715896.73383 -0.069856000 1.040190000 0.632106000 -0.802977000 0.047096000 -0.590959000 0.061460000
1403715896.78382 -0.077742000 1.032330000 0.642168000 -0.804087000 0.048049000 -0.589146000 0.063577000
1403715896.83382 -0.087682000 1.020480000 0.653305000 -0.805858000 0.049068000 -0.586248000 0.067074000
1403715896.88385 -0.095283000 1.004415000 0.664144000 -0.807380000 0.051084000 -0.583559000 0.070617000
1403715896.93388 -0.103211000 0.985021000 0.674683000 -0.808779000 0.054046000 -0.580696000 0.075812000
1403715896.98390 -0.111090000 0.960948000 0.684970000 -0.809848000 0.058038000 -0.577915000 0.082411000
1403715897.03391 -0.122195000 0.930831000 0.696089000 -0.810577000 0.062199000 -0.575399000 0.089514000
1403715897.08394 -0.130637000 0.895172000 0.707100000 -0.811119000 0.065392000 -0.573449000 0.094686000
1403715897.13395 -0.137537000 0.852774000 0.719161000 -0.811261000 0.066869000 -0.572777000 0.096489000
1403715897.18398 -0.144372000 0.805138000 0.731447000 -0.811347000 0.066773000 -0.572809000 0.095643000
1403715897.23395 -0.151377000 0.752247000 0.745407000 -0.812754000 0.063450000 -0.572054000 0.090325000
1403715897.28390 -0.157185000 0.694100000 0.758521000 -0.814368000 0.056503000 -0.572093000 0.079513000
1403715897.33393 -0.162040000 0.632094000 0.770196000 -0.816641000 0.046765000 -0.571544000 0.065185000
1403715897.38387 -0.167654000 0.564483000 0.784066000 -0.818764000 0.035513000 -0.570948000 0.048815000
1403715897.43390 -0.170442000 0.497280000 0.795005000 -0.820867000 0.027567000 -0.569305000 0.036183000
1403715897.48386 -0.175287000 0.426342000 0.807373000 -0.821397000 0.021176000 -0.569340000 0.026634000
1403715897.53383 -0.180267000 0.353900000 0.820050000 -0.822069000 0.016638000 -0.568783000 0.020303000
1403715897.58382 -0.183584000 0.282103000 0.830500000 -0.822437000 0.015964000 -0.568321000 0.018779000
1403715897.63382 -0.185282000 0.209879000 0.841280000 -0.822357000 0.018286000 -0.568271000 0.021499000
1403715897.68385 -0.187218000 0.136972000 0.851507000 -0.822115000 0.020499000 -0.568426000 0.024460000
1403715897.73384 -0.188362000 0.063636000 0.861623000 -0.821570000 0.025590000 -0.568682000 0.031107000
1403715897.78384 -0.189055000 -0.010484000 0.871141000 -0.820627000 0.028946000 -0.569625000 0.035502000
1403715897.83389 -0.189398000 -0.086473000 0.879816000 -0.819262000 0.031375000 -0.571275000 0.038335000
1403715897.88398 -0.191285000 -0.165008000 0.888170000 -0.816991000 0.032637000 -0.574337000 0.039965000
1403715897.93398 -0.191044000 -0.245623000 0.897172000 -0.815490000 0.030132000 -0.576812000 0.036809000
1403715897.98399 -0.192038000 -0.328791000 0.906053000 -0.813893000 0.028314000 -0.579276000 0.034865000
1403715898.03400 -0.192046000 -0.412418000 0.914364000 -0.811091000 0.024826000 -0.583614000 0.030160000
1403715898.08397 -0.194909000 -0.497702000 0.920612000 -0.806895000 0.022055000 -0.589738000 0.025365000
1403715898.13397 -0.198193000 -0.583704000 0.929263000 -0.802845000 0.020018000 -0.595538000 0.019329000
1403715898.18398 -0.201907000 -0.669049000 0.937384000 -0.799098000 0.020750000 -0.600681000 0.013910000
1403715898.23400 -0.205852000 -0.755243000 0.944870000 -0.796774000 0.021922000 -0.603840000 0.006898000
1403715898.28406 -0.210505000 -0.841473000 0.950634000 0.796373000 -0.024720000 0.604300000 0.000196000
1403715898.33410 -0.218684000 -0.927954000 0.955248000 0.796928000 -0.029088000 0.603329000 0.007247000
1403715898.38414 -0.227908000 -1.013497000 0.957974000 0.798788000 -0.034751000 0.600443000 0.014103000
1403715898.43416 -0.236094000 -1.100824000 0.958841000 0.802233000 -0.041409000 0.595202000 0.021033000
1403715898.48414 -0.246898000 -1.184809000 0.961104000 0.805484000 -0.049492000 0.589915000 0.027335000
1403715898.53414 -0.259298000 -1.269129000 0.962421000 0.809088000 -0.057540000 0.583871000 0.034068000
1403715898.58414 -0.271835000 -1.354507000 0.963448000 0.811249000 -0.065687000 0.579530000 0.041292000
1403715898.63416 -0.286460000 -1.439582000 0.962297000 0.813028000 -0.074617000 0.575398000 0.048327000
1403715898.68420 -0.300985000 -1.524826000 0.959045000 0.811213000 -0.083680000 0.576029000 0.055882000
