# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.784058094024658,0.00384,0.00017,0.00034,0.00000,0.00000,0.00236,0.00671
1403715893.834058046340942,0.00344,0.00018,0.00075,0.00000,0.00098,0.00231,0.00766
1403715893.884057998657227,0.00358,0.00018,0.00082,0.00000,0.00000,0.00226,0.00684
1403715893.934057950973511,0.00363,0.00018,0.00021,0.00000,0.00000,0.00244,0.00645
1403715893.984057903289795,0.00366,0.00019,0.00009,0.00000,0.00000,0.00245,0.00639
1403715894.034058094024658,0.00372,0.00018,0.00018,0.00000,0.00000,0.00242,0.00651
1403715894.084058046340942,0.00379,0.00021,0.00013,0.00000,0.00000,0.00243,0.00656
1403715894.134057998657227,0.00425,0.00019,0.00018,0.00000,0.00000,0.00253,0.00715
1403715894.184057950973511,0.00345,0.00019,0.00012,0.00000,0.00000,0.00258,0.00634
1403715894.234371900558472,0.00400,0.00020,0.00020,0.00000,0.00199,0.00258,0.00898
1403715894.284780979156494,0.00396,0.00021,0.00014,0.00018,0.00333,0.00266,0.01047
1403715894.334668397903442,0.00419,0.00025,0.00023,0.00041,0.00000,0.00255,0.00764
1403715894.384377717971802,0.00350,0.00023,0.00021,0.00038,0.00000,0.00261,0.00693
1403715894.433809280395508,0.00378,0.00028,0.00935,0.00039,0.02702,0.00289,0.04371
1403715894.483709096908569,0.00374,0.00039,0.01287,0.00381,0.00000,0.00276,0.02357
1403715894.533748865127563,0.00340,0.00039,0.00387,0.00376,0.00000,0.00289,0.01431
1403715894.583736896514893,0.00381,0.00033,0.00104,0.00362,0.00000,0.00275,0.01154
1403715894.633771896362305,0.00338,0.00040,0.00147,0.00355,0.00000,0.00265,0.01145
1403715894.683762788772583,0.00364,0.00040,0.00269,0.00353,0.00104,0.00275,0.01405
1403715894.733758926391602,0.00353,0.00036,0.00010,0.00388,0.00000,0.00271,0.01058
1403715894.783811330795288,0.00361,0.00041,0.00045,0.00384,0.00000,0.00283,0.01115
1403715894.833812952041626,0.00400,0.00035,0.00487,0.00377,0.00000,0.00290,0.01589
1403715894.883808851242065,0.00378,0.00036,0.00498,0.00380,0.00000,0.00283,0.01576
1403715894.933802604675293,0.00335,0.00036,0.00240,0.00351,0.00000,0.00270,0.01232
1403715894.983805894851685,0.00402,0.00035,0.00447,0.00333,0.00101,0.00321,0.01640
1403715895.033818006515503,0.00379,0.00034,0.00948,0.00328,0.00200,0.00270,0.02158
1403715895.083878040313721,0.00418,0.00039,0.01142,0.00333,0.00198,0.00268,0.02397
1403715895.133880376815796,0.00346,0.00042,0.00339,0.00364,0.00195,0.00262,0.01548
1403715895.183827877044678,0.00388,0.00041,0.00179,0.00387,0.00000,0.00277,0.01273
1403715895.233830928802490,0.00405,0.00035,0.00065,0.00351,0.00000,0.00277,0.01133
1403715895.283819437026978,0.00392,0.00039,0.00074,0.00349,0.00307,0.00268,0.01429
1403715895.333832025527954,0.00360,0.00035,0.00236,0.00362,0.00000,0.00280,0.01273
1403715895.383858442306519,0.00357,0.00039,0.00368,0.00360,0.00206,0.00299,0.01630
1403715895.433878660202026,0.00397,0.00040,0.00505,0.00362,0.00001,0.00269,0.01574
1403715895.483882665634155,0.00439,0.00041,0.00356,0.00362,0.00106,0.00281,0.01586
1403715895.533858537673950,0.00350,0.00043,0.00415,0.00362,0.00098,0.00319,0.01587
1403715895.583858489990234,0.00358,0.00040,0.00394,0.00379,0.00121,0.00294,0.01586
1403715895.633871555328369,0.00486,0.00038,0.00869,0.00359,0.00100,0.00277,0.02129
1403715895.683855295181274,0.00345,0.00040,0.01035,0.00361,0.00202,0.00304,0.02288
1403715895.733862638473511,0.00353,0.00040,0.00328,0.00395,0.00104,0.00288,0.01509
1403715895.783853530883789,0.00337,0.00042,0.00239,0.00382,0.00000,0.00274,0.01274
