# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393217.155760526657104,0.00672,0.00018,0.00024,0.00000,0.00000,0.00484,0.01198
1413393217.206010341644287,0.00632,0.00019,0.00325,0.00000,0.01002,0.00479,0.02458
1413393217.255807876586914,0.00715,0.00031,0.00024,0.00302,0.00000,0.00477,0.01550
1413393217.305675029754639,0.00682,0.00030,0.00032,0.00300,0.00000,0.00492,0.01537
1413393217.355556488037109,0.00704,0.00030,0.00031,0.00313,0.00000,0.00498,0.01576
1413393217.405611991882324,0.00671,0.00032,0.00065,0.00312,0.00000,0.00494,0.01574
1413393217.455573320388794,0.00708,0.00034,0.00024,0.00322,0.00000,0.00505,0.01593
1413393217.505641698837280,0.00665,0.00034,0.00036,0.00330,0.00000,0.00521,0.01587
1413393217.555531024932861,0.00716,0.00035,0.00046,0.00337,0.00291,0.00548,0.01972
1413393217.605767965316772,0.00654,0.00034,0.00034,0.00359,0.00000,0.00540,0.01622
1413393217.655672073364258,0.00693,0.00038,0.00031,0.00357,0.00000,0.00557,0.01678
1413393217.706210374832153,0.00686,0.00034,0.00044,0.00356,0.00000,0.00555,0.01677
1413393217.756154537200928,0.00661,0.00037,0.00030,0.00366,0.00000,0.00590,0.01685
1413393217.806429386138916,0.00654,0.00034,0.00683,0.00343,0.01838,0.00571,0.04122
1413393217.856436491012573,0.00656,0.00044,0.00022,0.00564,0.00336,0.00536,0.02159
1413393217.906501770019531,0.00687,0.00044,0.00035,0.00611,0.00535,0.00578,0.02490
1413393217.956364393234253,0.00691,0.00040,0.00079,0.00706,0.00045,0.00550,0.02110
1413393218.006500482559204,0.00716,0.00043,0.00008,0.00758,0.00001,0.00514,0.02041
1413393218.056637525558472,0.00719,0.00046,0.00015,0.00746,0.00001,0.00527,0.02054
1413393218.106617450714111,0.00696,0.00052,0.00014,0.00760,0.00001,0.00564,0.02086
1413393218.156774520874023,0.00673,0.00046,0.00079,0.00748,0.00001,0.00533,0.02079
1413393218.206930398941040,0.00711,0.00048,0.00004,0.00745,0.00028,0.00550,0.02087
1413393218.256764650344849,0.00661,0.00049,0.00011,0.00716,0.00198,0.00542,0.02177
1413393218.306783914566040,0.00690,0.00050,0.00004,0.00750,0.00419,0.00601,0.02514
1413393218.356382369995117,0.00698,0.00047,0.00190,0.00800,0.00213,0.00602,0.02551
1413393218.405861854553223,0.00828,0.00052,0.01116,0.00805,0.00265,0.00604,0.03671
1413393218.456029176712036,0.00651,0.00051,0.00104,0.00896,0.00001,0.00557,0.02260
1413393218.505993127822876,0.00680,0.00050,0.00529,0.00913,0.00001,0.00551,0.02723
1413393218.556063413619995,0.00721,0.00052,0.00550,0.00877,0.00001,0.00559,0.02761
1413393218.606123685836792,0.00724,0.00050,0.00446,0.00763,0.00001,0.00556,0.02539
1413393218.656117677688599,0.00754,0.00045,0.00026,0.00756,0.00051,0.00589,0.02222
1413393218.706097841262817,0.00710,0.00049,0.00010,0.00787,0.00001,0.00551,0.02108
1413393218.755960941314697,0.00748,0.00047,0.00016,0.00784,0.00215,0.00599,0.02409
1413393218.805841207504272,0.00732,0.00046,0.00013,0.00827,0.00001,0.00561,0.02179
1413393218.855734825134277,0.00721,0.00049,0.00015,0.00791,0.00001,0.00620,0.02196
1413393218.905704736709595,0.00755,0.00045,0.00354,0.00741,0.00208,0.00580,0.02683
1413393218.955797672271729,0.00775,0.00047,0.00322,0.00765,0.00002,0.00603,0.02514
1413393219.005911588668823,0.00645,0.00050,0.00494,0.00713,0.00203,0.00564,0.02669
1413393219.055951118469238,0.00639,0.00051,0.00033,0.00751,0.00128,0.00593,0.02196
1413393219.106007337570190,0.00666,0.00054,0.00239,0.00737,0.00406,0.00561,0.02663
1413393219.156038045883179,0.00635,0.00056,0.00561,0.00819,0.00212,0.00556,0.02838
1413393219.206086397171021,0.00640,0.00051,0.00178,0.00877,0.00001,0.00563,0.02309
1413393219.256086349487305,0.00624,0.00052,0.00024,0.00906,0.00001,0.00571,0.02178
1413393219.306100130081177,0.00626,0.00056,0.00004,0.00897,0.00001,0.00549,0.02133
1413393219.356137275695801,0.00797,0.00047,0.00127,0.00838,0.00001,0.00579,0.02388
1413393219.406224966049194,0.00709,0.00047,0.00149,0.00823,0.00385,0.00594,0.02708
1413393219.456235408782959,0.00681,0.00054,0.00351,0.00876,0.00001,0.00617,0.02579
1413393219.506373405456543,0.00781,0.00048,0.00755,0.00851,0.00001,0.00583,0.03020
1413393219.556390047073364,0.00670,0.00051,0.00180,0.00879,0.00128,0.00589,0.02496
1413393219.606433868408203,0.00679,0.00053,0.00142,0.00914,0.00001,0.00589,0.02377
1413393219.656437635421753,0.00684,0.00056,0.00004,0.00925,0.00001,0.00620,0.02290
1413393219.706413030624390,0.00687,0.00054,0.00279,0.00925,0.00001,0.00588,0.02533
1413393219.756446123123169,0.00680,0.00050,0.00522,0.00900,0.00001,0.00584,0.02737
1413393219.806466341018677,0.00664,0.00050,0.00060,0.00839,0.00001,0.00558,0.02174
1413393219.856524229049683,0.00659,0.00052,0.00234,0.00814,0.00001,0.00544,0.02303
1413393219.906531333923340,0.00641,0.00049,0.00434,0.00814,0.00053,0.00562,0.02552
1413393219.956553697586060,0.00752,0.00050,0.00115,0.00870,0.00001,0.00621,0.02408
1413393220.006532192230225,0.00663,0.00050,0.00006,0.00824,0.00001,0.00592,0.02136
1413393220.056442022323608,0.00667,0.00048,0.00851,0.00792,0.00121,0.00562,0.03041
1413393220.106380701065063,0.00673,0.00053,0.00656,0.00798,0.00056,0.00590,0.02826
1413393220.156365394592285,0.00652,0.00051,0.00173,0.00859,0.00001,0.00560,0.02296
1413393220.206345796585083,0.00656,0.00055,0.00376,0.00864,0.00001,0.00580,0.02532
1413393220.256344795227051,0.00665,0.00049,0.00075,0.00856,0.00001,0.00558,0.02203
1413393220.306351900100708,0.00682,0.00050,0.00248,0.00833,0.00001,0.00575,0.02388
1413393220.356356859207153,0.00683,0.00052,0.00484,0.00802,0.00001,0.00586,0.02607
1413393220.406359910964966,0.00660,0.00052,0.00239,0.00813,0.00053,0.00573,0.02391
1413393220.456371545791626,0.00666,0.00050,0.00022,0.00851,0.00054,0.00607,0.02249
1413393220.506395339965820,0.00682,0.00052,0.00973,0.00872,0.00001,0.00588,0.03168
