# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.048689126968384,0.01572,0.00017,0.00080,0.00000,0.00000,0.00517,0.02186
1413393890.105455636978149,0.01596,0.00017,0.00262,0.00000,0.00523,0.00511,0.02909
1413393890.155459880828857,0.01648,0.00024,0.00007,0.00111,0.00000,0.00514,0.02304
1413393890.205769777297974,0.01612,0.00024,0.00032,0.00109,0.00000,0.00526,0.02302
1413393890.256088256835938,0.01524,0.00025,0.00029,0.00110,0.00000,0.00531,0.02219
1413393890.306560277938843,0.01498,0.00026,0.00054,0.00113,0.00000,0.00543,0.02233
1413393890.356852293014526,0.01440,0.00027,0.00004,0.00121,0.00000,0.00543,0.02135
1413393890.406888246536255,0.01484,0.00027,0.00123,0.00097,0.00000,0.00556,0.02287
1413393890.456437349319458,0.01525,0.00027,0.00080,0.00097,0.00321,0.00554,0.02604
1413393890.506328821182251,0.01532,0.00027,0.00043,0.00137,0.00003,0.00550,0.02292
1413393890.556057929992676,0.01544,0.00029,0.00062,0.00137,0.01012,0.00551,0.03336
1413393890.606140136718750,0.01546,0.00031,0.00025,0.00263,0.01212,0.00569,0.03646
1413393890.656535148620605,0.01437,0.00033,0.00058,0.00382,0.00274,0.00575,0.02759
1413393890.706751585006714,0.01508,0.00036,0.00432,0.00401,0.02074,0.00560,0.05012
1413393890.756868600845337,0.01448,0.00042,0.00684,0.00721,0.00000,0.00574,0.03470
1413393890.806906223297119,0.01493,0.00043,0.00029,0.00731,0.00000,0.00568,0.02865
1413393890.856865167617798,0.01546,0.00042,0.00335,0.00709,0.00000,0.00570,0.03203
1413393890.906856060028076,0.01533,0.00042,0.00012,0.00736,0.00000,0.00572,0.02895
1413393890.956805944442749,0.01603,0.00043,0.00338,0.00710,0.00000,0.00570,0.03265
1413393891.006766319274902,0.01572,0.00041,0.00465,0.00704,0.00001,0.00605,0.03387
1413393891.056724071502686,0.01582,0.00043,0.00475,0.00704,0.00000,0.00552,0.03356
1413393891.106650352478027,0.01562,0.00041,0.00596,0.00708,0.00001,0.00586,0.03494
1413393891.156637907028198,0.01411,0.00045,0.00499,0.00708,0.00000,0.00588,0.03251
1413393891.206620454788208,0.01424,0.00043,0.00195,0.00722,0.00000,0.00602,0.02987
