# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1413393890.048689126968384,0,9,0,0,5
1413393890.105455636978149,16,12,0,16,6
1413393890.155459880828857,16,0,16,0,7
1413393890.205769777297974,16,1,16,0,8
1413393890.256088256835938,16,1,16,0,9
1413393890.306560277938843,16,2,16,0,10
1413393890.356852293014526,16,0,16,0,11
1413393890.406888246536255,15,4,14,0,11
1413393890.456437349319458,18,2,14,3,11
1413393890.506328821182251,17,1,17,0,11
1413393890.556057929992676,28,1,17,11,11
1413393890.606140136718750,34,0,25,9,11
1413393890.656535148620605,37,1,34,3,11
1413393890.706751585006714,50,5,37,13,11
1413393890.756868600845337,50,6,50,0,11
1413393890.806906223297119,50,0,50,0,11
1413393890.856865167617798,50,2,50,0,11
1413393890.906856060028076,50,0,50,0,11
1413393890.956805944442749,50,2,50,0,11
1413393891.006766319274902,50,3,50,0,11
1413393891.056724071502686,50,3,50,0,11
1413393891.106650352478027,50,5,50,0,11
1413393891.156637907028198,50,4,50,0,11
1413393891.206620454788208,50,2,50,0,11
1413393891.256609916687012,50,0,50,0,11
1413393891.306812524795532,50,4,50,0,11
1413393891.356990575790405,45,8,44,0,11
1413393891.406933784484863,45,4,39,5,11
1413393891.456804037094116,44,1,40,2,11
1413393891.506654977798462,39,2,37,0,11
1413393891.556526660919189,38,1,37,1,11
1413393891.606351613998413,39,0,38,1,11
1413393891.656173944473267,44,0,39,5,11
1413393891.706066846847534,48,0,44,4,11
1413393891.755977869033813,49,0,48,1,11
1413393891.805905103683472,48,1,47,0,11
1413393891.855862617492676,48,0,45,0,11
1413393891.905791521072388,50,2,45,3,11
1413393891.955743789672852,49,8,46,1,11
1413393892.005717754364014,48,16,45,1,11
1413393892.055733919143677,49,3,43,3,11
1413393892.105780124664307,48,4,43,0,11
1413393892.155776500701904,47,0,43,2,11
1413393892.205729246139526,46,0,45,1,11
1413393892.255685329437256,45,0,44,0,11
1413393892.305649280548096,45,5,44,0,11
1413393892.355633497238159,44,3,44,0,11
1413393892.405605077743530,48,5,43,4,11
1413393892.455568313598633,48,0,46,0,11
1413393892.505543231964111,45,2,43,0,11
1413393892.555514097213745,45,12,40,4,11
1413393892.605534791946411,46,5,42,2,11
1413393892.655541658401489,45,1,42,2,11
1413393892.705550432205200,47,11,42,5,11
1413393892.755574464797974,48,4,44,2,11
1413393892.805568933486938,45,4,38,2,11
1413393892.855571031570435,46,3,40,3,11
1413393892.905566215515137,42,2,41,0,11
1413393892.955563545227051,42,5,38,2,11
1413393893.005578517913818,44,6,37,6,11
1413393893.055592536926270,39,5,38,0,11
1413393893.105605363845825,37,3,36,0,11
1413393893.155642986297607,45,1,36,9,11
1413393893.205631256103516,49,8,44,5,11
1413393893.255637407302856,49,0,49,0,11
1413393893.305631399154663,50,0,48,1,11
1413393893.355613708496094,50,3,49,0,11
1413393893.405625343322754,49,17,47,0,11
1413393893.455618619918823,49,29,47,1,11
1413393893.505610466003418,48,2,48,0,11
1413393893.555600881576538,48,0,46,1,11
1413393893.605582952499390,48,0,45,2,11
1413393893.655565023422241,47,3,45,2,11
1413393893.705559015274048,47,2,46,0,11
1413393893.755557775497437,47,1,44,1,11
1413393893.805561065673828,47,10,42,2,11
1413393893.855562210083008,42,8,39,0,11
1413393893.905566930770874,37,10,35,0,11
1413393893.955565214157104,36,8,33,2,11
1413393894.005562067031860,42,7,33,8,11
1413393894.055567026138306,47,8,37,7,11
1413393894.105567693710327,44,2,41,1,11
1413393894.155578613281250,42,1,38,1,11
1413393894.205578565597534,39,8,35,0,11
1413393894.255583524703979,33,1,30,1,11
1413393894.305587768554688,32,2,30,1,11
1413393894.355590820312500,29,7,27,0,11
1413393894.405596256256104,37,0,25,9,11
1413393894.455592870712280,38,0,34,3,11
1413393894.505588531494141,41,2,37,4,11
1413393894.555589199066162,44,2,41,3,11
1413393894.605588674545288,47,3,44,3,11
1413393894.655585050582886,49,6,46,2,11
1413393894.705581426620483,46,5,43,1,11
1413393894.755584716796875,46,3,42,1,11
1413393894.805580377578735,47,1,43,2,11
1413393894.855579614639282,48,7,43,3,11
1413393894.905573368072510,49,3,46,1,11
1413393894.955560445785522,49,4,47,2,11
1413393895.005553007125854,48,1,46,1,11
1413393895.055544853210449,49,2,46,2,11
1413393895.105543136596680,50,2,48,2,11
1413393895.155548572540283,50,6,50,0,11
1413393895.205545902252197,49,3,48,0,11
1413393895.255544662475586,46,5,42,1,11
1413393895.305544376373291,46,4,37,5,11
1413393895.355539560317993,45,3,41,3,11
1413393895.405534744262695,44,2,40,2,11
1413393895.455533266067505,47,2,40,5,11
1413393895.505537033081055,48,5,44,4,11
1413393895.555540561676025,46,7,43,2,11
1413393895.605544328689575,46,1,44,0,11
1413393895.655549049377441,43,9,40,2,11
1413393895.705564260482788,40,2,36,2,11
1413393895.755567550659180,36,3,30,2,11
1413393895.805567741394043,36,5,29,4,11
1413393895.855565071105957,33,5,30,1,11
1413393895.905567169189453,29,7,28,1,11
1413393895.955563545227051,29,0,27,2,11
1413393896.005563735961914,29,1,26,1,11
1413393896.055563926696777,27,4,24,0,11
1413393896.105566740036011,32,6,20,7,11
1413393896.155571699142456,31,3,25,2,11
1413393896.205569982528687,29,1,25,2,11
1413393896.255573749542236,29,0,25,0,11
1413393896.305581808090210,26,0,24,0,11
1413393896.355590820312500,26,0,22,2,11
1413393896.405601024627686,26,1,24,0,11
1413393896.455616712570190,31,2,23,7,11
1413393896.505620002746582,31,1,26,2,11
1413393896.555623531341553,33,1,25,5,11
1413393896.605623722076416,35,5,28,5,11
1413393896.655624628067017,34,1,33,0,11
1413393896.705624103546143,34,2,30,1,11
1413393896.755626201629639,35,2,30,1,11
1413393896.805622339248657,33,1,30,1,11
1413393896.855622529983521,35,1,28,3,11
1413393896.905626535415649,36,1,31,2,11
1413393896.955631017684937,40,0,31,7,11
1413393897.005629777908325,39,0,35,0,11
1413393897.055620670318604,39,0,31,3,11
1413393897.105612277984619,38,2,34,2,11
1413393897.155607223510742,38,1,35,3,11
1413393897.205606460571289,43,3,38,5,11
1413393897.255597352981567,44,0,42,1,11
1413393897.305602312088013,45,1,42,2,11
1413393897.355603456497192,45,1,40,2,11
1413393897.405591964721680,48,1,42,4,11
1413393897.455608129501343,46,5,42,3,11
1413393897.505618095397949,49,1,42,4,11
1413393897.555634737014771,50,2,44,2,11
1413393897.605641365051270,49,0,46,1,11
1413393897.655650615692139,49,2,47,2,11
1413393897.705662727355957,48,1,48,0,11
1413393897.755672931671143,50,6,48,2,11
1413393897.805684328079224,49,7,49,0,11
1413393897.855693578720093,49,0,48,0,11
1413393897.905699491500854,49,1,46,1,11
1413393897.955734252929688,48,6,44,2,11
1413393898.005742788314819,46,1,44,1,11
1413393898.055777311325073,46,6,41,3,11
1413393898.105780124664307,45,0,41,2,11
1413393898.155781984329224,40,1,39,0,11
1413393898.205784797668457,34,10,30,2,11
1413393898.255783796310425,35,6,31,1,11
1413393898.305784463882446,32,5,29,3,11
1413393898.355793714523315,33,6,28,3,11
