# timestamp(s) tx ty tz qx qy qz qw
1413393890.02464 -0.047686000 0.012741000 0.158468000 0.816503000 0.000770000 0.575573000 0.045140000
1413393890.10622 0.014793000 -0.018254000 0.146088000 0.821725000 0.021149000 0.568355000 0.035955000
1413393890.15654 0.028157000 -0.005970000 0.192045000 0.817767000 0.015946000 0.574607000 0.028800000
1413393890.20648 0.039837000 0.005624000 0.209725000 0.816442000 0.010908000 0.576908000 0.021930000
1413393890.25647 0.050434000 0.015491000 0.231015000 0.815071000 0.006803000 0.579086000 0.016500000
1413393890.30657 0.067528000 0.026721000 0.237514000 0.814096000 0.002365000 0.580612000 0.011472000
1413393890.35639 0.080327000 0.034933000 0.249398000 0.813277000 -0.000027000 0.581819000 0.008195000
1413393890.40639 0.092846000 0.045142000 0.258157000 0.812431000 -0.002104000 0.583024000 0.005913000
1413393890.45677 0.113991000 0.061371000 0.256643000 0.809719000 -0.004564000 0.586767000 0.006269000
1413393890.50742 0.132063000 0.075873000 0.266476000 0.805649000 -0.006847000 0.592330000 0.005249000
1413393890.55795 0.146020000 0.091848000 0.274228000 0.799577000 -0.008313000 0.600485000 0.005059000
1413393890.60804 0.147701000 0.109131000 0.282552000 0.795017000 -0.009604000 0.606474000 0.006763000
1413393890.65756 0.157051000 0.120406000 0.284304000 0.793861000 -0.008593000 0.607984000 0.008115000
1413393890.70759 0.159486000 0.129014000 0.274422000 0.795479000 -0.007316000 0.605870000 0.008997000
1413393890.75767 0.157448000 0.137009000 0.266825000 0.798592000 -0.005851000 0.601766000 0.009745000
1413393890.80754 0.152166000 0.144649000 0.257664000 0.801998000 -0.005101000 0.597226000 0.009708000
1413393890.85729 0.147220000 0.152672000 0.251784000 0.804997000 -0.004082000 0.593172000 0.010505000
1413393890.90704 0.144673000 0.161621000 0.250169000 0.807089000 -0.003761000 0.590327000 0.010363000
1413393890.95683 0.144693000 0.172323000 0.253544000 0.808663000 -0.002715000 0.588157000 0.011324000
1413393891.00670 0.145439000 0.183371000 0.259244000 0.809906000 -0.002098000 0.586436000 0.011853000
1413393891.05643 0.146610000 0.194420000 0.263793000 0.810598000 -0.000612000 0.585472000 0.012385000
1413393891.10626 0.147901000 0.206774000 0.273497000 0.810308000 -0.000592000 0.585877000 0.012166000
1413393891.15617 0.149088000 0.219733000 0.282805000 0.810693000 -0.000735000 0.585366000 0.011046000
1413393891.20615 0.148872000 0.232810000 0.290803000 0.810244000 -0.000595000 0.585999000 0.010458000
1413393891.25614 0.146752000 0.245550000 0.294403000 0.809165000 -0.000855000 0.587502000 0.009612000
1413393891.30633 0.142325000 0.256533000 0.294265000 0.804461000 -0.000539000 0.593932000 0.009299000
1413393891.35653 0.140421000 0.268958000 0.295118000 0.791390000 -0.000061000 0.611248000 0.008822000
1413393891.40668 0.135651000 0.281014000 0.294089000 0.772906000 -0.000251000 0.634483000 0.006883000
1413393891.45662 0.128295000 0.293483000 0.288603000 0.753649000 -0.000181000 0.657267000 0.003621000
1413393891.50624 0.116886000 0.306875000 0.282939000 0.738615000 -0.000449000 0.674124000 0.002247000
1413393891.55591 0.098842000 0.320823000 0.276068000 0.729502000 -0.000433000 0.683979000 0.000019000
1413393891.60569 0.074860000 0.333796000 0.270118000 0.726107000 0.001629000 0.687575000 0.002601000
1413393891.65546 0.046474000 0.349760000 0.265788000 0.725619000 0.001219000 0.688092000 0.002217000
1413393891.70535 0.008093000 0.361918000 0.263974000 0.725733000 0.002014000 0.687969000 0.002540000
1413393891.75523 -0.035915000 0.373937000 0.265203000 0.726451000 0.002686000 0.687210000 0.002207000
1413393891.80509 -0.086471000 0.385655000 0.268472000 0.727991000 0.003205000 0.685574000 0.002780000
1413393891.85495 -0.143622000 0.398482000 0.272840000 0.731924000 0.003642000 0.681368000 0.003490000
1413393891.90489 -0.206174000 0.411767000 0.280806000 0.740362000 0.003951000 0.672183000 0.004237000
1413393891.95484 -0.271669000 0.428871000 0.288669000 0.753269000 0.003799000 0.657682000 0.005121000
1413393892.00482 -0.342575000 0.442670000 0.293990000 0.769153000 0.003676000 0.639031000 0.005402000
1413393892.05486 -0.415812000 0.457634000 0.301799000 0.783612000 0.003762000 0.621208000 0.006213000
