# timestamp(s) tx ty tz qx qy qz qw
1413393890.04869 0.043366000 0.007736000 0.171140000 0.824769000 0.016776000 0.564179000 0.034316000
1413393890.10546 0.069613000 0.026711000 0.250566000 0.823389000 0.011423000 0.566200000 0.036308000
1413393890.15546 0.081573000 0.037396000 0.290385000 0.819995000 0.007299000 0.571501000 0.030679000
1413393890.20577 0.088823000 0.047690000 0.318689000 0.818015000 0.003349000 0.574577000 0.026470000
1413393890.25609 0.095354000 0.058620000 0.338813000 0.816230000 -0.000162000 0.577283000 0.022661000
1413393890.30656 0.093412000 0.066120000 0.350520000 0.815536000 -0.003111000 0.578389000 0.018907000
1413393890.35685 0.101983000 0.078231000 0.356562000 0.815224000 -0.005763000 0.578886000 0.016345000
1413393890.40689 0.104879000 0.087473000 0.352029000 0.814375000 -0.007488000 0.580134000 0.013472000
1413393890.45644 0.113754000 0.095361000 0.329039000 0.810610000 -0.008888000 0.585425000 0.010486000
1413393890.50633 0.125236000 0.106334000 0.323302000 0.805339000 -0.010166000 0.592675000 0.007912000
1413393890.55606 0.142864000 0.113504000 0.304363000 0.797237000 -0.010735000 0.603555000 0.004390000
1413393890.60614 0.154801000 0.125094000 0.301445000 0.791593000 -0.010781000 0.610933000 0.004927000
1413393890.65654 0.163756000 0.135065000 0.301432000 0.790693000 -0.009726000 0.612106000 0.006013000
1413393890.70675 0.169550000 0.145481000 0.293081000 0.792824000 -0.009526000 0.609336000 0.006959000
1413393890.75687 0.172437000 0.155912000 0.292580000 0.796449000 -0.008125000 0.604597000 0.008093000
1413393890.80691 0.173846000 0.167421000 0.295587000 0.800509000 -0.007399000 0.599213000 0.008613000
1413393890.85687 0.174579000 0.179231000 0.299999000 0.803963000 -0.006620000 0.594561000 0.009862000
1413393890.90686 0.175574000 0.190932000 0.305213000 0.806361000 -0.006334000 0.591305000 0.010039000
1413393890.95681 0.176612000 0.202534000 0.311577000 0.808105000 -0.005432000 0.588909000 0.011103000
1413393891.00677 0.178250000 0.213169000 0.319309000 0.809542000 -0.004817000 0.586925000 0.011695000
1413393891.05672 0.179445000 0.225334000 0.326959000 0.810430000 -0.003723000 0.585691000 0.012465000
1413393891.10665 0.179988000 0.237070000 0.335009000 0.810056000 -0.003796000 0.586214000 0.012178000
1413393891.15664 0.180584000 0.249636000 0.343328000 0.810493000 -0.004001000 0.585630000 0.011064000
1413393891.20662 0.179989000 0.261721000 0.350522000 0.810089000 -0.003862000 0.586198000 0.010594000
1413393891.25661 0.177584000 0.273779000 0.352646000 0.809007000 -0.004082000 0.587702000 0.009807000
1413393891.30681 0.175202000 0.285334000 0.352714000 0.804086000 -0.003645000 0.594425000 0.009606000
1413393891.35699 0.173742000 0.296461000 0.350239000 0.790878000 -0.003142000 0.611897000 0.009180000
1413393891.40693 0.172839000 0.309605000 0.346800000 0.772304000 -0.003351000 0.635202000 0.007382000
1413393891.45680 0.165676000 0.324120000 0.339404000 0.753064000 -0.003432000 0.657923000 0.004379000
1413393891.50665 0.152113000 0.337090000 0.332083000 0.737978000 -0.003625000 0.674809000 0.002875000
1413393891.55653 0.133504000 0.349852000 0.324892000 0.728803000 -0.003428000 0.684715000 0.000544000
1413393891.60635 0.107538000 0.362393000 0.318057000 0.725416000 -0.001405000 0.688303000 0.003092000
1413393891.65617 0.077500000 0.379118000 0.313144000 0.724934000 -0.001898000 0.688811000 0.002623000
1413393891.70607 0.038848000 0.392481000 0.310549000 0.724980000 -0.001303000 0.688761000 0.003150000
1413393891.75598 -0.004973000 0.406790000 0.311340000 0.725702000 -0.000866000 0.688002000 0.003004000
1413393891.80591 -0.055114000 0.421394000 0.312841000 0.727262000 -0.000555000 0.686350000 0.003796000
1413393891.85586 -0.111493000 0.436439000 0.315800000 0.731217000 -0.000221000 0.682129000 0.004568000
