# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862367868423462,0.00667,0.00018,0.00063,0.00000,0.00000,0.00408,0.01157
1403715278.911853551864624,0.00606,0.00020,0.00569,0.00000,0.01337,0.00466,0.02998
1403715278.961731195449829,0.00591,0.00026,0.00077,0.00359,0.00001,0.00410,0.01464
1403715279.011362791061401,0.00580,0.00030,0.00015,0.00328,0.00000,0.00441,0.01394
1403715279.061224937438965,0.00713,0.00029,0.00012,0.00344,0.00001,0.00456,0.01555
1403715279.110965490341187,0.00562,0.00031,0.00064,0.00367,0.00001,0.00449,0.01474
1403715279.160955667495728,0.00555,0.00032,0.00032,0.00332,0.00000,0.00424,0.01376
1403715279.211014032363892,0.00618,0.00031,0.00097,0.00375,0.00001,0.00498,0.01620
1403715279.260970354080200,0.00555,0.00035,0.00003,0.00350,0.00711,0.00456,0.02111
1403715279.311082839965820,0.00567,0.00033,0.00008,0.00424,0.00630,0.00467,0.02131
1403715279.361543416976929,0.00561,0.00036,0.00003,0.00501,0.00189,0.00459,0.01748
1403715279.412326097488403,0.00652,0.00032,0.00003,0.00534,0.01511,0.00470,0.03203
1403715279.463007688522339,0.00558,0.00042,0.00003,0.00778,0.00001,0.00508,0.01891
1403715279.513563394546509,0.00556,0.00039,0.01765,0.00799,0.00212,0.00469,0.03840
1403715279.564051628112793,0.00558,0.00040,0.00003,0.00818,0.00010,0.00434,0.01863
1403715279.614453554153442,0.00578,0.00067,0.00236,0.00806,0.00201,0.00478,0.02365
1403715279.664611816406250,0.00554,0.00037,0.00003,0.00872,0.00001,0.00451,0.01918
1403715279.714701652526855,0.00552,0.00041,0.00003,0.00863,0.00001,0.00469,0.01929
1403715279.764625072479248,0.00608,0.00039,0.00003,0.00857,0.00001,0.00456,0.01964
1403715279.814689636230469,0.00554,0.00036,0.00008,0.00861,0.00001,0.00472,0.01932
1403715279.864546775817871,0.00552,0.00039,0.00011,0.00857,0.00001,0.00464,0.01923
1403715279.914531946182251,0.00534,0.00039,0.00009,0.00876,0.00001,0.00512,0.01972
1403715279.964399576187134,0.00545,0.00041,0.00343,0.00900,0.00007,0.00460,0.02296
1403715280.014194250106812,0.00552,0.00041,0.00004,0.00857,0.00001,0.00581,0.02035
1403715280.064173460006714,0.00591,0.00042,0.00010,0.00842,0.00001,0.00448,0.01934
1403715280.114119291305542,0.00558,0.00043,0.01780,0.00850,0.00010,0.00466,0.03707
1403715280.164248466491699,0.00675,0.00043,0.00009,0.00820,0.00010,0.00443,0.02000
1403715280.214305639266968,0.00579,0.00040,0.00014,0.00822,0.00206,0.00464,0.02126
1403715280.264447212219238,0.00575,0.00040,0.00028,0.00802,0.00001,0.00456,0.01902
1403715280.314543008804321,0.00700,0.00042,0.00021,0.00771,0.00001,0.00459,0.01994
1403715280.364544153213501,0.00567,0.00041,0.00018,0.00773,0.00045,0.00461,0.01905
1403715280.414448022842407,0.00724,0.00036,0.00003,0.00805,0.00001,0.00476,0.02045
1403715280.464295625686646,0.00581,0.00044,0.00071,0.00792,0.00001,0.00462,0.01951
1403715280.514167785644531,0.00569,0.00038,0.00018,0.00779,0.00001,0.00476,0.01880
1403715280.563995599746704,0.00569,0.00039,0.00138,0.00758,0.00144,0.00518,0.02166
1403715280.613859415054321,0.00669,0.00037,0.00109,0.00769,0.00555,0.00466,0.02607
1403715280.663769245147705,0.00611,0.00040,0.00080,0.00843,0.00001,0.00452,0.02027
1403715280.713710546493530,0.00741,0.00041,0.01684,0.00889,0.00212,0.00454,0.04021
1403715280.763698816299438,0.00637,0.00038,0.00125,0.00770,0.00193,0.00456,0.02220
1403715280.813710451126099,0.00692,0.00038,0.00103,0.00748,0.00036,0.00457,0.02074
1403715280.863719224929810,0.00634,0.00039,0.00044,0.00719,0.00010,0.00438,0.01883
1403715280.913964271545410,0.00592,0.00035,0.00194,0.00739,0.00001,0.00471,0.02032
1403715280.964124917984009,0.00701,0.00036,0.00048,0.00633,0.00425,0.00452,0.02296
1403715281.014210939407349,0.00636,0.00038,0.00049,0.00637,0.00001,0.00460,0.01821
1403715281.064273595809937,0.00558,0.00037,0.00014,0.00633,0.00001,0.00462,0.01706
1403715281.114392042160034,0.00571,0.00037,0.00008,0.00619,0.00001,0.00607,0.01843
1403715281.164379596710205,0.00575,0.00034,0.00029,0.00586,0.00492,0.00462,0.02177
1403715281.214385747909546,0.00705,0.00034,0.00172,0.00647,0.00001,0.00462,0.02021
1403715281.264461755752563,0.00783,0.00036,0.00018,0.00635,0.00001,0.00465,0.01937
1403715281.314596176147461,0.00618,0.00034,0.00994,0.00594,0.01478,0.00505,0.04223
1403715281.364603042602539,0.00609,0.00039,0.00661,0.00763,0.00386,0.00512,0.02970
1403715281.414683341979980,0.00653,0.00036,0.00091,0.00847,0.00008,0.00462,0.02098
1403715281.464712142944336,0.00596,0.00036,0.00039,0.00775,0.00083,0.00438,0.01967
1403715281.514765262603760,0.00617,0.00040,0.00899,0.00836,0.00008,0.00474,0.02875
1403715281.564666986465454,0.00623,0.00040,0.00058,0.00808,0.00044,0.00467,0.02041
1403715281.614715814590454,0.00596,0.00040,0.00013,0.00780,0.00045,0.00485,0.01960
1403715281.664689064025879,0.00608,0.00041,0.00022,0.00779,0.00044,0.00570,0.02065
1403715281.714671850204468,0.00599,0.00040,0.00070,0.00632,0.00045,0.00459,0.01845
1403715281.764609813690186,0.00591,0.00037,0.00906,0.00574,0.01265,0.00447,0.03820
1403715281.814603567123413,0.01077,0.00036,0.00029,0.00651,0.00001,0.00451,0.02244
1403715281.864562034606934,0.00615,0.00039,0.00129,0.00595,0.00038,0.00475,0.01892
1403715281.914578437805176,0.00603,0.00037,0.00417,0.00616,0.01309,0.00493,0.03475
1403715281.964532852172852,0.00653,0.00039,0.00475,0.00851,0.00401,0.00449,0.02866
1403715282.014555931091309,0.00602,0.00061,0.00114,0.00917,0.00002,0.00490,0.02187
1403715282.064526081085205,0.00613,0.00040,0.00022,0.00902,0.00047,0.00476,0.02100
1403715282.114542007446289,0.00626,0.00037,0.00639,0.00897,0.00201,0.00459,0.02860
1403715282.164580821990967,0.00585,0.00042,0.00005,0.00916,0.00001,0.00476,0.02025
1403715282.214575052261353,0.00596,0.00039,0.00029,0.00871,0.00076,0.00580,0.02191
1403715282.264600753784180,0.00592,0.00040,0.00020,0.00943,0.00049,0.00443,0.02088
1403715282.314597129821777,0.00589,0.00040,0.00114,0.00931,0.00002,0.00468,0.02143
1403715282.364548206329346,0.00729,0.00042,0.02316,0.00923,0.00206,0.00460,0.04676
1403715282.414539337158203,0.00708,0.00039,0.00084,0.00902,0.00047,0.00446,0.02226
1403715282.464520215988159,0.00582,0.00042,0.00028,0.00871,0.00045,0.00472,0.02040
1403715282.514515161514282,0.00647,0.00043,0.00176,0.00895,0.00301,0.00486,0.02548
1403715282.564477682113647,0.00594,0.00041,0.00542,0.00841,0.00001,0.00453,0.02472
1403715282.614459514617920,0.00567,0.00040,0.00137,0.00750,0.00152,0.00448,0.02095
1403715282.664443254470825,0.00758,0.00037,0.00018,0.00773,0.00002,0.00470,0.02060
1403715282.714420557022095,0.00624,0.00038,0.00103,0.00755,0.00738,0.00463,0.02722
1403715282.764419078826904,0.00867,0.00039,0.00023,0.00955,0.00001,0.00502,0.02387
1403715282.814414739608765,0.00712,0.00036,0.00033,0.00852,0.00001,0.00480,0.02114
1403715282.864357948303223,0.00686,0.00037,0.00010,0.00822,0.00001,0.00475,0.02031
1403715282.914341688156128,0.00786,0.00040,0.00065,0.00843,0.00047,0.00507,0.02288
1403715282.964329957962036,0.00728,0.00051,0.02242,0.00844,0.00560,0.00535,0.04960
1403715283.014306783676147,0.00677,0.00043,0.00101,0.00866,0.00002,0.00517,0.02207
1403715283.064295530319214,0.00713,0.00039,0.00018,0.00880,0.00002,0.00481,0.02134
1403715283.114300251007080,0.00655,0.00038,0.00009,0.00819,0.00231,0.00482,0.02232
1403715283.164246320724487,0.00642,0.00046,0.00193,0.00827,0.00383,0.00464,0.02555
1403715283.214227914810181,0.00652,0.00041,0.00710,0.00821,0.00048,0.00452,0.02726
1403715283.264178514480591,0.00638,0.00041,0.00145,0.00745,0.00074,0.00479,0.02122
1403715283.314144611358643,0.00624,0.00040,0.02130,0.00833,0.00198,0.00559,0.04383
1403715283.364083528518677,0.00590,0.00040,0.00040,0.00836,0.00070,0.00485,0.02062
1403715283.413928270339966,0.00641,0.00040,0.00008,0.00800,0.00001,0.00474,0.01962
1403715283.463793754577637,0.00633,0.00047,0.00053,0.00758,0.00004,0.00488,0.01983
1403715283.513642787933350,0.00584,0.00039,0.00040,0.00606,0.00075,0.00475,0.01819
1403715283.563559055328369,0.00551,0.00037,0.01096,0.00628,0.01262,0.00474,0.04048
1403715283.613591432571411,0.00824,0.00035,0.00023,0.00820,0.00001,0.00485,0.02188
1403715283.663618087768555,0.00632,0.00034,0.00026,0.00772,0.00001,0.00478,0.01944
1403715283.713624477386475,0.00640,0.00040,0.00039,0.00744,0.00001,0.00468,0.01932
1403715283.763613700866699,0.00637,0.00039,0.00069,0.00730,0.00221,0.00489,0.02185
1403715283.813602209091187,0.00615,0.00037,0.00287,0.00762,0.00218,0.00484,0.02401
1403715283.863602876663208,0.00619,0.00036,0.00004,0.00896,0.00001,0.00498,0.02054
1403715283.913511276245117,0.00611,0.00037,0.01291,0.00809,0.00489,0.00549,0.03784
1403715283.963549852371216,0.00614,0.00042,0.00004,0.00905,0.00001,0.00489,0.02054
1403715284.013600349426270,0.00776,0.00038,0.00004,0.00910,0.00001,0.00485,0.02214
1403715284.063619613647461,0.00664,0.00036,0.00004,0.00896,0.00001,0.00480,0.02081
1403715284.113646030426025,0.00661,0.00040,0.00010,0.00902,0.00001,0.00497,0.02112
1403715284.163585662841797,0.00659,0.00041,0.02814,0.00892,0.00147,0.00541,0.05093
1403715284.213599443435669,0.00625,0.00038,0.00302,0.00909,0.00001,0.00485,0.02360
1403715284.263674736022949,0.00651,0.00035,0.00005,0.00920,0.00001,0.00474,0.02087
1403715284.313706874847412,0.00646,0.00039,0.00004,0.00923,0.00001,0.00483,0.02096
1403715284.363739728927612,0.00651,0.00037,0.00009,0.00890,0.00001,0.00460,0.02048
1403715284.413746356964111,0.00648,0.00039,0.00228,0.00856,0.00001,0.00497,0.02270
1403715284.463792562484741,0.00624,0.00039,0.00020,0.00877,0.00043,0.00505,0.02108
1403715284.513745069503784,0.00622,0.00040,0.01270,0.00863,0.00001,0.00508,0.03304
1403715284.563740730285645,0.00664,0.00061,0.00010,0.00910,0.00001,0.00470,0.02116
1403715284.613718509674072,0.00634,0.00040,0.00004,0.00869,0.00001,0.00483,0.02031
1403715284.663641214370728,0.01306,0.00038,0.00067,0.00858,0.00001,0.00470,0.02739
1403715284.713630437850952,0.00756,0.00038,0.00017,0.00852,0.00002,0.00481,0.02146
1403715284.763484477996826,0.00620,0.00037,0.02224,0.00837,0.00395,0.00466,0.04580
1403715284.813505411148071,0.00616,0.00040,0.00110,0.00881,0.00047,0.00460,0.02154
1403715284.863563299179077,0.00668,0.00041,0.00004,0.00927,0.00001,0.00515,0.02156
1403715284.913664340972900,0.00612,0.00040,0.00019,0.00940,0.00001,0.00489,0.02101
1403715284.963725090026855,0.00630,0.00037,0.00008,0.00895,0.00001,0.00463,0.02035
1403715285.013812303543091,0.00628,0.00040,0.00159,0.00799,0.00007,0.00492,0.02125
1403715285.063827991485596,0.00671,0.00038,0.00034,0.00775,0.00044,0.00476,0.02038
1403715285.113676548004150,0.00666,0.00040,0.01201,0.00761,0.00426,0.00512,0.03608
1403715285.163685798645020,0.00644,0.00041,0.00010,0.00905,0.00001,0.00465,0.02065
1403715285.213639497756958,0.00634,0.00038,0.00115,0.00852,0.00002,0.00472,0.02113
1403715285.263653039932251,0.00732,0.00041,0.00004,0.00880,0.00001,0.00496,0.02154
1403715285.313682317733765,0.00631,0.00041,0.00004,0.00854,0.00001,0.00481,0.02012
1403715285.363596677780151,0.00607,0.00042,0.01733,0.00816,0.00455,0.00481,0.04133
1403715285.413562774658203,0.00726,0.00038,0.00030,0.00891,0.00007,0.00459,0.02151
1403715285.463522911071777,0.00611,0.00038,0.00020,0.00866,0.00002,0.00481,0.02018
1403715285.513460397720337,0.00604,0.00041,0.00004,0.00878,0.00001,0.00471,0.01999
1403715285.563377857208252,0.00596,0.00037,0.00005,0.00872,0.00001,0.00478,0.01989
1403715285.613357305526733,0.00568,0.00041,0.00147,0.00864,0.00013,0.00468,0.02102
1403715285.663356065750122,0.00591,0.00038,0.00015,0.00808,0.00111,0.00463,0.02026
1403715285.713335275650024,0.00584,0.00039,0.01158,0.00809,0.00502,0.00503,0.03596
1403715285.763312578201294,0.00593,0.00035,0.00014,0.00896,0.00001,0.00494,0.02032
1403715285.813237905502319,0.00650,0.00045,0.00041,0.00851,0.00116,0.00478,0.02180
1403715285.863081693649292,0.00602,0.00044,0.00022,0.00788,0.00001,0.00470,0.01927
1403715285.912976264953613,0.00594,0.00039,0.00003,0.00791,0.00001,0.00519,0.01947
1403715285.962835073471069,0.00669,0.00038,0.01913,0.00747,0.00687,0.00433,0.04488
1403715286.012818574905396,0.00578,0.00040,0.00237,0.00932,0.00001,0.00471,0.02259
1403715286.062803983688354,0.00579,0.00042,0.00064,0.00949,0.00001,0.00481,0.02115
1403715286.112780332565308,0.00691,0.00038,0.00003,0.00940,0.00001,0.00461,0.02133
1403715286.162743330001831,0.00593,0.00044,0.00018,0.00884,0.00001,0.00437,0.01977
1403715286.212704420089722,0.00559,0.00042,0.00217,0.00862,0.00007,0.00464,0.02152
1403715286.262697219848633,0.00760,0.00037,0.00032,0.00818,0.00001,0.00476,0.02124
1403715286.312655687332153,0.00882,0.00036,0.00945,0.00814,0.00229,0.00521,0.03427
1403715286.362665653228760,0.00678,0.00036,0.00155,0.00824,0.00001,0.00485,0.02179
1403715286.412666320800781,0.00736,0.00038,0.00092,0.00818,0.00001,0.00500,0.02184
1403715286.462673664093018,0.00683,0.00038,0.00018,0.00750,0.00001,0.00471,0.01961
1403715286.512647390365601,0.00651,0.00038,0.00229,0.00719,0.00001,0.00492,0.02130
1403715286.562633514404297,0.00667,0.00037,0.01022,0.00695,0.01060,0.00507,0.03987
1403715286.612607002258301,0.00644,0.00038,0.00171,0.00838,0.00115,0.00512,0.02318
1403715286.662594079971313,0.00780,0.00037,0.00046,0.00696,0.00001,0.00475,0.02035
1403715286.712582111358643,0.00620,0.00035,0.00088,0.00550,0.00001,0.00480,0.01775
1403715286.762608289718628,0.00582,0.00035,0.00219,0.00430,0.00058,0.00472,0.01797
