# timestamp(s) tx ty tz qx qy qz qw
1403715278.86255 0.016987000 0.010811000 0.082571000 0.809068000 -0.009086000 0.587637000 0.003002000
1403715278.91195 0.049525000 0.013483000 0.091049000 0.811404000 -0.007872000 0.584429000 0.001968000
1403715278.96196 0.057562000 0.015565000 0.109201000 0.810927000 -0.007759000 0.585091000 0.002179000
1403715279.01180 0.065162000 0.017322000 0.123513000 0.810651000 -0.007105000 0.585478000 0.002956000
1403715279.06176 0.072207000 0.019119000 0.133896000 0.811015000 -0.007043000 0.584975000 0.003076000
1403715279.11155 0.079989000 0.021045000 0.140310000 0.811231000 -0.006923000 0.584673000 0.003701000
1403715279.16148 0.087714000 0.022526000 0.141483000 0.811626000 -0.006291000 0.584128000 0.004223000
1403715279.21170 0.094964000 0.023769000 0.140471000 0.812385000 -0.005907000 0.583071000 0.004784000
1403715279.26165 0.099771000 0.023806000 0.134424000 0.812601000 -0.005223000 0.582781000 0.004393000
1403715279.31163 0.106134000 0.024546000 0.129180000 0.813230000 -0.005077000 0.581907000 0.003910000
1403715279.36137 0.110628000 0.024792000 0.123623000 0.813720000 -0.005433000 0.581224000 0.003063000
1403715279.41133 0.115749000 0.024609000 0.118064000 0.813529000 -0.005714000 0.581494000 0.001667000
1403715279.46147 0.119854000 0.025054000 0.115687000 0.814163000 -0.005723000 0.580607000 0.001098000
1403715279.51161 0.122288000 0.025814000 0.111373000 0.814521000 -0.005632000 0.580107000 0.000599000
1403715279.56158 0.125410000 0.026032000 0.112374000 0.814285000 -0.005047000 0.580442000 0.001066000
1403715279.61154 0.128195000 0.025862000 0.115295000 0.814544000 -0.004806000 0.580081000 0.001280000
1403715279.66134 0.133003000 0.025822000 0.122167000 0.814486000 -0.004318000 0.580166000 0.001398000
1403715279.71126 0.137360000 0.025646000 0.128322000 0.814238000 -0.004291000 0.580513000 0.001411000
1403715279.76132 0.141150000 0.025591000 0.134590000 0.814228000 -0.004299000 0.580528000 0.001323000
1403715279.81134 0.144329000 0.024801000 0.141626000 0.814267000 -0.004625000 0.580471000 0.001142000
1403715279.86137 0.146223000 0.024283000 0.148003000 0.814490000 -0.004550000 0.580159000 0.001004000
1403715279.91137 0.147004000 0.023490000 0.153204000 0.814957000 -0.004545000 0.579503000 0.001189000
1403715279.96128 0.147174000 0.022603000 0.157298000 0.816400000 -0.004321000 0.577469000 0.001571000
1403715280.01127 0.147638000 0.021747000 0.162297000 0.819661000 -0.004544000 0.572829000 0.001577000
1403715280.06127 0.147461000 0.020490000 0.166474000 0.823973000 -0.004530000 0.566608000 0.001643000
1403715280.11148 0.146809000 0.018001000 0.171271000 0.827946000 -0.002623000 0.560784000 0.004456000
1403715280.16190 0.147409000 0.016233000 0.177700000 0.830102000 -0.000865000 0.557571000 0.006710000
1403715280.21233 0.149057000 0.014648000 0.185535000 0.830930000 0.002194000 0.556267000 0.010826000
1403715280.26322 0.150961000 0.012986000 0.193559000 0.830931000 0.004848000 0.556153000 0.014957000
1403715280.31350 0.155097000 0.012493000 0.201847000 0.830147000 0.007139000 0.557214000 0.017791000
1403715280.36355 0.160865000 0.013240000 0.210077000 0.828864000 0.008555000 0.559020000 0.020179000
1403715280.41340 0.167897000 0.014897000 0.218185000 0.827415000 0.008848000 0.561058000 0.022821000
1403715280.46312 0.175835000 0.017547000 0.225940000 0.826868000 0.005529000 0.561914000 0.022625000
1403715280.51299 0.183926000 0.020583000 0.233413000 0.825720000 -0.000896000 0.563667000 0.021587000
1403715280.56278 0.192021000 0.023556000 0.241135000 0.824720000 -0.008387000 0.565070000 0.021512000
1403715280.61273 0.200063000 0.026411000 0.248556000 0.823383000 -0.017159000 0.566769000 0.022772000
1403715280.66252 0.207862000 0.028943000 0.256701000 0.822276000 -0.026328000 0.567850000 0.026727000
1403715280.71251 0.218362000 0.029747000 0.264354000 0.821095000 -0.036494000 0.568776000 0.031067000
1403715280.76248 0.227662000 0.031745000 0.270927000 0.820212000 -0.047060000 0.568946000 0.036579000
1403715280.81251 0.237489000 0.033595000 0.276910000 0.819661000 -0.057916000 0.568323000 0.042555000
1403715280.86255 0.247401000 0.036025000 0.282520000 0.818313000 -0.068547000 0.568543000 0.049235000
1403715280.91266 0.257475000 0.039039000 0.287569000 0.817201000 -0.078135000 0.568304000 0.055745000
1403715280.96268 0.267292000 0.042567000 0.292522000 0.816064000 -0.086326000 0.568177000 0.061344000
1403715281.01269 0.276320000 0.045688000 0.297175000 0.814950000 -0.093701000 0.568100000 0.065871000
1403715281.06268 0.285240000 0.048665000 0.301738000 0.814331000 -0.099505000 0.567427000 0.070640000
1403715281.11267 0.294241000 0.051538000 0.306062000 0.813428000 -0.104646000 0.567325000 0.074337000
1403715281.16267 0.303266000 0.054159000 0.310211000 0.812400000 -0.108603000 0.567609000 0.077663000
1403715281.21270 0.312673000 0.056321000 0.315033000 0.811860000 -0.112542000 0.567206000 0.080589000
1403715281.26287 0.320811000 0.058224000 0.319752000 0.811256000 -0.116974000 0.566766000 0.083414000
1403715281.31306 0.329034000 0.058884000 0.322662000 0.810893000 -0.121889000 0.565720000 0.086927000
1403715281.36314 0.337204000 0.060138000 0.324726000 0.810544000 -0.127544000 0.564364000 0.090803000
1403715281.41306 0.349667000 0.063343000 0.328069000 0.810927000 -0.134191000 0.561515000 0.095349000
1403715281.46303 0.359931000 0.063053000 0.328519000 0.809670000 -0.141068000 0.560687000 0.100819000
1403715281.51293 0.368792000 0.064815000 0.328149000 0.808273000 -0.148899000 0.559479000 0.107269000
1403715281.56288 0.377253000 0.066288000 0.326201000 0.806863000 -0.157496000 0.557665000 0.114789000
1403715281.61288 0.385584000 0.066983000 0.323322000 0.804783000 -0.167289000 0.556208000 0.122359000
1403715281.66287 0.394403000 0.067479000 0.319881000 0.802338000 -0.178244000 0.554569000 0.130136000
1403715281.71284 0.402935000 0.067921000 0.315621000 0.799677000 -0.189405000 0.552603000 0.138823000
1403715281.76268 0.412584000 0.068221000 0.310755000 0.797052000 -0.201422000 0.549968000 0.147217000
1403715281.81272 0.422146000 0.068396000 0.307120000 0.794112000 -0.213726000 0.547273000 0.155561000
1403715281.86269 0.432461000 0.068634000 0.303769000 0.790316000 -0.226177000 0.545248000 0.164163000
1403715281.91269 0.442433000 0.068593000 0.300466000 0.786829000 -0.238420000 0.542389000 0.172830000
1403715281.96267 0.453116000 0.068561000 0.296926000 0.782941000 -0.250812000 0.539842000 0.180741000
1403715282.01269 0.463713000 0.068609000 0.293823000 0.779277000 -0.263399000 0.536652000 0.188024000
1403715282.06269 0.474811000 0.068480000 0.290083000 0.775179000 -0.275344000 0.534021000 0.195205000
1403715282.11270 0.486966000 0.068213000 0.285283000 0.771477000 -0.285781000 0.530747000 0.203618000
1403715282.16276 0.500285000 0.067955000 0.279712000 0.767648000 -0.296844000 0.527542000 0.210473000
1403715282.21275 0.513894000 0.067374000 0.274262000 0.763474000 -0.306833000 0.524694000 0.218304000
1403715282.26277 0.528532000 0.067255000 0.268531000 0.759601000 -0.317252000 0.521039000 0.225557000
1403715282.31281 0.543192000 0.067588000 0.261952000 0.755829000 -0.327649000 0.517073000 0.232389000
1403715282.36281 0.557020000 0.066883000 0.256530000 0.751337000 -0.337695000 0.513792000 0.239734000
1403715282.41279 0.571595000 0.066608000 0.250204000 0.747715000 -0.346751000 0.509094000 0.248012000
1403715282.46278 0.586421000 0.066764000 0.243909000 0.742974000 -0.356983000 0.505732000 0.254534000
1403715282.51277 0.601257000 0.066516000 0.237505000 0.737917000 -0.366092000 0.502792000 0.262020000
1403715282.56280 0.616093000 0.066473000 0.231060000 0.732795000 -0.375619000 0.499589000 0.268949000
1403715282.61282 0.631005000 0.066777000 0.225038000 0.726906000 -0.384031000 0.497683000 0.276478000
1403715282.66290 0.646977000 0.065885000 0.220004000 0.720685000 -0.392877000 0.496301000 0.282748000
1403715282.71286 0.661760000 0.067484000 0.213787000 0.714232000 -0.402131000 0.494724000 0.288809000
1403715282.76287 0.676091000 0.069256000 0.207404000 0.707699000 -0.411481000 0.493534000 0.293716000
1403715282.81292 0.689720000 0.071653000 0.200264000 0.701896000 -0.421029000 0.491044000 0.298248000
1403715282.86275 0.705652000 0.073906000 0.193032000 0.696007000 -0.429607000 0.488268000 0.304311000
1403715282.91274 0.721990000 0.076249000 0.185864000 0.689825000 -0.437747000 0.485810000 0.310656000
1403715282.96283 0.736923000 0.077490000 0.178674000 0.683801000 -0.446468000 0.482804000 0.316199000
1403715283.01268 0.752897000 0.078484000 0.171980000 0.677363000 -0.455219000 0.480096000 0.321656000
1403715283.06264 0.768010000 0.079409000 0.165233000 0.670544000 -0.464162000 0.477727000 0.326650000
1403715283.11275 0.781819000 0.080521000 0.159337000 0.664037000 -0.473234000 0.475050000 0.330806000
1403715283.16273 0.797081000 0.081315000 0.153486000 0.656740000 -0.482217000 0.473396000 0.334747000
1403715283.21275 0.812547000 0.082069000 0.147780000 0.649465000 -0.490807000 0.471549000 0.339035000
1403715283.26274 0.828257000 0.081385000 0.141589000 0.643067000 -0.498369000 0.469063000 0.343617000
1403715283.31274 0.844153000 0.082028000 0.135908000 0.636298000 -0.506470000 0.466576000 0.347736000
1403715283.36275 0.859039000 0.083010000 0.130564000 0.629809000 -0.513326000 0.463846000 0.353107000
1403715283.41275 0.872772000 0.084448000 0.124748000 0.624661000 -0.520912000 0.459395000 0.356938000
1403715283.46275 0.885710000 0.086081000 0.118893000 0.620042000 -0.528412000 0.454471000 0.360255000
1403715283.51273 0.897969000 0.088020000 0.113508000 0.616310000 -0.535035000 0.448371000 0.364505000
1403715283.56272 0.909519000 0.089769000 0.108238000 0.612884000 -0.541167000 0.442018000 0.368961000
1403715283.61271 0.920878000 0.090748000 0.103320000 0.609982000 -0.547093000 0.435833000 0.372372000
1403715283.66273 0.932899000 0.092595000 0.098470000 0.607610000 -0.551422000 0.430993000 0.375485000
1403715283.71277 0.945244000 0.094133000 0.093908000 0.605247000 -0.554952000 0.427412000 0.378184000
1403715283.76282 0.958442000 0.095889000 0.089562000 0.603018000 -0.557857000 0.425165000 0.379999000
1403715283.81286 0.972150000 0.097815000 0.085579000 0.600199000 -0.560084000 0.424772000 0.381623000
1403715283.86291 0.987956000 0.100783000 0.080974000 0.598465000 -0.561248000 0.423903000 0.383597000
1403715283.91292 1.002128000 0.101971000 0.076769000 0.596226000 -0.562232000 0.424743000 0.384713000
1403715283.96288 1.016501000 0.102653000 0.072261000 0.594816000 -0.562972000 0.424874000 0.385666000
1403715284.01283 1.030294000 0.102422000 0.067059000 0.594948000 -0.564494000 0.423747000 0.384476000
1403715284.06278 1.043687000 0.101511000 0.062232000 0.595813000 -0.565727000 0.422220000 0.383001000
1403715284.11277 1.056812000 0.099594000 0.057454000 0.596414000 -0.567045000 0.421614000 0.380779000
1403715284.16275 1.069381000 0.096088000 0.052648000 0.596891000 -0.568127000 0.421849000 0.378149000
1403715284.21274 1.080752000 0.092014000 0.047477000 0.596452000 -0.569935000 0.423569000 0.374178000
1403715284.26274 1.091187000 0.087841000 0.042739000 0.596186000 -0.571201000 0.425436000 0.370535000
1403715284.31266 1.104701000 0.080781000 0.037004000 0.595345000 -0.572381000 0.428290000 0.366758000
1403715284.36264 1.113956000 0.074854000 0.032437000 0.594890000 -0.572575000 0.430626000 0.364451000
1403715284.41258 1.121831000 0.068307000 0.028175000 0.596425000 -0.570337000 0.430437000 0.365672000
1403715284.46255 1.128666000 0.060931000 0.024189000 0.598207000 -0.567611000 0.429962000 0.367558000
1403715284.51247 1.134998000 0.052475000 0.019647000 0.600462000 -0.563683000 0.429061000 0.370963000
1403715284.56243 1.142693000 0.041750000 0.015826000 0.602355000 -0.560121000 0.428689000 0.373709000
1403715284.61236 1.151113000 0.028754000 0.012688000 0.604446000 -0.556524000 0.428229000 0.376227000
1403715284.66221 1.158187000 0.015099000 0.007982000 0.606675000 -0.553129000 0.427608000 0.378345000
1403715284.71226 1.164716000 0.001774000 0.003933000 0.608075000 -0.550529000 0.427911000 0.379545000
1403715284.76220 1.168579000 -0.009196000 -0.000268000 0.609098000 -0.548814000 0.427381000 0.380984000
1403715284.81222 1.172739000 -0.019849000 -0.003416000 0.608471000 -0.548091000 0.427047000 0.383394000
1403715284.86223 1.176958000 -0.030156000 -0.005926000 0.605934000 -0.548570000 0.427216000 0.386525000
1403715284.91226 1.182611000 -0.037015000 -0.008648000 0.601024000 -0.551291000 0.428284000 0.389128000
1403715284.96227 1.186407000 -0.047444000 -0.009180000 0.594637000 -0.554747000 0.428906000 0.393322000
1403715285.01229 1.189539000 -0.056800000 -0.010169000 0.586002000 -0.559648000 0.430583000 0.397486000
1403715285.06220 1.194932000 -0.067217000 -0.010108000 0.577226000 -0.564813000 0.430869000 0.402676000
1403715285.11227 1.197940000 -0.076786000 -0.009939000 0.569481000 -0.570700000 0.427851000 0.408578000
1403715285.16232 1.201580000 -0.083771000 -0.009007000 0.562625000 -0.577780000 0.423224000 0.412923000
1403715285.21242 1.206167000 -0.088679000 -0.008369000 0.555855000 -0.586189000 0.418124000 0.415428000
1403715285.26252 1.210460000 -0.092006000 -0.006357000 0.550144000 -0.594325000 0.413231000 0.416366000
1403715285.31254 1.214658000 -0.093707000 -0.002308000 0.545348000 -0.602721000 0.408825000 0.414953000
1403715285.36254 1.219363000 -0.094320000 0.004761000 0.541613000 -0.610336000 0.404393000 0.413052000
1403715285.41252 1.223491000 -0.094874000 0.015632000 0.539517000 -0.616748000 0.399733000 0.410801000
1403715285.46247 1.226532000 -0.094906000 0.031194000 0.538159000 -0.621237000 0.395906000 0.409522000
1403715285.51243 1.230193000 -0.095981000 0.049201000 0.536512000 -0.625026000 0.393519000 0.408217000
1403715285.56236 1.232445000 -0.097531000 0.068886000 0.534104000 -0.628123000 0.392937000 0.407179000
1403715285.61234 1.231685000 -0.099925000 0.088978000 0.532020000 -0.630400000 0.392782000 0.406537000
1403715285.66232 1.228585000 -0.103135000 0.108446000 0.530842000 -0.631981000 0.391874000 0.406499000
1403715285.71234 1.223244000 -0.107459000 0.127822000 0.529541000 -0.633497000 0.391627000 0.406074000
1403715285.76236 1.216150000 -0.111532000 0.147388000 0.528780000 -0.633337000 0.390793000 0.408115000
1403715285.81239 1.207595000 -0.116195000 0.165964000 0.528310000 -0.633220000 0.389935000 0.409722000
1403715285.86241 1.198327000 -0.120877000 0.183281000 0.529621000 -0.632012000 0.387073000 0.412597000
