# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864229679107666,0.00654,0.00018,0.00063,0.00000,0.00000,0.00415,0.01150
1403715278.913288831710815,0.00560,0.00019,0.00569,0.00000,0.01287,0.00432,0.02867
1403715278.963478803634644,0.00590,0.00024,0.00078,0.00333,0.00000,0.00407,0.01433
1403715279.013590574264526,0.00576,0.00028,0.00014,0.00346,0.00000,0.00449,0.01414
1403715279.063611745834351,0.00859,0.00029,0.00011,0.00329,0.00000,0.00429,0.01657
1403715279.113317728042603,0.00553,0.00030,0.00064,0.00338,0.00000,0.00432,0.01416
1403715279.163208246231079,0.00534,0.00031,0.00035,0.00328,0.00000,0.00435,0.01362
1403715279.213464021682739,0.00537,0.00030,0.00093,0.00335,0.00000,0.00444,0.01439
1403715279.263700962066650,0.00543,0.00028,0.00003,0.00342,0.00695,0.00460,0.02070
1403715279.313536405563354,0.00557,0.00034,0.00008,0.00415,0.00604,0.00435,0.02052
1403715279.362511396408081,0.00545,0.00035,0.00003,0.00505,0.00191,0.00451,0.01729
1403715279.411170244216919,0.00587,0.00035,0.00003,0.00537,0.01503,0.00494,0.03159
1403715279.460651636123657,0.00553,0.00038,0.00003,0.00805,0.00000,0.00556,0.01957
1403715279.509918928146362,0.00545,0.00038,0.01895,0.00797,0.00212,0.00458,0.03945
1403715279.559245109558105,0.00547,0.00036,0.00003,0.00819,0.00010,0.00459,0.01874
1403715279.608885049819946,0.00662,0.00033,0.00177,0.00811,0.00209,0.00453,0.02346
1403715279.658524513244629,0.00540,0.00040,0.00003,0.00867,0.00000,0.00447,0.01897
1403715279.708595752716064,0.00540,0.00041,0.00003,0.00879,0.00000,0.00456,0.01920
1403715279.758626222610474,0.00537,0.00041,0.00003,0.00887,0.00000,0.00453,0.01922
1403715279.808557987213135,0.00563,0.00036,0.00008,0.00866,0.00000,0.00469,0.01942
1403715279.858864068984985,0.00547,0.00038,0.00010,0.00868,0.00000,0.00464,0.01927
1403715279.908919095993042,0.00537,0.00041,0.00008,0.00856,0.00000,0.00461,0.01904
1403715279.958921670913696,0.00555,0.00042,0.00345,0.00862,0.00007,0.00470,0.02281
1403715280.009109020233154,0.00567,0.00040,0.00003,0.00925,0.00000,0.00541,0.02076
1403715280.059041023254395,0.00586,0.00040,0.00010,0.00847,0.00000,0.00439,0.01921
1403715280.108946561813354,0.00624,0.00037,0.01647,0.00870,0.00012,0.00466,0.03654
