# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863003492355347,0.01697,0.00018,0.00063,0.00000,0.00000,0.00529,0.02308
1403715278.912436008453369,0.01604,0.00019,0.00572,0.00000,0.01289,0.00546,0.04031
1403715278.962453126907349,0.01520,0.00031,0.00078,0.00330,0.00000,0.00536,0.02496
1403715279.012186288833618,0.01543,0.00028,0.00015,0.00326,0.00000,0.00544,0.02457
1403715279.062151193618774,0.01959,0.00029,0.00011,0.00331,0.00000,0.00544,0.02874
1403715279.111917018890381,0.01452,0.00030,0.00064,0.00336,0.00000,0.00554,0.02436
1403715279.161861896514893,0.01492,0.00031,0.00038,0.00327,0.00000,0.00537,0.02425
1403715279.212111473083496,0.01629,0.00029,0.00091,0.00333,0.00000,0.00571,0.02653
1403715279.262083053588867,0.01505,0.00029,0.00003,0.00336,0.00692,0.00561,0.03125
1403715279.311916112899780,0.01535,0.00033,0.00008,0.00425,0.00615,0.00583,0.03200
1403715279.360479593276978,0.01539,0.00035,0.00003,0.00505,0.00182,0.00593,0.02856
1403715279.409642457962036,0.01565,0.00035,0.00003,0.00534,0.01466,0.00601,0.04204
1403715279.459372282028198,0.01531,0.00039,0.00003,0.00779,0.00000,0.00695,0.03048
1403715279.508836507797241,0.01535,0.00039,0.01781,0.00842,0.00208,0.00610,0.05014
1403715279.558660984039307,0.01532,0.00040,0.00004,0.00816,0.00010,0.00579,0.02980
1403715279.608450412750244,0.01659,0.00038,0.00180,0.00821,0.00205,0.00597,0.03501
1403715279.658364534378052,0.01467,0.00043,0.00003,0.00862,0.00000,0.00580,0.02956
1403715279.708395242691040,0.01476,0.00040,0.00003,0.00869,0.00001,0.00563,0.02952
1403715279.758414983749390,0.01642,0.00040,0.00003,0.00871,0.00000,0.00578,0.03134
1403715279.808535575866699,0.01488,0.00041,0.00008,0.00879,0.00001,0.00576,0.02993
1403715279.858489274978638,0.01463,0.00042,0.00011,0.00856,0.00000,0.00584,0.02956
1403715279.908309221267700,0.01433,0.00039,0.00008,0.00856,0.00001,0.00578,0.02915
1403715279.958296537399292,0.01322,0.00039,0.00341,0.00840,0.00007,0.00547,0.03096
1403715280.008552074432373,0.01382,0.00040,0.00003,0.00853,0.00001,0.00649,0.02928
1403715280.058743476867676,0.01351,0.00042,0.00010,0.00847,0.00000,0.00538,0.02788
1403715280.108757734298706,0.01482,0.00036,0.01692,0.00918,0.00011,0.00530,0.04669
1403715280.159405946731567,0.01435,0.00067,0.00061,0.00858,0.00007,0.00549,0.02976
1403715280.210247278213501,0.01445,0.00039,0.00170,0.00812,0.00013,0.00540,0.03020
1403715280.261136531829834,0.01366,0.00040,0.00031,0.00790,0.00000,0.00540,0.02768
1403715280.311239957809448,0.01515,0.00041,0.00003,0.00791,0.00000,0.00543,0.02893
1403715280.361220359802246,0.01365,0.00040,0.00003,0.00786,0.00000,0.00602,0.02797
1403715280.411125898361206,0.01474,0.00038,0.00003,0.00784,0.00000,0.00561,0.02861
1403715280.460907459259033,0.01554,0.00040,0.00068,0.00780,0.00000,0.00552,0.02994
1403715280.510804414749146,0.01447,0.00037,0.00014,0.00762,0.00000,0.00565,0.02826
1403715280.560625076293945,0.01323,0.00039,0.00138,0.00747,0.00140,0.00553,0.02941
1403715280.610669612884521,0.01614,0.00038,0.00078,0.00765,0.00000,0.00558,0.03054
1403715280.660473108291626,0.01449,0.00042,0.00080,0.00722,0.00535,0.00549,0.03377
1403715280.710568189620972,0.01375,0.00038,0.01639,0.00870,0.00199,0.00562,0.04684
1403715280.760540723800659,0.01526,0.00038,0.00183,0.00738,0.00196,0.00559,0.03240
1403715280.810557365417480,0.01408,0.00040,0.00031,0.00744,0.00312,0.00543,0.03078
1403715280.860608100891113,0.01463,0.00042,0.00069,0.00811,0.00001,0.00525,0.02912
1403715280.910740852355957,0.02019,0.00036,0.00248,0.00752,0.00000,0.00555,0.03611
1403715280.960821151733398,0.01455,0.00036,0.00065,0.00663,0.00334,0.00561,0.03114
1403715281.010811805725098,0.01466,0.00038,0.00055,0.00612,0.00072,0.00562,0.02804
1403715281.060755252838135,0.01279,0.00034,0.00011,0.00663,0.00000,0.00562,0.02549
1403715281.110681056976318,0.01369,0.00039,0.00022,0.00641,0.00000,0.00589,0.02661
1403715281.160685539245605,0.01294,0.00038,0.00041,0.00598,0.00508,0.00571,0.03050
1403715281.210716009140015,0.01764,0.00036,0.00087,0.00677,0.00000,0.00560,0.03125
1403715281.260933399200439,0.01431,0.00036,0.00018,0.00660,0.00001,0.00604,0.02750
1403715281.311342000961304,0.01405,0.00035,0.00955,0.00622,0.01536,0.00677,0.05231
1403715281.361390113830566,0.01403,0.00040,0.00109,0.00867,0.00008,0.00539,0.02966
1403715281.411540985107422,0.01786,0.00040,0.00003,0.00844,0.00007,0.00551,0.03232
1403715281.461733341217041,0.01373,0.00038,0.01110,0.00831,0.00683,0.00593,0.04629
1403715281.511682748794556,0.01515,0.00037,0.00009,0.00931,0.00000,0.00562,0.03055
1403715281.561633586883545,0.01825,0.00040,0.00004,0.00940,0.00001,0.00554,0.03363
1403715281.611598253250122,0.01386,0.00041,0.00020,0.00853,0.00049,0.00576,0.02924
1403715281.661591768264771,0.01386,0.00040,0.00017,0.00859,0.00053,0.00601,0.02956
1403715281.711603164672852,0.01425,0.00043,0.00074,0.00637,0.00002,0.00534,0.02715
1403715281.761603832244873,0.01380,0.00038,0.00771,0.00586,0.01468,0.00599,0.04842
1403715281.811594724655151,0.02156,0.00037,0.00032,0.00752,0.00002,0.00545,0.03524
1403715281.861619949340820,0.01480,0.00039,0.00057,0.00673,0.00000,0.00567,0.02816
1403715281.911586284637451,0.01442,0.00040,0.00458,0.00637,0.01061,0.00632,0.04271
1403715281.961637735366821,0.01502,0.00041,0.00008,0.00882,0.00007,0.00547,0.02987
1403715282.011637449264526,0.01478,0.00040,0.00004,0.00844,0.00007,0.00547,0.02920
1403715282.061691761016846,0.01398,0.00041,0.00830,0.00798,0.00378,0.00588,0.04033
1403715282.111679553985596,0.01478,0.00042,0.00019,0.00802,0.00047,0.00527,0.02915
1403715282.161748647689819,0.01442,0.00039,0.00055,0.00783,0.00045,0.00558,0.02922
1403715282.211736202239990,0.01381,0.00038,0.00049,0.00765,0.00105,0.00580,0.02918
1403715282.261770725250244,0.01451,0.00037,0.00009,0.00860,0.00000,0.00550,0.02907
1403715282.311783790588379,0.01392,0.00038,0.00121,0.00852,0.00047,0.00563,0.03013
1403715282.361860990524292,0.01403,0.00040,0.02216,0.00919,0.00476,0.00556,0.05611
1403715282.411813974380493,0.01431,0.00040,0.00035,0.00839,0.00001,0.00545,0.02890
1403715282.461918354034424,0.01424,0.00043,0.00039,0.00766,0.00044,0.00571,0.02886
1403715282.511978149414062,0.01613,0.00041,0.00166,0.00773,0.00540,0.00544,0.03677
1403715282.561921358108521,0.01414,0.00042,0.00023,0.00829,0.00000,0.00556,0.02864
1403715282.611900568008423,0.01318,0.00040,0.00034,0.00767,0.00037,0.00554,0.02750
1403715282.661880731582642,0.01322,0.00040,0.00584,0.00704,0.00459,0.00555,0.03664
1403715282.711854219436646,0.01658,0.00035,0.00106,0.00816,0.00000,0.00541,0.03156
1403715282.761852264404297,0.01989,0.00036,0.00025,0.00813,0.00006,0.00601,0.03472
1403715282.811849594116211,0.01550,0.00034,0.00026,0.00842,0.00000,0.00555,0.03006
1403715282.861825942993164,0.01558,0.00036,0.00047,0.00814,0.00000,0.00578,0.03033
1403715282.911805868148804,0.01602,0.00037,0.00010,0.00818,0.00001,0.00720,0.03189
1403715282.961785554885864,0.01517,0.00039,0.01421,0.00799,0.01000,0.00548,0.05323
1403715283.011791229248047,0.01513,0.00040,0.00069,0.00932,0.00000,0.00569,0.03124
1403715283.061769008636475,0.01802,0.00041,0.00004,0.00918,0.00001,0.00568,0.03334
1403715283.111741542816162,0.01562,0.00039,0.00232,0.00880,0.00048,0.00570,0.03330
1403715283.161770820617676,0.01513,0.00040,0.00004,0.00894,0.00001,0.00559,0.03010
1403715283.211761713027954,0.01453,0.00040,0.00089,0.00899,0.00040,0.00555,0.03076
1403715283.261755466461182,0.01495,0.00035,0.00802,0.00880,0.00138,0.00564,0.03914
1403715283.311767816543579,0.01450,0.00042,0.02108,0.00906,0.00198,0.00708,0.05411
1403715283.361781358718872,0.01334,0.00043,0.00003,0.00938,0.00001,0.00555,0.02873
1403715283.411782979965210,0.01317,0.00041,0.00009,0.00882,0.00000,0.00554,0.02805
1403715283.461786508560181,0.01325,0.00056,0.00097,0.00829,0.00000,0.00561,0.02869
1403715283.511755466461182,0.01405,0.00043,0.00048,0.00688,0.00000,0.00551,0.02736
1403715283.561743259429932,0.01801,0.00033,0.00509,0.00661,0.01573,0.00575,0.05153
1403715283.611728906631470,0.01456,0.00041,0.00047,0.00899,0.00000,0.00560,0.03004
1403715283.661797046661377,0.01432,0.00041,0.00009,0.00903,0.00000,0.00576,0.02961
1403715283.711925745010376,0.01409,0.00040,0.00167,0.00888,0.00119,0.00564,0.03188
1403715283.762060165405273,0.01456,0.00042,0.00004,0.00903,0.00000,0.00562,0.02967
1403715283.812063694000244,0.01439,0.00044,0.00037,0.00880,0.00000,0.00561,0.02960
1403715283.862074613571167,0.01477,0.00037,0.00688,0.00845,0.00120,0.00595,0.03761
1403715283.912113189697266,0.01455,0.00040,0.01597,0.00902,0.00000,0.00696,0.04691
1403715283.962065696716309,0.01351,0.00040,0.00004,0.00915,0.00001,0.00576,0.02887
1403715284.012003183364868,0.01433,0.00041,0.00004,0.00913,0.00000,0.00656,0.03047
1403715284.061911582946777,0.01496,0.00039,0.00004,0.00909,0.00001,0.00574,0.03022
1403715284.111905097961426,0.01569,0.00039,0.01853,0.00943,0.00001,0.00690,0.05094
1403715284.161915540695190,0.01612,0.00041,0.00520,0.00872,0.00001,0.00571,0.03617
1403715284.211923837661743,0.01412,0.00043,0.00008,0.00877,0.00000,0.00560,0.02902
1403715284.261956453323364,0.01418,0.00037,0.00019,0.00847,0.00000,0.00567,0.02888
