# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.861970663070679,0,6,0,0,5
1403715278.910545825958252,32,34,0,32,6
1403715278.960656881332397,31,4,31,0,7
1403715279.010746955871582,29,0,29,0,8
1403715279.060608863830566,29,0,29,0,9
1403715279.110296249389648,29,1,29,0,10
1403715279.160273790359497,28,1,28,0,11
1403715279.210360050201416,28,1,28,0,11
1403715279.260550737380981,33,0,28,5,11
1403715279.310426473617554,37,0,33,4,11
1403715279.360377311706543,38,0,37,1,11
1403715279.410127162933350,47,0,38,9,11
1403715279.459775924682617,47,0,47,0,11
1403715279.509556531906128,48,23,47,1,11
1403715279.559545993804932,48,0,48,0,11
1403715279.609399557113647,49,1,48,1,11
1403715279.659462451934814,49,0,49,0,11
1403715279.709483385086060,49,0,49,0,11
1403715279.759508848190308,49,0,49,0,11
1403715279.809415578842163,49,0,49,0,11
1403715279.859636068344116,49,0,49,0,11
1403715279.909685373306274,49,0,49,0,11
1403715279.959841012954712,49,2,49,0,11
1403715280.010030746459961,49,0,49,0,11
1403715280.059949159622192,49,0,49,0,11
1403715280.110398054122925,49,19,49,0,11
1403715280.161201238632202,48,0,48,0,11
1403715280.212102174758911,48,1,48,0,11
1403715280.263333320617676,47,0,47,0,11
1403715280.313534975051880,47,0,47,0,11
1403715280.363523960113525,47,0,47,0,11
1403715280.413421869277954,47,0,46,0,11
1403715280.463265419006348,47,1,46,0,11
1403715280.513185739517212,46,0,45,1,11
1403715280.563031196594238,47,2,46,1,11
1403715280.613013982772827,46,1,46,0,11
1403715280.662915468215942,48,1,44,3,11
1403715280.713025569915771,47,23,46,0,11
1403715280.763030052185059,47,2,46,1,11
1403715280.813049077987671,47,0,45,2,11
1403715280.863060474395752,47,2,46,0,11
1403715280.913132429122925,47,2,45,0,11
1403715280.963124036788940,45,0,42,2,11
1403715281.013096809387207,42,0,41,1,11
1403715281.063086271286011,41,0,41,0,11
1403715281.113069057464600,41,0,41,0,11
1403715281.163095951080322,42,0,39,3,11
1403715281.213136911392212,42,1,42,0,11
1403715281.263219356536865,41,0,41,0,11
1403715281.313265323638916,48,13,40,8,11
1403715281.363271951675415,47,1,47,0,11
1403715281.413311719894409,47,0,47,0,11
1403715281.463377952575684,50,12,47,3,11
1403715281.513339281082153,50,0,50,0,11
1403715281.563348770141602,50,0,47,0,11
1403715281.613349437713623,50,0,45,0,11
1403715281.663351535797119,50,0,44,3,11
1403715281.713333129882812,42,0,38,1,11
1403715281.763218879699707,47,7,37,8,11
1403715281.813197612762451,45,0,39,1,11
1403715281.863183021545410,44,2,39,0,11
1403715281.913114786148071,47,3,39,8,11
1403715281.963099241256714,47,0,47,0,11
1403715282.013083696365356,47,0,46,0,11
1403715282.063122987747192,50,8,43,3,11
1403715282.113059759140015,50,0,44,1,11
1403715282.163163900375366,49,0,44,3,11
1403715282.213161706924438,49,0,47,2,11
1403715282.263204574584961,49,0,48,0,11
1403715282.313232183456421,49,19,47,1,11
1403715282.363230705261230,50,6,48,1,11
1403715282.413197517395020,48,0,46,1,11
1403715282.463204383850098,46,0,45,0,11
1403715282.513212442398071,48,3,45,3,11
1403715282.563183307647705,46,0,46,0,11
