# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863819599151611,0.01721,0.00018,0.00064,0.00000,0.00000,0.00525,0.02329
1403715278.909544467926025,0.01588,0.00019,0.00565,0.00000,0.01269,0.00544,0.03986
1403715278.959489345550537,0.01655,0.00028,0.00077,0.00328,0.00000,0.00539,0.02627
1403715279.009085178375244,0.01542,0.00029,0.00015,0.00321,0.00000,0.00546,0.02454
1403715279.058514833450317,0.01967,0.00028,0.00011,0.00332,0.00000,0.00539,0.02877
1403715279.107833862304688,0.01554,0.00028,0.00064,0.00336,0.00000,0.00548,0.02530
1403715279.157980203628540,0.01562,0.00031,0.00035,0.00331,0.00000,0.00538,0.02498
1403715279.207842588424683,0.01469,0.00031,0.00090,0.00335,0.00000,0.00558,0.02483
1403715279.258344411849976,0.01514,0.00028,0.00003,0.00334,0.00706,0.00581,0.03165
1403715279.308274269104004,0.01484,0.00032,0.00008,0.00417,0.00624,0.00547,0.03112
1403715279.358247041702271,0.01543,0.00033,0.00003,0.00504,0.00188,0.00588,0.02858
1403715279.408271551132202,0.01605,0.00034,0.00003,0.00539,0.01486,0.00715,0.04381
1403715279.457978248596191,0.01528,0.00036,0.00003,0.00774,0.00000,0.00658,0.03000
1403715279.507389068603516,0.01523,0.00034,0.01967,0.00841,0.00210,0.00597,0.05173
1403715279.557210683822632,0.01514,0.00037,0.00003,0.00815,0.00010,0.00574,0.02954
1403715279.606698989868164,0.01650,0.00040,0.00193,0.00809,0.00204,0.00604,0.03499
1403715279.656414747238159,0.01408,0.00041,0.00003,0.00971,0.00000,0.00576,0.02999
1403715279.706647396087646,0.01443,0.00038,0.00003,0.00994,0.00000,0.00581,0.03060
1403715279.756674528121948,0.01413,0.00040,0.00003,0.00957,0.00000,0.00580,0.02993
1403715279.806233882904053,0.01390,0.00036,0.00009,0.00995,0.00001,0.00569,0.02998
1403715279.856786727905273,0.01399,0.00040,0.00011,0.00963,0.00000,0.00588,0.03000
1403715279.907291650772095,0.01384,0.00041,0.00008,0.00967,0.00000,0.00579,0.02979
1403715279.957863092422485,0.01506,0.00044,0.00341,0.00855,0.00007,0.00587,0.03340
1403715280.008698940277100,0.01571,0.00039,0.00003,0.00863,0.00000,0.00756,0.03233
1403715280.059081554412842,0.01536,0.00038,0.00010,0.00839,0.00000,0.00587,0.03011
1403715280.109479427337646,0.01454,0.00036,0.01643,0.00897,0.00041,0.00543,0.04613
1403715280.159994125366211,0.01574,0.00042,0.00026,0.00821,0.00007,0.00553,0.03023
1403715280.210716724395752,0.01342,0.00038,0.00172,0.00812,0.00013,0.00551,0.02928
1403715280.262273788452148,0.01413,0.00035,0.00013,0.00795,0.00000,0.00545,0.02801
1403715280.312703132629395,0.01297,0.00037,0.00003,0.00793,0.00000,0.00548,0.02678
1403715280.362495899200439,0.01366,0.00036,0.00003,0.00783,0.00000,0.00561,0.02749
1403715280.412136316299438,0.01532,0.00034,0.00003,0.00793,0.00001,0.00587,0.02950
1403715280.461423635482788,0.01417,0.00035,0.00068,0.00775,0.00000,0.00551,0.02846
1403715280.511090517044067,0.01403,0.00036,0.00016,0.00763,0.00000,0.00569,0.02787
1403715280.560698032379150,0.01571,0.00038,0.00154,0.00749,0.00181,0.00630,0.03324
1403715280.610715866088867,0.01389,0.00037,0.00075,0.00760,0.00001,0.00554,0.02815
1403715280.660357475280762,0.01361,0.00036,0.00063,0.00752,0.00547,0.00537,0.03296
1403715280.710458278656006,0.01559,0.00042,0.01858,0.00956,0.00008,0.00546,0.04970
1403715280.760416746139526,0.01519,0.00040,0.00088,0.00795,0.00117,0.00557,0.03116
1403715280.810430765151978,0.01405,0.00036,0.00267,0.00731,0.00002,0.00533,0.02973
1403715280.860426902770996,0.01661,0.00035,0.00053,0.00711,0.00000,0.00541,0.03002
1403715280.910467147827148,0.01435,0.00033,0.00036,0.00685,0.00000,0.00569,0.02758
1403715280.960505723953247,0.01644,0.00037,0.00087,0.00604,0.00002,0.00554,0.02927
1403715281.010526895523071,0.01173,0.00037,0.00064,0.00587,0.00039,0.00551,0.02450
1403715281.060570001602173,0.01309,0.00035,0.00064,0.00552,0.00000,0.00557,0.02518
1403715281.110635519027710,0.01389,0.00037,0.00017,0.00548,0.00937,0.00554,0.03483
1403715281.160721778869629,0.01664,0.00034,0.00100,0.00625,0.00040,0.00536,0.02999
1403715281.210888862609863,0.01394,0.00038,0.00103,0.00659,0.00000,0.00583,0.02777
1403715281.261273860931396,0.01524,0.00033,0.00005,0.00662,0.00000,0.00563,0.02787
1403715281.311708688735962,0.01430,0.00033,0.00938,0.00596,0.01344,0.00554,0.04895
1403715281.361698865890503,0.01411,0.00038,0.00014,0.00796,0.00001,0.00542,0.02801
1403715281.411901950836182,0.01358,0.00039,0.01090,0.00769,0.00542,0.00537,0.04335
1403715281.462074518203735,0.01417,0.00036,0.00071,0.00776,0.00000,0.00559,0.02860
1403715281.511998414993286,0.01473,0.00040,0.00009,0.00638,0.00000,0.00543,0.02704
1403715281.562046289443970,0.01476,0.00040,0.00053,0.00512,0.00115,0.00539,0.02735
1403715281.612073421478271,0.01405,0.00038,0.00075,0.00570,0.00148,0.00548,0.02784
1403715281.662059783935547,0.01422,0.00036,0.00069,0.00701,0.00144,0.00651,0.03022
1403715281.711995840072632,0.01741,0.00036,0.00739,0.00601,0.00529,0.00609,0.04255
1403715281.761919498443604,0.01518,0.00033,0.00049,0.00686,0.00000,0.00551,0.02837
1403715281.811946868896484,0.01615,0.00035,0.00038,0.00596,0.00002,0.00544,0.02830
1403715281.861952781677246,0.01419,0.00037,0.00119,0.00573,0.00002,0.00560,0.02709
1403715281.912020921707153,0.01455,0.00033,0.00023,0.00572,0.01300,0.00556,0.03938
1403715281.962017297744751,0.01489,0.00037,0.00003,0.00851,0.00001,0.00542,0.02923
1403715282.012081384658813,0.01434,0.00035,0.00825,0.00836,0.00038,0.00560,0.03728
1403715282.062100172042847,0.01418,0.00038,0.00009,0.00850,0.00000,0.00545,0.02860
1403715282.112143754959106,0.01421,0.00037,0.00003,0.00769,0.00000,0.00552,0.02783
1403715282.162225961685181,0.01432,0.00042,0.00003,0.00749,0.00007,0.00563,0.02796
1403715282.212216377258301,0.01354,0.00051,0.00057,0.00717,0.00102,0.00658,0.02938
1403715282.262377023696899,0.01350,0.00038,0.01630,0.00784,0.00691,0.00510,0.05004
1403715282.312348365783691,0.01363,0.00038,0.00736,0.00874,0.00047,0.00573,0.03631
1403715282.362340211868286,0.01558,0.00048,0.00010,0.00936,0.00000,0.00520,0.03072
1403715282.412297010421753,0.01329,0.00038,0.00097,0.00862,0.00000,0.00546,0.02873
1403715282.462314367294312,0.01365,0.00041,0.00031,0.00811,0.00001,0.00528,0.02776
1403715282.512322425842285,0.01859,0.00037,0.00023,0.00787,0.00212,0.00504,0.03422
1403715282.562278270721436,0.01539,0.00040,0.00057,0.00731,0.00002,0.00558,0.02927
1403715282.612260818481445,0.01486,0.00040,0.00411,0.00710,0.00941,0.00753,0.04340
1403715282.662242889404297,0.01481,0.00039,0.00078,0.00870,0.00000,0.00558,0.03027
1403715282.712219715118408,0.01492,0.00038,0.00160,0.00857,0.00000,0.00563,0.03111
1403715282.762212276458740,0.01471,0.00040,0.00085,0.00905,0.00047,0.00587,0.03135
1403715282.812225341796875,0.01444,0.00040,0.00057,0.00870,0.00000,0.00559,0.02970
1403715282.862097263336182,0.01500,0.00039,0.01224,0.00788,0.00374,0.00608,0.04534
