# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862152099609375,0.00655,0.00015,0.00063,0.00000,0.00000,0.00426,0.01159
1403715278.913545370101929,0.00566,0.00019,0.00570,0.00000,0.01226,0.00414,0.02796
1403715278.962984085083008,0.00577,0.00027,0.00076,0.00328,0.00000,0.00411,0.01420
1403715279.011703252792358,0.00565,0.00031,0.00015,0.00324,0.00000,0.00427,0.01362
1403715279.061412334442139,0.00670,0.00027,0.00011,0.00327,0.00000,0.00428,0.01463
1403715279.110955476760864,0.00545,0.00031,0.00064,0.00333,0.00000,0.00426,0.01399
1403715279.160824060440063,0.00539,0.00031,0.00032,0.00329,0.00000,0.00428,0.01360
1403715279.210885524749756,0.00679,0.00032,0.00091,0.00335,0.00000,0.00446,0.01583
1403715279.260791778564453,0.00552,0.00030,0.00003,0.00342,0.00713,0.00453,0.02094
1403715279.310570716857910,0.00548,0.00034,0.00008,0.00420,0.00605,0.00435,0.02049
1403715279.360113143920898,0.00670,0.00035,0.00003,0.00507,0.00189,0.00450,0.01854
1403715279.409223318099976,0.00576,0.00035,0.00003,0.00536,0.01514,0.00481,0.03146
1403715279.458755493164062,0.00548,0.00039,0.00003,0.00778,0.00000,0.00503,0.01871
1403715279.507947444915771,0.00548,0.00039,0.01819,0.00807,0.00215,0.00464,0.03891
1403715279.557335376739502,0.00539,0.00038,0.00003,0.00828,0.00010,0.00462,0.01879
1403715279.606391429901123,0.00538,0.00038,0.00177,0.00871,0.00215,0.00463,0.02303
1403715279.656006813049316,0.00518,0.00041,0.00003,0.00882,0.00000,0.00455,0.01898
1403715279.705980539321899,0.00519,0.00041,0.00003,0.00880,0.00000,0.00451,0.01894
1403715279.755936622619629,0.00518,0.00040,0.00003,0.00947,0.00000,0.00454,0.01962
1403715279.806042432785034,0.00514,0.00041,0.00010,0.00882,0.00000,0.00474,0.01922
1403715279.856019496917725,0.00506,0.00040,0.00010,0.00880,0.00000,0.00454,0.01891
1403715279.905783176422119,0.00507,0.00043,0.00008,0.00911,0.00000,0.00464,0.01934
1403715279.955566644668579,0.00782,0.00047,0.00364,0.00852,0.00007,0.00467,0.02518
1403715280.005561828613281,0.00527,0.00037,0.00003,0.00872,0.00000,0.00485,0.01926
1403715280.055787801742554,0.00564,0.00038,0.00010,0.00864,0.00000,0.00449,0.01925
1403715280.106057405471802,0.00532,0.00040,0.01668,0.00807,0.00009,0.00432,0.03488
1403715280.156981229782104,0.00524,0.00039,0.00008,0.00843,0.00010,0.00445,0.01869
1403715280.208272933959961,0.00552,0.00039,0.00014,0.00832,0.00207,0.00464,0.02108
1403715280.259222507476807,0.00586,0.00041,0.00023,0.00845,0.00000,0.00453,0.01948
1403715280.309477329254150,0.00678,0.00040,0.00014,0.00808,0.00000,0.00459,0.01999
1403715280.359484434127808,0.00557,0.00038,0.00003,0.00803,0.00000,0.00461,0.01862
1403715280.409287214279175,0.00617,0.00037,0.00003,0.00797,0.00000,0.00447,0.01901
1403715280.459055185317993,0.00545,0.00040,0.00069,0.00798,0.00000,0.00441,0.01892
1403715280.509024143218994,0.00559,0.00037,0.00018,0.00770,0.00000,0.00453,0.01837
1403715280.558831691741943,0.00567,0.00039,0.00137,0.00757,0.00139,0.00495,0.02134
1403715280.608968257904053,0.00677,0.00037,0.00118,0.00763,0.00550,0.00457,0.02602
