# timestamp(s) tx ty tz qx qy qz qw
1403715278.86312 0.012894000 0.004702000 0.070217000 0.807878000 -0.009048000 0.589271000 0.003203000
1403715278.91247 0.043824000 0.011075000 0.083089000 0.810436000 -0.007536000 0.585775000 0.002273000
1403715278.96261 0.050836000 0.013342000 0.099927000 0.809859000 -0.007513000 0.586571000 0.002592000
1403715279.01261 0.057709000 0.015265000 0.113900000 0.809717000 -0.006892000 0.586769000 0.003630000
1403715279.06262 0.064193000 0.017190000 0.123670000 0.810113000 -0.006785000 0.586222000 0.003857000
1403715279.11243 0.071343000 0.018750000 0.129366000 0.810223000 -0.006825000 0.586071000 0.003512000
1403715279.16240 0.078725000 0.020297000 0.130560000 0.810666000 -0.006220000 0.585464000 0.003718000
1403715279.21263 0.085674000 0.021536000 0.129041000 0.811358000 -0.005822000 0.584506000 0.004111000
1403715279.26264 0.092491000 0.021759000 0.125412000 0.811849000 -0.005117000 0.583831000 0.003912000
1403715279.31273 0.099739000 0.022412000 0.121773000 0.812510000 -0.004975000 0.582915000 0.003519000
1403715279.36300 0.104282000 0.022571000 0.118349000 0.813204000 -0.005417000 0.581948000 0.002749000
1403715279.41297 0.107992000 0.021939000 0.113871000 0.813035000 -0.005767000 0.582185000 0.001381000
1403715279.46298 0.111130000 0.021673000 0.112230000 0.813753000 -0.005788000 0.581181000 0.001043000
1403715279.51291 0.114336000 0.021537000 0.111867000 0.813857000 -0.005743000 0.581036000 0.000671000
1403715279.56287 0.117298000 0.021289000 0.113045000 0.813785000 -0.005104000 0.581142000 0.001372000
1403715279.61287 0.119407000 0.021264000 0.114450000 0.814148000 -0.005075000 0.580633000 0.001525000
1403715279.66279 0.122965000 0.021369000 0.118188000 0.814105000 -0.004771000 0.580696000 0.001533000
1403715279.71278 0.126262000 0.021509000 0.121090000 0.813848000 -0.004871000 0.581055000 0.001437000
1403715279.76280 0.128831000 0.021558000 0.123803000 0.813876000 -0.005009000 0.581016000 0.001263000
1403715279.81277 0.129687000 0.021126000 0.124547000 0.814011000 -0.005483000 0.580823000 0.000792000
1403715279.86253 0.129456000 0.020537000 0.124476000 0.814306000 -0.005459000 0.580410000 0.000637000
1403715279.91244 0.128595000 0.019429000 0.125702000 0.814848000 -0.005463000 0.579649000 0.000796000
1403715279.96194 0.127960000 0.018183000 0.126321000 0.816207000 -0.005245000 0.577734000 0.001145000
1403715280.01099 0.127412000 0.017052000 0.127066000 0.819773000 -0.005431000 0.572662000 0.001203000
1403715280.06093 0.125889000 0.015662000 0.128878000 0.824065000 -0.005352000 0.566469000 0.001240000
1403715280.11114 0.123651000 0.013441000 0.131450000 0.828164000 -0.003444000 0.560461000 0.003939000
1403715280.16161 0.123385000 0.012219000 0.137901000 0.830293000 -0.001779000 0.557290000 0.006121000
1403715280.21184 0.124452000 0.011303000 0.146179000 0.831095000 0.001318000 0.556035000 0.010237000
1403715280.26253 0.125565000 0.010122000 0.154612000 0.831088000 0.004125000 0.555945000 0.014201000
1403715280.31264 0.129131000 0.010440000 0.163081000 0.830132000 0.006310000 0.557272000 0.016971000
1403715280.36264 0.135599000 0.012374000 0.173112000 0.828440000 0.007753000 0.559694000 0.019206000
1403715280.41261 0.142748000 0.014691000 0.183301000 0.826819000 0.007747000 0.561991000 0.021820000
1403715280.46258 0.150353000 0.017378000 0.193021000 0.826005000 0.004390000 0.563228000 0.021683000
1403715280.51254 0.158082000 0.020184000 0.202163000 0.824751000 -0.002275000 0.565117000 0.020583000
1403715280.56244 0.165814000 0.023088000 0.211628000 0.823582000 -0.009928000 0.566741000 0.020464000
1403715280.61247 0.172984000 0.026128000 0.220404000 0.822234000 -0.018841000 0.568429000 0.021567000
1403715280.66244 0.179539000 0.028783000 0.229478000 0.820995000 -0.028118000 0.569674000 0.025461000
1403715280.71252 0.188759000 0.029822000 0.238725000 0.819691000 -0.038409000 0.570741000 0.029774000
1403715280.76251 0.197251000 0.031259000 0.246055000 0.818709000 -0.049055000 0.571021000 0.035272000
