# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.865587472915649,0.00658,0.00014,0.00064,0.00000,0.00000,0.00440,0.01177
1403715278.915171384811401,0.00582,0.00019,0.00570,0.00000,0.01220,0.00417,0.02809
1403715278.965109109878540,0.00598,0.00027,0.00076,0.00329,0.00000,0.00414,0.01445
1403715279.013887166976929,0.00572,0.00031,0.00011,0.00323,0.00000,0.00425,0.01362
1403715279.063093900680542,0.00677,0.00029,0.00011,0.00326,0.00000,0.00445,0.01488
1403715279.111892223358154,0.00567,0.00029,0.00064,0.00338,0.00000,0.00426,0.01424
1403715279.161586761474609,0.00566,0.00031,0.00036,0.00333,0.00000,0.00427,0.01394
1403715279.212295532226562,0.00755,0.00030,0.00090,0.00339,0.00000,0.00448,0.01663
1403715279.262180089950562,0.00564,0.00033,0.00003,0.00342,0.00693,0.00457,0.02092
1403715279.312475681304932,0.00563,0.00034,0.00008,0.00423,0.00599,0.00431,0.02058
1403715279.362784862518311,0.00575,0.00035,0.00003,0.00502,0.00192,0.00452,0.01759
1403715279.413137674331665,0.00604,0.00031,0.00003,0.00532,0.01498,0.00486,0.03154
1403715279.463001489639282,0.00570,0.00040,0.00003,0.00767,0.00001,0.00489,0.01870
1403715279.512728452682495,0.00571,0.00040,0.01972,0.00807,0.00207,0.00450,0.04047
1403715279.562457799911499,0.00573,0.00039,0.00003,0.00810,0.00010,0.00448,0.01883
1403715279.612338542938232,0.00570,0.00040,0.00177,0.00820,0.00274,0.00455,0.02336
1403715279.662151813507080,0.00565,0.00038,0.00003,0.00858,0.00001,0.00448,0.01913
1403715279.711955070495605,0.00565,0.00040,0.00003,0.00861,0.00001,0.00451,0.01922
1403715279.762165307998657,0.00755,0.00038,0.00003,0.00853,0.00001,0.00455,0.02106
1403715279.812266826629639,0.00560,0.00038,0.00008,0.00861,0.00001,0.00465,0.01934
1403715279.862704515457153,0.00559,0.00040,0.00010,0.00847,0.00001,0.00463,0.01919
1403715279.912738084793091,0.00554,0.00039,0.00009,0.00861,0.00001,0.00451,0.01915
1403715279.963720083236694,0.00560,0.00037,0.00339,0.00825,0.00007,0.00465,0.02233
1403715280.014469146728516,0.00565,0.00039,0.00003,0.00860,0.00001,0.00490,0.01958
1403715280.064615726470947,0.00576,0.00038,0.00010,0.00798,0.00001,0.00456,0.01879
1403715280.114388704299927,0.00635,0.00038,0.01704,0.00863,0.00010,0.00449,0.03700
1403715280.164130449295044,0.00599,0.00039,0.00024,0.00860,0.00011,0.00473,0.02007
1403715280.213927268981934,0.00588,0.00037,0.00177,0.00835,0.00013,0.00446,0.02095
1403715280.264331340789795,0.00586,0.00035,0.00013,0.00783,0.00001,0.00451,0.01870
1403715280.314455270767212,0.00786,0.00038,0.00003,0.00789,0.00001,0.00449,0.02066
1403715280.364370107650757,0.00587,0.00039,0.00003,0.00786,0.00001,0.00452,0.01868
1403715280.413959980010986,0.00641,0.00036,0.00003,0.00788,0.00001,0.00467,0.01937
1403715280.463296413421631,0.00654,0.00039,0.00069,0.00790,0.00001,0.00453,0.02006
1403715280.512933969497681,0.00586,0.00034,0.00018,0.00737,0.00001,0.00461,0.01837
