# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863776922225952,0,6,0,0,5
1403715278.919071912765503,32,34,0,32,6
1403715278.969292879104614,31,4,31,0,7
1403715279.017984390258789,29,0,29,0,8
1403715279.067020654678345,29,0,29,0,9
1403715279.116270303726196,29,1,29,0,10
1403715279.165833711624146,28,1,28,0,11
1403715279.216206789016724,28,1,28,0,11
1403715279.266588449478149,33,0,28,5,11
1403715279.316662788391113,37,0,33,4,11
1403715279.366197824478149,38,0,37,1,11
1403715279.415796041488647,47,0,38,9,11
1403715279.465202808380127,47,0,47,0,11
1403715279.514579534530640,48,26,47,1,11
1403715279.564389944076538,48,0,48,0,11
1403715279.614168643951416,49,1,48,1,11
1403715279.663773059844971,49,0,49,0,11
1403715279.713695287704468,49,0,49,0,11
1403715279.763788700103760,49,0,49,0,11
1403715279.813763141632080,49,0,49,0,11
1403715279.863710880279541,49,0,49,0,11
1403715279.913382291793823,49,0,49,0,11
1403715279.962964534759521,49,2,49,0,11
1403715280.012446165084839,49,0,49,0,11
1403715280.062435626983643,49,0,49,0,11
1403715280.112171411514282,49,20,49,0,11
1403715280.162428855895996,48,0,48,0,11
1403715280.212704658508301,48,1,48,0,11
1403715280.263109445571899,47,0,47,0,11
1403715280.313196420669556,47,0,47,0,11
1403715280.363164424896240,47,0,47,0,11
1403715280.413038969039917,47,0,46,0,11
1403715280.462851047515869,47,1,46,0,11
1403715280.512857913970947,46,0,45,1,11
1403715280.562736272811890,47,3,45,1,11
1403715280.612833261489868,46,1,45,0,11
1403715280.662751913070679,48,1,45,3,11
1403715280.712722778320312,49,25,48,1,11
1403715280.762715578079224,48,1,47,0,11
1403715280.812740325927734,46,1,44,1,11
1403715280.862806081771851,46,0,44,0,11
1403715280.912827014923096,45,0,43,0,11
1403715280.962844610214233,42,1,41,0,11
1403715281.012849092483521,41,2,40,1,11
1403715281.062893390655518,41,1,41,0,11
1403715281.112875461578369,46,0,41,5,11
1403715281.162928819656372,44,1,44,0,11
1403715281.213075160980225,44,1,44,0,11
1403715281.263395309448242,44,0,43,1,11
1403715281.313682317733765,48,13,42,5,11
1403715281.363673210144043,47,0,46,0,11
1403715281.413638114929199,48,8,46,2,11
1403715281.463624238967896,48,0,48,0,11
1403715281.513571977615356,48,0,47,0,11
1403715281.563532352447510,48,0,44,0,11
1403715281.613508462905884,48,8,43,2,11
1403715281.663532018661499,47,0,42,2,11
1403715281.713571786880493,42,0,40,0,11
1403715281.763734817504883,39,0,39,0,11
1403715281.813712120056152,38,0,36,0,11
1403715281.863803148269653,36,1,33,0,11
1403715281.913771152496338,45,0,33,11,11
1403715281.963745355606079,44,1,44,0,11
1403715282.013717412948608,46,5,44,2,11
1403715282.063675165176392,46,0,44,0,11
1403715282.113662719726562,46,0,43,0,11
1403715282.163700819015503,46,0,43,2,11
1403715282.213666677474976,50,13,44,4,11
1403715282.263683319091797,50,24,47,1,11
1403715282.313695430755615,50,0,47,2,11
1403715282.363682746887207,50,0,49,0,11
1403715282.413655519485474,48,0,46,1,11
1403715282.463649511337280,46,0,45,0,11
1403715282.513632774353027,48,0,45,3,11
1403715282.563629150390625,46,0,46,0,11
1403715282.613648414611816,44,3,42,1,11
1403715282.663654565811157,44,1,43,0,11
1403715282.713596343994141,43,2,40,0,11
1403715282.763634443283081,43,1,40,0,11
1403715282.813663244247437,50,5,40,8,11
1403715282.863514184951782,49,20,49,0,11
1403715282.913504838943481,49,0,48,0,11
1403715282.963556766510010,49,0,48,0,11
1403715283.013379573822021,49,19,47,2,11
1403715283.063417434692383,49,0,47,0,11
1403715283.113470792770386,48,1,46,0,11
1403715283.163404941558838,48,0,41,2,11
1403715283.213403463363647,48,3,43,1,11
1403715283.263334512710571,47,1,42,4,11
1403715283.313312768936157,47,0,46,0,11
1403715283.363243579864502,44,0,37,1,11
1403715283.413088560104370,48,0,37,4,11
1403715283.462905645370483,46,15,38,7,11
1403715283.512788295745850,40,1,40,0,11
1403715283.562777042388916,40,0,40,0,11
1403715283.612760543823242,50,9,40,10,11
1403715283.662733793258667,50,0,49,0,11
1403715283.712659835815430,50,11,49,0,11
1403715283.762582540512085,50,0,49,1,11
1403715283.812494516372681,49,2,49,0,11
1403715283.862461805343628,49,0,47,0,11
1403715283.912395000457764,48,0,45,0,11
1403715283.962450504302979,48,0,45,2,11
1403715284.012595176696777,48,0,47,1,11
1403715284.062715530395508,50,12,48,2,11
1403715284.112797737121582,50,22,50,0,11
1403715284.162749052047729,50,0,50,0,11
1403715284.212702274322510,50,8,49,0,11
1403715284.262649536132812,50,0,49,0,11
1403715284.312605619430542,50,8,49,0,11
1403715284.362606048583984,50,0,49,1,11
1403715284.412621498107910,50,3,48,0,11
1403715284.462619304656982,50,0,49,1,11
1403715284.512589454650879,49,0,49,0,11
1403715284.562580823898315,49,0,49,0,11
1403715284.612621068954468,49,0,48,0,11
1403715284.662690639495850,49,10,43,1,11
1403715284.712481021881104,50,18,43,1,11
1403715284.762586116790771,48,0,35,3,11
1403715284.812573909759521,50,5,25,3,11
1403715284.862552642822266,49,0,22,8,11
1403715284.912614822387695,49,8,24,13,11
1403715284.962584018707275,49,0,27,6,11
1403715285.012496471405029,46,2,41,3,11
1403715285.062498807907104,44,0,43,1,11
1403715285.112507343292236,44,0,44,0,11
1403715285.162469387054443,44,1,44,0,11
1403715285.212481021881104,43,1,42,0,11
1403715285.262453317642212,50,3,43,7,11
1403715285.312380790710449,50,15,50,0,11
1403715285.362413883209229,50,0,50,0,11
1403715285.412426710128784,50,4,49,0,11
1403715285.462445497512817,50,2,49,1,11
1403715285.512433052062988,49,6,48,0,11
1403715285.562435388565063,49,0,48,0,11
