# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863309621810913,0,6,0,0,5
1403715278.910996675491333,32,34,0,32,6
1403715278.960920572280884,31,4,31,0,7
1403715279.009261131286621,29,0,29,0,8
1403715279.058123826980591,29,0,29,0,9
1403715279.107165575027466,29,1,29,0,10
1403715279.157691478729248,28,1,28,0,11
1403715279.207637548446655,28,1,28,0,11
1403715279.258277893066406,33,0,28,5,11
1403715279.308454036712646,37,0,33,4,11
1403715279.358424663543701,38,0,37,1,11
1403715279.408281564712524,47,0,38,9,11
1403715279.458340167999268,47,0,47,0,11
1403715279.508058071136475,48,26,47,1,11
1403715279.558195114135742,49,0,48,1,11
1403715279.608223915100098,50,1,49,1,11
1403715279.658276796340942,50,0,50,0,11
1403715279.708309650421143,50,0,50,0,11
1403715279.758344650268555,50,0,50,0,11
1403715279.808307409286499,50,0,50,0,11
1403715279.858371734619141,50,0,50,0,11
1403715279.908416748046875,50,0,50,0,11
1403715279.958774089813232,50,2,50,0,11
1403715280.009305953979492,50,0,50,0,11
1403715280.059551715850830,50,0,50,0,11
1403715280.109883546829224,50,19,50,0,11
1403715280.161029577255249,49,0,49,0,11
1403715280.212188959121704,49,1,49,0,11
1403715280.263295650482178,48,0,48,0,11
1403715280.313491582870483,48,0,48,0,11
1403715280.363474845886230,48,0,48,0,11
1403715280.413217306137085,48,0,48,0,11
1403715280.462682723999023,48,1,48,0,11
1403715280.512389898300171,47,0,47,0,11
1403715280.562084436416626,48,3,46,1,11
1403715280.612078905105591,47,1,46,0,11
1403715280.661887884140015,49,0,44,4,11
1403715280.711824893951416,49,26,48,0,11
1403715280.761849641799927,48,1,47,1,11
1403715280.811901330947876,47,2,45,1,11
1403715280.862040996551514,47,0,45,0,11
1403715280.912217617034912,45,0,43,0,11
1403715280.962276458740234,42,1,39,0,11
1403715281.012380123138428,41,1,37,1,11
1403715281.062518119812012,41,1,32,1,11
1403715281.112616539001465,45,0,25,6,11
1403715281.162672042846680,44,1,29,5,11
1403715281.212855100631714,43,1,28,6,11
1403715281.263264894485474,44,0,32,5,11
1403715281.313607215881348,48,13,38,10,11
1403715281.363618612289429,47,0,47,0,11
1403715281.413637876510620,48,8,47,1,11
1403715281.463707208633423,48,1,48,0,11
1403715281.513640880584717,48,0,48,0,11
1403715281.563558816909790,48,0,47,0,11
1403715281.613536357879639,47,0,45,0,11
1403715281.663494825363159,47,0,44,1,11
1403715281.713459968566895,42,7,39,2,11
1403715281.763378620147705,39,0,38,0,11
1403715281.813416719436646,38,0,34,0,11
1403715281.863381147384644,36,1,33,1,11
1403715281.913444519042969,45,0,34,11,11
1403715281.963459968566895,45,0,45,0,11
1403715282.013514518737793,46,6,44,1,11
1403715282.063565731048584,46,0,45,0,11
1403715282.113571166992188,46,0,42,1,11
1403715282.163652420043945,46,0,43,0,11
1403715282.213649272918701,46,0,43,3,11
1403715282.263726949691772,50,22,46,4,11
1403715282.313724279403687,50,6,49,0,11
1403715282.363715171813965,49,0,47,0,11
1403715282.413688182830811,47,0,44,1,11
1403715282.463680744171143,45,0,43,0,11
1403715282.513684988021851,47,0,43,3,11
1403715282.563673019409180,44,0,44,0,11
1403715282.613668441772461,45,5,42,3,11
1403715282.663661479949951,45,1,45,0,11
1403715282.713640689849854,45,2,44,0,11
1403715282.763628005981445,43,1,43,0,11
1403715282.813608884811401,43,2,43,0,11
1403715282.863509416580200,50,11,43,7,11
1403715282.913484811782837,49,6,49,0,11
1403715282.963524818420410,47,0,46,0,11
1403715283.013511657714844,47,1,46,0,11
1403715283.063518762588501,48,21,46,2,11
1403715283.113512277603149,47,1,46,0,11
1403715283.163509845733643,47,0,46,0,11
1403715283.213510751724243,47,4,45,1,11
1403715283.263489246368408,47,0,46,0,11
1403715283.313488721847534,47,0,46,1,11
1403715283.363465785980225,46,0,46,0,11
1403715283.413407802581787,46,0,46,0,11
1403715283.463344573974609,48,7,44,4,11
1403715283.513267040252686,44,2,42,2,11
1403715283.563247442245483,42,0,42,0,11
1403715283.613272190093994,41,0,41,0,11
1403715283.663309097290039,47,12,41,6,11
1403715283.713363885879517,46,0,46,0,11
1403715283.763423442840576,46,0,46,0,11
1403715283.813486814498901,45,2,44,1,11
1403715283.863517522811890,45,0,45,0,11
1403715283.913532257080078,44,0,44,0,11
1403715283.963517427444458,44,0,43,0,11
1403715284.013465166091919,50,10,43,6,11
1403715284.063407421112061,50,30,49,1,11
1403715284.113425016403198,50,2,49,0,11
1403715284.163422107696533,48,0,47,0,11
1403715284.213466882705688,48,0,47,1,11
1403715284.263533353805542,48,9,48,0,11
1403715284.313548088073730,48,0,48,0,11
1403715284.363575935363770,48,1,48,0,11
1403715284.413567066192627,49,3,47,1,11
1403715284.463556051254272,49,0,48,0,11
1403715284.513511419296265,48,0,47,1,11
1403715284.563491582870483,48,0,47,0,11
1403715284.613481760025024,48,7,47,0,11
1403715284.663577318191528,49,26,45,2,11
1403715284.713576793670654,50,1,47,1,11
1403715284.763603448867798,50,0,47,2,11
1403715284.813583850860596,50,0,49,0,11
1403715284.863569974899292,49,7,48,1,11
1403715284.913529872894287,49,1,49,0,11
1403715284.963478565216064,49,0,49,0,11
1403715285.013450145721436,49,2,47,0,11
1403715285.063443183898926,47,0,43,0,11
1403715285.113422393798828,46,0,43,1,11
1403715285.163387298583984,44,0,44,0,11
1403715285.213297605514526,46,2,42,3,11
1403715285.263017416000366,50,18,46,4,11
1403715285.313012123107910,49,1,48,0,11
1403715285.363010644912720,49,0,47,0,11
1403715285.413009405136108,47,0,46,1,11
1403715285.463003873825073,47,7,47,0,11
1403715285.513045549392700,47,0,47,0,11
1403715285.563089370727539,47,0,47,0,11
1403715285.613088369369507,49,0,46,2,11
1403715285.663086891174316,48,0,47,0,11
1403715285.713112592697144,48,1,47,1,11
1403715285.763107776641846,47,0,47,0,11
1403715285.813058853149414,50,4,47,3,11
1403715285.863011598587036,49,25,48,0,11
1403715285.912964344024658,50,0,48,1,11
1403715285.962949275970459,50,1,49,1,11
1403715286.012952566146851,50,19,47,0,11
1403715286.062938213348389,50,12,48,0,11
1403715286.112936258316040,49,0,47,2,11
1403715286.162919998168945,48,0,47,0,11
1403715286.212904214859009,47,0,47,0,11
1403715286.262901782989502,46,1,46,0,11
1403715286.312886238098145,46,0,46,0,11
1403715286.362870931625366,46,0,46,0,11
1403715286.412853956222534,47,0,44,3,11
1403715286.462830066680908,49,17,44,3,11
1403715286.512821435928345,47,1,45,0,11
1403715286.562817573547363,45,1,44,1,11
1403715286.612817287445068,50,8,45,5,11
1403715286.662817239761353,48,10,48,0,11
1403715286.712837219238281,46,0,43,0,11
1403715286.762803554534912,41,0,39,0,11
1403715286.812724828720093,40,0,35,2,11
1403715286.862677812576294,39,0,36,0,11
1403715286.912626028060913,39,0,36,2,11
1403715286.962624311447144,37,0,37,0,11
1403715287.012634515762329,37,0,34,0,11
1403715287.062595844268799,43,14,33,7,11
1403715287.112591743469238,42,0,38,2,11
1403715287.162588357925415,40,0,38,0,11
1403715287.212549209594727,45,1,32,10,11
1403715287.262488365173340,44,9,38,2,11
1403715287.312498569488525,40,1,35,0,11
1403715287.362492084503174,40,1,33,2,11
1403715287.412490367889404,39,2,33,3,11
1403715287.462531089782715,39,1,36,2,11
1403715287.512553453445435,38,0,37,1,11
1403715287.562563180923462,38,1,37,0,11
1403715287.612577915191650,43,2,36,6,11
1403715287.662600994110107,44,9,39,3,11
1403715287.712632894515991,42,0,38,0,11
1403715287.762652873992920,37,1,34,0,11
1403715287.812659502029419,34,0,32,1,11
1403715287.862682342529297,38,1,31,6,11
1403715287.912662029266357,41,6,34,5,11
1403715287.962663412094116,40,2,36,0,11
1403715288.012672424316406,40,1,35,2,11
1403715288.062686920166016,38,1,35,1,11
1403715288.112699985504150,37,0,35,0,11
1403715288.162729978561401,34,0,33,0,11
1403715288.212767601013184,35,0,33,2,11
1403715288.262750387191772,46,0,34,11,11
1403715288.312766551971436,45,0,42,0,11
1403715288.362764120101929,45,0,42,1,11
1403715288.412770986557007,48,0,43,5,11
1403715288.462776184082031,48,0,48,0,11
1403715288.512777328491211,48,14,48,0,11
1403715288.562822341918945,48,1,48,0,11
1403715288.612815856933594,47,0,47,0,11
1403715288.662823677062988,47,0,46,0,11
1403715288.712823152542114,47,0,46,0,11
1403715288.762815952301025,47,1,46,1,11
1403715288.812809467315674,47,0,47,0,11
1403715288.862790822982788,48,0,47,1,11
1403715288.912768363952637,48,0,48,0,11
1403715288.962761878967285,48,0,47,0,11
1403715289.012764930725098,47,0,46,1,11
1403715289.062768936157227,47,0,47,0,11
1403715289.112770557403564,48,15,47,1,11
1403715289.162777185440063,49,1,47,1,11
1403715289.212754964828491,49,0,47,0,11
