# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864974975585938,0.00662,0.00015,0.00063,0.00000,0.00000,0.00414,0.01155
1403715278.918308973312378,0.00607,0.00019,0.00568,0.00000,0.01228,0.00414,0.02837
1403715278.968046426773071,0.00635,0.00026,0.00073,0.00328,0.00000,0.00409,0.01472
1403715279.016764640808105,0.00603,0.00029,0.00015,0.00328,0.00000,0.00430,0.01406
1403715279.065487146377563,0.00694,0.00028,0.00011,0.00330,0.00000,0.00427,0.01490
1403715279.114480972290039,0.00585,0.00029,0.00063,0.00329,0.00000,0.00429,0.01435
1403715279.163990497589111,0.00576,0.00031,0.00034,0.00329,0.00000,0.00424,0.01395
1403715279.214320659637451,0.00681,0.00032,0.00093,0.00339,0.00000,0.00452,0.01597
1403715279.264566421508789,0.00588,0.00027,0.00003,0.00337,0.00697,0.00451,0.02103
1403715279.314582347869873,0.00602,0.00033,0.00008,0.00421,0.00615,0.00451,0.02130
1403715279.363798856735229,0.00573,0.00033,0.00003,0.00500,0.00186,0.00453,0.01749
1403715279.413004875183105,0.00612,0.00029,0.00003,0.00533,0.01488,0.00490,0.03155
1403715279.462386369705200,0.00583,0.00037,0.00003,0.00785,0.00001,0.00497,0.01906
1403715279.511536836624146,0.00581,0.00038,0.01980,0.00792,0.00205,0.00463,0.04059
1403715279.561240434646606,0.00575,0.00038,0.00003,0.00817,0.00010,0.00452,0.01895
1403715279.611080646514893,0.00547,0.00039,0.00175,0.00804,0.00244,0.00479,0.02289
1403715279.660810232162476,0.00568,0.00037,0.00003,0.00871,0.00001,0.00462,0.01941
1403715279.710718870162964,0.00598,0.00039,0.00003,0.00857,0.00001,0.00452,0.01950
1403715279.760810613632202,0.00682,0.00040,0.00003,0.00857,0.00001,0.00450,0.02033
1403715279.810814857482910,0.00585,0.00038,0.00008,0.00863,0.00001,0.00465,0.01960
1403715279.861018419265747,0.00577,0.00041,0.00010,0.00853,0.00001,0.00459,0.01941
1403715279.911212682723999,0.00562,0.00039,0.00009,0.00859,0.00001,0.00461,0.01931
1403715279.961529970169067,0.00566,0.00036,0.00339,0.00840,0.00007,0.00468,0.02255
1403715280.012613058090210,0.00596,0.00040,0.00003,0.00794,0.00001,0.00485,0.01919
1403715280.062506437301636,0.00577,0.00039,0.00009,0.00781,0.00001,0.00459,0.01866
1403715280.111959934234619,0.00622,0.00040,0.01731,0.00814,0.00096,0.00422,0.03725
1403715280.161339759826660,0.00609,0.00036,0.00022,0.00815,0.00007,0.00536,0.02024
1403715280.210698127746582,0.00624,0.00039,0.00168,0.00804,0.00015,0.00447,0.02095
1403715280.260652065277100,0.00599,0.00039,0.00019,0.00792,0.00001,0.00454,0.01903
1403715280.310779094696045,0.00746,0.00038,0.00003,0.00787,0.00001,0.00445,0.02020
1403715280.360801696777344,0.00606,0.00038,0.00003,0.00783,0.00001,0.00481,0.01911
1403715280.410700559616089,0.00652,0.00037,0.00003,0.00790,0.00001,0.00458,0.01940
1403715280.460520505905151,0.00599,0.00038,0.00070,0.00777,0.00001,0.00455,0.01939
1403715280.510567665100098,0.00600,0.00034,0.00016,0.00769,0.00001,0.00470,0.01890
1403715280.560503959655762,0.00652,0.00036,0.00146,0.00740,0.00140,0.00491,0.02204
1403715280.610735177993774,0.00607,0.00039,0.00074,0.00740,0.00001,0.00455,0.01915
1403715280.660809278488159,0.00589,0.00036,0.00082,0.00674,0.00522,0.00448,0.02351
1403715280.710896015167236,0.00689,0.00037,0.01862,0.00817,0.00208,0.00509,0.04121
1403715280.760875701904297,0.00593,0.00039,0.00113,0.00693,0.00070,0.00452,0.01960
1403715280.810904264450073,0.00620,0.00036,0.00111,0.00701,0.00190,0.00445,0.02104
1403715280.860955476760864,0.00917,0.00036,0.00041,0.00730,0.00010,0.00443,0.02177
1403715280.911060094833374,0.00632,0.00034,0.00046,0.00707,0.00001,0.00460,0.01880
1403715280.961139917373657,0.00605,0.00037,0.00050,0.00684,0.00001,0.00465,0.01842
1403715281.011188507080078,0.00600,0.00036,0.00072,0.00661,0.00044,0.00503,0.01915
1403715281.061256885528564,0.00564,0.00033,0.00064,0.00632,0.00001,0.00472,0.01766
1403715281.111303567886353,0.00582,0.00037,0.00003,0.00622,0.00888,0.00487,0.02619
1403715281.161373615264893,0.00711,0.00037,0.00118,0.00725,0.00043,0.00432,0.02066
1403715281.211478471755981,0.00611,0.00036,0.00103,0.00741,0.00001,0.00456,0.01948
1403715281.261749267578125,0.00596,0.00037,0.00013,0.00719,0.00215,0.00543,0.02123
1403715281.312059402465820,0.00627,0.00033,0.00988,0.00719,0.00942,0.00467,0.03776
1403715281.362092971801758,0.00583,0.00038,0.00018,0.00863,0.00001,0.00453,0.01956
1403715281.412155151367188,0.00712,0.00041,0.00831,0.00856,0.00210,0.00517,0.03168
1403715281.462219476699829,0.00599,0.00039,0.00065,0.00896,0.00001,0.00445,0.02045
1403715281.512226819992065,0.00606,0.00035,0.00009,0.00868,0.00001,0.00460,0.01979
1403715281.562188386917114,0.00602,0.00039,0.00003,0.00832,0.00001,0.00450,0.01928
1403715281.612162828445435,0.00604,0.00038,0.00040,0.00796,0.00046,0.00459,0.01983
1403715281.662182331085205,0.00600,0.00040,0.00050,0.00778,0.00045,0.00462,0.01976
1403715281.712261915206909,0.00792,0.00036,0.00863,0.00574,0.00370,0.00477,0.03113
1403715281.762375831604004,0.00667,0.00039,0.00046,0.00622,0.00004,0.00459,0.01837
1403715281.812333822250366,0.00662,0.00031,0.00036,0.00568,0.00001,0.00516,0.01814
1403715281.862407684326172,0.00600,0.00034,0.00101,0.00509,0.00007,0.00468,0.01719
1403715281.912311077117920,0.00601,0.00034,0.00033,0.00525,0.01568,0.00469,0.03229
1403715281.962414026260376,0.00734,0.00038,0.00018,0.00757,0.00002,0.00440,0.01991
1403715282.012416839599609,0.00612,0.00035,0.00547,0.00750,0.00355,0.00450,0.02749
1403715282.062556505203247,0.00585,0.00039,0.00023,0.00797,0.00044,0.00441,0.01929
1403715282.112554788589478,0.00630,0.00038,0.00003,0.00774,0.00001,0.00459,0.01906
1403715282.162615776062012,0.00591,0.00037,0.00013,0.00753,0.00043,0.00464,0.01901
1403715282.212632656097412,0.00586,0.00039,0.00019,0.00769,0.00068,0.00481,0.01962
1403715282.262736797332764,0.00591,0.00037,0.01609,0.00810,0.00623,0.00446,0.04116
1403715282.312727451324463,0.00611,0.00039,0.00768,0.00910,0.00001,0.00464,0.02792
1403715282.362711906433105,0.00573,0.00040,0.00024,0.00911,0.00099,0.00459,0.02104
1403715282.412672758102417,0.00591,0.00038,0.00023,0.00865,0.00001,0.00457,0.01976
1403715282.462659120559692,0.00567,0.00037,0.00032,0.00827,0.00007,0.00467,0.01938
1403715282.512639522552490,0.01017,0.00036,0.00017,0.00773,0.00216,0.00470,0.02530
1403715282.562637805938721,0.00674,0.00038,0.00037,0.00778,0.00001,0.00483,0.02011
1403715282.612628459930420,0.00652,0.00035,0.00446,0.00712,0.00430,0.00476,0.02750
1403715282.662605285644531,0.00709,0.00034,0.00075,0.00769,0.00000,0.00462,0.02049
1403715282.712615251541138,0.00652,0.00036,0.00179,0.00703,0.00001,0.00465,0.02036
1403715282.762613773345947,0.00630,0.00036,0.00018,0.00721,0.00001,0.00477,0.01883
1403715282.812622070312500,0.00637,0.00034,0.00077,0.00708,0.00039,0.00451,0.01947
1403715282.862593173980713,0.00623,0.00034,0.00888,0.00728,0.01121,0.00461,0.03856
1403715282.912576913833618,0.00612,0.00041,0.00789,0.00936,0.00001,0.00470,0.02850
1403715282.962562561035156,0.00619,0.00040,0.00030,0.00833,0.00001,0.00468,0.01990
1403715283.012538194656372,0.00627,0.00037,0.00045,0.00836,0.00002,0.00471,0.02019
1403715283.062468767166138,0.00743,0.00036,0.01660,0.00785,0.00583,0.00491,0.04299
1403715283.112449407577515,0.00610,0.00041,0.00045,0.00915,0.00001,0.00468,0.02080
1403715283.162478685379028,0.00594,0.00041,0.00023,0.00882,0.00049,0.00443,0.02032
1403715283.212456226348877,0.00597,0.00040,0.00505,0.00838,0.00001,0.00453,0.02435
1403715283.262462139129639,0.00639,0.00037,0.00019,0.00904,0.00001,0.00457,0.02056
1403715283.312426567077637,0.00617,0.00040,0.00017,0.00863,0.00045,0.00475,0.02058
1403715283.362435817718506,0.00597,0.00041,0.00025,0.00849,0.00001,0.00468,0.01980
1403715283.412425994873047,0.00579,0.00039,0.00034,0.00809,0.00001,0.00472,0.01933
1403715283.462422609329224,0.00786,0.00065,0.00740,0.00687,0.00534,0.00459,0.03270
1403715283.512383937835693,0.00869,0.00037,0.00500,0.00652,0.00330,0.00483,0.02872
1403715283.562388896942139,0.00690,0.00037,0.00032,0.00688,0.00001,0.00483,0.01931
1403715283.612415552139282,0.00671,0.00036,0.00021,0.00662,0.00001,0.00479,0.01869
1403715283.662403821945190,0.00682,0.00037,0.00929,0.00628,0.01151,0.00492,0.03918
1403715283.712389707565308,0.00648,0.00040,0.00003,0.00807,0.00001,0.00477,0.01976
1403715283.762409687042236,0.00652,0.00038,0.00004,0.00843,0.00001,0.00473,0.02010
1403715283.812436342239380,0.00641,0.00035,0.00376,0.00757,0.00030,0.00471,0.02310
1403715283.862417936325073,0.00660,0.00035,0.00004,0.00750,0.00001,0.00493,0.01941
1403715283.912314176559448,0.00644,0.00036,0.00024,0.00712,0.00044,0.00469,0.01929
1403715283.962323188781738,0.00627,0.00037,0.00004,0.00739,0.00001,0.00494,0.01901
1403715284.012435436248779,0.00664,0.00037,0.00522,0.00768,0.00500,0.00460,0.02951
1403715284.062666654586792,0.00661,0.00038,0.02472,0.00915,0.00001,0.00479,0.04566
1403715284.112731695175171,0.00680,0.00040,0.00477,0.00849,0.00001,0.00478,0.02524
1403715284.162678480148315,0.00721,0.00039,0.00024,0.00858,0.00001,0.00478,0.02121
1403715284.212632656097412,0.00636,0.00040,0.00003,0.00814,0.00001,0.00482,0.01977
