# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862712383270264,0.01598,0.00014,0.00063,0.00000,0.00000,0.00506,0.02182
1403715278.913055181503296,0.01412,0.00020,0.00572,0.00000,0.01213,0.00521,0.03738
1403715278.962866783142090,0.01383,0.00024,0.00076,0.00333,0.00000,0.00507,0.02325
1403715279.011667490005493,0.01402,0.00028,0.00016,0.00322,0.00000,0.00530,0.02299
1403715279.061217308044434,0.01658,0.00027,0.00011,0.00327,0.00000,0.00514,0.02537
1403715279.110504865646362,0.01386,0.00028,0.00063,0.00333,0.00000,0.00486,0.02297
1403715279.160355806350708,0.01367,0.00030,0.00031,0.00330,0.00000,0.00552,0.02311
1403715279.210461854934692,0.01674,0.00028,0.00092,0.00334,0.00000,0.00513,0.02642
1403715279.260447025299072,0.01407,0.00030,0.00003,0.00346,0.00698,0.00551,0.03035
1403715279.310525894165039,0.01394,0.00032,0.00008,0.00425,0.00622,0.00522,0.03003
1403715279.360662460327148,0.01302,0.00032,0.00003,0.00509,0.00191,0.00556,0.02592
1403715279.411862373352051,0.01469,0.00031,0.00003,0.00530,0.01561,0.00654,0.04248
1403715279.462456464767456,0.01403,0.00039,0.00003,0.00785,0.00000,0.00595,0.02825
1403715279.512644767761230,0.01351,0.00039,0.01819,0.00851,0.00208,0.00544,0.04811
1403715279.562381267547607,0.01344,0.00037,0.00003,0.00826,0.00010,0.00538,0.02760
1403715279.612414836883545,0.01302,0.00038,0.00174,0.00808,0.00257,0.00561,0.03140
1403715279.662431955337524,0.01342,0.00043,0.00003,0.00869,0.00000,0.00556,0.02814
1403715279.712507247924805,0.01395,0.00042,0.00003,0.00858,0.00000,0.00567,0.02865
1403715279.762443304061890,0.01564,0.00042,0.00003,0.00870,0.00000,0.00532,0.03012
1403715279.812431573867798,0.01337,0.00039,0.00008,0.00861,0.00000,0.00542,0.02788
1403715279.862433195114136,0.01311,0.00043,0.00011,0.00863,0.00000,0.00544,0.02773
1403715279.912418603897095,0.01308,0.00039,0.00009,0.00862,0.00000,0.00546,0.02764
1403715279.962357759475708,0.01336,0.00040,0.00337,0.00836,0.00007,0.00552,0.03108
1403715280.012331247329712,0.01356,0.00039,0.00003,0.00865,0.00001,0.00557,0.02821
1403715280.062191724777222,0.01477,0.00039,0.00010,0.00808,0.00000,0.00540,0.02873
1403715280.111936330795288,0.01361,0.00040,0.01697,0.00832,0.00018,0.00647,0.04595
1403715280.161950826644897,0.01415,0.00037,0.00003,0.00851,0.00010,0.00618,0.02935
1403715280.212177038192749,0.01496,0.00039,0.00172,0.00815,0.00014,0.00541,0.03077
1403715280.262532234191895,0.01412,0.00042,0.00021,0.00799,0.00000,0.00527,0.02802
1403715280.312599897384644,0.01576,0.00042,0.00003,0.00796,0.00000,0.00515,0.02933
1403715280.362612485885620,0.01319,0.00040,0.00003,0.00798,0.00000,0.00554,0.02715
1403715280.412563800811768,0.01548,0.00037,0.00018,0.00791,0.00000,0.00526,0.02921
1403715280.462484359741211,0.01386,0.00039,0.00069,0.00753,0.00000,0.00536,0.02784
1403715280.512587785720825,0.01384,0.00036,0.00026,0.00717,0.00038,0.00560,0.02761
1403715280.562528610229492,0.01401,0.00039,0.00132,0.00740,0.00139,0.00573,0.03023
1403715280.612548828125000,0.01648,0.00037,0.00076,0.00732,0.00564,0.00520,0.03578
1403715280.662532329559326,0.01426,0.00041,0.00087,0.00820,0.00002,0.00561,0.02936
1403715280.712634325027466,0.01439,0.00040,0.01648,0.00885,0.00201,0.00517,0.04730
1403715280.762661218643188,0.01538,0.00037,0.00203,0.00796,0.00197,0.00550,0.03321
1403715280.812745094299316,0.01404,0.00039,0.00313,0.00740,0.00007,0.00534,0.03037
