# timestamp(s) tx ty tz qx qy qz qw
1403715278.86403 0.020077000 0.015220000 0.063165000 0.810320000 -0.007761000 0.585920000 0.004480000
1403715278.91625 0.048176000 0.020225000 0.073190000 0.811427000 -0.006945000 0.584410000 0.001689000
1403715278.96631 0.056049000 0.021698000 0.091133000 0.810870000 -0.006653000 0.585187000 0.001420000
1403715279.01535 0.064413000 0.023230000 0.106411000 0.810672000 -0.006237000 0.585466000 0.001213000
1403715279.06433 0.073407000 0.024928000 0.118403000 0.810783000 -0.006043000 0.585314000 0.001156000
1403715279.11321 0.084685000 0.027299000 0.129216000 0.810714000 -0.005581000 0.585414000 0.001769000
1403715279.16273 0.093943000 0.029139000 0.131893000 0.810756000 -0.004559000 0.585360000 0.002766000
1403715279.21274 0.102981000 0.030764000 0.131836000 0.811076000 -0.003703000 0.584916000 0.003873000
1403715279.26298 0.107463000 0.032006000 0.130483000 0.811798000 -0.003240000 0.583913000 0.004423000
1403715279.31284 0.110073000 0.032648000 0.125954000 0.812577000 -0.003190000 0.582830000 0.004142000
1403715279.36203 0.111151000 0.032181000 0.119082000 0.813233000 -0.003827000 0.581917000 0.003128000
1403715279.41089 0.113497000 0.030874000 0.117338000 0.813478000 -0.004329000 0.581577000 0.001521000
1403715279.46058 0.114623000 0.030714000 0.116519000 0.814339000 -0.004418000 0.580372000 0.000922000
1403715279.51007 0.118614000 0.029683000 0.120976000 0.814526000 -0.004495000 0.580110000 0.000292000
1403715279.55976 0.122028000 0.031193000 0.126888000 0.814701000 -0.004017000 0.579867000 0.000856000
1403715279.60942 0.126449000 0.033543000 0.135615000 0.815080000 -0.004166000 0.579333000 0.000787000
1403715279.65886 0.133494000 0.036236000 0.146488000 0.815075000 -0.003965000 0.579341000 0.000634000
1403715279.70868 0.141348000 0.039092000 0.157046000 0.814584000 -0.004039000 0.580031000 0.000459000
1403715279.75856 0.147571000 0.041544000 0.164626000 0.814507000 -0.004295000 0.580138000 0.000126000
1403715279.80813 0.153492000 0.042619000 0.175401000 -0.814267000 0.004786000 -0.580471000 0.000228000
1403715279.85837 0.157718000 0.042286000 0.186615000 -0.814193000 0.004664000 -0.580576000 0.000203000
1403715279.90845 0.159366000 0.040887000 0.193172000 -0.814664000 0.004774000 -0.579914000 0.000017000
1403715279.95849 0.159610000 0.039463000 0.198411000 0.816245000 -0.004608000 0.577687000 0.000624000
1403715280.00879 0.160684000 0.038788000 0.205145000 0.819348000 -0.004877000 0.573276000 0.000673000
1403715280.05892 0.162221000 0.038005000 0.209865000 0.823531000 -0.005052000 0.567248000 0.000750000
1403715280.10896 0.164893000 0.037711000 0.215450000 0.827634000 -0.003394000 0.561245000 0.003662000
1403715280.15986 0.165923000 0.035718000 0.220970000 0.829974000 -0.001796000 0.557768000 0.005984000
1403715280.21080 0.167961000 0.034133000 0.228368000 0.831006000 0.001236000 0.556169000 0.010158000
1403715280.26207 0.170936000 0.032641000 0.236068000 0.831057000 0.003977000 0.555990000 0.014282000
1403715280.31222 0.177543000 0.031922000 0.244793000 0.830368000 0.006237000 0.556914000 0.017225000
1403715280.36222 0.185382000 0.032078000 0.252976000 0.829236000 0.007601000 0.558504000 0.019603000
1403715280.41211 0.194048000 0.032857000 0.261167000 0.827975000 0.007827000 0.560266000 0.022291000
1403715280.46165 0.204749000 0.034771000 0.268926000 0.827585000 0.004787000 0.560878000 0.022291000
1403715280.51143 0.215743000 0.037409000 0.275442000 0.826670000 -0.001409000 0.562280000 0.021361000
1403715280.56107 0.226929000 0.040155000 0.282152000 0.825916000 -0.008643000 0.563319000 0.021448000
1403715280.61099 0.237663000 0.042613000 0.289624000 0.824856000 -0.017245000 0.564627000 0.022602000
1403715280.66077 0.247757000 0.044662000 0.298743000 0.823963000 -0.026166000 0.565414000 0.026591000
