# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864032030105591,0.00665,0.00016,0.00063,0.00000,0.00000,0.00411,0.01155
1403715278.916252374649048,0.00613,0.00019,0.00564,0.00000,0.01256,0.00414,0.02866
1403715278.966312170028687,0.00609,0.00028,0.00076,0.00325,0.00000,0.00409,0.01447
1403715279.015348434448242,0.00590,0.00027,0.00015,0.00321,0.00000,0.00427,0.01380
1403715279.064326763153076,0.00771,0.00027,0.00011,0.00327,0.00000,0.00427,0.01563
1403715279.113208293914795,0.00567,0.00028,0.00063,0.00334,0.00000,0.00429,0.01422
1403715279.162727117538452,0.00549,0.00030,0.00034,0.00329,0.00000,0.00427,0.01370
1403715279.212736606597900,0.00558,0.00027,0.00092,0.00334,0.00000,0.00447,0.01458
1403715279.262978315353394,0.00580,0.00026,0.00003,0.00341,0.00696,0.00465,0.02110
1403715279.312835931777954,0.00569,0.00033,0.00008,0.00414,0.00606,0.00455,0.02084
1403715279.362030506134033,0.00577,0.00032,0.00003,0.00506,0.00187,0.00454,0.01758
1403715279.410885572433472,0.00600,0.00033,0.00003,0.00536,0.01495,0.00481,0.03149
1403715279.460579633712769,0.00565,0.00039,0.00003,0.00767,0.00000,0.00547,0.01921
1403715279.510073900222778,0.00576,0.00038,0.01971,0.00784,0.00211,0.00455,0.04035
1403715279.559756517410278,0.00571,0.00037,0.00003,0.00796,0.00009,0.00449,0.01866
1403715279.609420776367188,0.00671,0.00038,0.00180,0.00813,0.00199,0.00461,0.02363
1403715279.658863067626953,0.00575,0.00037,0.00003,0.00848,0.00000,0.00463,0.01927
1403715279.708680868148804,0.00555,0.00037,0.00003,0.00866,0.00000,0.00435,0.01896
1403715279.758559465408325,0.00555,0.00039,0.00003,0.00850,0.00000,0.00456,0.01904
1403715279.808126926422119,0.00563,0.00034,0.00008,0.00865,0.00000,0.00461,0.01932
1403715279.858367204666138,0.00538,0.00040,0.00010,0.00851,0.00000,0.00432,0.01872
1403715279.908454179763794,0.00549,0.00038,0.00008,0.00857,0.00000,0.00463,0.01914
1403715279.958489894866943,0.00560,0.00037,0.00332,0.00862,0.00007,0.00443,0.02241
1403715280.008789539337158,0.00592,0.00040,0.00003,0.00913,0.00000,0.00529,0.02077
1403715280.058922052383423,0.00585,0.00039,0.00010,0.00836,0.00000,0.00437,0.01908
1403715280.108963012695312,0.00601,0.00040,0.01605,0.00832,0.00009,0.00493,0.03580
1403715280.159861803054810,0.00644,0.00060,0.00053,0.00811,0.00006,0.00427,0.02001
1403715280.210796356201172,0.00604,0.00038,0.00167,0.00804,0.00012,0.00451,0.02078
1403715280.262071609497070,0.00566,0.00040,0.00021,0.00786,0.00000,0.00449,0.01862
1403715280.312216997146606,0.00579,0.00039,0.00003,0.00787,0.00000,0.00448,0.01855
1403715280.362219572067261,0.00579,0.00038,0.00003,0.00783,0.00000,0.00432,0.01835
1403715280.412109613418579,0.00645,0.00036,0.00003,0.00786,0.00000,0.00455,0.01925
1403715280.461652994155884,0.00581,0.00037,0.00069,0.00772,0.00000,0.00451,0.01911
1403715280.511430740356445,0.00577,0.00038,0.00021,0.00773,0.00000,0.00466,0.01875
1403715280.561066627502441,0.00583,0.00037,0.00133,0.00779,0.00141,0.00499,0.02173
1403715280.610991001129150,0.00716,0.00036,0.00094,0.00744,0.00000,0.00455,0.02046
1403715280.660772085189819,0.00630,0.00036,0.00075,0.00731,0.00526,0.00452,0.02449
1403715280.710800170898438,0.00620,0.00037,0.01643,0.00796,0.00026,0.00448,0.03570
1403715280.760770320892334,0.00647,0.00038,0.00168,0.00744,0.00295,0.00457,0.02348
1403715280.810798168182373,0.00599,0.00035,0.00260,0.00757,0.00050,0.00447,0.02149
1403715280.860832214355469,0.00604,0.00037,0.00075,0.00747,0.00000,0.00447,0.01911
1403715280.910988092422485,0.00739,0.00038,0.00208,0.00710,0.00000,0.00458,0.02154
1403715280.960991621017456,0.00609,0.00036,0.00063,0.00617,0.00301,0.00459,0.02085
1403715281.010966062545776,0.00616,0.00037,0.00052,0.00573,0.00036,0.00448,0.01762
1403715281.060955762863159,0.00569,0.00032,0.00008,0.00597,0.00000,0.00458,0.01664
1403715281.110925436019897,0.00579,0.00036,0.00003,0.00592,0.00000,0.00566,0.01775
1403715281.160955667495728,0.00575,0.00035,0.00023,0.00556,0.00494,0.00446,0.02130
1403715281.211008310317993,0.00749,0.00034,0.00101,0.00636,0.00000,0.00460,0.01980
1403715281.261180162429810,0.00838,0.00034,0.00020,0.00612,0.00000,0.00444,0.01948
1403715281.311269998550415,0.00630,0.00036,0.00867,0.00580,0.01601,0.00499,0.04212
1403715281.361304044723511,0.00595,0.00036,0.00107,0.00831,0.00000,0.00441,0.02011
1403715281.411327600479126,0.00608,0.00038,0.00003,0.00844,0.00201,0.00458,0.02152
1403715281.461441993713379,0.00602,0.00034,0.01272,0.00864,0.00421,0.00471,0.03663
1403715281.511341810226440,0.00609,0.00037,0.00003,0.00906,0.00000,0.00456,0.02011
1403715281.561301708221436,0.00601,0.00041,0.00010,0.00830,0.00000,0.00439,0.01921
1403715281.611335754394531,0.00624,0.00040,0.00043,0.00702,0.00044,0.00466,0.01919
1403715281.661313056945801,0.00641,0.00040,0.00041,0.00683,0.00057,0.00523,0.01985
1403715281.711274623870850,0.00616,0.00038,0.00121,0.00587,0.00062,0.00454,0.01878
1403715281.761177062988281,0.00860,0.00032,0.00640,0.00570,0.01530,0.00446,0.04078
1403715281.811243534088135,0.00954,0.00036,0.00023,0.00772,0.00000,0.00458,0.02244
1403715281.861251592636108,0.00625,0.00038,0.00070,0.00734,0.00000,0.00466,0.01932
1403715281.911269664764404,0.00620,0.00038,0.00519,0.00710,0.00703,0.00453,0.03042
1403715281.961300611495972,0.00610,0.00038,0.00003,0.00851,0.00000,0.00431,0.01933
1403715282.011351346969604,0.00628,0.00035,0.00003,0.00812,0.00008,0.00467,0.01954
1403715282.061623334884644,0.00602,0.00039,0.00838,0.00668,0.00363,0.00466,0.02976
1403715282.111639499664307,0.00609,0.00041,0.00026,0.00717,0.00075,0.00475,0.01943
1403715282.161747455596924,0.00664,0.00038,0.00053,0.00707,0.00084,0.00466,0.02011
1403715282.211799383163452,0.00600,0.00036,0.00003,0.00807,0.00000,0.00578,0.02025
1403715282.261929035186768,0.00627,0.00032,0.00024,0.00638,0.00058,0.00437,0.01815
1403715282.311992168426514,0.00605,0.00037,0.01424,0.00789,0.00540,0.00493,0.03889
1403715282.362009286880493,0.00677,0.00038,0.00601,0.00829,0.00238,0.00469,0.02851
1403715282.411996841430664,0.00649,0.00041,0.00037,0.00884,0.00000,0.00461,0.02073
1403715282.461990356445312,0.00652,0.00039,0.00023,0.00870,0.00000,0.00465,0.02049
1403715282.511979103088379,0.00589,0.00039,0.00249,0.00831,0.00582,0.00452,0.02743
1403715282.561976671218872,0.00596,0.00037,0.00025,0.00895,0.00000,0.00465,0.02018
1403715282.611972332000732,0.00586,0.00040,0.00032,0.00811,0.00008,0.00458,0.01935
1403715282.661962747573853,0.00577,0.00036,0.00606,0.00763,0.00724,0.00427,0.03134
1403715282.711907625198364,0.00941,0.00037,0.00091,0.00849,0.00000,0.00477,0.02395
1403715282.761899709701538,0.00804,0.00037,0.00027,0.00876,0.00008,0.00522,0.02274
1403715282.811913490295410,0.00676,0.00037,0.00052,0.00854,0.00070,0.00456,0.02146
1403715282.861856937408447,0.00696,0.00034,0.00016,0.00870,0.00000,0.00490,0.02105
1403715282.911819696426392,0.00791,0.00040,0.01024,0.00867,0.00544,0.00527,0.03793
1403715282.961780309677124,0.00713,0.00038,0.00643,0.00857,0.00000,0.00471,0.02723
1403715283.011894941329956,0.00684,0.00034,0.00071,0.00690,0.00000,0.00481,0.01960
1403715283.061919689178467,0.00658,0.00037,0.00026,0.00731,0.00044,0.00475,0.01971
1403715283.111908435821533,0.00664,0.00035,0.00039,0.00708,0.00379,0.00452,0.02277
1403715283.161923408508301,0.00687,0.00040,0.00004,0.00890,0.00000,0.00472,0.02091
1403715283.211914539337158,0.00684,0.00037,0.00012,0.00822,0.00038,0.00456,0.02049
1403715283.262061119079590,0.00677,0.00040,0.02587,0.00734,0.00259,0.00475,0.04771
1403715283.312065124511719,0.00710,0.00038,0.00236,0.00837,0.00126,0.00483,0.02430
1403715283.362084627151489,0.00668,0.00038,0.00026,0.00825,0.00046,0.00441,0.02045
1403715283.412111282348633,0.00666,0.00040,0.00018,0.00833,0.00002,0.00473,0.02031
1403715283.462115287780762,0.00671,0.00039,0.00003,0.00793,0.00000,0.00464,0.01970
1403715283.512119293212891,0.00631,0.00041,0.00741,0.00661,0.00507,0.00433,0.03014
1403715283.562120199203491,0.00630,0.00036,0.00004,0.00748,0.00899,0.00488,0.02804
1403715283.612131834030151,0.00588,0.00041,0.00020,0.00889,0.00000,0.00453,0.01992
1403715283.662156105041504,0.00573,0.00037,0.00003,0.00830,0.00000,0.00462,0.01905
1403715283.712148904800415,0.00598,0.00043,0.00003,0.00833,0.00000,0.00446,0.01923
1403715283.762142181396484,0.00610,0.00041,0.00084,0.00800,0.00064,0.00472,0.02072
1403715283.812149047851562,0.00571,0.00039,0.00023,0.00868,0.00031,0.00444,0.01977
1403715283.862085819244385,0.00608,0.00037,0.02103,0.00872,0.00188,0.00465,0.04273
1403715283.912081718444824,0.00810,0.00037,0.00102,0.00867,0.00118,0.00474,0.02408
1403715283.962080478668213,0.00650,0.00042,0.00006,0.00903,0.00000,0.00499,0.02100
1403715284.012042284011841,0.00719,0.00041,0.00008,0.00908,0.00000,0.00462,0.02138
1403715284.061931371688843,0.00634,0.00038,0.00008,0.00906,0.00000,0.00478,0.02064
1403715284.111892938613892,0.00629,0.00041,0.00649,0.00890,0.00202,0.00489,0.02900
1403715284.161953449249268,0.00619,0.00041,0.00089,0.00912,0.00000,0.00472,0.02133
1403715284.212029933929443,0.00597,0.00040,0.00080,0.00872,0.00000,0.00476,0.02066
1403715284.262112379074097,0.00603,0.00038,0.00055,0.00842,0.00000,0.00461,0.02000
1403715284.312125205993652,0.00606,0.00035,0.00010,0.00823,0.00000,0.00466,0.01941
1403715284.362186193466187,0.00589,0.00034,0.00032,0.00849,0.00044,0.00454,0.02002
1403715284.412140607833862,0.00589,0.00039,0.00004,0.00844,0.00000,0.00481,0.01957
1403715284.462229967117310,0.00601,0.00038,0.02266,0.00891,0.00271,0.00466,0.04533
1403715284.512137651443481,0.00601,0.00040,0.00516,0.00809,0.00006,0.00474,0.02446
1403715284.562145709991455,0.00610,0.00037,0.00003,0.00868,0.00000,0.00471,0.01989
1403715284.612100124359131,0.00597,0.00040,0.00023,0.00792,0.00071,0.00470,0.01993
1403715284.661962985992432,0.00599,0.00037,0.00024,0.00826,0.00002,0.00485,0.01971
1403715284.712000370025635,0.00714,0.00042,0.00327,0.00798,0.00567,0.00476,0.02922
1403715284.761921644210815,0.00599,0.00042,0.00020,0.00910,0.00038,0.00497,0.02105
1403715284.811921596527100,0.00590,0.00041,0.00003,0.00974,0.00000,0.00462,0.02071
1403715284.861933946609497,0.00657,0.00043,0.00004,0.00973,0.00000,0.00483,0.02159
