# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863628387451172,0,6,0,0,5
1403715278.909283876419067,32,34,0,32,6
1403715278.959205627441406,31,4,31,0,7
1403715279.009617328643799,29,0,29,0,8
1403715279.060009002685547,29,0,29,0,9
1403715279.110159158706665,29,1,29,0,10
1403715279.160152912139893,28,1,28,0,11
1403715279.210158824920654,28,1,28,0,11
1403715279.260521411895752,33,0,28,5,11
1403715279.310294151306152,37,0,33,4,11
1403715279.359866380691528,38,0,37,1,11
1403715279.409341812133789,47,0,38,9,11
1403715279.458715915679932,47,0,47,0,11
1403715279.508205652236938,48,22,47,1,11
1403715279.558086872100830,48,0,48,0,11
1403715279.608068943023682,49,1,48,1,11
1403715279.658431529998779,49,0,49,0,11
1403715279.708376169204712,49,0,49,0,11
1403715279.758410930633545,49,0,49,0,11
1403715279.808501958847046,49,0,49,0,11
1403715279.858579158782959,49,0,49,0,11
1403715279.908535718917847,49,0,49,0,11
1403715279.958765506744385,49,2,49,0,11
1403715280.009631872177124,49,0,48,0,11
1403715280.059844255447388,49,0,49,0,11
1403715280.110268354415894,48,19,48,0,11
1403715280.161439180374146,48,0,48,0,11
1403715280.212703227996826,49,0,48,1,11
1403715280.263845205307007,48,0,48,0,11
1403715280.314009189605713,47,0,47,0,11
1403715280.363927841186523,47,0,47,0,11
1403715280.413597106933594,47,0,47,0,11
1403715280.463072299957275,47,1,47,0,11
1403715280.512737512588501,46,0,46,0,11
1403715280.562426805496216,47,2,45,1,11
1403715280.612241983413696,49,2,45,4,11
1403715280.662127494812012,48,1,48,0,11
1403715280.712052822113037,49,23,48,1,11
1403715280.762027263641357,49,2,48,1,11
1403715280.812030792236328,47,1,45,0,11
1403715280.862139463424683,46,1,45,0,11
1403715280.912257909774780,46,2,44,1,11
1403715280.962264060974121,44,0,41,2,11
1403715281.012279987335205,41,0,39,1,11
1403715281.062344074249268,41,0,38,0,11
1403715281.112306118011475,40,0,38,0,11
1403715281.162294626235962,41,0,37,4,11
1403715281.212352037429810,41,1,41,0,11
1403715281.262621879577637,41,0,40,0,11
1403715281.312859535217285,48,13,39,8,11
1403715281.362824201583862,46,1,46,0,11
1403715281.412897348403931,46,0,46,0,11
1403715281.462968587875366,50,11,43,4,11
1403715281.512819290161133,50,0,44,0,11
1403715281.562735795974731,50,0,40,2,11
1403715281.612732648849487,49,0,39,3,11
1403715281.662707090377808,48,0,43,3,11
1403715281.712668895721436,42,0,39,1,11
1403715281.762572765350342,45,9,37,7,11
1403715281.812606811523438,45,0,40,0,11
1403715281.862623691558838,42,2,38,0,11
1403715281.912681579589844,47,1,38,9,11
1403715281.962727069854736,47,0,47,0,11
1403715282.012778043746948,47,0,46,0,11
1403715282.062906980514526,50,8,45,3,11
1403715282.112898349761963,50,0,46,1,11
1403715282.162990808486938,49,0,46,1,11
1403715282.212994098663330,49,0,47,2,11
1403715282.263043880462646,49,0,48,0,11
1403715282.313023090362549,49,1,47,0,11
1403715282.363091945648193,49,29,47,2,11
1403715282.413086175918579,47,0,46,0,11
1403715282.463083267211914,46,0,45,0,11
1403715282.513084888458252,48,1,45,3,11
1403715282.563150644302368,46,0,42,0,11
1403715282.613192081451416,43,0,37,0,11
1403715282.663336515426636,47,4,35,8,11
1403715282.713265895843506,47,2,38,2,11
1403715282.763281345367432,45,0,39,1,11
1403715282.813341617584229,45,0,40,5,11
1403715282.863269805908203,44,0,44,0,11
1403715282.913276910781860,44,0,43,0,11
1403715282.963288545608521,49,21,42,7,11
1403715283.013358831405640,49,1,49,0,11
1403715283.063293695449829,49,0,48,0,11
1403715283.113221168518066,49,0,44,1,11
1403715283.163275241851807,49,0,40,1,11
1403715283.213281869888306,50,11,39,4,11
1403715283.263373851776123,49,4,41,4,11
1403715283.313417196273804,49,27,44,3,11
1403715283.363480567932129,48,0,47,1,11
1403715283.413526773452759,48,0,48,0,11
1403715283.463519334793091,46,0,46,0,11
1403715283.513465166091919,41,0,41,0,11
1403715283.563467502593994,50,8,41,9,11
1403715283.613509893417358,49,0,49,0,11
1403715283.663561344146729,49,0,49,0,11
1403715283.713609218597412,49,2,49,0,11
1403715283.763650417327881,49,0,49,0,11
1403715283.813685894012451,49,5,48,1,11
1403715283.863686323165894,49,4,49,0,11
1403715283.913661241531372,49,18,48,1,11
1403715283.963624954223633,49,3,49,0,11
1403715284.013557195663452,49,0,49,0,11
1403715284.063449621200562,49,0,49,0,11
1403715284.113441944122314,49,0,49,0,11
1403715284.163378477096558,49,29,48,1,11
