# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863628387451172,0.00667,0.00018,0.00064,0.00000,0.00000,0.00411,0.01160
1403715278.909283876419067,0.00601,0.00020,0.00565,0.00001,0.01278,0.00432,0.02898
1403715278.959205627441406,0.00596,0.00028,0.00078,0.00329,0.00000,0.00411,0.01443
1403715279.009617328643799,0.00598,0.00027,0.00018,0.00331,0.00000,0.00445,0.01420
1403715279.060009002685547,0.00854,0.00026,0.00011,0.00325,0.00000,0.00430,0.01647
1403715279.110159158706665,0.00566,0.00030,0.00064,0.00336,0.00000,0.00441,0.01439
1403715279.160152912139893,0.00567,0.00028,0.00037,0.00321,0.00000,0.00427,0.01379
1403715279.210158824920654,0.00570,0.00031,0.00092,0.00340,0.00000,0.00468,0.01502
1403715279.260521411895752,0.00575,0.00026,0.00003,0.00347,0.00706,0.00460,0.02117
1403715279.310294151306152,0.00579,0.00034,0.00008,0.00419,0.00616,0.00461,0.02118
1403715279.359866380691528,0.00580,0.00035,0.00003,0.00545,0.00192,0.00462,0.01817
1403715279.409341812133789,0.00614,0.00033,0.00003,0.00534,0.01503,0.00504,0.03191
1403715279.458715915679932,0.00573,0.00038,0.00003,0.00781,0.00001,0.00557,0.01953
1403715279.508205652236938,0.00563,0.00038,0.01812,0.00795,0.00213,0.00464,0.03884
1403715279.558086872100830,0.00598,0.00040,0.00003,0.00824,0.00010,0.00458,0.01933
1403715279.608068943023682,0.00725,0.00039,0.00181,0.00811,0.00198,0.00476,0.02430
1403715279.658431529998779,0.00557,0.00039,0.00003,0.00873,0.00001,0.00457,0.01931
1403715279.708376169204712,0.00579,0.00040,0.00003,0.00879,0.00001,0.00451,0.01952
1403715279.758410930633545,0.00557,0.00039,0.00003,0.00870,0.00001,0.00460,0.01931
1403715279.808501958847046,0.00568,0.00041,0.00008,0.00861,0.00001,0.00456,0.01935
1403715279.858579158782959,0.00558,0.00041,0.00011,0.00859,0.00001,0.00455,0.01925
1403715279.908535718917847,0.00541,0.00039,0.00008,0.00863,0.00001,0.00457,0.01909
1403715279.958765506744385,0.00561,0.00040,0.00339,0.00840,0.00007,0.00475,0.02262
1403715280.009631872177124,0.00571,0.00038,0.00003,0.00904,0.00001,0.00508,0.02025
1403715280.059844255447388,0.00630,0.00040,0.00010,0.00847,0.00001,0.00445,0.01972
1403715280.110268354415894,0.00576,0.00039,0.01643,0.00811,0.00010,0.00492,0.03571
1403715280.161439180374146,0.00702,0.00038,0.00008,0.00818,0.00010,0.00460,0.02036
1403715280.212703227996826,0.00707,0.00038,0.00016,0.00823,0.00202,0.00477,0.02263
1403715280.263845205307007,0.00589,0.00042,0.00029,0.00840,0.00001,0.00472,0.01972
1403715280.314009189605713,0.00599,0.00040,0.00018,0.00822,0.00001,0.00474,0.01953
1403715280.363927841186523,0.00572,0.00040,0.00003,0.00860,0.00001,0.00471,0.01947
1403715280.413597106933594,0.00612,0.00037,0.00003,0.00806,0.00001,0.00474,0.01934
1403715280.463072299957275,0.00574,0.00039,0.00071,0.00807,0.00001,0.00457,0.01947
1403715280.512737512588501,0.00591,0.00040,0.00017,0.00783,0.00001,0.00488,0.01920
1403715280.562426805496216,0.00593,0.00038,0.00146,0.00765,0.00143,0.00527,0.02212
1403715280.612241983413696,0.00685,0.00034,0.00117,0.00735,0.00566,0.00443,0.02580
1403715280.662127494812012,0.00599,0.00043,0.00079,0.00855,0.00001,0.00466,0.02042
1403715280.712052822113037,0.00754,0.00038,0.01649,0.00889,0.00208,0.00453,0.03992
1403715280.762027263641357,0.00646,0.00039,0.00182,0.00822,0.00198,0.00473,0.02358
1403715280.812030792236328,0.00619,0.00037,0.00114,0.00773,0.00009,0.00450,0.02003
1403715280.862139463424683,0.00598,0.00042,0.00087,0.00751,0.00001,0.00452,0.01930
1403715280.912257909774780,0.00735,0.00033,0.00194,0.00737,0.00044,0.00479,0.02223
1403715280.962264060974121,0.00595,0.00043,0.00051,0.00652,0.00331,0.00471,0.02143
1403715281.012279987335205,0.00643,0.00035,0.00054,0.00597,0.00034,0.00458,0.01821
1403715281.062344074249268,0.00555,0.00037,0.00008,0.00583,0.00000,0.00479,0.01662
1403715281.112306118011475,0.00585,0.00037,0.00045,0.00567,0.00002,0.00549,0.01784
1403715281.162294626235962,0.00575,0.00038,0.00031,0.00534,0.00508,0.00475,0.02161
1403715281.212352037429810,0.00731,0.00034,0.00104,0.00616,0.00000,0.00464,0.01950
1403715281.262621879577637,0.00743,0.00035,0.00005,0.00615,0.00001,0.00480,0.01879
1403715281.312859535217285,0.00634,0.00036,0.00945,0.00572,0.01457,0.00504,0.04148
1403715281.362824201583862,0.00629,0.00040,0.00111,0.00882,0.00003,0.00489,0.02154
1403715281.412897348403931,0.00601,0.00037,0.00004,0.00805,0.00009,0.00457,0.01913
1403715281.462968587875366,0.00604,0.00038,0.01039,0.00701,0.00719,0.00469,0.03570
1403715281.512819290161133,0.00616,0.00039,0.00016,0.00775,0.00001,0.00479,0.01926
1403715281.562735795974731,0.00650,0.00042,0.00031,0.00674,0.00089,0.00476,0.01962
1403715281.612732648849487,0.00613,0.00042,0.00049,0.00660,0.00108,0.00480,0.01951
1403715281.662707090377808,0.00642,0.00039,0.00078,0.00754,0.00106,0.00594,0.02213
1403715281.712668895721436,0.00615,0.00037,0.00057,0.00625,0.00038,0.00476,0.01849
1403715281.762572765350342,0.00592,0.00040,0.00870,0.00546,0.01229,0.00477,0.03755
1403715281.812606811523438,0.01056,0.00034,0.00009,0.00660,0.00001,0.00478,0.02238
1403715281.862623691558838,0.00664,0.00040,0.00062,0.00595,0.00001,0.00478,0.01839
1403715281.912681579589844,0.00639,0.00037,0.00124,0.00591,0.01348,0.00496,0.03234
1403715281.962727069854736,0.00619,0.00039,0.00003,0.00853,0.00001,0.00465,0.01980
1403715282.012778043746948,0.00628,0.00037,0.00004,0.00825,0.00007,0.00479,0.01981
1403715282.062906980514526,0.00602,0.00043,0.00777,0.00779,0.00596,0.00482,0.03279
1403715282.112898349761963,0.00607,0.00042,0.00026,0.00858,0.00048,0.00495,0.02075
1403715282.162990808486938,0.00604,0.00041,0.00030,0.00857,0.00049,0.00488,0.02069
1403715282.212994098663330,0.00607,0.00041,0.00024,0.00873,0.00084,0.00579,0.02209
1403715282.263043880462646,0.00596,0.00041,0.00004,0.00934,0.00001,0.00483,0.02058
1403715282.313023090362549,0.00610,0.00041,0.00099,0.00904,0.00001,0.00461,0.02116
