# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862013816833496,0.00652,0.00018,0.00065,0.00000,0.00000,0.00410,0.01145
1403715278.911465644836426,0.00568,0.00018,0.00567,0.00000,0.01226,0.00421,0.02801
1403715278.961427927017212,0.00600,0.00026,0.00076,0.00327,0.00000,0.00413,0.01442
1403715279.011870384216309,0.00567,0.00027,0.00018,0.00327,0.00000,0.00427,0.01366
1403715279.062007904052734,0.00667,0.00029,0.00011,0.00331,0.00000,0.00458,0.01497
1403715279.112208127975464,0.00552,0.00029,0.00066,0.00334,0.00000,0.00431,0.01412
1403715279.162207603454590,0.00545,0.00032,0.00036,0.00334,0.00000,0.00426,0.01373
1403715279.212222337722778,0.00709,0.00028,0.00093,0.00333,0.00000,0.00456,0.01618
1403715279.262181043624878,0.00532,0.00031,0.00003,0.00344,0.00711,0.00454,0.02075
1403715279.312078237533569,0.00542,0.00032,0.00008,0.00419,0.00626,0.00454,0.02081
1403715279.361521959304810,0.00557,0.00035,0.00003,0.00506,0.00183,0.00453,0.01737
1403715279.411758899688721,0.00588,0.00031,0.00003,0.00541,0.01498,0.00504,0.03166
1403715279.461654901504517,0.00570,0.00038,0.00003,0.00785,0.00000,0.00509,0.01906
1403715279.511669874191284,0.00553,0.00037,0.01753,0.00804,0.00213,0.00476,0.03835
1403715279.561796665191650,0.00554,0.00038,0.00003,0.00820,0.00010,0.00457,0.01883
1403715279.611767053604126,0.00535,0.00037,0.00194,0.00887,0.00211,0.00463,0.02328
1403715279.661604881286621,0.00546,0.00039,0.00003,0.00874,0.00000,0.00457,0.01919
1403715279.711473703384399,0.00556,0.00038,0.00003,0.00899,0.00000,0.00456,0.01951
1403715279.761611938476562,0.00717,0.00038,0.00003,0.00861,0.00000,0.00468,0.02088
1403715279.811591386795044,0.00559,0.00041,0.00008,0.00858,0.00000,0.00475,0.01942
1403715279.861507654190063,0.00560,0.00042,0.00011,0.00858,0.00000,0.00468,0.01939
1403715279.911422014236450,0.00557,0.00039,0.00009,0.00884,0.00000,0.00458,0.01946
1403715279.960957765579224,0.00580,0.00042,0.00340,0.00841,0.00007,0.00468,0.02278
1403715280.010421752929688,0.00582,0.00040,0.00003,0.00867,0.00000,0.00503,0.01996
1403715280.060237884521484,0.00630,0.00038,0.00010,0.00840,0.00000,0.00450,0.01969
1403715280.110240459442139,0.00581,0.00039,0.01775,0.00840,0.00010,0.00453,0.03699
1403715280.160829305648804,0.00631,0.00036,0.00008,0.00824,0.00010,0.00523,0.02032
1403715280.211428165435791,0.00632,0.00037,0.00016,0.00821,0.00211,0.00460,0.02177
1403715280.261837005615234,0.00638,0.00039,0.00029,0.00825,0.00000,0.00454,0.01985
1403715280.311879396438599,0.00722,0.00036,0.00018,0.00809,0.00000,0.00445,0.02031
1403715280.361826896667480,0.00596,0.00038,0.00003,0.00808,0.00000,0.00450,0.01895
1403715280.411710739135742,0.00667,0.00034,0.00003,0.00808,0.00000,0.00475,0.01987
1403715280.461621046066284,0.00630,0.00036,0.00068,0.00759,0.00000,0.00454,0.01947
1403715280.511636972427368,0.00636,0.00033,0.00018,0.00741,0.00000,0.00470,0.01898
1403715280.561558246612549,0.00608,0.00038,0.00152,0.00717,0.00157,0.00491,0.02164
1403715280.611498594284058,0.00719,0.00036,0.00103,0.00766,0.00551,0.00469,0.02644
1403715280.661445617675781,0.00664,0.00036,0.00081,0.00837,0.00000,0.00456,0.02073
1403715280.711462974548340,0.00634,0.00039,0.01687,0.00863,0.00205,0.00464,0.03892
1403715280.761469125747681,0.00688,0.00036,0.00123,0.00806,0.00192,0.00458,0.02304
1403715280.811493635177612,0.00683,0.00036,0.00030,0.00801,0.00122,0.00465,0.02137
1403715280.861583471298218,0.00745,0.00037,0.00072,0.00786,0.00000,0.00449,0.02089
1403715280.911712884902954,0.00991,0.00037,0.00188,0.00766,0.00000,0.00468,0.02449
1403715280.961801767349243,0.00669,0.00036,0.00043,0.00668,0.00340,0.00467,0.02223
1403715281.011867523193359,0.00692,0.00039,0.00062,0.00648,0.00042,0.00462,0.01943
1403715281.061974287033081,0.00599,0.00030,0.00010,0.00629,0.00000,0.00464,0.01732
1403715281.111998319625854,0.00616,0.00037,0.00003,0.00620,0.00000,0.00494,0.01770
1403715281.162051916122437,0.00776,0.00032,0.00022,0.00563,0.00528,0.00465,0.02386
1403715281.212174654006958,0.00665,0.00032,0.00110,0.00669,0.00000,0.00474,0.01949
1403715281.262460470199585,0.00683,0.00035,0.00017,0.00633,0.00000,0.00526,0.01893
1403715281.312729835510254,0.00643,0.00034,0.00970,0.00611,0.01469,0.00505,0.04232
1403715281.362700462341309,0.00706,0.00034,0.00110,0.00822,0.00000,0.00463,0.02135
1403715281.412616729736328,0.00729,0.00036,0.00003,0.00838,0.00009,0.00459,0.02074
1403715281.462669610977173,0.00621,0.00039,0.01145,0.00817,0.00620,0.00451,0.03692
1403715281.512807607650757,0.00620,0.00041,0.00011,0.00906,0.00000,0.00476,0.02055
1403715281.562900543212891,0.00644,0.00037,0.00089,0.00830,0.00000,0.00469,0.02068
1403715281.612899303436279,0.00626,0.00038,0.00046,0.00763,0.00088,0.00435,0.01995
1403715281.662926197052002,0.00631,0.00040,0.00032,0.00769,0.00075,0.00487,0.02034
1403715281.712968587875366,0.00661,0.00040,0.01095,0.00565,0.00000,0.00472,0.02833
1403715281.763016939163208,0.01821,0.00035,0.00030,0.00542,0.00038,0.00469,0.02935
1403715281.812939167022705,0.00709,0.00033,0.00023,0.00526,0.00004,0.00548,0.01842
1403715281.862939119338989,0.00626,0.00035,0.00061,0.00495,0.00000,0.00479,0.01696
1403715281.912853956222534,0.00625,0.00033,0.00025,0.00502,0.01584,0.00475,0.03245
1403715281.962809085845947,0.00739,0.00038,0.00008,0.00787,0.00000,0.00466,0.02038
1403715282.012802839279175,0.00610,0.00039,0.00004,0.00772,0.00006,0.00476,0.01907
1403715282.062786102294922,0.00614,0.00038,0.00709,0.00758,0.00823,0.00517,0.03459
1403715282.112783193588257,0.00620,0.00041,0.00015,0.00870,0.00052,0.00442,0.02040
1403715282.162870883941650,0.00602,0.00038,0.00092,0.00908,0.00000,0.00476,0.02117
1403715282.212846279144287,0.00608,0.00041,0.00027,0.00872,0.00093,0.00449,0.02090
