# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861999988555908,0.01786,0.00014,0.00065,0.00000,0.00000,0.00522,0.02388
1403715278.911371707916260,0.01558,0.00018,0.00565,0.00000,0.01224,0.00537,0.03903
1403715278.961640119552612,0.01587,0.00028,0.00073,0.00328,0.00000,0.00524,0.02540
1403715279.012274265289307,0.01537,0.00026,0.00015,0.00319,0.00000,0.00545,0.02443
1403715279.062346458435059,0.01750,0.00030,0.00011,0.00326,0.00000,0.00551,0.02667
1403715279.112391233444214,0.01518,0.00030,0.00067,0.00332,0.00000,0.00541,0.02488
1403715279.162364959716797,0.01493,0.00031,0.00032,0.00330,0.00000,0.00545,0.02431
1403715279.212435483932495,0.01721,0.00030,0.00090,0.00335,0.00000,0.00563,0.02740
1403715279.262451648712158,0.01364,0.00030,0.00003,0.00342,0.00688,0.00546,0.02973
1403715279.312566280364990,0.01360,0.00031,0.00008,0.00416,0.00607,0.00527,0.02950
1403715279.363068342208862,0.01277,0.00034,0.00003,0.00502,0.00195,0.00535,0.02546
1403715279.414027929306030,0.01440,0.00029,0.00003,0.00529,0.01449,0.00541,0.03992
1403715279.464731454849243,0.01358,0.00037,0.00003,0.00767,0.00000,0.00579,0.02745
1403715279.515072345733643,0.01322,0.00038,0.01749,0.00877,0.00209,0.00536,0.04732
1403715279.565126895904541,0.01312,0.00039,0.00003,0.00813,0.00010,0.00549,0.02726
1403715279.615267038345337,0.01277,0.00038,0.00194,0.00804,0.00266,0.00549,0.03129
1403715279.665366411209106,0.01308,0.00040,0.00003,0.00857,0.00000,0.00532,0.02740
1403715279.715357542037964,0.01350,0.00040,0.00003,0.00862,0.00000,0.00536,0.02792
1403715279.765272140502930,0.01539,0.00041,0.00003,0.00858,0.00000,0.00540,0.02982
1403715279.815279722213745,0.01250,0.00038,0.00008,0.00849,0.00000,0.00545,0.02690
1403715279.865093469619751,0.01452,0.00039,0.00011,0.00858,0.00000,0.00527,0.02888
1403715279.914668560028076,0.01277,0.00038,0.00008,0.00850,0.00000,0.00540,0.02712
1403715279.964290857315063,0.01286,0.00037,0.00343,0.00842,0.00007,0.00551,0.03066
1403715280.014111995697021,0.01379,0.00042,0.00003,0.00866,0.00000,0.00608,0.02899
1403715280.064116716384888,0.01390,0.00040,0.00010,0.00814,0.00000,0.00548,0.02803
1403715280.113799810409546,0.01511,0.00042,0.01713,0.00908,0.00010,0.00561,0.04744
1403715280.163732767105103,0.01465,0.00037,0.00115,0.00856,0.00056,0.00560,0.03089
1403715280.213676929473877,0.01366,0.00040,0.00171,0.00804,0.00014,0.00559,0.02954
1403715280.263679027557373,0.01443,0.00040,0.00017,0.00791,0.00000,0.00534,0.02826
1403715280.313711643218994,0.01674,0.00038,0.00003,0.00792,0.00000,0.00541,0.03049
1403715280.363706588745117,0.01373,0.00038,0.00003,0.00790,0.00000,0.00550,0.02754
1403715280.413648366928101,0.01466,0.00040,0.00003,0.00782,0.00000,0.00574,0.02866
1403715280.463564634323120,0.01368,0.00041,0.00069,0.00780,0.00000,0.00556,0.02814
1403715280.513643980026245,0.01427,0.00038,0.00019,0.00767,0.00001,0.00564,0.02814
1403715280.563595294952393,0.01481,0.00039,0.00161,0.00735,0.00143,0.00553,0.03112
1403715280.613564014434814,0.01395,0.00041,0.00079,0.00754,0.00000,0.00549,0.02819
1403715280.663386583328247,0.01448,0.00039,0.00069,0.00728,0.00562,0.00528,0.03373
1403715280.713342666625977,0.01534,0.00039,0.01936,0.00995,0.00008,0.00537,0.05050
1403715280.763325929641724,0.01392,0.00040,0.00102,0.00770,0.00007,0.00538,0.02849
1403715280.813347578048706,0.01411,0.00040,0.00058,0.00700,0.00303,0.00553,0.03065
1403715280.863414764404297,0.02116,0.00039,0.00055,0.00739,0.00009,0.00575,0.03534
1403715280.913438558578491,0.01515,0.00039,0.00027,0.00731,0.00000,0.00559,0.02871
1403715280.963440656661987,0.01371,0.00039,0.00076,0.00660,0.00000,0.00573,0.02720
1403715281.013416528701782,0.01412,0.00039,0.00072,0.00632,0.00039,0.00562,0.02756
1403715281.063398599624634,0.01534,0.00033,0.00065,0.00660,0.00000,0.00566,0.02859
1403715281.113314390182495,0.01397,0.00037,0.00004,0.00651,0.00908,0.00606,0.03603
