# timestamp(s) tx ty tz qx qy qz qw
1403715278.86200 0.019619000 0.015800000 0.113369000 0.809802000 -0.008901000 0.586628000 0.003118000
1403715278.91137 0.054264000 0.014133000 0.112932000 0.812188000 -0.008416000 0.583333000 0.001498000
1403715278.96164 0.061668000 0.015222000 0.128844000 0.811694000 -0.008366000 0.584022000 0.001273000
1403715279.01227 0.068635000 0.016390000 0.141053000 0.811181000 -0.007648000 0.584742000 0.001950000
1403715279.06235 0.074842000 0.017194000 0.146892000 0.810993000 -0.007355000 0.585006000 0.001826000
1403715279.11239 0.081040000 0.018148000 0.149237000 0.810806000 -0.007244000 0.585268000 0.001880000
1403715279.16236 0.087304000 0.019086000 0.147284000 0.811064000 -0.006561000 0.584916000 0.002351000
1403715279.21244 0.093597000 0.020216000 0.143326000 0.811631000 -0.006185000 0.584130000 0.003061000
1403715279.26245 0.098734000 0.021312000 0.137191000 0.811928000 -0.005710000 0.583720000 0.003270000
1403715279.31257 0.105016000 0.022362000 0.132446000 0.812622000 -0.005600000 0.582756000 0.003165000
1403715279.36307 0.109827000 0.022604000 0.128892000 0.813375000 -0.005929000 0.581704000 0.002686000
1403715279.41403 0.113064000 0.019657000 0.124733000 0.813512000 -0.006015000 0.581513000 0.002152000
1403715279.46473 0.116524000 0.017592000 0.121040000 0.814201000 -0.005786000 0.580551000 0.001913000
1403715279.51507 0.118631000 0.014922000 0.115938000 0.814396000 -0.005577000 0.580281000 0.001493000
1403715279.56513 0.122403000 0.014188000 0.114827000 0.814080000 -0.004940000 0.580728000 0.002030000
1403715279.61527 0.125274000 0.013558000 0.113790000 0.814372000 -0.004730000 0.580320000 0.002187000
1403715279.66537 0.127813000 0.012906000 0.114310000 0.814462000 -0.004405000 0.580196000 0.002124000
1403715279.71536 0.129774000 0.012501000 0.114454000 0.814234000 -0.004393000 0.580516000 0.001988000
1403715279.76527 0.130970000 0.011874000 0.114916000 0.814332000 -0.004434000 0.580380000 0.001859000
1403715279.81528 0.132193000 0.011536000 0.117217000 0.814383000 -0.004760000 0.580306000 0.001422000
1403715279.86509 0.132008000 0.010697000 0.119124000 0.814699000 -0.004606000 0.579864000 0.001365000
1403715279.91467 0.130427000 0.009147000 0.120911000 0.815359000 -0.004549000 0.578936000 0.001568000
1403715279.96429 0.127039000 0.006703000 0.124394000 0.817203000 -0.004281000 0.576330000 0.002157000
1403715280.01411 0.125176000 0.005565000 0.132127000 0.820706000 -0.004272000 0.571332000 0.002023000
1403715280.06412 0.125663000 0.004676000 0.140619000 0.824834000 -0.004167000 0.565357000 0.001904000
1403715280.11380 0.127214000 0.003786000 0.148085000 0.828672000 -0.002199000 0.559710000 0.004669000
1403715280.16373 0.129317000 0.002779000 0.155860000 0.830731000 -0.000246000 0.556630000 0.006982000
1403715280.21368 0.132367000 0.001972000 0.164208000 0.831404000 0.002798000 0.555550000 0.011070000
1403715280.26368 0.136205000 0.001514000 0.172902000 0.830855000 0.005527000 0.556266000 0.014747000
1403715280.31371 0.140557000 0.001585000 0.181377000 0.829964000 0.007698000 0.557487000 0.017542000
1403715280.36371 0.146488000 0.002920000 0.190201000 0.828372000 0.009159000 0.559745000 0.020021000
1403715280.41365 0.153396000 0.004793000 0.198520000 0.826766000 0.009337000 0.562010000 0.022695000
1403715280.46356 0.161215000 0.007500000 0.206280000 0.825924000 0.006038000 0.563298000 0.022530000
1403715280.51364 0.169692000 0.011077000 0.215457000 0.824480000 -0.000336000 0.565488000 0.021330000
1403715280.56360 0.178344000 0.014291000 0.223757000 0.823277000 -0.008002000 0.567184000 0.021293000
1403715280.61356 0.187162000 0.017072000 0.230997000 0.821854000 -0.016904000 0.568999000 0.022596000
1403715280.66339 0.196042000 0.020006000 0.237719000 0.820700000 -0.026129000 0.570143000 0.026568000
1403715280.71334 0.207456000 0.020965000 0.244672000 0.819564000 -0.036286000 0.571001000 0.030921000
1403715280.76333 0.217552000 0.023469000 0.250357000 0.818710000 -0.046832000 0.571127000 0.036529000
1403715280.81335 0.228228000 0.025470000 0.255603000 0.818216000 -0.057633000 0.570429000 0.042553000
1403715280.86341 0.239195000 0.027839000 0.260846000 0.816919000 -0.068237000 0.570581000 0.049243000
1403715280.91344 0.249657000 0.030349000 0.265875000 0.815867000 -0.077702000 0.570278000 0.055730000
1403715280.96344 0.259545000 0.033491000 0.270882000 0.814676000 -0.085776000 0.570256000 0.061265000
1403715281.01342 0.268595000 0.036858000 0.275435000 0.813544000 -0.093112000 0.570213000 0.065834000
1403715281.06340 0.275253000 0.042066000 0.278533000 0.812448000 -0.098840000 0.570188000 0.071029000
1403715281.11331 0.280873000 0.047136000 0.280886000 0.811292000 -0.103796000 0.570423000 0.075163000
1403715281.16330 0.285317000 0.050093000 0.282732000 0.809933000 -0.107627000 0.571160000 0.078752000
1403715281.21337 0.290062000 0.052283000 0.284583000 0.808865000 -0.111327000 0.571509000 0.081983000
1403715281.26357 0.296317000 0.053528000 0.286871000 0.808017000 -0.115834000 0.571404000 0.084781000
1403715281.31370 0.303091000 0.053606000 0.287583000 0.807468000 -0.120768000 0.570623000 0.088322000
1403715281.36372 0.311071000 0.055172000 0.288770000 0.806954000 -0.126550000 0.569506000 0.092052000
1403715281.41373 0.321127000 0.055925000 0.290288000 0.806590000 -0.132787000 0.567900000 0.096282000
1403715281.46374 0.330375000 0.057290000 0.291497000 0.805392000 -0.139809000 0.566951000 0.101806000
1403715281.51372 0.339604000 0.058692000 0.291074000 0.803953000 -0.147802000 0.565811000 0.108042000
1403715281.56369 0.349536000 0.059182000 0.290120000 0.802593000 -0.156731000 0.563942000 0.115104000
1403715281.61364 0.359927000 0.058240000 0.290138000 0.801220000 -0.167162000 0.561413000 0.122144000
1403715281.66368 0.369897000 0.057188000 0.288971000 0.799232000 -0.178701000 0.559177000 0.128898000
1403715281.71375 0.379238000 0.056136000 0.287195000 0.797046000 -0.190583000 0.556540000 0.136600000
