# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.860895872116089,0.00809,0.00017,0.00061,0.00000,0.00000,0.00484,0.01371
1403715278.911568880081177,0.00703,0.00019,0.00631,0.00000,0.01239,0.00496,0.03087
1403715278.961480617523193,0.00722,0.00033,0.00138,0.00328,0.00000,0.00518,0.01739
1403715279.011179924011230,0.00712,0.00034,0.00021,0.00325,0.00000,0.00523,0.01615
1403715279.061086654663086,0.00781,0.00032,0.00002,0.00327,0.00000,0.00510,0.01652
1403715279.110904455184937,0.00697,0.00034,0.00007,0.00336,0.00000,0.00500,0.01575
1403715279.160952091217041,0.00658,0.00038,0.00080,0.00328,0.00000,0.00514,0.01619
1403715279.211065769195557,0.00687,0.00039,0.00043,0.00339,0.00000,0.00547,0.01656
1403715279.261025905609131,0.00685,0.00037,0.00003,0.00352,0.00297,0.00539,0.01913
1403715279.311053991317749,0.00675,0.00040,0.00008,0.00373,0.00590,0.00567,0.02253
1403715279.361270666122437,0.00679,0.00044,0.00003,0.00441,0.00189,0.00551,0.01908
1403715279.411416530609131,0.00717,0.00042,0.00003,0.00477,0.01447,0.00521,0.03207
1403715279.461548805236816,0.00678,0.00047,0.00003,0.00689,0.00000,0.00579,0.01997
1403715279.511700153350830,0.00681,0.00047,0.01884,0.00673,0.00587,0.00506,0.04377
1403715279.561630487442017,0.00668,0.00051,0.00003,0.00793,0.00013,0.00550,0.02080
1403715279.611639022827148,0.00662,0.00051,0.00177,0.00782,0.00216,0.00573,0.02462
1403715279.661643743515015,0.00683,0.00050,0.00005,0.00819,0.00000,0.00552,0.02110
1403715279.711700439453125,0.00722,0.00044,0.00003,0.00837,0.00000,0.00546,0.02152
1403715279.761669397354126,0.00683,0.00051,0.00003,0.00842,0.00000,0.00558,0.02138
1403715279.811699867248535,0.00671,0.00052,0.00004,0.00833,0.00000,0.00542,0.02102
1403715279.861651659011841,0.00688,0.00051,0.00009,0.00821,0.00006,0.00571,0.02147
1403715279.911638498306274,0.00672,0.00052,0.00009,0.00844,0.00000,0.00542,0.02119
1403715279.961598873138428,0.00680,0.00051,0.00334,0.00800,0.00010,0.00553,0.02429
1403715280.011551856994629,0.00699,0.00052,0.00003,0.00838,0.00000,0.00597,0.02189
1403715280.061537742614746,0.00697,0.00051,0.00010,0.00822,0.00000,0.00569,0.02149
1403715280.111626863479614,0.00741,0.00050,0.01774,0.00798,0.00015,0.00555,0.03933
1403715280.161828279495239,0.00706,0.00049,0.00029,0.00802,0.00130,0.00582,0.02299
1403715280.212107658386230,0.00698,0.00053,0.00175,0.00807,0.00012,0.00531,0.02277
1403715280.262544393539429,0.00705,0.00053,0.00014,0.00807,0.00000,0.00639,0.02218
1403715280.312599182128906,0.00709,0.00051,0.00003,0.00799,0.00000,0.00544,0.02107
1403715280.362591028213501,0.00702,0.00053,0.00003,0.00785,0.00000,0.00647,0.02191
1403715280.412532329559326,0.00760,0.00045,0.00003,0.00767,0.00000,0.00543,0.02119
1403715280.462381839752197,0.00706,0.00052,0.00114,0.00737,0.00006,0.00631,0.02246
1403715280.512312412261963,0.00717,0.00049,0.00030,0.00742,0.00051,0.00573,0.02162
1403715280.562184810638428,0.00773,0.00047,0.00076,0.00735,0.00157,0.00597,0.02386
1403715280.612154483795166,0.00719,0.00051,0.00024,0.00742,0.00000,0.00560,0.02096
1403715280.662019491195679,0.00715,0.00050,0.00076,0.00683,0.00557,0.00559,0.02639
1403715280.712004184722900,0.00792,0.00048,0.01932,0.00725,0.00010,0.00554,0.04062
1403715280.762005090713501,0.00728,0.00050,0.00111,0.00690,0.00215,0.00561,0.02355
1403715280.812025308609009,0.00866,0.00047,0.00027,0.00673,0.00300,0.00513,0.02426
1403715280.862063407897949,0.00763,0.00050,0.00015,0.00712,0.00000,0.00549,0.02089
1403715280.912135124206543,0.00731,0.00051,0.00030,0.00691,0.00000,0.00544,0.02048
1403715280.962169885635376,0.00657,0.00051,0.00088,0.00656,0.00000,0.00614,0.02067
1403715281.012185096740723,0.00672,0.00050,0.00034,0.00610,0.00043,0.00567,0.01976
1403715281.062186956405640,0.00849,0.00043,0.00067,0.00604,0.00000,0.00600,0.02163
1403715281.112174034118652,0.00716,0.00044,0.00004,0.00606,0.00930,0.00618,0.02918
1403715281.162165403366089,0.00765,0.00050,0.00136,0.00703,0.00000,0.00588,0.02242
1403715281.212201118469238,0.00709,0.00047,0.00174,0.00684,0.00000,0.00574,0.02188
1403715281.262318134307861,0.00728,0.00047,0.00037,0.00661,0.00175,0.00583,0.02231
1403715281.312422275543213,0.00696,0.00049,0.01186,0.00647,0.00884,0.00572,0.04034
1403715281.362436056137085,0.00718,0.00052,0.00688,0.00759,0.00412,0.00536,0.03164
1403715281.412482738494873,0.00700,0.00052,0.00004,0.00882,0.00010,0.00562,0.02210
1403715281.462513446807861,0.00718,0.00050,0.00003,0.00870,0.00000,0.00545,0.02185
1403715281.512473106384277,0.00745,0.00046,0.00003,0.00843,0.00000,0.00563,0.02200
1403715281.562455892562866,0.00711,0.00051,0.00004,0.00814,0.00000,0.00559,0.02140
1403715281.612449407577515,0.00754,0.00053,0.01332,0.00699,0.00411,0.00538,0.03788
1403715281.662440299987793,0.00694,0.00051,0.00014,0.00718,0.00054,0.00607,0.02138
1403715281.712417602539062,0.00894,0.00052,0.00063,0.00580,0.00005,0.00550,0.02143
1403715281.762380361557007,0.00937,0.00044,0.00097,0.00545,0.00001,0.00580,0.02203
1403715281.812388896942139,0.00791,0.00045,0.00026,0.00498,0.00000,0.00568,0.01929
1403715281.862380266189575,0.00731,0.00045,0.00083,0.00453,0.00098,0.00577,0.01986
1403715281.912394762039185,0.00706,0.00041,0.00026,0.00449,0.02058,0.00577,0.03857
1403715281.962398052215576,0.00715,0.00049,0.00558,0.00775,0.00240,0.00562,0.02900
1403715282.012406110763550,0.00727,0.00050,0.00009,0.00836,0.00007,0.00542,0.02170
1403715282.062410354614258,0.00699,0.00050,0.00009,0.00815,0.00000,0.00572,0.02146
1403715282.112405776977539,0.00728,0.00054,0.00004,0.00785,0.00000,0.00559,0.02130
1403715282.162437915802002,0.00697,0.00051,0.00025,0.00790,0.00055,0.00590,0.02209
1403715282.212431669235229,0.00737,0.00057,0.00966,0.00752,0.00457,0.00604,0.03572
1403715282.262460470199585,0.00645,0.00048,0.00447,0.00829,0.00000,0.00566,0.02535
1403715282.312448978424072,0.00713,0.00050,0.01788,0.00793,0.00071,0.00573,0.03989
1403715282.362437248229980,0.00622,0.00051,0.00003,0.00862,0.00000,0.00547,0.02085
1403715282.412420749664307,0.00699,0.00050,0.00032,0.00744,0.00053,0.00544,0.02121
1403715282.462407588958740,0.00623,0.00049,0.00026,0.00753,0.00000,0.00592,0.02044
1403715282.512388467788696,0.00692,0.00050,0.00030,0.00748,0.00121,0.00558,0.02199
1403715282.562399625778198,0.00864,0.00043,0.00182,0.00679,0.00582,0.00584,0.02935
1403715282.612406253814697,0.00784,0.00048,0.00101,0.00746,0.00037,0.00567,0.02283
1403715282.662413120269775,0.00711,0.00048,0.00082,0.00759,0.00000,0.00578,0.02178
1403715282.712402343750000,0.00771,0.00049,0.00094,0.00751,0.00000,0.00585,0.02250
1403715282.762402057647705,0.00707,0.00047,0.00004,0.00731,0.00000,0.00603,0.02092
1403715282.812405586242676,0.00788,0.00046,0.00550,0.00703,0.00620,0.00586,0.03293
1403715282.862382888793945,0.00686,0.00045,0.00357,0.00826,0.00252,0.00589,0.02756
1403715282.912376642227173,0.00775,0.00052,0.01583,0.00862,0.00000,0.00574,0.03847
1403715282.962367773056030,0.00678,0.00049,0.00074,0.00879,0.00000,0.00563,0.02243
1403715283.012364387512207,0.00769,0.00053,0.00258,0.00819,0.00058,0.00609,0.02567
1403715283.062366724014282,0.00657,0.00048,0.00073,0.00835,0.00000,0.00587,0.02201
1403715283.112360239028931,0.00749,0.00052,0.02291,0.00760,0.00002,0.00563,0.04416
1403715283.162359237670898,0.00642,0.00044,0.00020,0.00762,0.00284,0.00598,0.02351
1403715283.212352752685547,0.00736,0.00055,0.00006,0.00807,0.00040,0.00565,0.02210
1403715283.262337923049927,0.00637,0.00045,0.00021,0.00785,0.00000,0.00581,0.02069
1403715283.312330961227417,0.00739,0.00050,0.00022,0.00779,0.00052,0.00597,0.02239
1403715283.362315654754639,0.00638,0.00044,0.00037,0.00745,0.00000,0.00573,0.02038
1403715283.412266016006470,0.00739,0.00056,0.00013,0.00729,0.00725,0.00544,0.02805
1403715283.462214231491089,0.00634,0.00045,0.00328,0.00701,0.00122,0.00586,0.02417
1403715283.512145280838013,0.00719,0.00051,0.01102,0.00650,0.00532,0.00544,0.03597
1403715283.562145233154297,0.00886,0.00039,0.00003,0.00764,0.00000,0.00602,0.02295
1403715283.612143039703369,0.00783,0.00047,0.00028,0.00754,0.00000,0.00576,0.02188
1403715283.662176847457886,0.00703,0.00044,0.00036,0.00747,0.00000,0.00581,0.02111
1403715283.712238550186157,0.00773,0.00048,0.01542,0.00726,0.00815,0.00579,0.04483
1403715283.762259960174561,0.00825,0.00049,0.00032,0.00872,0.00000,0.00589,0.02368
1403715283.812274932861328,0.00754,0.00051,0.00010,0.00838,0.00000,0.00597,0.02250
1403715283.862280368804932,0.00649,0.00047,0.00021,0.00835,0.00068,0.00620,0.02240
1403715283.912269115447998,0.00752,0.00051,0.00016,0.00839,0.00000,0.00560,0.02218
1403715283.962269783020020,0.00662,0.00047,0.00004,0.00831,0.00000,0.00604,0.02149
1403715284.012288331985474,0.00727,0.00050,0.00004,0.00809,0.00000,0.00586,0.02176
1403715284.062321662902832,0.00714,0.00048,0.00154,0.00799,0.00227,0.00551,0.02494
1403715284.112366437911987,0.00705,0.00050,0.02711,0.00785,0.00052,0.00580,0.04883
1403715284.162331581115723,0.00704,0.00052,0.00037,0.00825,0.00002,0.00603,0.02223
1403715284.212297916412354,0.00739,0.00046,0.00010,0.00830,0.00000,0.00555,0.02180
1403715284.262283802032471,0.00691,0.00051,0.00009,0.00786,0.00000,0.00598,0.02134
1403715284.312243700027466,0.00710,0.00048,0.01104,0.00747,0.00492,0.00551,0.03653
1403715284.362239122390747,0.00700,0.00047,0.00108,0.00880,0.00055,0.00547,0.02337
1403715284.412269115447998,0.00667,0.00050,0.00004,0.00882,0.00000,0.00596,0.02198
1403715284.462239742279053,0.00698,0.00051,0.00004,0.00917,0.00000,0.00585,0.02255
1403715284.512228727340698,0.00700,0.00051,0.00030,0.00835,0.00055,0.00610,0.02280
1403715284.562217950820923,0.00704,0.00051,0.00004,0.00885,0.00000,0.00548,0.02192
1403715284.612213134765625,0.00695,0.00047,0.00020,0.00863,0.00002,0.00547,0.02175
1403715284.662210702896118,0.00681,0.00046,0.00004,0.00841,0.00010,0.00562,0.02144
1403715284.712151527404785,0.00656,0.00046,0.02340,0.00797,0.00413,0.00579,0.04831
1403715284.762129068374634,0.00724,0.00053,0.00011,0.00923,0.00000,0.00525,0.02236
1403715284.812126159667969,0.00707,0.00051,0.00004,0.00918,0.00000,0.00548,0.02227
1403715284.862131357192993,0.00741,0.00052,0.00022,0.00900,0.00058,0.00562,0.02335
1403715284.912118196487427,0.00697,0.00050,0.01108,0.00931,0.00000,0.00550,0.03336
1403715284.962134361267090,0.00753,0.00054,0.00013,0.00957,0.00000,0.00565,0.02342
1403715285.012152671813965,0.00710,0.00051,0.00003,0.00938,0.00000,0.00544,0.02247
1403715285.062149763107300,0.00747,0.00053,0.00030,0.00868,0.00000,0.00523,0.02222
1403715285.112153530120850,0.00711,0.00051,0.00023,0.00812,0.00000,0.00516,0.02113
1403715285.162176609039307,0.00736,0.00051,0.00025,0.00746,0.00000,0.00539,0.02096
1403715285.212209701538086,0.00685,0.00051,0.00152,0.00668,0.00052,0.00543,0.02151
1403715285.262241363525391,0.00721,0.00051,0.00027,0.00656,0.00049,0.00549,0.02052
1403715285.312290191650391,0.00695,0.00045,0.01658,0.00677,0.01071,0.00529,0.04676
1403715285.362289905548096,0.00738,0.00049,0.00042,0.00868,0.00053,0.00549,0.02300
1403715285.412275552749634,0.00679,0.00053,0.00004,0.00887,0.00000,0.00516,0.02139
1403715285.462262392044067,0.00696,0.00053,0.00027,0.00873,0.00000,0.00510,0.02158
1403715285.512261152267456,0.00677,0.00050,0.01056,0.00803,0.00216,0.00550,0.03351
1403715285.562262296676636,0.00686,0.00057,0.00010,0.00899,0.00000,0.00534,0.02185
1403715285.612256288528442,0.00714,0.00053,0.00023,0.00876,0.00002,0.00542,0.02210
1403715285.662250518798828,0.00677,0.00051,0.00015,0.00839,0.00000,0.00519,0.02101
1403715285.712240219116211,0.00709,0.00051,0.00003,0.00823,0.00000,0.00507,0.02095
1403715285.762238264083862,0.00697,0.00049,0.00096,0.00807,0.00000,0.00533,0.02181
1403715285.812246322631836,0.00709,0.00050,0.00022,0.00767,0.00000,0.00498,0.02047
1403715285.862241029739380,0.00674,0.00047,0.00020,0.00735,0.00199,0.00533,0.02209
1403715285.912212133407593,0.00693,0.00051,0.01765,0.00730,0.00654,0.00518,0.04410
1403715285.962212324142456,0.00773,0.00049,0.00003,0.00871,0.00000,0.00521,0.02217
1403715286.012206077575684,0.00732,0.00054,0.00067,0.00869,0.00000,0.00514,0.02236
1403715286.062199115753174,0.00886,0.00046,0.00059,0.00865,0.00000,0.00531,0.02386
1403715286.112199306488037,0.00788,0.00052,0.01200,0.00853,0.00137,0.00565,0.03594
1403715286.162201642990112,0.00665,0.00053,0.00064,0.00874,0.00000,0.00596,0.02252
1403715286.212206840515137,0.00787,0.00048,0.00004,0.00860,0.00000,0.00575,0.02274
1403715286.262202024459839,0.00672,0.00046,0.00014,0.00875,0.00000,0.00570,0.02176
1403715286.312199354171753,0.00779,0.00050,0.00004,0.00863,0.00000,0.00608,0.02304
1403715286.362190723419189,0.00650,0.00046,0.00196,0.00817,0.00000,0.00564,0.02273
1403715286.412185430526733,0.00783,0.00051,0.00072,0.00789,0.00000,0.00597,0.02292
1403715286.462177038192749,0.00665,0.00045,0.00021,0.00775,0.00000,0.00586,0.02092
1403715286.512175798416138,0.00753,0.00051,0.01330,0.00679,0.00490,0.00600,0.03903
1403715286.562172174453735,0.00640,0.00046,0.00004,0.00797,0.00000,0.00574,0.02061
1403715286.612167358398438,0.00753,0.00053,0.01569,0.00720,0.00552,0.00584,0.04231
1403715286.662161588668823,0.00634,0.00048,0.00031,0.00729,0.00000,0.00552,0.01994
1403715286.712156534194946,0.00731,0.00051,0.00932,0.00576,0.00399,0.00551,0.03240
1403715286.762150049209595,0.00629,0.00043,0.00028,0.00569,0.00044,0.00525,0.01838
1403715286.812135219573975,0.00709,0.00047,0.00036,0.00586,0.00002,0.00567,0.01947
1403715286.862126111984253,0.00773,0.00039,0.00025,0.00579,0.00047,0.00590,0.02055
1403715286.912111997604370,0.00755,0.00042,0.00039,0.00560,0.00000,0.00559,0.01954
1403715286.962119102478027,0.00652,0.00039,0.00040,0.00537,0.00000,0.00580,0.01848
1403715287.012118577957153,0.00757,0.00038,0.00083,0.00516,0.00000,0.00549,0.01942
1403715287.062126159667969,0.00735,0.00038,0.00021,0.00489,0.00000,0.00530,0.01813
1403715287.112129211425781,0.00713,0.00040,0.00022,0.00394,0.01161,0.00516,0.02846
1403715287.162136554718018,0.00661,0.00043,0.00050,0.00491,0.00041,0.00483,0.01770
1403715287.212149381637573,0.00736,0.00042,0.00765,0.00444,0.01149,0.00468,0.03604
1403715287.262145280838013,0.00672,0.00044,0.00077,0.00554,0.00002,0.00510,0.01859
1403715287.312137603759766,0.00688,0.00044,0.00334,0.00521,0.01516,0.00469,0.03574
1403715287.362129688262939,0.00758,0.00043,0.00125,0.00729,0.00000,0.00511,0.02165
1403715287.412153244018555,0.00713,0.00048,0.00729,0.00637,0.00897,0.00569,0.03591
