# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862729549407959,0.00673,0.00014,0.00063,0.00000,0.00000,0.00408,0.01159
1403715278.914066076278687,0.00581,0.00019,0.00561,0.00000,0.01230,0.00421,0.02812
1403715278.963840007781982,0.00589,0.00024,0.00074,0.00325,0.00000,0.00402,0.01414
1403715279.012334585189819,0.00576,0.00025,0.00015,0.00323,0.00000,0.00433,0.01373
1403715279.061635255813599,0.00691,0.00028,0.00011,0.00325,0.00000,0.00426,0.01482
1403715279.110615491867065,0.00570,0.00028,0.00064,0.00332,0.00000,0.00434,0.01429
1403715279.160508394241333,0.00567,0.00029,0.00031,0.00327,0.00000,0.00422,0.01376
1403715279.210792064666748,0.00674,0.00029,0.00093,0.00333,0.00000,0.00459,0.01587
1403715279.260844707489014,0.00565,0.00030,0.00003,0.00344,0.00701,0.00463,0.02106
1403715279.310955047607422,0.00558,0.00033,0.00008,0.00421,0.00612,0.00466,0.02098
1403715279.361260890960693,0.00588,0.00033,0.00003,0.00500,0.00188,0.00450,0.01762
1403715279.412095069885254,0.00607,0.00031,0.00003,0.00541,0.01455,0.00468,0.03104
1403715279.462285757064819,0.00587,0.00037,0.00003,0.00764,0.00000,0.00496,0.01887
1403715279.512178897857666,0.00596,0.00037,0.01990,0.00801,0.00209,0.00468,0.04101
1403715279.561600208282471,0.00566,0.00037,0.00003,0.00819,0.00010,0.00445,0.01879
1403715279.611446142196655,0.00553,0.00035,0.00181,0.00806,0.00257,0.00463,0.02294
1403715279.661100625991821,0.00566,0.00038,0.00003,0.00868,0.00000,0.00443,0.01917
1403715279.710913181304932,0.00571,0.00039,0.00003,0.00877,0.00000,0.00487,0.01976
1403715279.760990381240845,0.00768,0.00038,0.00003,0.00856,0.00000,0.00454,0.02119
1403715279.810943126678467,0.00570,0.00038,0.00008,0.00869,0.00000,0.00473,0.01957
1403715279.860983133316040,0.00579,0.00037,0.00010,0.00863,0.00000,0.00460,0.01949
1403715279.911001205444336,0.00585,0.00039,0.00008,0.00858,0.00000,0.00460,0.01951
1403715279.961265563964844,0.00549,0.00037,0.00340,0.00840,0.00007,0.00453,0.02225
1403715280.011675834655762,0.00579,0.00038,0.00003,0.00856,0.00000,0.00517,0.01993
1403715280.061813831329346,0.00574,0.00036,0.00009,0.00854,0.00000,0.00453,0.01928
1403715280.111857414245605,0.00617,0.00035,0.01702,0.00858,0.00009,0.00454,0.03676
1403715280.162258625030518,0.00574,0.00038,0.00025,0.00866,0.00010,0.00474,0.01988
1403715280.212996244430542,0.00599,0.00038,0.00172,0.00813,0.00014,0.00451,0.02086
1403715280.263955354690552,0.00561,0.00038,0.00028,0.00791,0.00000,0.00449,0.01867
1403715280.314205646514893,0.00737,0.00041,0.00003,0.00799,0.00000,0.00448,0.02027
1403715280.364241123199463,0.00575,0.00038,0.00003,0.00787,0.00000,0.00466,0.01869
1403715280.414018154144287,0.00649,0.00037,0.00003,0.00798,0.00000,0.00483,0.01970
1403715280.463639736175537,0.00761,0.00038,0.00069,0.00778,0.00000,0.00460,0.02106
1403715280.513370275497437,0.00589,0.00038,0.00017,0.00762,0.00000,0.00470,0.01876
1403715280.563052654266357,0.00603,0.00038,0.00131,0.00749,0.00140,0.00498,0.02159
1403715280.612977743148804,0.00683,0.00037,0.00077,0.00763,0.00000,0.00475,0.02035
1403715280.662728786468506,0.00609,0.00036,0.00075,0.00738,0.00523,0.00464,0.02445
1403715280.712674856185913,0.00618,0.00038,0.01751,0.00797,0.00014,0.00467,0.03686
1403715280.762660980224609,0.00642,0.00036,0.00170,0.00740,0.00295,0.00442,0.02325
1403715280.812694787979126,0.00593,0.00039,0.00260,0.00749,0.00049,0.00468,0.02157
1403715280.862746715545654,0.00819,0.00038,0.00058,0.00748,0.00000,0.00432,0.02095
1403715280.912907361984253,0.00756,0.00038,0.00215,0.00699,0.00002,0.00460,0.02170
1403715280.962940931320190,0.00615,0.00037,0.00031,0.00614,0.00320,0.00463,0.02081
1403715281.012945175170898,0.00665,0.00035,0.00054,0.00574,0.00037,0.00474,0.01839
1403715281.062955617904663,0.00565,0.00032,0.00008,0.00600,0.00000,0.00460,0.01665
1403715281.112908124923706,0.00585,0.00034,0.00003,0.00590,0.00000,0.00498,0.01710
1403715281.162909984588623,0.00575,0.00035,0.00022,0.00555,0.00478,0.00448,0.02113
1403715281.212965011596680,0.00739,0.00035,0.00101,0.00631,0.00000,0.00470,0.01976
1403715281.263151645660400,0.00606,0.00034,0.00018,0.00617,0.00000,0.00469,0.01744
1403715281.313302278518677,0.00640,0.00035,0.00888,0.00584,0.01602,0.00495,0.04243
1403715281.363305330276489,0.00593,0.00037,0.00109,0.00854,0.00000,0.00458,0.02050
1403715281.413403511047363,0.00719,0.00040,0.00003,0.00846,0.00203,0.00474,0.02285
1403715281.463459491729736,0.00615,0.00040,0.01277,0.00880,0.00423,0.00447,0.03682
1403715281.513384580612183,0.00615,0.00035,0.00017,0.00904,0.00000,0.00479,0.02050
1403715281.563354730606079,0.00614,0.00039,0.00003,0.00876,0.00000,0.00446,0.01978
1403715281.613317966461182,0.00622,0.00039,0.00040,0.00818,0.00076,0.00487,0.02082
1403715281.663288831710815,0.00607,0.00039,0.00022,0.00852,0.00047,0.00463,0.02030
1403715281.713258028030396,0.00616,0.00040,0.00115,0.00662,0.00041,0.00477,0.01950
1403715281.763141870498657,0.00854,0.00034,0.00784,0.00613,0.01208,0.00463,0.03956
1403715281.813130140304565,0.00754,0.00038,0.00034,0.00677,0.00002,0.00561,0.02065
1403715281.863105297088623,0.00634,0.00034,0.00060,0.00624,0.00000,0.00471,0.01823
1403715281.913101434707642,0.00626,0.00033,0.00251,0.00600,0.01016,0.00492,0.03017
1403715281.963062763214111,0.00835,0.00039,0.00018,0.00782,0.00046,0.00446,0.02167
1403715282.013074398040771,0.00622,0.00038,0.00003,0.00823,0.00007,0.00482,0.01975
1403715282.062971353530884,0.00621,0.00038,0.00787,0.00787,0.00569,0.00482,0.03284
1403715282.112999439239502,0.00630,0.00038,0.00003,0.00936,0.00006,0.00481,0.02094
1403715282.163056612014771,0.00602,0.00036,0.00013,0.00869,0.00000,0.00449,0.01970
1403715282.213041305541992,0.00589,0.00039,0.00019,0.00862,0.00047,0.00496,0.02052
1403715282.263068914413452,0.00609,0.00036,0.00019,0.00852,0.00046,0.00474,0.02035
1403715282.313123703002930,0.00608,0.00035,0.01491,0.00880,0.00379,0.00489,0.03881
1403715282.363124370574951,0.00607,0.00042,0.00858,0.00953,0.00049,0.00441,0.02950
1403715282.413086652755737,0.00597,0.00038,0.00029,0.00837,0.00000,0.00486,0.01987
1403715282.463106393814087,0.00588,0.00039,0.00085,0.00815,0.00000,0.00472,0.01999
1403715282.513134956359863,0.00710,0.00039,0.00120,0.00781,0.00375,0.00455,0.02480
1403715282.563084125518799,0.00565,0.00038,0.00022,0.00828,0.00000,0.00463,0.01917
1403715282.613060712814331,0.00585,0.00037,0.00029,0.00726,0.00008,0.00477,0.01862
1403715282.663054704666138,0.00619,0.00035,0.00515,0.00693,0.00782,0.00465,0.03109
1403715282.713031768798828,0.00874,0.00036,0.00088,0.00802,0.00000,0.00494,0.02294
1403715282.763031482696533,0.00679,0.00037,0.00009,0.00791,0.00000,0.00490,0.02006
1403715282.813042163848877,0.00681,0.00034,0.00056,0.00750,0.00091,0.00490,0.02103
1403715282.862957477569580,0.00679,0.00034,0.00013,0.00815,0.00000,0.00489,0.02031
1403715282.912928581237793,0.00684,0.00038,0.01007,0.00814,0.00905,0.00525,0.03973
1403715282.962984800338745,0.00672,0.00037,0.00837,0.00853,0.00000,0.00466,0.02866
1403715283.012972116470337,0.00663,0.00036,0.00092,0.00864,0.00000,0.00500,0.02154
1403715283.062959432601929,0.00779,0.00037,0.00036,0.00825,0.00009,0.00483,0.02167
1403715283.112934589385986,0.00646,0.00035,0.00023,0.00810,0.00111,0.00507,0.02132
1403715283.162945985794067,0.00644,0.00038,0.00021,0.00806,0.00037,0.00479,0.02025
1403715283.212934017181396,0.00642,0.00037,0.00004,0.00819,0.00040,0.00489,0.02030
1403715283.262962818145752,0.00622,0.00036,0.02413,0.00813,0.00243,0.00472,0.04599
1403715283.312949895858765,0.00643,0.00037,0.00027,0.00783,0.00043,0.00499,0.02032
1403715283.362933874130249,0.00603,0.00040,0.00005,0.00804,0.00000,0.00479,0.01932
1403715283.412873983383179,0.00607,0.00036,0.00003,0.00754,0.00000,0.00498,0.01898
1403715283.462802886962891,0.00604,0.00043,0.00063,0.00718,0.00000,0.00470,0.01898
1403715283.512690305709839,0.00620,0.00035,0.00456,0.00569,0.01107,0.00477,0.03263
1403715283.562644720077515,0.00576,0.00034,0.00314,0.00739,0.01045,0.00444,0.03151
1403715283.612624645233154,0.00579,0.00039,0.00017,0.00910,0.00000,0.00480,0.02024
1403715283.662678718566895,0.00564,0.00040,0.00003,0.00907,0.00000,0.00459,0.01974
1403715283.712762832641602,0.00566,0.00042,0.00058,0.00896,0.00000,0.00458,0.02020
1403715283.762844562530518,0.00745,0.00038,0.00067,0.00902,0.00000,0.00464,0.02216
1403715283.812910556793213,0.00620,0.00039,0.00019,0.00857,0.00000,0.00463,0.01998
1403715283.862946271896362,0.00621,0.00035,0.01775,0.00846,0.00052,0.00634,0.03963
1403715283.912946224212646,0.00624,0.00036,0.00019,0.00860,0.00000,0.00464,0.02002
1403715283.962958812713623,0.00590,0.00036,0.00003,0.00849,0.00000,0.00484,0.01963
