# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863468647003174,0.01772,0.00018,0.00065,0.00000,0.00000,0.00547,0.02403
1403715278.908996343612671,0.01528,0.00019,0.00568,0.00000,0.01271,0.00556,0.03942
1403715278.958626031875610,0.01602,0.00026,0.00077,0.00325,0.00000,0.00522,0.02552
1403715279.008298397064209,0.01575,0.00028,0.00011,0.00328,0.00000,0.00557,0.02499
1403715279.057961940765381,0.01917,0.00027,0.00011,0.00329,0.00000,0.00541,0.02824
1403715279.107658386230469,0.01527,0.00030,0.00065,0.00336,0.00000,0.00550,0.02507
1403715279.157647609710693,0.01445,0.00031,0.00032,0.00327,0.00000,0.00557,0.02392
1403715279.207545518875122,0.01523,0.00031,0.00092,0.00333,0.00000,0.00565,0.02543
1403715279.257580518722534,0.01477,0.00028,0.00003,0.00339,0.00693,0.00575,0.03114
1403715279.307483673095703,0.01553,0.00034,0.00008,0.00412,0.00605,0.00578,0.03190
1403715279.357523202896118,0.01520,0.00033,0.00003,0.00503,0.00185,0.00573,0.02817
1403715279.407353162765503,0.01601,0.00036,0.00004,0.00536,0.01454,0.00667,0.04297
1403715279.457194328308105,0.01461,0.00038,0.00003,0.00783,0.00001,0.00691,0.02977
1403715279.506499528884888,0.01539,0.00036,0.01878,0.00844,0.00227,0.00579,0.05104
1403715279.556293010711670,0.01391,0.00038,0.00003,0.00929,0.00010,0.00573,0.02945
1403715279.606101751327515,0.01377,0.00039,0.00262,0.00984,0.00203,0.00601,0.03465
1403715279.656257867813110,0.01388,0.00044,0.00003,0.00994,0.00000,0.00573,0.03004
1403715279.706245183944702,0.01415,0.00043,0.00003,0.00980,0.00000,0.00569,0.03011
1403715279.756275892257690,0.01418,0.00044,0.00003,0.01006,0.00000,0.00573,0.03045
1403715279.806049108505249,0.01402,0.00038,0.00009,0.00990,0.00001,0.00587,0.03026
1403715279.856419086456299,0.01393,0.00039,0.00011,0.00984,0.00001,0.00579,0.03006
1403715279.906680583953857,0.01416,0.00074,0.00019,0.00865,0.00001,0.00580,0.02954
1403715279.957054138183594,0.01415,0.00037,0.00459,0.00878,0.00007,0.00595,0.03392
1403715280.007684469223022,0.01443,0.00043,0.00003,0.00930,0.00000,0.00612,0.03032
1403715280.058550596237183,0.01496,0.00040,0.00010,0.00808,0.00000,0.00581,0.02936
1403715280.108942270278931,0.01649,0.00036,0.01692,0.00816,0.00186,0.00604,0.04983
1403715280.159746885299683,0.01742,0.00043,0.00029,0.00825,0.00007,0.00589,0.03236
1403715280.210542917251587,0.01676,0.00041,0.00172,0.00806,0.00014,0.00582,0.03292
1403715280.261357069015503,0.01563,0.00040,0.00031,0.00789,0.00000,0.00583,0.03006
1403715280.311572074890137,0.01521,0.00039,0.00003,0.00793,0.00000,0.00587,0.02943
1403715280.361509084701538,0.01621,0.00035,0.00003,0.00788,0.00000,0.00600,0.03047
1403715280.411390066146851,0.01796,0.00039,0.00003,0.00794,0.00000,0.00597,0.03230
1403715280.461140871047974,0.01630,0.00042,0.00070,0.00776,0.00000,0.00591,0.03110
1403715280.511026144027710,0.01580,0.00037,0.00018,0.00762,0.00000,0.00587,0.02985
1403715280.560837268829346,0.01564,0.00042,0.00135,0.00756,0.00141,0.00732,0.03371
1403715280.610889434814453,0.01661,0.00036,0.00077,0.00752,0.00000,0.00591,0.03118
1403715280.660856246948242,0.01465,0.00038,0.00070,0.00728,0.00539,0.00554,0.03395
1403715280.711008310317993,0.01611,0.00039,0.01675,0.00903,0.00013,0.00586,0.04827
1403715280.760996818542480,0.01607,0.00036,0.00177,0.00733,0.00195,0.00551,0.03298
1403715280.811007976531982,0.01413,0.00040,0.00032,0.00729,0.00313,0.00509,0.03036
1403715280.861002206802368,0.01458,0.00038,0.00068,0.00785,0.00001,0.00544,0.02894
1403715280.911203622817993,0.01737,0.00034,0.00202,0.00753,0.00000,0.00560,0.03286
1403715280.961302995681763,0.01479,0.00037,0.00042,0.00673,0.00347,0.00573,0.03151
1403715281.011343479156494,0.01483,0.00035,0.00050,0.00631,0.00041,0.00570,0.02810
1403715281.061402320861816,0.01318,0.00036,0.00011,0.00661,0.00000,0.00551,0.02576
1403715281.111463546752930,0.01365,0.00036,0.00003,0.00637,0.00000,0.00634,0.02676
1403715281.161533117294312,0.01347,0.00037,0.00030,0.00614,0.00544,0.00517,0.03089
1403715281.211577653884888,0.01661,0.00036,0.00104,0.00673,0.00000,0.00589,0.03064
1403715281.261672258377075,0.01576,0.00035,0.00019,0.00664,0.00000,0.00559,0.02852
1403715281.311853647232056,0.01478,0.00037,0.00955,0.00625,0.01511,0.00717,0.05324
1403715281.361936807632446,0.01436,0.00039,0.00108,0.00855,0.00007,0.00565,0.03010
1403715281.412061214447021,0.01413,0.00038,0.00003,0.00864,0.00007,0.00542,0.02868
1403715281.462380647659302,0.01462,0.00034,0.01096,0.00759,0.00733,0.00563,0.04646
1403715281.512340545654297,0.01455,0.00039,0.00017,0.00873,0.00001,0.00568,0.02953
1403715281.562413454055786,0.01482,0.00040,0.00040,0.00838,0.00075,0.00514,0.02989
1403715281.612442016601562,0.01447,0.00041,0.00018,0.00804,0.00049,0.00590,0.02950
1403715281.662430047988892,0.01553,0.00041,0.00028,0.00839,0.00075,0.00700,0.03237
1403715281.712386369705200,0.01411,0.00041,0.00091,0.00651,0.00042,0.00528,0.02763
1403715281.762229204177856,0.01936,0.00032,0.00647,0.00606,0.01619,0.00563,0.05402
1403715281.812281608581543,0.02006,0.00036,0.00032,0.00761,0.00002,0.00547,0.03385
1403715281.862231254577637,0.01470,0.00040,0.00064,0.00718,0.00000,0.00569,0.02861
1403715281.912307500839233,0.01455,0.00035,0.00514,0.00657,0.00940,0.00700,0.04301
1403715281.962242126464844,0.01559,0.00037,0.00004,0.00876,0.00007,0.00568,0.03051
1403715282.012263536453247,0.01461,0.00037,0.00027,0.00855,0.00049,0.00576,0.03004
1403715282.062215328216553,0.01443,0.00040,0.00853,0.00867,0.00400,0.00672,0.04275
1403715282.112209320068359,0.01420,0.00043,0.00004,0.00907,0.00000,0.00565,0.02939
1403715282.162280321121216,0.01459,0.00039,0.00018,0.00844,0.00000,0.00568,0.02928
1403715282.212292194366455,0.01450,0.00043,0.00028,0.00825,0.00084,0.00687,0.03116
1403715282.262365341186523,0.01428,0.00040,0.00029,0.00854,0.00087,0.00518,0.02956
1403715282.312351465225220,0.01441,0.00039,0.01568,0.00894,0.00205,0.00550,0.04697
1403715282.362329483032227,0.01711,0.00049,0.00605,0.00893,0.00204,0.00557,0.04019
1403715282.412297725677490,0.01408,0.00041,0.00031,0.00863,0.00000,0.00546,0.02890
1403715282.462274074554443,0.01461,0.00042,0.00094,0.00826,0.00000,0.00555,0.02978
1403715282.512242317199707,0.01385,0.00037,0.00171,0.00778,0.00614,0.00570,0.03554
1403715282.562242984771729,0.01390,0.00039,0.00026,0.00840,0.00000,0.00557,0.02853
1403715282.612246036529541,0.01355,0.00038,0.00050,0.00694,0.00011,0.00565,0.02714
1403715282.662234067916870,0.01390,0.00035,0.00578,0.00677,0.00805,0.00496,0.03981
1403715282.712136268615723,0.02051,0.00113,0.00112,0.00787,0.00001,0.00549,0.03612
1403715282.762135267257690,0.01584,0.00038,0.00026,0.00747,0.00001,0.00685,0.03081
1403715282.812141418457031,0.01607,0.00037,0.00071,0.00682,0.00102,0.00549,0.03049
1403715282.861946344375610,0.01582,0.00036,0.00028,0.00718,0.00043,0.00592,0.02998
1403715282.911960840225220,0.01831,0.00040,0.01031,0.00709,0.01051,0.00597,0.05258
1403715282.962065696716309,0.01581,0.00040,0.00653,0.00810,0.00050,0.00577,0.03710
1403715283.011894464492798,0.01523,0.00038,0.00089,0.00806,0.00000,0.00580,0.03036
1403715283.061991691589355,0.01551,0.00037,0.00020,0.00791,0.00000,0.00563,0.02964
1403715283.112044095993042,0.01506,0.00036,0.00038,0.00778,0.00206,0.00559,0.03124
1403715283.162012100219727,0.01541,0.00039,0.00019,0.00800,0.00047,0.00579,0.03026
1403715283.212023735046387,0.01492,0.00038,0.00004,0.00800,0.00037,0.00584,0.02955
1403715283.262069225311279,0.01498,0.00037,0.02580,0.00837,0.00253,0.00534,0.05739
