# timestamp(s) tx ty tz qx qy qz qw
1403715278.86266 0.014295000 0.009978000 0.097807000 0.808787000 -0.009321000 0.588020000 0.002990000
1403715278.91214 0.048076000 0.012522000 0.102934000 0.811372000 -0.007971000 0.584472000 0.002074000
1403715278.96238 0.055494000 0.014426000 0.119340000 0.810823000 -0.008029000 0.585233000 0.001977000
1403715279.01259 0.062881000 0.015879000 0.132283000 0.810371000 -0.007519000 0.585864000 0.002301000
1403715279.06258 0.069964000 0.017314000 0.140944000 0.810490000 -0.007438000 0.585701000 0.002211000
1403715279.11238 0.077524000 0.018796000 0.146047000 0.810510000 -0.007425000 0.585673000 0.002305000
1403715279.16235 0.084964000 0.020123000 0.146521000 0.810840000 -0.006764000 0.585222000 0.002866000
1403715279.21270 0.091792000 0.021326000 0.145297000 0.811591000 -0.006385000 0.584180000 0.003522000
1403715279.26273 0.097418000 0.022061000 0.140874000 0.811994000 -0.005698000 0.583628000 0.003428000
1403715279.31277 0.103520000 0.022999000 0.136646000 0.812686000 -0.005504000 0.582667000 0.003226000
1403715279.36275 0.107861000 0.023474000 0.132788000 0.813359000 -0.005865000 0.581727000 0.002577000
1403715279.41249 0.112095000 0.023175000 0.128450000 0.813212000 -0.006144000 0.581933000 0.001354000
1403715279.46242 0.115331000 0.023000000 0.126834000 0.813921000 -0.006136000 0.580943000 0.001029000
1403715279.51226 0.118873000 0.022843000 0.127052000 0.814001000 -0.006049000 0.580831000 0.000688000
1403715279.56198 0.122286000 0.022571000 0.129423000 0.813841000 -0.005440000 0.581061000 0.001333000
1403715279.61193 0.125139000 0.022002000 0.133292000 0.814180000 -0.005289000 0.580587000 0.001583000
1403715279.66182 0.129416000 0.021452000 0.139445000 0.814159000 -0.004875000 0.580618000 0.001720000
1403715279.71171 0.134438000 0.021402000 0.145542000 0.813735000 -0.004803000 0.581214000 0.001783000
1403715279.76177 0.137702000 0.021163000 0.150662000 0.813807000 -0.004932000 0.581112000 0.001676000
1403715279.81181 0.139733000 0.020320000 0.156034000 0.813931000 -0.005336000 0.580935000 0.001411000
1403715279.86188 0.141567000 0.019671000 0.162475000 0.813974000 -0.005228000 0.580876000 0.001353000
1403715279.91169 0.141471000 0.018640000 0.166080000 0.814576000 -0.005288000 0.580031000 0.001502000
1403715279.96134 0.138821000 0.016823000 0.169693000 0.816460000 -0.005086000 0.577375000 0.002166000
1403715280.01092 0.137116000 0.015935000 0.176044000 0.820058000 -0.005166000 0.572253000 0.002100000
1403715280.06090 0.136198000 0.014999000 0.182617000 0.824302000 -0.005089000 0.566124000 0.001964000
1403715280.11094 0.135737000 0.012942000 0.189654000 0.828421000 -0.003169000 0.560079000 0.004515000
1403715280.16139 0.136080000 0.011033000 0.196687000 0.830705000 -0.001253000 0.556671000 0.006766000
1403715280.21196 0.137754000 0.009070000 0.204555000 0.831623000 0.001841000 0.555233000 0.010773000
1403715280.26262 0.140806000 0.007568000 0.212971000 0.831339000 0.004585000 0.555556000 0.014535000
1403715280.31269 0.145718000 0.006907000 0.220722000 0.830569000 0.006822000 0.556603000 0.017339000
1403715280.36267 0.151990000 0.007497000 0.228349000 0.829164000 0.008358000 0.558591000 0.019829000
1403715280.41258 0.159294000 0.008838000 0.235651000 0.827648000 0.008638000 0.560729000 0.022516000
1403715280.46244 0.167494000 0.011091000 0.242109000 0.826968000 0.005461000 0.561775000 0.022424000
1403715280.51249 0.175908000 0.014480000 0.249758000 0.825663000 -0.000803000 0.563763000 0.021251000
1403715280.56242 0.184172000 0.017860000 0.256896000 0.824561000 -0.008374000 0.565310000 0.021282000
1403715280.61245 0.192465000 0.021150000 0.263614000 0.823195000 -0.017241000 0.567046000 0.022614000
1403715280.66232 0.200699000 0.024308000 0.270704000 0.822056000 -0.026456000 0.568166000 0.026664000
1403715280.71235 0.210784000 0.025755000 0.277868000 0.820820000 -0.036644000 0.569158000 0.031149000
1403715280.76234 0.220135000 0.028089000 0.284135000 0.819935000 -0.047252000 0.569318000 0.036746000
1403715280.81236 0.229880000 0.030017000 0.289905000 0.819381000 -0.058126000 0.568688000 0.042778000
1403715280.86240 0.239846000 0.032206000 0.295402000 0.818081000 -0.068713000 0.568833000 0.049516000
1403715280.91248 0.249993000 0.035029000 0.300391000 0.816983000 -0.078310000 0.568562000 0.056068000
1403715280.96250 0.259751000 0.038629000 0.305120000 0.815816000 -0.086427000 0.568471000 0.061768000
1403715281.01253 0.268837000 0.041597000 0.309560000 0.814752000 -0.093813000 0.568312000 0.066323000
1403715281.06259 0.276775000 0.046132000 0.312524000 0.813808000 -0.099654000 0.568055000 0.071411000
1403715281.11257 0.284861000 0.050002000 0.315503000 0.812809000 -0.104706000 0.568072000 0.075316000
1403715281.16260 0.292229000 0.053312000 0.318480000 0.811611000 -0.108557000 0.568579000 0.078876000
1403715281.21265 0.299310000 0.055583000 0.321248000 0.810675000 -0.112247000 0.568741000 0.082103000
1403715281.26284 0.305536000 0.057158000 0.324299000 0.809835000 -0.116463000 0.568645000 0.085130000
1403715281.31307 0.310818000 0.057371000 0.325895000 0.809200000 -0.121300000 0.567974000 0.088805000
1403715281.36307 0.317351000 0.058574000 0.326764000 0.808609000 -0.126927000 0.566953000 0.092758000
1403715281.41316 0.324869000 0.059795000 0.327663000 0.808095000 -0.132918000 0.565550000 0.097307000
1403715281.46325 0.332330000 0.058573000 0.327235000 0.806701000 -0.139802000 0.564889000 0.102899000
1403715281.51320 0.340238000 0.059440000 0.326719000 0.805257000 -0.147723000 0.563743000 0.109236000
1403715281.56315 0.348927000 0.059816000 0.325514000 0.803863000 -0.156509000 0.561899000 0.116528000
1403715281.61311 0.358944000 0.059395000 0.325435000 0.802241000 -0.166758000 0.559756000 0.123591000
1403715281.66311 0.369008000 0.058673000 0.324532000 0.800023000 -0.178058000 0.557800000 0.130833000
1403715281.71311 0.378454000 0.057811000 0.323043000 0.797651000 -0.189736000 0.555408000 0.138836000
1403715281.76306 0.388175000 0.056487000 0.321032000 0.795366000 -0.202113000 0.552320000 0.146579000
1403715281.81306 0.397155000 0.056020000 0.318893000 0.792550000 -0.214555000 0.549454000 0.154698000
1403715281.86307 0.406313000 0.055459000 0.316433000 0.788858000 -0.227213000 0.547273000 0.163000000
1403715281.91309 0.415336000 0.054917000 0.314159000 0.785603000 -0.239620000 0.544082000 0.171420000
1403715281.96304 0.425059000 0.054843000 0.310810000 0.781628000 -0.251881000 0.541680000 0.179432000
1403715282.01307 0.434986000 0.054838000 0.307332000 0.777874000 -0.264388000 0.538610000 0.186843000
1403715282.06301 0.445268000 0.054163000 0.303087000 0.773760000 -0.276337000 0.535982000 0.194052000
1403715282.11300 0.456691000 0.053641000 0.298571000 0.770279000 -0.286906000 0.532378000 0.202310000
1403715282.16307 0.469060000 0.053518000 0.293845000 0.766367000 -0.298634000 0.528998000 0.208951000
1403715282.21305 0.481345000 0.052977000 0.289055000 0.762382000 -0.308697000 0.525864000 0.216674000
1403715282.26308 0.495266000 0.052649000 0.283808000 0.758847000 -0.319355000 0.521671000 0.223657000
1403715282.31312 0.510093000 0.052670000 0.277474000 0.755304000 -0.330040000 0.517329000 0.230132000
1403715282.36311 0.523687000 0.051620000 0.271981000 0.750990000 -0.340183000 0.513789000 0.237300000
1403715282.41308 0.537534000 0.051105000 0.265776000 0.747501000 -0.349309000 0.508897000 0.245459000
1403715282.46307 0.551890000 0.050991000 0.259503000 0.742911000 -0.359767000 0.505238000 0.251763000
1403715282.51304 0.566586000 0.050603000 0.253114000 0.738039000 -0.369124000 0.501918000 0.259083000
1403715282.56304 0.581296000 0.050471000 0.246745000 0.733056000 -0.378572000 0.498546000 0.266015000
1403715282.61305 0.596231000 0.050724000 0.240872000 0.727374000 -0.387108000 0.496321000 0.273385000
1403715282.66307 0.612969000 0.049706000 0.235478000 0.721340000 -0.396145000 0.494593000 0.279491000
1403715282.71302 0.627553000 0.051817000 0.229387000 0.715247000 -0.405742000 0.492583000 0.284880000
1403715282.76304 0.641740000 0.054828000 0.223161000 0.708868000 -0.415267000 0.491130000 0.289571000
1403715282.81308 0.656303000 0.057416000 0.215871000 0.703106000 -0.424983000 0.488480000 0.293972000
