# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862663984298706,0.00695,0.00015,0.00066,0.00000,0.00000,0.00428,0.01206
1403715278.912142038345337,0.00614,0.00020,0.00576,0.00001,0.01224,0.00417,0.02852
1403715278.962381124496460,0.00644,0.00026,0.00077,0.00331,0.00000,0.00411,0.01491
1403715279.012587070465088,0.00609,0.00030,0.00012,0.00331,0.00000,0.00431,0.01413
1403715279.062579393386841,0.00712,0.00028,0.00011,0.00329,0.00000,0.00423,0.01504
1403715279.112381219863892,0.00609,0.00030,0.00063,0.00333,0.00000,0.00430,0.01467
1403715279.162345170974731,0.00566,0.00031,0.00033,0.00326,0.00000,0.00425,0.01381
1403715279.212696075439453,0.00688,0.00027,0.00089,0.00336,0.00000,0.00450,0.01591
1403715279.262733221054077,0.00585,0.00029,0.00003,0.00340,0.00699,0.00455,0.02111
1403715279.312771797180176,0.00575,0.00033,0.00008,0.00419,0.00617,0.00449,0.02101
1403715279.362746477127075,0.00585,0.00033,0.00003,0.00507,0.00190,0.00460,0.01778
1403715279.412485122680664,0.00609,0.00034,0.00003,0.00535,0.01502,0.00483,0.03167
1403715279.462420701980591,0.00578,0.00038,0.00003,0.00767,0.00001,0.00496,0.01882
1403715279.512258768081665,0.00571,0.00040,0.01805,0.00796,0.00212,0.00459,0.03884
1403715279.561976671218872,0.00575,0.00039,0.00003,0.00811,0.00010,0.00427,0.01865
1403715279.611933708190918,0.00568,0.00038,0.00177,0.00848,0.00204,0.00459,0.02294
1403715279.661823511123657,0.00562,0.00040,0.00003,0.00866,0.00001,0.00434,0.01906
1403715279.711711645126343,0.00571,0.00037,0.00003,0.00878,0.00001,0.00481,0.01972
1403715279.761769294738770,0.00694,0.00042,0.00004,0.00872,0.00001,0.00429,0.02041
1403715279.811805963516235,0.00583,0.00040,0.00008,0.00867,0.00001,0.00486,0.01985
1403715279.861880779266357,0.00568,0.00038,0.00011,0.00857,0.00001,0.00445,0.01918
1403715279.911690711975098,0.00565,0.00040,0.00009,0.00853,0.00001,0.00455,0.01923
1403715279.961341142654419,0.00583,0.00037,0.00341,0.00828,0.00007,0.00448,0.02245
1403715280.010924577713013,0.00598,0.00038,0.00003,0.00865,0.00001,0.00509,0.02014
1403715280.060903787612915,0.00595,0.00039,0.00010,0.00841,0.00001,0.00444,0.01929
1403715280.110940933227539,0.00648,0.00036,0.01695,0.00874,0.00011,0.00464,0.03729
1403715280.161389589309692,0.00592,0.00037,0.00027,0.00838,0.00010,0.00496,0.02000
1403715280.211964368820190,0.00639,0.00037,0.00170,0.00807,0.00015,0.00464,0.02132
1403715280.262619018554688,0.00594,0.00038,0.00027,0.00769,0.00001,0.00445,0.01874
1403715280.312685728073120,0.00714,0.00040,0.00003,0.00789,0.00001,0.00466,0.02013
1403715280.362671613693237,0.00597,0.00038,0.00003,0.00781,0.00001,0.00440,0.01860
1403715280.412579536437988,0.00661,0.00038,0.00003,0.00784,0.00001,0.00474,0.01962
1403715280.462444782257080,0.00611,0.00038,0.00068,0.00776,0.00001,0.00430,0.01923
1403715280.512489080429077,0.00612,0.00034,0.00017,0.00767,0.00001,0.00477,0.01908
1403715280.562418460845947,0.00614,0.00040,0.00133,0.00698,0.00137,0.00500,0.02122
1403715280.612446069717407,0.00722,0.00038,0.00072,0.00704,0.00001,0.00474,0.02011
1403715280.662322521209717,0.00632,0.00040,0.00084,0.00671,0.00539,0.00455,0.02421
1403715280.712351799011230,0.00632,0.00037,0.01726,0.00800,0.00035,0.00473,0.03703
1403715280.762338638305664,0.00667,0.00033,0.00183,0.00757,0.00194,0.00460,0.02294
1403715280.812359094619751,0.00623,0.00040,0.00027,0.00763,0.00303,0.00437,0.02192
1403715280.862395048141479,0.00731,0.00037,0.00059,0.00779,0.00001,0.00458,0.02064
1403715280.912475585937500,0.00769,0.00036,0.00193,0.00758,0.00001,0.00484,0.02242
1403715280.962504386901855,0.00631,0.00040,0.00042,0.00665,0.00334,0.00462,0.02176
1403715281.012533187866211,0.00626,0.00038,0.00048,0.00635,0.00040,0.00469,0.01857
1403715281.062587261199951,0.00587,0.00032,0.00015,0.00650,0.00001,0.00473,0.01757
1403715281.112573146820068,0.00610,0.00036,0.00003,0.00643,0.00001,0.00500,0.01793
1403715281.162600517272949,0.00603,0.00039,0.00028,0.00594,0.00493,0.00448,0.02206
1403715281.212649345397949,0.00747,0.00035,0.00103,0.00678,0.00001,0.00484,0.02047
1403715281.262839794158936,0.00624,0.00035,0.00019,0.00644,0.00007,0.00514,0.01844
1403715281.313072443008423,0.00654,0.00035,0.00962,0.00624,0.01730,0.00526,0.04530
1403715281.363067626953125,0.00622,0.00042,0.00109,0.00851,0.00001,0.00463,0.02089
1403715281.413162231445312,0.00739,0.00039,0.00004,0.00863,0.00008,0.00470,0.02122
1403715281.463246345520020,0.00613,0.00042,0.01089,0.00837,0.00618,0.00449,0.03648
1403715281.513195514678955,0.00634,0.00038,0.00015,0.00937,0.00001,0.00485,0.02110
1403715281.563148498535156,0.00612,0.00039,0.00004,0.00877,0.00001,0.00445,0.01978
1403715281.613114833831787,0.00626,0.00036,0.00031,0.00834,0.00047,0.00473,0.02047
1403715281.663110494613647,0.00626,0.00041,0.00025,0.00824,0.00073,0.00491,0.02079
1403715281.713108539581299,0.00626,0.00041,0.00079,0.00652,0.00044,0.00472,0.01914
1403715281.763059616088867,0.00879,0.00034,0.00773,0.00592,0.01404,0.00472,0.04155
1403715281.813063383102417,0.00747,0.00037,0.00031,0.00692,0.00002,0.00549,0.02057
1403715281.863065719604492,0.00679,0.00036,0.00057,0.00643,0.00007,0.00458,0.01879
1403715281.913087606430054,0.00636,0.00034,0.00441,0.00594,0.01066,0.00461,0.03232
1403715281.963044404983521,0.00774,0.00038,0.00003,0.00803,0.00001,0.00450,0.02069
1403715282.013070106506348,0.00645,0.00039,0.00031,0.00773,0.00075,0.00475,0.02038
1403715282.063006639480591,0.00652,0.00040,0.00770,0.00789,0.00546,0.00490,0.03288
1403715282.112995624542236,0.00620,0.00038,0.00020,0.00877,0.00047,0.00495,0.02096
