# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863713026046753,0,6,0,0,5
1403715278.909390926361084,32,34,0,32,6
1403715278.959320783615112,31,4,31,0,7
1403715279.009166240692139,29,0,29,0,8
1403715279.058866739273071,29,0,29,0,9
1403715279.108448982238770,29,1,29,0,10
1403715279.158450841903687,28,1,28,0,11
1403715279.208379507064819,28,1,28,0,11
1403715279.258633852005005,33,0,28,5,11
1403715279.308166265487671,37,0,33,4,11
1403715279.356812953948975,38,0,37,1,11
1403715279.406205892562866,47,0,38,9,11
1403715279.456113338470459,47,0,47,0,11
1403715279.505581140518188,48,23,47,1,11
1403715279.555418014526367,48,0,48,0,11
1403715279.605095386505127,49,1,48,1,11
1403715279.654795885086060,49,0,49,0,11
1403715279.704600572586060,49,0,49,0,11
1403715279.754719495773315,49,0,49,0,11
1403715279.804320812225342,49,0,49,0,11
1403715279.854984045028687,49,0,48,0,11
1403715279.905261039733887,49,0,48,0,11
1403715279.956000804901123,49,2,48,1,11
1403715280.007006883621216,49,0,49,0,11
1403715280.057357549667358,49,0,49,0,11
1403715280.107232093811035,49,22,49,0,11
1403715280.159146785736084,48,1,48,0,11
1403715280.210707664489746,48,1,48,0,11
1403715280.262531042098999,47,0,47,0,11
1403715280.312649488449097,47,0,47,0,11
1403715280.362538576126099,47,0,47,0,11
1403715280.412190437316895,47,0,47,0,11
1403715280.461452484130859,47,1,46,0,11
1403715280.511171340942383,46,0,44,0,11
1403715280.560779809951782,47,3,45,2,11
1403715280.610862970352173,46,1,46,0,11
1403715280.660653352737427,49,1,45,3,11
1403715280.710684776306152,49,26,48,0,11
1403715280.760681629180908,48,1,46,1,11
1403715280.810714006423950,47,1,45,1,11
1403715280.860800504684448,46,1,45,0,11
1403715280.910903930664062,44,0,43,0,11
1403715280.961012363433838,42,1,41,0,11
1403715281.011054277420044,41,0,40,1,11
1403715281.061136960983276,41,1,40,0,11
1403715281.111199617385864,46,0,40,5,11
1403715281.161222696304321,44,1,44,0,11
1403715281.211263179779053,44,2,44,0,11
1403715281.261516332626343,44,0,43,1,11
1403715281.311891317367554,48,14,43,5,11
1403715281.361927032470703,48,7,47,1,11
1403715281.412118434906006,49,0,48,1,11
1403715281.462301015853882,49,0,42,0,11
1403715281.512205839157104,49,1,39,0,11
1403715281.562249660491943,49,0,36,7,11
1403715281.612337589263916,48,9,42,3,11
1403715281.662327527999878,48,0,44,2,11
1403715281.712261915206909,42,0,40,0,11
1403715281.762109518051147,39,0,38,0,11
1403715281.812179565429688,38,0,37,0,11
1403715281.862122774124146,37,1,36,1,11
1403715281.912189006805420,47,0,36,10,11
1403715281.962154865264893,48,6,46,2,11
1403715282.012178421020508,48,0,47,0,11
1403715282.062214136123657,48,0,47,0,11
1403715282.112222671508789,47,0,45,0,11
1403715282.162356376647949,50,13,45,3,11
1403715282.212408542633057,50,6,48,2,11
1403715282.262504339218140,50,0,43,0,11
1403715282.312440633773804,48,0,46,0,11
1403715282.362431526184082,48,1,45,2,11
1403715282.412456512451172,46,1,44,0,11
1403715282.462432861328125,46,3,43,2,11
1403715282.512443065643311,48,15,45,3,11
1403715282.562523841857910,47,3,46,1,11
1403715282.612566471099854,44,2,43,0,11
1403715282.662670612335205,44,0,42,0,11
1403715282.712572813034058,43,0,39,0,11
1403715282.762589454650879,50,7,39,8,11
1403715282.812639474868774,49,5,47,2,11
1403715282.862506628036499,49,0,49,0,11
1403715282.912506580352783,49,2,48,0,11
1403715282.962572574615479,49,3,48,0,11
1403715283.012529134750366,48,1,48,0,11
1403715283.062535047531128,50,27,47,2,11
1403715283.112454652786255,50,13,47,1,11
1403715283.162531375885010,50,3,46,0,11
1403715283.212518215179443,50,0,45,2,11
1403715283.262605905532837,50,1,47,2,11
1403715283.312605857849121,50,0,49,1,11
1403715283.362668752670288,50,9,50,0,11
1403715283.412693262100220,50,1,50,0,11
1403715283.462683677673340,48,0,48,0,11
1403715283.512631416320801,45,0,44,0,11
1403715283.562638044357300,43,0,43,0,11
1403715283.612657070159912,43,2,43,0,11
1403715283.662692785263062,50,14,43,7,11
1403715283.712742090225220,49,10,49,0,11
1403715283.762807369232178,49,3,49,0,11
1403715283.812867164611816,48,0,48,0,11
1403715283.862900972366333,48,0,47,0,11
1403715283.912921190261841,47,0,46,0,11
