# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862629413604736,0.00659,0.00015,0.00063,0.00000,0.00000,0.00417,0.01155
1403715278.912054061889648,0.00586,0.00019,0.00567,0.00001,0.01226,0.00411,0.02809
1403715278.962338685989380,0.00603,0.00027,0.00075,0.00326,0.00000,0.00414,0.01445
1403715279.012487649917603,0.00577,0.00027,0.00015,0.00323,0.00000,0.00432,0.01375
1403715279.062404632568359,0.00676,0.00029,0.00011,0.00328,0.00000,0.00434,0.01480
1403715279.112140893936157,0.00576,0.00030,0.00065,0.00337,0.00000,0.00427,0.01435
1403715279.162139654159546,0.00567,0.00029,0.00036,0.00329,0.00000,0.00428,0.01390
1403715279.212528228759766,0.00711,0.00028,0.00090,0.00340,0.00000,0.00452,0.01622
1403715279.262587547302246,0.00562,0.00031,0.00003,0.00346,0.00700,0.00457,0.02100
1403715279.312698602676392,0.00555,0.00032,0.00008,0.00423,0.00617,0.00453,0.02088
1403715279.362863063812256,0.00550,0.00035,0.00003,0.00509,0.00191,0.00462,0.01750
1403715279.413294076919556,0.00583,0.00029,0.00003,0.00535,0.01459,0.00468,0.03078
1403715279.463570594787598,0.00535,0.00040,0.00003,0.00777,0.00001,0.00500,0.01856
1403715279.513553857803345,0.00538,0.00041,0.01811,0.00835,0.00215,0.00464,0.03905
1403715279.563486814498901,0.00552,0.00038,0.00003,0.00824,0.00010,0.00449,0.01876
1403715279.613479137420654,0.00519,0.00042,0.00192,0.00872,0.00211,0.00435,0.02271
1403715279.663476943969727,0.00524,0.00039,0.00003,0.00869,0.00001,0.00450,0.01886
1403715279.713491439819336,0.00535,0.00043,0.00003,0.00871,0.00001,0.00457,0.01909
1403715279.763442754745483,0.00698,0.00041,0.00003,0.00881,0.00001,0.00452,0.02076
1403715279.813434839248657,0.00545,0.00042,0.00008,0.00869,0.00001,0.00466,0.01931
1403715279.863327503204346,0.00527,0.00039,0.00011,0.00866,0.00001,0.00457,0.01901
1403715279.913065671920776,0.00535,0.00041,0.00009,0.00853,0.00001,0.00464,0.01903
1403715279.962731838226318,0.00548,0.00039,0.00342,0.00840,0.00007,0.00460,0.02237
1403715280.012888669967651,0.00545,0.00041,0.00003,0.00856,0.00001,0.00494,0.01940
1403715280.062933206558228,0.00602,0.00038,0.00010,0.00810,0.00001,0.00450,0.01911
1403715280.112763643264771,0.00566,0.00043,0.01661,0.00813,0.00010,0.00476,0.03568
1403715280.162755250930786,0.00564,0.00036,0.00008,0.00794,0.00015,0.00511,0.01927
1403715280.212744951248169,0.00577,0.00040,0.00031,0.00774,0.00233,0.00428,0.02083
1403715280.262831211090088,0.00594,0.00042,0.00027,0.00831,0.00001,0.00440,0.01934
1403715280.312859296798706,0.00771,0.00042,0.00021,0.00807,0.00001,0.00443,0.02084
1403715280.362824678421021,0.00574,0.00040,0.00003,0.00799,0.00001,0.00450,0.01868
1403715280.412747144699097,0.00592,0.00038,0.00003,0.00802,0.00001,0.00454,0.01890
1403715280.462635278701782,0.00559,0.00039,0.00068,0.00785,0.00001,0.00447,0.01899
1403715280.512665271759033,0.00563,0.00039,0.00019,0.00778,0.00001,0.00456,0.01855
1403715280.562570095062256,0.00574,0.00038,0.00137,0.00770,0.00143,0.00497,0.02159
1403715280.612514495849609,0.00672,0.00040,0.00107,0.00781,0.00544,0.00476,0.02619
1403715280.662426233291626,0.00596,0.00042,0.00080,0.00865,0.00001,0.00450,0.02033
1403715280.712466478347778,0.00569,0.00038,0.01697,0.00884,0.00210,0.00451,0.03850
1403715280.762452602386475,0.00643,0.00041,0.00116,0.00839,0.00200,0.00468,0.02308
1403715280.812469959259033,0.00562,0.00042,0.00145,0.00784,0.00001,0.00444,0.01977
1403715280.862573146820068,0.00765,0.00040,0.00085,0.00755,0.00001,0.00450,0.02097
1403715280.912669658660889,0.00708,0.00038,0.00191,0.00726,0.00043,0.00473,0.02179
1403715280.962738275527954,0.00589,0.00039,0.00055,0.00654,0.00331,0.00453,0.02120
1403715281.012785196304321,0.00592,0.00039,0.00054,0.00617,0.00041,0.00460,0.01804
1403715281.062795162200928,0.00557,0.00036,0.00008,0.00644,0.00001,0.00455,0.01702
1403715281.112774610519409,0.00577,0.00037,0.00024,0.00631,0.00001,0.00483,0.01753
1403715281.162771463394165,0.00563,0.00036,0.00022,0.00605,0.00499,0.00463,0.02188
1403715281.212774038314819,0.00725,0.00037,0.00102,0.00654,0.00001,0.00459,0.01977
