# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862402439117432,0.00639,0.00015,0.00063,0.00000,0.00000,0.00420,0.01138
1403715278.911839723587036,0.00563,0.00019,0.00569,0.00000,0.01238,0.00439,0.02827
1403715278.962211370468140,0.00591,0.00026,0.00077,0.00329,0.00000,0.00408,0.01431
1403715279.012892723083496,0.00567,0.00030,0.00018,0.00324,0.00000,0.00434,0.01373
1403715279.062938451766968,0.00671,0.00028,0.00011,0.00326,0.00000,0.00430,0.01466
1403715279.112855672836304,0.00596,0.00029,0.00063,0.00336,0.00000,0.00435,0.01458
1403715279.162867307662964,0.00558,0.00045,0.00042,0.00341,0.00000,0.00435,0.01421
1403715279.213205099105835,0.00710,0.00029,0.00092,0.00334,0.00000,0.00465,0.01630
1403715279.263252973556519,0.00538,0.00029,0.00003,0.00346,0.00701,0.00458,0.02075
1403715279.313170194625854,0.00538,0.00031,0.00008,0.00417,0.00606,0.00461,0.02061
1403715279.362784862518311,0.00542,0.00034,0.00003,0.00509,0.00192,0.00454,0.01733
1403715279.413040161132812,0.00597,0.00029,0.00003,0.00537,0.01480,0.00506,0.03152
1403715279.463140249252319,0.00535,0.00038,0.00003,0.00790,0.00000,0.00509,0.01875
1403715279.513023138046265,0.00516,0.00041,0.01797,0.00802,0.00210,0.00467,0.03833
1403715279.562794446945190,0.00543,0.00038,0.00003,0.00815,0.00010,0.00461,0.01870
1403715279.612744331359863,0.00531,0.00037,0.00192,0.00811,0.00260,0.00463,0.02294
1403715279.662642478942871,0.00539,0.00038,0.00003,0.00872,0.00000,0.00461,0.01912
1403715279.712572097778320,0.00524,0.00038,0.00003,0.00869,0.00000,0.00460,0.01894
1403715279.762687683105469,0.00714,0.00038,0.00003,0.00862,0.00000,0.00466,0.02083
1403715279.812728166580200,0.00567,0.00037,0.00008,0.00863,0.00000,0.00468,0.01942
1403715279.862669706344604,0.00521,0.00039,0.00010,0.00859,0.00000,0.00461,0.01890
1403715279.912413120269775,0.00523,0.00040,0.00008,0.00866,0.00000,0.00461,0.01899
1403715279.962020158767700,0.00537,0.00036,0.00341,0.00836,0.00007,0.00479,0.02236
1403715280.011826515197754,0.00555,0.00040,0.00003,0.00865,0.00000,0.00504,0.01968
1403715280.061810731887817,0.00589,0.00038,0.00012,0.00835,0.00000,0.00466,0.01939
1403715280.111642837524414,0.00585,0.00043,0.01711,0.00842,0.00015,0.00443,0.03639
1403715280.161689281463623,0.00552,0.00036,0.00008,0.00822,0.00010,0.00539,0.01966
1403715280.211799144744873,0.00578,0.00039,0.00015,0.00821,0.00210,0.00450,0.02114
1403715280.262042760848999,0.00576,0.00039,0.00025,0.00836,0.00000,0.00438,0.01913
1403715280.312064886093140,0.00738,0.00038,0.00017,0.00820,0.00000,0.00450,0.02064
1403715280.362047433853149,0.00552,0.00036,0.00003,0.00819,0.00000,0.00460,0.01870
1403715280.411995172500610,0.00626,0.00035,0.00003,0.00817,0.00000,0.00467,0.01948
1403715280.461909770965576,0.00548,0.00045,0.00083,0.00815,0.00000,0.00474,0.01966
1403715280.512038946151733,0.00557,0.00033,0.00021,0.00747,0.00000,0.00456,0.01815
1403715280.561991930007935,0.00545,0.00036,0.00138,0.00717,0.00140,0.00513,0.02089
1403715280.611980438232422,0.00655,0.00038,0.00111,0.00720,0.00560,0.00446,0.02530
1403715280.661929845809937,0.00583,0.00039,0.00084,0.00853,0.00002,0.00483,0.02044
1403715280.711981773376465,0.00600,0.00038,0.01688,0.00858,0.00227,0.00459,0.03871
1403715280.761954307556152,0.00650,0.00036,0.00121,0.00791,0.00196,0.00467,0.02261
1403715280.811955451965332,0.00580,0.00038,0.00110,0.00757,0.00037,0.00441,0.01962
1403715280.862026453018188,0.00796,0.00036,0.00038,0.00723,0.00000,0.00442,0.02036
1403715280.912053346633911,0.00744,0.00035,0.00193,0.00696,0.00000,0.00467,0.02134
1403715280.962095499038696,0.00596,0.00037,0.00068,0.00625,0.00337,0.00473,0.02136
1403715281.012105941772461,0.00635,0.00036,0.00070,0.00592,0.00038,0.00460,0.01830
1403715281.062135219573975,0.00565,0.00029,0.00008,0.00624,0.00000,0.00467,0.01692
1403715281.112101078033447,0.00641,0.00035,0.00015,0.00612,0.00000,0.00485,0.01787
1403715281.162111997604370,0.00561,0.00032,0.00045,0.00567,0.00516,0.00460,0.02182
1403715281.212092876434326,0.00724,0.00034,0.00101,0.00619,0.00000,0.00462,0.01940
1403715281.262215375900269,0.00612,0.00036,0.00023,0.00596,0.00006,0.00505,0.01779
1403715281.312522411346436,0.00601,0.00033,0.00950,0.00570,0.01627,0.00498,0.04279
1403715281.362483263015747,0.00576,0.00040,0.00108,0.00817,0.00000,0.00453,0.01994
1403715281.412593603134155,0.00752,0.00038,0.00003,0.00832,0.00010,0.00466,0.02101
1403715281.462725400924683,0.00589,0.00040,0.01102,0.00811,0.00567,0.00472,0.03580
1403715281.512670516967773,0.00616,0.00040,0.00003,0.00905,0.00000,0.00467,0.02032
