# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.862486600875854,0,6,0,0,5
1403715278.911942481994629,32,34,0,32,6
1403715278.961569309234619,31,4,31,0,7
1403715279.009994506835938,29,0,29,0,8
1403715279.059519290924072,29,0,29,0,9
1403715279.108989953994751,29,1,29,0,10
1403715279.159075736999512,28,1,28,0,11
1403715279.209217548370361,28,1,28,0,11
1403715279.259369850158691,33,0,28,5,11
1403715279.309489965438843,37,0,33,4,11
1403715279.359759569168091,38,0,37,1,11
1403715279.410158872604370,47,0,38,9,11
1403715279.460302352905273,47,0,47,0,11
1403715279.510140419006348,48,26,47,1,11
1403715279.559961557388306,48,0,48,0,11
1403715279.609988451004028,49,1,48,1,11
1403715279.659954547882080,49,0,49,0,11
1403715279.709946155548096,49,0,49,0,11
1403715279.760002613067627,49,0,49,0,11
1403715279.810012340545654,49,0,49,0,11
1403715279.859927892684937,49,0,49,0,11
1403715279.909849166870117,49,0,49,0,11
1403715279.959628343582153,49,2,49,0,11
1403715280.009815454483032,49,0,49,0,11
1403715280.059880256652832,49,0,49,0,11
1403715280.109829425811768,49,19,49,0,11
1403715280.159925937652588,48,0,48,0,11
1403715280.210126638412476,48,1,48,0,11
1403715280.260432481765747,47,0,47,0,11
1403715280.310471057891846,47,0,46,0,11
1403715280.360472440719604,47,0,46,0,11
1403715280.410430908203125,47,0,46,1,11
1403715280.460292577743530,47,1,47,0,11
1403715280.510175704956055,46,0,46,0,11
1403715280.559983968734741,47,2,46,1,11
1403715280.610000848770142,46,1,46,0,11
1403715280.659981489181519,48,1,44,3,11
1403715280.710144519805908,47,23,46,0,11
1403715280.760171651840210,47,2,46,1,11
1403715280.810233592987061,47,0,44,2,11
1403715280.860305070877075,47,2,46,0,11
1403715280.910516738891602,47,1,45,1,11
1403715280.960725545883179,45,0,42,2,11
1403715281.010847330093384,42,0,41,1,11
1403715281.061003684997559,41,0,41,0,11
1403715281.111108303070068,41,0,41,0,11
1403715281.161244869232178,42,0,39,3,11
1403715281.211347818374634,42,1,42,0,11
1403715281.261536121368408,41,0,41,0,11
1403715281.311757564544678,48,13,40,8,11
1403715281.361731290817261,47,1,47,0,11
1403715281.411741018295288,47,0,47,0,11
1403715281.461841344833374,50,12,47,3,11
1403715281.511837244033813,50,0,49,0,11
1403715281.561832904815674,50,0,46,0,11
1403715281.611820936203003,50,0,44,1,11
1403715281.661809682846069,50,0,44,3,11
1403715281.711786746978760,42,0,39,0,11
1403715281.761719703674316,47,7,38,8,11
1403715281.811724901199341,45,0,43,0,11
1403715281.861707210540771,44,2,42,0,11
1403715281.911740541458130,49,3,41,7,11
1403715281.961722135543823,49,0,47,0,11
1403715282.011740684509277,49,0,47,1,11
1403715282.061711788177490,49,10,46,1,11
1403715282.111732959747314,49,0,46,0,11
1403715282.161839008331299,48,0,42,2,11
1403715282.211791038513184,48,0,44,1,11
1403715282.261823892593384,48,0,44,3,11
1403715282.311922073364258,49,18,46,2,11
1403715282.361935377120972,50,6,47,1,11
1403715282.411860704421997,49,1,45,1,11
1403715282.461890697479248,47,0,44,1,11
1403715282.511886835098267,48,3,45,2,11
1403715282.561786413192749,46,0,46,0,11
1403715282.611741065979004,43,0,41,0,11
1403715282.661709070205688,45,6,42,2,11
1403715282.711700916290283,44,1,43,0,11
1403715282.761717319488525,44,1,43,1,11
1403715282.811752796173096,44,1,44,0,11
1403715282.861688375473022,44,1,44,0,11
1403715282.911649465560913,50,10,44,6,11
1403715282.961602210998535,48,7,47,0,11
1403715283.011662960052490,48,2,44,0,11
1403715283.061607360839844,47,0,44,0,11
1403715283.111575603485107,49,0,43,6,11
1403715283.161644935607910,49,0,48,0,11
1403715283.211675167083740,49,0,48,0,11
1403715283.261863470077515,49,32,47,2,11
1403715283.311879634857178,48,1,48,0,11
1403715283.361892223358154,48,0,48,0,11
1403715283.411868095397949,48,0,48,0,11
1403715283.461830854415894,46,0,46,0,11
1403715283.511758089065552,45,6,41,4,11
1403715283.561724185943604,49,1,44,5,11
1403715283.611682891845703,48,0,48,0,11
1403715283.661751031875610,48,0,48,0,11
1403715283.711913824081421,48,0,48,0,11
1403715283.761995792388916,48,1,48,0,11
1403715283.812108993530273,47,0,47,0,11
1403715283.862148761749268,49,27,47,2,11
1403715283.912111759185791,48,0,48,0,11
1403715283.962126255035400,48,0,48,0,11
1403715284.012156724929810,48,0,48,0,11
1403715284.062176704406738,48,0,48,0,11
1403715284.112212896347046,50,5,48,2,11
1403715284.162168741226196,49,1,49,0,11
1403715284.212148666381836,48,1,47,0,11
1403715284.262161731719971,48,1,47,0,11
1403715284.312153100967407,48,0,46,1,11
1403715284.362178325653076,49,10,48,1,11
1403715284.412195444107056,50,0,47,1,11
1403715284.462182044982910,50,22,48,1,11
1403715284.512109994888306,49,0,48,1,11
1403715284.562126636505127,49,0,49,0,11
1403715284.612132310867310,49,0,49,0,11
1403715284.662200927734375,48,0,47,0,11
1403715284.712165594100952,50,1,46,2,11
1403715284.762188196182251,50,1,46,1,11
1403715284.812180757522583,50,0,47,0,11
1403715284.862183809280396,49,0,47,2,11
1403715284.912198305130005,49,0,49,0,11
1403715284.962342500686646,49,9,49,0,11
1403715285.012389421463013,49,0,48,0,11
1403715285.062446117401123,49,19,47,1,11
1403715285.112397432327271,49,0,46,1,11
1403715285.162376165390015,47,0,46,0,11
1403715285.212338685989380,46,0,45,1,11
1403715285.262311458587646,46,0,45,0,11
1403715285.312320947647095,47,0,45,1,11
1403715285.362335681915283,48,0,46,2,11
1403715285.412359476089478,48,0,46,0,11
1403715285.462384462356567,48,0,47,0,11
1403715285.512419700622559,47,0,46,0,11
1403715285.562457561492920,49,7,46,2,11
1403715285.612458467483521,49,0,48,1,11
1403715285.662422180175781,48,21,46,1,11
1403715285.712399721145630,48,0,46,0,11
1403715285.762353420257568,45,0,44,0,11
1403715285.812261819839478,44,0,43,0,11
1403715285.862089395523071,43,0,40,1,11
1403715285.911983013153076,44,0,38,1,11
1403715285.961917638778687,44,0,38,2,11
1403715286.011899948120117,44,2,40,3,11
1403715286.061889171600342,45,12,43,1,11
1403715286.111885547637939,45,1,44,1,11
1403715286.161854505538940,49,4,44,5,11
1403715286.211847782135010,49,0,49,0,11
1403715286.261818647384644,48,27,46,1,11
1403715286.311807632446289,48,0,47,0,11
1403715286.361802577972412,46,1,45,1,11
1403715286.411795616149902,46,0,46,0,11
1403715286.461787223815918,45,0,44,0,11
1403715286.511784315109253,42,0,40,0,11
1403715286.561759948730469,47,16,39,7,11
