# timestamp(s) tx ty tz qx qy qz qw
1403715278.86249 0.017144000 0.010881000 0.084123000 0.809093000 -0.009090000 0.587602000 0.003059000
1403715278.91194 0.049897000 0.013550000 0.092131000 0.811473000 -0.007818000 0.584335000 0.002022000
1403715278.96157 0.058924000 0.015885000 0.113337000 0.811402000 -0.007783000 0.584433000 0.002077000
1403715279.00999 0.068132000 0.017061000 0.127967000 0.811182000 -0.007118000 0.584746000 0.002335000
1403715279.05952 0.076036000 0.018599000 0.139335000 0.811635000 -0.007021000 0.584116000 0.002876000
1403715279.10899 0.085031000 0.019997000 0.146652000 0.811589000 -0.006887000 0.584180000 0.003251000
1403715279.15908 0.094465000 0.021336000 0.149918000 0.811792000 -0.006013000 0.583901000 0.004005000
1403715279.20922 0.103145000 0.022239000 0.147602000 0.812003000 -0.005069000 0.583608000 0.005187000
1403715279.25937 0.110505000 0.021959000 0.141531000 0.811780000 -0.004115000 0.583924000 0.005368000
1403715279.30949 0.118136000 0.022392000 0.135917000 0.812062000 -0.003880000 0.583536000 0.005031000
1403715279.35976 0.123816000 0.021660000 0.131513000 0.812601000 -0.004273000 0.582789000 0.004434000
1403715279.41016 0.129194000 0.019601000 0.127499000 0.812484000 -0.004659000 0.582956000 0.003221000
1403715279.46030 0.133029000 0.018839000 0.125527000 0.813097000 -0.004734000 0.582103000 0.002681000
1403715279.51014 0.138221000 0.016931000 0.130436000 0.812783000 -0.004708000 0.582544000 0.002164000
1403715279.55996 0.143391000 0.016990000 0.131868000 0.812807000 -0.004027000 0.582512000 0.002888000
1403715279.60999 0.147405000 0.017279000 0.132635000 0.813096000 -0.004182000 0.582107000 0.002962000
1403715279.65995 0.151722000 0.017966000 0.134260000 0.813092000 -0.004039000 0.582114000 0.002810000
1403715279.70995 0.156373000 0.019169000 0.136301000 0.812647000 -0.004093000 0.582736000 0.002665000
1403715279.76000 0.159592000 0.020487000 0.138808000 0.812665000 -0.004316000 0.582710000 0.002350000
1403715279.81001 0.161253000 0.020850000 0.142405000 0.812815000 -0.004802000 0.582499000 0.001988000
1403715279.85993 0.161721000 0.020678000 0.146767000 0.813092000 -0.004831000 0.582112000 0.001824000
1403715279.90985 0.161413000 0.020129000 0.151909000 0.813627000 -0.004911000 0.581364000 0.001875000
1403715279.95963 0.159731000 0.019042000 0.157725000 0.815414000 -0.004751000 0.578855000 0.002236000
1403715280.00982 0.159637000 0.018482000 0.167787000 0.818766000 -0.005035000 0.574101000 0.002128000
1403715280.05988 0.160059000 0.017762000 0.177758000 0.823137000 -0.005151000 0.567816000 0.002111000
1403715280.10983 0.160149000 0.015954000 0.186664000 0.827275000 -0.003453000 0.561767000 0.004657000
1403715280.15993 0.161019000 0.014463000 0.195617000 0.829514000 -0.001752000 0.558441000 0.006888000
1403715280.21013 0.162879000 0.013281000 0.205750000 0.830417000 0.001211000 0.557036000 0.010819000
1403715280.26043 0.165031000 0.012155000 0.216750000 0.830100000 0.003815000 0.557408000 0.014688000
1403715280.31047 0.168805000 0.011851000 0.229071000 0.829069000 0.005974000 0.558845000 0.017349000
1403715280.36047 0.172232000 0.011638000 0.241394000 0.827978000 0.007373000 0.560366000 0.019705000
1403715280.41043 0.176560000 0.011875000 0.254005000 0.826404000 0.007764000 0.562577000 0.022427000
1403715280.46029 0.181812000 0.012838000 0.265739000 0.825864000 0.004446000 0.563412000 0.022274000
1403715280.51018 0.188299000 0.014716000 0.275480000 0.824915000 -0.001770000 0.564859000 0.021120000
1403715280.55998 0.195323000 0.016511000 0.284673000 0.823943000 -0.009338000 0.566206000 0.021040000
1403715280.61000 0.202371000 0.018836000 0.293476000 0.822681000 -0.018122000 0.567786000 0.022052000
1403715280.65998 0.208383000 0.019499000 0.302591000 0.821681000 -0.027220000 0.568705000 0.025956000
1403715280.71014 0.217195000 0.018949000 0.311536000 0.820467000 -0.037515000 0.569656000 0.030318000
1403715280.76017 0.225027000 0.020373000 0.319142000 0.819518000 -0.048215000 0.569903000 0.035726000
1403715280.81023 0.233457000 0.021798000 0.325895000 0.818885000 -0.059181000 0.569380000 0.041620000
1403715280.86031 0.242138000 0.023771000 0.332015000 0.817518000 -0.069862000 0.569606000 0.048295000
1403715280.91052 0.250011000 0.027211000 0.336556000 0.816272000 -0.079483000 0.569520000 0.055034000
1403715280.96073 0.258406000 0.031064000 0.341004000 0.815222000 -0.087702000 0.569237000 0.060754000
1403715281.01085 0.265826000 0.034497000 0.345359000 0.814162000 -0.095179000 0.569053000 0.065261000
1403715281.06100 0.271026000 0.039913000 0.347370000 0.813219000 -0.100987000 0.568781000 0.070455000
1403715281.11111 0.276494000 0.044790000 0.349073000 0.812295000 -0.106013000 0.568673000 0.074491000
1403715281.16124 0.283276000 0.049407000 0.352517000 0.811489000 -0.110115000 0.568591000 0.077876000
1403715281.21135 0.290295000 0.052554000 0.355498000 0.810713000 -0.113789000 0.568522000 0.081113000
1403715281.26154 0.296938000 0.054704000 0.358038000 0.809960000 -0.118247000 0.568274000 0.083949000
1403715281.31176 0.302776000 0.056075000 0.358187000 0.809318000 -0.122992000 0.567614000 0.087703000
1403715281.36173 0.310027000 0.057949000 0.358188000 0.808903000 -0.128606000 0.566329000 0.091692000
1403715281.41174 0.319492000 0.059641000 0.359986000 0.808686000 -0.134860000 0.564471000 0.095976000
1403715281.46184 0.327524000 0.058966000 0.360814000 0.807230000 -0.141713000 0.563903000 0.101544000
1403715281.51184 0.336014000 0.059796000 0.361198000 0.805806000 -0.149618000 0.562702000 0.107974000
1403715281.56183 0.344784000 0.059900000 0.360917000 0.804310000 -0.158317000 0.561018000 0.115238000
