# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.865345716476440,0.01733,0.00016,0.00063,0.00000,0.00000,0.00522,0.02335
1403715278.917098283767700,0.01521,0.00019,0.00567,0.00000,0.01227,0.00544,0.03878
1403715278.967245101928711,0.01585,0.00028,0.00076,0.00326,0.00000,0.00521,0.02536
1403715279.016754627227783,0.01556,0.00029,0.00016,0.00335,0.00000,0.00553,0.02489
1403715279.066093444824219,0.01713,0.00029,0.00011,0.00332,0.00000,0.00532,0.02617
1403715279.115407705307007,0.01503,0.00031,0.00065,0.00335,0.00000,0.00545,0.02478
1403715279.165017843246460,0.01483,0.00031,0.00035,0.00335,0.00000,0.00554,0.02438
1403715279.215244770050049,0.01675,0.00030,0.00095,0.00340,0.00000,0.00586,0.02726
1403715279.265511989593506,0.01503,0.00031,0.00003,0.00346,0.00697,0.00597,0.03176
1403715279.315721511840820,0.01471,0.00034,0.00008,0.00424,0.00664,0.00580,0.03181
1403715279.365416049957275,0.01571,0.00033,0.00003,0.00503,0.00191,0.00574,0.02875
1403715279.414885044097900,0.01629,0.00033,0.00003,0.00540,0.01460,0.00704,0.04369
1403715279.464349508285522,0.01306,0.00038,0.00003,0.00774,0.00000,0.00586,0.02707
1403715279.513723850250244,0.01309,0.00039,0.01983,0.00884,0.00215,0.00566,0.04996
1403715279.563093185424805,0.01333,0.00043,0.00004,0.00828,0.00010,0.00547,0.02764
1403715279.612708806991577,0.01313,0.00036,0.00181,0.00825,0.00243,0.00571,0.03169
1403715279.662282705307007,0.01299,0.00043,0.00004,0.00888,0.00000,0.00542,0.02777
1403715279.712027788162231,0.01321,0.00039,0.00003,0.00879,0.00000,0.00540,0.02784
1403715279.762346744537354,0.01448,0.00041,0.00003,0.00875,0.00001,0.00560,0.02927
1403715279.812590122222900,0.01297,0.00042,0.00008,0.00872,0.00000,0.00549,0.02768
1403715279.862908124923706,0.01314,0.00038,0.00011,0.00862,0.00000,0.00552,0.02778
1403715279.913020133972168,0.01413,0.00039,0.00009,0.00867,0.00000,0.00534,0.02862
1403715279.963637828826904,0.01337,0.00037,0.00339,0.00846,0.00007,0.00558,0.03125
1403715280.013859033584595,0.01323,0.00039,0.00003,0.00870,0.00000,0.00592,0.02827
1403715280.063940048217773,0.01357,0.00041,0.00010,0.00853,0.00000,0.00553,0.02816
1403715280.113877773284912,0.01458,0.00038,0.01735,0.00924,0.00010,0.00549,0.04713
1403715280.164515495300293,0.01479,0.00038,0.00098,0.00825,0.00007,0.00643,0.03090
1403715280.215345621109009,0.01317,0.00037,0.00171,0.00813,0.00013,0.00539,0.02890
1403715280.266279220581055,0.01333,0.00039,0.00018,0.00797,0.00000,0.00538,0.02726
1403715280.316668987274170,0.01405,0.00040,0.00003,0.00795,0.00000,0.00532,0.02776
1403715280.366565704345703,0.01343,0.00038,0.00003,0.00796,0.00000,0.00557,0.02737
1403715280.415807723999023,0.01496,0.00038,0.00003,0.00771,0.00000,0.00534,0.02842
1403715280.465327501296997,0.01326,0.00038,0.00068,0.00728,0.00000,0.00542,0.02703
1403715280.514987230300903,0.01357,0.00033,0.00024,0.00711,0.00043,0.00571,0.02740
1403715280.564651250839233,0.01561,0.00036,0.00160,0.00718,0.00169,0.00585,0.03228
1403715280.614709854125977,0.01371,0.00034,0.00090,0.00760,0.00000,0.00558,0.02813
1403715280.664231538772583,0.01412,0.00037,0.00067,0.00756,0.00555,0.00548,0.03374
1403715280.714047431945801,0.01587,0.00039,0.01947,0.00925,0.00007,0.00571,0.05077
1403715280.764014005661011,0.01352,0.00038,0.00103,0.00762,0.00117,0.00543,0.02914
1403715280.814054965972900,0.01383,0.00037,0.00117,0.00747,0.00221,0.00544,0.03049
1403715280.864090204238892,0.01909,0.00037,0.00032,0.00752,0.00000,0.00551,0.03281
1403715280.914101600646973,0.01438,0.00037,0.00019,0.00713,0.00000,0.00550,0.02759
1403715280.964003562927246,0.01416,0.00034,0.00075,0.00632,0.00000,0.00538,0.02694
1403715281.013882637023926,0.01604,0.00035,0.00070,0.00593,0.00041,0.00566,0.02910
1403715281.063799142837524,0.01311,0.00032,0.00067,0.00491,0.00000,0.00565,0.02465
1403715281.113694667816162,0.01345,0.00035,0.00034,0.00404,0.00850,0.00579,0.03247
1403715281.163671016693115,0.01389,0.00036,0.00141,0.00410,0.00109,0.00524,0.02610
1403715281.213779926300049,0.01347,0.00034,0.00130,0.00414,0.00127,0.00567,0.02620
1403715281.264162302017212,0.01300,0.00035,0.00033,0.00466,0.00094,0.00543,0.02470
1403715281.314696073532104,0.01353,0.00052,0.00720,0.00458,0.01748,0.00564,0.04895
1403715281.364843368530273,0.01310,0.00042,0.00046,0.00825,0.00111,0.00554,0.02888
1403715281.414974451065063,0.01519,0.00040,0.00957,0.00929,0.00000,0.00750,0.04194
1403715281.465008974075317,0.01324,0.00039,0.00016,0.00929,0.00001,0.00544,0.02853
1403715281.514980316162109,0.01844,0.00035,0.00003,0.00922,0.00000,0.00565,0.03370
1403715281.564973354339600,0.01622,0.00039,0.00769,0.00887,0.00034,0.00543,0.03895
1403715281.614947557449341,0.01536,0.00041,0.00074,0.00889,0.00000,0.00549,0.03089
1403715281.664917945861816,0.01491,0.00038,0.00064,0.00872,0.00001,0.00582,0.03048
1403715281.714898824691772,0.01491,0.00039,0.00114,0.00693,0.00009,0.00560,0.02906
1403715281.764895200729370,0.01413,0.00036,0.00085,0.00656,0.00000,0.00549,0.02739
1403715281.814874410629272,0.01424,0.00038,0.00022,0.00597,0.00000,0.00593,0.02675
1403715281.864902019500732,0.01366,0.00034,0.00230,0.00541,0.00000,0.00559,0.02731
1403715281.914890289306641,0.01882,0.00028,0.00038,0.00534,0.00933,0.00551,0.03966
1403715281.964879274368286,0.01631,0.00032,0.00156,0.00704,0.00001,0.00539,0.03063
1403715282.014901399612427,0.01496,0.00035,0.00428,0.00690,0.00559,0.00519,0.03727
1403715282.064967632293701,0.01450,0.00036,0.01138,0.00804,0.00849,0.00561,0.04838
1403715282.114983558654785,0.01484,0.00042,0.00059,0.00919,0.00000,0.00541,0.03046
1403715282.164996147155762,0.01442,0.00037,0.00639,0.00858,0.00000,0.00537,0.03514
1403715282.214982748031616,0.01463,0.00039,0.00094,0.00857,0.00087,0.00518,0.03059
1403715282.265005350112915,0.01400,0.00039,0.00017,0.00914,0.00048,0.00579,0.02998
1403715282.314991712570190,0.01451,0.00039,0.00009,0.00950,0.00000,0.00560,0.03008
1403715282.364974737167358,0.01354,0.00042,0.00029,0.00924,0.00001,0.00607,0.02957
1403715282.414928674697876,0.01344,0.00038,0.00151,0.00762,0.00000,0.00556,0.02851
1403715282.464927434921265,0.01392,0.00038,0.01189,0.00758,0.00301,0.00683,0.04361
1403715282.514876127243042,0.02151,0.00036,0.00027,0.00782,0.00234,0.00558,0.03789
1403715282.564857482910156,0.01497,0.00039,0.00044,0.00784,0.00041,0.00540,0.02946
1403715282.614836454391479,0.01511,0.00037,0.00357,0.00726,0.00253,0.00577,0.03462
1403715282.664832592010498,0.01568,0.00033,0.00860,0.00749,0.00608,0.00630,0.04448
1403715282.714789628982544,0.01547,0.00037,0.00014,0.00877,0.00001,0.00588,0.03063
1403715282.764766931533813,0.01461,0.00036,0.00359,0.00848,0.00225,0.00578,0.03508
1403715282.814738750457764,0.01488,0.00041,0.00055,0.00900,0.00001,0.00557,0.03041
1403715282.864634990692139,0.01481,0.00037,0.00004,0.00898,0.00001,0.00571,0.02992
1403715282.914586067199707,0.01457,0.00039,0.00035,0.00899,0.00001,0.00629,0.03059
1403715282.964599370956421,0.01489,0.00038,0.00113,0.00867,0.00000,0.00567,0.03074
1403715283.014525890350342,0.01498,0.00040,0.00040,0.00848,0.00000,0.00572,0.02998
1403715283.064438343048096,0.01464,0.00038,0.02750,0.00951,0.00495,0.00565,0.06264
1403715283.114470005035400,0.01411,0.00038,0.00085,0.00913,0.00167,0.00518,0.03133
1403715283.164456605911255,0.01475,0.00035,0.00003,0.00948,0.00001,0.00565,0.03027
1403715283.214447259902954,0.01430,0.00039,0.00319,0.00915,0.00000,0.00546,0.03250
1403715283.264430999755859,0.01479,0.00036,0.00941,0.00864,0.00053,0.00552,0.03926
1403715283.314423561096191,0.01447,0.00040,0.00022,0.00915,0.00048,0.00586,0.03058
1403715283.364436149597168,0.01324,0.00041,0.00035,0.00935,0.00119,0.00571,0.03025
1403715283.414449214935303,0.01360,0.00039,0.00009,0.00986,0.00001,0.00555,0.02950
1403715283.464460611343384,0.01329,0.00041,0.00034,0.00850,0.00000,0.00535,0.02789
1403715283.514457941055298,0.01424,0.00039,0.00036,0.00746,0.00000,0.00535,0.02780
1403715283.564445734024048,0.01290,0.00035,0.00016,0.00716,0.00000,0.00549,0.02606
1403715283.614428997039795,0.01299,0.00036,0.00003,0.00686,0.00000,0.00526,0.02551
1403715283.664417028427124,0.01277,0.00039,0.01969,0.00666,0.01162,0.00630,0.05744
1403715283.714419841766357,0.01253,0.00040,0.00017,0.00859,0.00001,0.00529,0.02699
1403715283.764437913894653,0.01235,0.00036,0.00003,0.00852,0.00000,0.00541,0.02668
1403715283.814494371414185,0.01638,0.00034,0.00192,0.00820,0.00048,0.00541,0.03273
1403715283.864577054977417,0.01396,0.00034,0.00720,0.00805,0.00549,0.00534,0.04039
1403715283.914620876312256,0.01918,0.00036,0.00024,0.00912,0.00000,0.00553,0.03444
1403715283.964645385742188,0.01425,0.00038,0.00024,0.00901,0.00000,0.00537,0.02925
1403715284.014680385589600,0.01530,0.00038,0.00008,0.00955,0.00001,0.00559,0.03091
1403715284.064719915390015,0.01572,0.00037,0.00075,0.00897,0.00000,0.00537,0.03118
1403715284.114760398864746,0.01618,0.00035,0.00009,0.00835,0.00000,0.00576,0.03073
1403715284.164716958999634,0.01727,0.00039,0.00064,0.00757,0.00001,0.00578,0.03166
1403715284.214691400527954,0.01447,0.00040,0.00132,0.00684,0.00109,0.00575,0.02987
1403715284.264637708663940,0.01480,0.00034,0.01678,0.00756,0.00203,0.00517,0.04667
1403715284.314615726470947,0.01522,0.00036,0.00011,0.00898,0.00000,0.00544,0.03011
1403715284.364630222320557,0.01426,0.00035,0.00501,0.00872,0.00007,0.00551,0.03392
1403715284.414624691009521,0.01416,0.00035,0.00324,0.00835,0.00119,0.00595,0.03324
1403715284.464417934417725,0.01491,0.00039,0.02048,0.00977,0.00047,0.00526,0.05127
1403715284.514461278915405,0.01438,0.00037,0.00024,0.00859,0.00000,0.00569,0.02929
1403715284.564475297927856,0.01511,0.00036,0.00016,0.00914,0.00002,0.00539,0.03019
1403715284.614500045776367,0.01448,0.00039,0.00024,0.00845,0.00046,0.00571,0.02973
1403715284.664520978927612,0.01531,0.00037,0.00003,0.00852,0.00000,0.00560,0.02982
1403715284.714545488357544,0.01887,0.00037,0.00023,0.00854,0.00047,0.00605,0.03453
1403715284.764541149139404,0.01499,0.00039,0.00003,0.00881,0.00000,0.00596,0.03019
1403715284.814501047134399,0.01415,0.00038,0.00004,0.00890,0.00000,0.00570,0.02917
1403715284.864475250244141,0.01579,0.00039,0.01568,0.00858,0.00200,0.00563,0.04808
1403715284.914453506469727,0.01487,0.00034,0.00003,0.00959,0.00001,0.00552,0.03035
1403715284.964417457580566,0.01396,0.00039,0.00231,0.00853,0.00010,0.00641,0.03170
1403715285.014426708221436,0.01531,0.00035,0.00025,0.00848,0.00206,0.00564,0.03210
1403715285.064471244812012,0.01522,0.00034,0.01715,0.00813,0.00469,0.00589,0.05141
1403715285.114393711090088,0.01496,0.00041,0.00050,0.00929,0.00001,0.00536,0.03053
1403715285.164328813552856,0.01479,0.00039,0.00027,0.00861,0.00120,0.00569,0.03096
1403715285.214203834533691,0.01460,0.00037,0.00017,0.00828,0.00000,0.00551,0.02894
1403715285.264085054397583,0.01712,0.00038,0.00003,0.00831,0.00000,0.00585,0.03170
1403715285.314044713973999,0.01466,0.00039,0.00013,0.00817,0.00002,0.00564,0.02901
1403715285.363995075225830,0.01506,0.00038,0.00008,0.00815,0.00000,0.00556,0.02923
1403715285.413955688476562,0.01395,0.00037,0.00003,0.00816,0.00000,0.00576,0.02828
1403715285.463830232620239,0.01435,0.00035,0.01072,0.00795,0.00515,0.00608,0.04460
1403715285.513794422149658,0.01408,0.00037,0.00003,0.00922,0.00000,0.00558,0.02929
1403715285.563731908798218,0.01479,0.00037,0.00251,0.00888,0.00007,0.00580,0.03242
1403715285.613704442977905,0.01370,0.00040,0.00003,0.00913,0.00000,0.00564,0.02891
1403715285.663531541824341,0.01467,0.00039,0.01595,0.00826,0.00200,0.00697,0.04823
