# timestamp(s) tx ty tz qx qy qz qw
1403637149.98759 0.007837000 -0.010728000 0.001663000 -0.825079000 -0.004360000 -0.564095000 0.031981000
1403637150.03528 0.017903000 -0.038177000 0.013491000 -0.828671000 -0.018729000 -0.559003000 0.021669000
1403637150.08666 0.022624000 -0.039818000 0.018034000 -0.833041000 -0.018253000 -0.552762000 0.012780000
1403637150.13654 0.023923000 -0.045528000 0.026296000 -0.836161000 -0.020492000 -0.548061000 0.006640000
1403637150.18648 0.027489000 -0.051870000 0.036926000 -0.836667000 -0.021057000 -0.547305000 0.001716000
1403637150.23649 0.032679000 -0.056730000 0.047902000 0.835401000 0.020057000 0.549273000 0.001515000
1403637150.28639 0.038979000 -0.062213000 0.060933000 0.832771000 0.019113000 0.553280000 0.002748000
1403637150.33656 0.045921000 -0.067287000 0.075413000 0.829527000 0.017229000 0.558178000 0.004986000
1403637150.38683 0.052190000 -0.072183000 0.090648000 0.823533000 0.013792000 0.567086000 0.004103000
1403637150.43716 0.059134000 -0.076590000 0.106127000 0.818666000 0.010900000 0.574147000 0.004771000
1403637150.48749 0.064684000 -0.080402000 0.122058000 0.815093000 0.007846000 0.579230000 0.007345000
1403637150.53750 0.071492000 -0.084319000 0.136786000 0.812915000 0.006080000 0.582287000 0.008615000
1403637150.58804 0.078311000 -0.090119000 0.152316000 0.811900000 0.004548000 0.583711000 0.008906000
1403637150.63819 0.082949000 -0.096527000 0.166036000 0.810035000 0.012179000 0.586247000 0.003154000
1403637150.68825 0.087901000 -0.099447000 0.179196000 0.809330000 0.011134000 0.587233000 0.004334000
1403637150.73827 0.092692000 -0.101991000 0.191790000 0.808988000 0.010555000 0.587699000 0.006055000
1403637150.78813 0.098188000 -0.105355000 0.203637000 0.808661000 0.009874000 0.588148000 0.007185000
1403637150.83814 0.105317000 -0.110570000 0.215758000 0.807937000 0.009541000 0.589136000 0.008071000
1403637150.88807 0.111795000 -0.114330000 0.226932000 0.805693000 0.008469000 0.592200000 0.009314000
1403637150.93806 0.114704000 -0.115459000 0.237792000 0.803078000 0.007768000 0.595735000 0.010235000
1403637150.98813 0.129368000 -0.120851000 0.248672000 0.802076000 0.002768000 0.597080000 0.012698000
1403637151.03789 0.137616000 -0.123306000 0.259875000 0.800450000 0.001927000 0.599247000 0.013361000
1403637151.08786 0.138860000 -0.123172000 0.268490000 0.797946000 0.002327000 0.602561000 0.014034000
