# timestamp(s) tx ty tz qx qy qz qw
1403636897.705916882 -0.062013810 -0.029198769 -0.005545263 0.820632624 -0.016235743 0.571120083 0.010970288
1403636897.754704237 -0.038027444 -0.027444053 -0.003056071 0.823248179 -0.024471378 0.566699641 0.022695907
1403636897.804171801 -0.048061695 -0.032093345 0.004696789 0.827322101 -0.022701452 0.560703559 0.025185381
1403636897.854174852 -0.055442713 -0.034937929 0.011957286 0.830283059 -0.021731875 0.556301867 0.026191616
1403636897.904336214 -0.063134252 -0.037573845 0.021058342 0.832431478 -0.020333432 0.553119140 0.026525507
1403636897.954821825 -0.069008407 -0.038984740 0.032667227 0.830588696 -0.019270059 0.555919383 0.026546602
1403636898.004369736 -0.073531578 -0.039232605 0.044463856 0.827529320 -0.017873257 0.560555894 0.025551141
1403636898.053307056 -0.077450357 -0.040117540 0.053852214 0.824840297 -0.015687164 0.564704508 0.022387854
1403636898.102858543 -0.080774838 -0.042886874 0.058680482 0.822606961 -0.014411771 0.568121546 0.018654680
1403636898.152211428 -0.084573309 -0.045984697 0.063178944 0.821232768 -0.013480145 0.570160998 0.017648298
1403636898.201115608 -0.089393073 -0.051929882 0.067597193 0.821219350 -0.008316661 0.570400394 0.013153040
1403636898.251063824 -0.091066031 -0.054963204 0.074067814 0.821130265 -0.007211082 0.570563062 0.012283308
1403636898.300868750 -0.091994310 -0.059220394 0.081738854 0.821076709 -0.004437227 0.570708952 0.010229465
1403636898.351544857 -0.101443389 -0.071164589 0.086633262 0.823268820 -0.000157990 0.567596918 0.007884398
1403636898.401392221 -0.101210260 -0.074093936 0.099479571 0.823513483 0.001869913 0.567262491 0.005942452
1403636898.451287508 -0.098959703 -0.075273158 0.109942673 0.823749686 0.003103678 0.566928537 0.004342334
1403636898.501169205 -0.095398905 -0.075024274 0.120689797 0.823976112 0.004104738 0.566604027 0.002528574
1403636898.551123381 -0.092079191 -0.074196938 0.131582306 0.823844443 0.004597129 0.566795099 0.001586181
1403636898.601063490 -0.088275951 -0.074243957 0.142122643 0.824128684 0.006072712 0.566367964 0.001537267
1403636898.651011944 -0.084378559 -0.072915481 0.150453554 0.823949372 0.007040413 0.566617719 0.001491722
1403636898.701039553 -0.079827268 -0.071419219 0.159692371 0.824259491 0.008369519 0.566148873 0.001302618
1403636898.751008272 -0.074332311 -0.071129285 0.168880969 0.824460375 0.008676986 0.565853148 0.000118248
1403636898.801058054 -0.068844432 -0.071007498 0.178334677 -0.824257031 -0.009081144 -0.566141599 0.001253062
1403636898.851007938 -0.062289731 -0.070875400 0.186388463 -0.824508595 -0.008638298 -0.565774924 0.003113174
1403636898.950963020 -0.046061217 -0.069821759 0.200972743 -0.825349263 -0.006623426 -0.564519141 0.008536060
1403636899.000870705 -0.037090501 -0.069572032 0.206743003 -0.825470793 -0.003871995 -0.564312259 0.011603971
1403636899.050791502 -0.027705407 -0.069775126 0.211954513 -0.824920014 -0.000212645 -0.565101882 0.012914647
1403636899.100603104 -0.017960407 -0.070908953 0.216571979 -0.823909863 0.004533795 -0.566575181 0.012022768
