# timestamp(s) tx ty tz qx qy qz qw
1403637149.987428188 0.007181149 -0.005770509 0.001585630 -0.824225423 0.002011539 -0.565426991 0.030671225
1403637150.036609888 0.000885952 -0.020592927 0.012697588 -0.830379734 -0.019722826 -0.555918076 0.032180727
1403637150.086408854 0.002073432 -0.029584579 0.021731884 -0.835219773 -0.022115565 -0.548925926 0.024477764
1403637150.136347055 0.004440648 -0.036830360 0.030032248 -0.838338300 -0.023271412 -0.544349050 0.018205710
1403637150.186437130 0.009555893 -0.045032347 0.040524965 -0.838999907 -0.023551773 -0.543450319 0.013646278
1403637150.236543179 0.017537769 -0.054150210 0.053181811 -0.838688476 -0.023654583 -0.544003308 0.010124289
1403637150.286695004 0.027762134 -0.062277287 0.068013938 -0.836608794 -0.022626106 -0.547270517 0.008292505
1403637150.336674690 0.037759200 -0.070403505 0.080768839 -0.834038636 -0.021890451 -0.551217172 0.007745381
1403637150.386558533 0.049513691 -0.077621091 0.095018133 -0.829382406 -0.017572209 -0.558347923 0.007977367
1403637150.436527491 0.061976082 -0.085570446 0.109768371 -0.825808287 -0.015463704 -0.563675204 0.008474150
1403637150.486412048 0.076425847 -0.093495357 0.124600215 -0.823459963 -0.014598341 -0.567130913 0.007943938
1403637150.536418438 0.090851488 -0.101409458 0.139030155 -0.821699323 -0.012897922 -0.569729508 0.007221709
1403637150.587053776 0.104479533 -0.109831001 0.154211578 -0.820896611 -0.010197055 -0.570953988 0.006026392
1403637150.636893988 0.117726350 -0.115939319 0.168513378 -0.820185529 -0.007674517 -0.572035180 0.003543030
1403637150.686954498 0.131825629 -0.122518517 0.181147813 -0.819604365 -0.006677497 -0.572886514 0.002266610
1403637150.737001419 0.146623766 -0.129991696 0.193232688 -0.819482313 -0.006060558 -0.573071727 0.000896085
1403637150.787097692 0.161855974 -0.136647288 0.205071279 0.819288636 0.005427197 0.573355559 0.000280599
1403637150.837132215 0.177613255 -0.142739147 0.216227986 0.818400641 0.005417331 0.574619473 0.001871991
1403637150.887335539 0.193246157 -0.153591059 0.228602605 0.816383049 0.002677679 0.577491444 0.003896061
1403637150.937428236 0.208807147 -0.161517720 0.238560727 0.814013872 0.002366166 0.580825985 0.004122201
1403637150.987433434 0.224530409 -0.166293866 0.248141151 0.811867278 0.002538907 0.583818974 0.004525855
1403637151.037403584 0.239222707 -0.173179242 0.256951227 0.809983301 0.002542359 0.586430859 0.004408619
1403637151.087387562 0.254130811 -0.180249708 0.264801674 0.807875297 0.002871934 0.589329399 0.004485160
1403637151.137370110 0.267783466 -0.186806233 0.272022987 0.805329766 0.003217775 0.592800519 0.004599736
1403637151.187425137 0.278411150 -0.194236145 0.278407761 0.804490295 0.003464950 0.593940993 0.004178169
1403637151.237513781 0.287536534 -0.199943110 0.284045356 0.806039567 0.003056253 0.591842636 0.003628952
1403637151.287535429 0.296613830 -0.205225661 0.291997295 0.808101321 0.002306000 0.589036319 0.001775392
1403637151.337591410 0.304057092 -0.209552193 0.302197276 -0.810499205 -0.000101398 -0.585737845 0.001485165
1403637151.387591362 0.312909859 -0.214466552 0.315093217 -0.812882178 0.003072067 -0.582378625 0.006947295
1403637151.437601566 0.321300063 -0.218663255 0.330876237 -0.814632213 0.005891029 -0.579840575 0.011160669
1403637151.487592697 0.328928064 -0.222967991 0.348129589 -0.815647895 0.004372327 -0.578451669 0.009646760
1403637151.537555456 0.338249408 -0.228117991 0.365230952 -0.816348578 0.003526758 -0.577476506 0.009134900
1403637151.587557793 0.347566754 -0.233398750 0.381292628 -0.816525552 0.002611272 -0.577255343 0.007448013
1403637151.637577295 0.356413137 -0.239325661 0.396083687 -0.816704765 0.001348821 -0.577023747 0.005924825
1403637151.687605619 0.365213964 -0.246229539 0.409776747 -0.816429942 0.000072344 -0.577424436 0.004813113
1403637151.737593889 0.373067865 -0.251228307 0.421455337 -0.816849518 -0.000540009 -0.576837614 0.003865244
1403637151.787624598 0.381336435 -0.258348858 0.431600776 -0.816965671 -0.001133162 -0.576674760 0.003468425
1403637151.837667942 0.389002630 -0.265023527 0.440167515 -0.816944584 -0.001707527 -0.576705645 0.003038108
1403637151.887702942 0.396551711 -0.272376448 0.447076151 -0.816767880 -0.002286353 -0.576957938 0.002130899
1403637151.937745094 0.404514310 -0.279947957 0.453265647 -0.816956506 -0.002722599 -0.576691373 0.001309562
1403637151.987779617 0.413043674 -0.287033260 0.460862927 -0.816967713 -0.002826428 -0.576674416 0.001544295
1403637152.037800789 0.420668584 -0.293511030 0.469647169 -0.817063216 -0.002551467 -0.576538952 0.002006755
1403637152.087884426 0.428874552 -0.299567102 0.480123583 -0.817392830 -0.002321428 -0.576068888 0.002865054
1403637152.137987375 0.436770450 -0.305699369 0.491696140 -0.817870877 -0.001983925 -0.575388222 0.003418559
1403637152.187971592 0.444824631 -0.312828886 0.503215586 -0.818377239 -0.001433572 -0.574667321 0.003756203
1403637152.238006353 0.453344816 -0.320047095 0.513492373 -0.818850947 -0.000721609 -0.573986452 0.004707283
1403637152.287966490 0.463907407 -0.327908025 0.522900276 -0.819265231 -0.000615134 -0.573393911 0.004850267
1403637152.338013887 0.474355683 -0.335796703 0.530285790 -0.819992714 0.000324993 -0.572341055 0.006128738
1403637152.388075590 0.484129579 -0.344725893 0.536065504 -0.819740816 -0.000246356 -0.572707425 0.005580160
1403637152.438003063 0.501745855 -0.351382536 0.542758985 -0.820262012 -0.000639052 -0.571961343 0.005481376
1403637152.488056421 0.518525385 -0.357429952 0.544324499 -0.820651956 -0.001797419 -0.571402927 0.005082454
1403637152.538031578 0.530605342 -0.366151476 0.545115630 -0.820484892 -0.001713050 -0.571640940 0.005314380
1403637152.588012695 0.542702650 -0.375336435 0.544415713 -0.820740354 -0.001926255 -0.571280485 0.004490916
